word,count
있다,2491
앤드,2170
밀,1997
샌드위치,1733
맛있다,1416
메뉴,1333
성수동,1184
브런치,1157
바질,1107
맛,1006
고구마,1001
좋다,981
스프,948
파니니,909
크림,869
같다,846
것,835
맛집,749
카페,741
층,739
사진,682
없다,673
주문,663
성수,648
성동구,601
수,562
곳,561
치즈,547
길,546
단호박,534
더,529
많다,504
테이블,492
빵,490
서울특별시,488
토마토,479
때,458
진짜,437
저,427
안,411
아니다,405
생각,394
방문,387
콘,382
이,379
거,369
무장,363
정말,349
시간,347
좋아하다,340
개,330
팅,329
느낌,319
점,318
바게트,315
나,313
자리,312
그렇다,312
사람,301
웨이,300
좀,300
또,298
밤,290
바로,284
우리,283
여기,280
서울,280
샐러드,278
예쁘다,275
친구,275
소스,272
내,270
정도,266
웨이팅,266
하나,257
공간,255
날,251
커피,247
추천,245
이다,237
위치,232
그냥,227
집,223
다음,218
그,218
가게,215
내부,214
오픈,214
야채,213
전,213
번,211
귀엽다,208
조합,207
가을,206
메뉴판,206
제,204
꼭,202
조금,202
포장,201
보고,201
명,200
먹기,198
새우,197
대기,194
그릴,186
매장,183
다른,182
음식,180
재료,180
핫,179
아주,178
연어,177
분위기,177
유명하다,176
및,174
뚝섬역,170
앤드밀,167
위,163
입,161
애플,161
평일,161
오늘,160
달달,159
듯,158
가격,157
청양,157
아쉽다,157
동영상,156
간판,151
앞,151
처음,150
얼,149
인스타,149
건물,148
이드,147
주말,147
옥수수,146
때문,145
역시,144
저희,142
분,142
중,139
도착,139
사실,139
먼저,139
가지,138
무화과,137
영업,137
한정,136
브리,136
서울숲,136
다시,136
라스트,136
비주,135
이렇다,135
입구,132
아메리카노,131
인테리어,131
줄,131
음료,130
계단,129
근처,128
매일,127
인,126
한번,126
부드럽다,124
살짝,123
말,123
요즘,123
시즌,122
후기,120
뭐,120
감자,119
요,118
제일,116
성수역,116
햄,115
꽤,115
골목,114
베이컨,114
만,114
링,113
트,112
팀,112
이쁘다,112
구경,111
깔끔하다,111
인기,110
식사,108
무,108
말랭이,108
개인,107
작다,106
보기,106
감,105
사장,105
뭔가,104
걸,103
무스,102
완전,102
후,102
해,101
아기자기하다,101
옆,101
꼬꼬,100
원래,100
물,100
왕십리,100
왜,99
등,99
게,98
포스터,98
못,97
로,97
거리,96
감성,95
마지막,94
휴무,94
고민,94
느끼하다,93
향,93
가능하다,92
아보,92
점심,91
눈,91
매콤,91
수프,90
이번,90
도,89
함,89
궁금하다,88
가장,87
괜찮다,87
넓다,87
출구,87
힘들다,86
쪽,86
무화괌말랭,86
게시,85
이름,85
배,85
건,85
일단,84
약간,84
작물,83
두,83
구황,82
팔로워,82
별로,82
언니,82
예약,81
마,81
계속,81
참고,81
사과,81
미리,80
님,80
보,80
소품,80
따뜻하다,79
뚝섬,79
거의,78
살,77
가면,77
창가,77
베이글,77
손님,77
파워,76
종류,76
팔로잉,76
/,76
라떼,75
딸기,75
밤게트,75
덥다,75
월요일,75
아이스,75
주차,74
마음,73
전체,73
포스팅,72
최고,72
기분,72
기대,70
온,70
난,70
존맛,70
통,69
루꼴,68
속,68
가득,68
모두,68
용,67
지금,67
오후,67
카운터,67
판매,67
바삭,67
가능,67
자두,66
적당하다,66
화이트,66
필수,66
이제,66
금방,65
날씨,65
선택,64
편이,64
듬뿍,64
제로,64
둘,64
알,64
편,64
사이,64
직원,63
모짜렐라,63
리코,63
소개,63
다양하다,63
양,63
현대,62
뒤,62
비,62
바,62
디저트,62
인스타그램,61
간,61
일,61
팝업,61
가깝다,61
기대하다,61
시작,61
재생,60
입장,60
재,60
볼,59
닭,59
이유,59
미치다,59
어떻다,59
콜라,58
주차장,58
가기,58
고소하다,58
메뉴인,58
배부르다,58
크게,58
멀다,57
건강하다,57
식빵,57
야하다,57
존,56
기억,56
차,56
첫,56
무난,55
티,55
예전,55
하루,55
확인,55
가슴,55
저녁,55
발견,54
포토,54
장소,54
이전,54
중간,54
자주,54
나들이,54
땐,54
이용,53
성,53
전화,53
코타,53
딱딱하다,53
동생,53
평소,53
자체,52
끝,52
추가,52
의자,52
기본,51
강하다,51
취향,51
달,51
굉장하다,50
햇살,50
계시다,49
드,49
검색,49
문,48
콘스프,48
품절,48
동반,48
진하다,48
밥,48
벽,48
좁다,48
다행하다,48
돈,48
아침,47
거울,47
서기,47
가득하다,47
다르다,47
비싸다,47
잼,47
무조건,47
데이트,47
신선하다,46
새롭다,46
청포도,46
리,46
입맛,46
데,46
항상,46
불편하다,45
상큼,45
식감,45
어디,45
위해,45
괌,45
편하다,45
비쥬,45
운,45
담백하다,44
가야,44
플레이,44
보이,44
혼자,44
주소,44
일찍,44
사용,43
손,43
나중,43
블로그,42
막,42
매우,42
피치스,42
리뷰,42
벌써,42
준비,42
단,41
아래,41
배고프다,41
등등,41
스타일,41
처,41
행복하다,41
하니,41
직접,40
움,40
밖,40
지도,40
초당,40
모,40
친절하다,40
글,40
스토어,40
먹음,39
달콤하다,39
간단하다,39
점심시간,39
식당,39
수도,39
로우,39
망고,39
너,39
그릇,39
조화,39
자극,39
네이버,38
계란,38
찍기,38
만족스럽다,38
방,38
시,38
맘,38
꽃,37
이상,37
안되다,37
솔직하다,37
밑,37
키,37
창,37
맛없다,36
주변,36
크리스마스,36
자리다,36
낮,36
를,36
찍,36
아보카도,36
다이어트,36
우선,35
사당,35
|,35
반,35
접기,35
핫플,35
어렵다,35
겸,35
요기,34
톤,34
우삼겹,34
잔,34
식,34
특별하다,34
덕,34
더치,34
짐,34
반려동물,34
전화번호,34
맵다,34
대표,34
뷰,33
기도,33
의,33
워낙,33
고프다,33
생,33
타임,33
의사,33
픽,33
주,33
동안,33
촉촉하다,33
여유,32
루꼴라,32
까르보나라,32
얼마,32
은근,32
원하다,32
봄,32
든든하다,32
크기,32
버터,32
산,32
광주,32
쯤,32
소프트,31
음,31
토요일,31
신기하다,31
여기저기,31
임,31
찾기,31
도보,31
공지,31
피넛,31
갑자기,31
결제,31
모든,31
좌석,31
류,31
담,31
길다,31
엄청나다,30
여자,30
무엇,30
진행,30
투어,30
사랑,30
다만,30
여름,30
답,30
몇,30
높다,29
크림소스,29
브레이크,29
접시,29
안녕하다,29
노티,29
애매하다,29
디올,29
끼,29
런가,29
곳곳,29
스럽다,29
에코,29
기준,29
할라피뇨,29
잡고,29
마감,29
거기,29
갈릭,28
운영,28
만족하다,28
다행,28
오히려,28
걱정,28
가볍다,28
뭘,28
차갑다,28
구매,28
오전,28
최애,28
왼쪽,28
케이크,28
나름,28
조각,28
모습,28
잡곡,27
평범하다,27
창문,27
배달,27
매력,27
코스,27
솔드아웃,27
"층
성수동",27
도전,27
라면,27
여러분,27
구,27
샌디,27
우린,27
햇빛,27
계산,27
굳이,27
여행,26
세,26
컷,26
저번,26
호,26
적,26
어플,26
제대로,26
포인트,26
남편,26
동명,26
토,26
고기,26
번호,26
충분하다,26
동명동,26
그대로,26
만족,26
총,26
수가,26
최근,26
만석,26
젤,26
절대,26
정,25
치아바타,25
모양,25
사이드,25
리스트,25
테이크아웃,25
겉,25
불고기,25
세상,25
재미,25
"앤드밀,",25
오,25
소리,25
마카롱,25
마무리,25
소금,25
예상,25
선,24
이후,24
달라,24
아마,24
당황,24
치,24
넘치다,24
사이다,24
퍽퍽,24
지하,24
&meal,24
김,24
일반,24
보통,24
시원하다,24
아기자기,24
선물,24
커서,24
원,24
격줄,24
덕분,24
알차다,24
채소,24
뺑드,24
파프리카,24
코로나,24
이야기,24
디,24
경우,23
부분,23
랄,23
찰떡,23
그림,23
상,23
겨울,23
직,23
반하다,23
디스,23
레몬,23
소진,23
강추,23
피크닉,23
라이스,22
얘기,22
색감,22
월,22
뿐,22
호불호,22
은,22
안쪽,22
확실하다,22
쉐어,22
부담,22
맛집],22
저기,22
창고,22
러버,22
엄마,22
빠르다,22
주방,22
화장실,22
결정,22
앱,22
가루,21
여,21
벽면,21
포테이토,21
박스,21
호박,21
