word,count
꼬모윤,85
까눌레,65
카페,55
서울숲,51
있다,45
좋다,39
점,34
같다,29
디저트,28
선물,24
분위기,23
서울,21
맛있다,21
것,20
마들렌,20
많다,20
휘,18
맛,18
낭시,18
층,16
성동구,15
다산,15
숲길,15
움,14
주문,14
친구,13
맛집,13
포장,12
과자,12
블랙,12
방문,11
성수동,11
플라워,10
더,10
아니다,10
서울특별시,10
없다,10
커피,9
내부,9
판매,9
매장,9
추천,8
안,8
시간,8
사람,8
예쁘다,8
용,8
출신,8
메뉴,8
테이블,7
초코,7
아메리카노,7
곳,7
진짜,7
까눌레칩,7
자리,7
코코넛,7
휴무,7
메뉴판,7
수요일,6
그냥,6
이,6
크림,6
나,6
느낌,6
사진,6
쪽,6
생각,6
거,6
뚝섬역,5
꽃,5
바닐라,5
세트,5
몽블랑,5
스타일,5
고민,5
저,5
때,5
듯,5
사실,5
음료,5
별로,5
장식,5
수,5
좋아하다,5
정기,5
역시,5
이렇다,5
모던,5
재,5
위치,5
영업,5
달달,5
빈,5
분,5
겉바,4
겉,4
그렇다,4
전,4
트리,4
뿐,4
집,4
또,4
잼,4
스위스,4
헤이즐넛,4
아이스,4
명,4
하나,4
통,4
뭘,4
주말,4
플로리스트,4
좀,4
일,4
이다,4
요,4
다양하다,4
콜라보,4
차,4
영국,4
저녁,4
성수,4
완전,4
가능하다,4
유자,4
보고,4
정보,4
후,4
데이트,4
다음,3
종류,3
보,3
숲점,3
얼그레이,3
도,3
정도,3
짱,3
아무,3
포스팅,3
곰돌이,3
괜찮다,3
촉,3
유리,3
오늘,3
아이,3
입,3
테디베어,3
살,3
넓다,3
외관,3
나이프,3
바로,3
해,3
박스,3
제대로,3
호주,3
손,3
파티,3
케이크,3
촉촉하다,3
아들,3
개,3
수제,3
쇼케이스,3
귀엽다,3
브랜드,3
라스트,3
상자,3
온,3
편하다,3
힘드다,3
컬러,3
입구,3
위,3
병,3
픽,3
스럽다,3
조금,3
후기,3
여기,3
작년,3
등,3
시,3
매일,3
입맛,3
서울숲점,3
번,3
꽤,3
근처,3
앞,3
내,3
무조건,3
제,3
다시,3
눈,3
출구,3
뭐해,2
걸,2
밀크,2
여유,2
다르다,2
먹기,2
런가,2
고해,2
아래,2
금,2
길,2
건가,2
존,2
및,2
크리스마스,2
겉바속쫄,2
벽,2
얘기,2
지금,2
취향,2
구매,2
날씨,2
너,2
로사,2
꼭,2
작다,2
얼음,2
동네,2
여러가지,2
꽃집,2
티,2
모임,2
간판,2
공연,2
가득,2
로,2
산책,2
이번,2
이상,2
트레이,2
소품,2
패키지,2
안되다,2
말,2
난,2
