word,count
쿠키,153
레인,99
바운,92
덥다,92
있다,81
점,67
럼블,48
신촌,45
카페,44
디저트,27
수,25
맛있다,24
좋다,24
초코,23
맛,21
성수,21
와인,19
층,19
때,17
성수동,17
같다,17
버터,16
더블,15
선물,14
커피,14
맛집,14
치즈,13
스모,13
주문,13
시간,13
종류,12
아차산로,12
좋아하다,12
저,12
안경,12
성동구,12
아니다,12
무화과,11
다양하다,11
공간,11
날,10
바,10
백화점,10
바로,9
친구,9
여기,9
많다,9
달달,9
음료,9
크랜베리,9
바운더리,9
방문,9
거,9
칩,9
대왕,8
사진,8
남친,8
서울특별시,8
없다,8
포장,8
것,8
번,8
생각,8
가격,8
안경점,7
곳,7
빅,7
매일,7
하나,7
카라멜,7
추천,7
안,7
구매,7
초콜릿,7
애플,7
개,7
사용,6
진짜,6
이다,6
분위기,6
등,6
내부,6
종로,6
나,6
그렇다,6
정도,6
아메리카노,6
이,6
얼,6
메뉴,6
서울,6
에스프레소,6
중,5
두,5
가지,5
보관,5
고민,5
호두과자,5
명,5
보고,5
영업,5
내,5
조용하다,5
스무디,5
이드,5
저희,5
용,5
그,5
신세계,5
집,5
크기,5
그냥,5
블루베리,5
매장,5
제,5
어떻다,5
이야기,5
바운더,5
그린,4
및,4
테이블,4
처음,4
초콜렛,4
인테리어,4
입점,4
역시,4
토마토,4
동영상,4
그레인바운더리,4
판매,4
분,4
속,4
사서,4
볼,4
서비스,4
다음,4
길,4
피스타치오,4
후기,4
오늘,4
성수역,4
입,4
갤러리아,4
함,4
위치,4
다른,4
말차,3
일,3
이용,3
선택,3
실물,3
문,3
살짝,3
사이즈,3
취향,3
스카치,3
영국,3
나무,3
상큼,3
위,3
포스팅,3
팝업,3
티,3
더,3
전문점,3
거울,3
광교,3
단맛,3
약과,3
라즈베리,3
녹차,3
시,3
우유,3
구경,3
지하,3
아이스,3
다르다,3
묵직하다,3
하우스,3
일반,3
동안,3
"층
성수동",3
예쁘다,3
감성,3
숲,3
깔끔하다,3
사실,3
달,3
리가,3
추가,3
아아,3
처,3
비교,3
눈,3
고소하다,3
출구,3
재생,3
은은하다,3
작다,3
식감,3
기본,3
배,3
또,3
솔직,3
이번,3
개입,3
사람,3
왜,3
조합,3
를,3
바질,3
반,3
평소,3
접기,3
뚱,3
쿠키가,3
진하다,3
타르트,3
베리,3
행복하다,2
홍초,2
좀,2
예약,2
호두,2
건물,2
반죽,2
캬라멜,2
팔로워,2
팔로잉,2
박스,2
편하다,2
피넛버터향,2
상당하다,2
행사,2
세상,2
요건,2
신선하다,2
상태,2
원하다,2
비싸다,2
다만,2
인공,2
게시,2
비주,2
가족,2
구,2
핫,2
괜찮다,2
전,2
편의점,2
랄,2
리만,2
오레오,2
잔,2
간,2
편이,2
힘들다,2
쪽,2
호점,2
자리,2
종,2
구입,2
골,2
회사,2
가깝다,2
말,2
쎄다,2
치아바타,2
뭐,2
외관,2
역,2
품절,2
가면,2
걸,2
단,2
확실하다,2
먹기,2
커서,2
뚠뚠,2
견과류,2
왕,2
체다,2
부드럽다,2
기지,2
골목,2
보존료,2
대구,2
밉다,2
케이크,2
계란,2
전체,2
누텔라,2
비쥬,2
로스팅,2
앞,2
도보,2
색소,2
주차,2
노트북,2
요,2
오히려,2
겸,2
서대문구,2
냉동,2
자주,2
끝맛,2
뚝섬역,2
차분하다,2
한잔,2
급하다,2
손님,2
보기,2
식품,2
옆,2
줄,2
상관없다,2
부터,2
마음,2
님,2
엔틱,2
아늑하다,2
주소,2
체리,2
달콤하다,2
박하,2
얼그레이,2
신기하다,2
계시다,2
당연하다,2
밀가루,2
입구,2
게다가,2
곳곳,2
꼭,2
여러,2
본점,2
마트,2
구점,2
안경집,2
야하다,2
가득,2
믹스,2
로,2
얼마,2
이동,2
이상,2
바닥,2
살,2
시큼하다,2
미치다,2
중간,2
평일,2
이렇다,2
물,2
근처,2
모던,2
유명한,2
가능하다,2
알,2
한번,2
아이스티,2
덜,2
문방구,2
레몬,2
주차장,2
턱,2
명물,2
이제,2
정말,2
크게,2
후,2
저렴하다,2
일단,2
