word,count
커피,1416
있다,692
메쉬,678
카페,448
성수동,402
좋다,356
맛,271
맛있다,264
곳,259
라떼,240
것,219
없다,205
서울숲,203
같다,194
성동구,187
서울특별시,170
서울,169
수,168
주문,143
공간,143
사람,142
많다,140
더,138
사진,137
나,134
때,132
날,130
내,130
생각,129
좋아하다,125
메뉴,122
원두,114
시간,113
아니다,108
이,108
정말,107
그렇다,106
여기,106
저,104
방문,98
느낌,94
맛집,92
숲길,84
테이크아웃,83
바로,83
자리,83
안,79
로스팅,73
하나,73
이다,73
좀,72
친구,72
그,70
예쁘다,70
유명하다,69
진짜,69
내부,69
향,68
추천,67
우리,66
집,66
다음,65
층,65
거,65
제,64
정도,63
길,63
오늘,63
아메리카노,62
아이스,62
귀엽다,62
그냥,62
처음,61
앞,61
판매,61
블루,60
또,60
티,59
번,59
개,59
꼭,58
성수,58
가격,58
작다,57
일,55
뭐,55
매장,55
쉐이크,54
중,53
핫,52
듯,51
전,51
요즘,50
손님,50
분위기,49
보고,49
뚝섬역,49
고소하다,49
영업,48
구경,47
평일,47
근처,47
명,47
분,47
및,46
메뉴판,45
궁금하다,44
날씨,44
조금,44
말,44
책,43
우유,43
때문,43
베이커리,42
동영상,42
다른,42
/,42
가게,41
만,41
아쉽다,41
줄,41
디저트,40
왜,40
기분,40
한번,40
바,39
사용,39
아침,38
메쉬커피,38
음료,38
산미,38
이렇다,38
옆,38
테이블,37
다시,37
부드럽다,36
의자,36
자주,36
보틀,36
눈,36
스콘,35
사실,35
포스팅,35
직접,34
꽤,34
가지,34
빅토리아,34
보기,34
뭔가,33
휴무,33
한잔,33
주말,32
시작,32
구매,32
스페셜,32
물,32
달달,32
잔,31
인테리어,31
사장,31
역시,31
카페라떼,31
알,31
거의,31
인스타,31
강하다,30
바리스타,30
못,30
오픈,30
제일,30
점,30
이제,30
입,29
제품,29
머신,29
감성,29
일요일,29
빵,29
위치,29
투어,29
적당하다,28
쪽,28
거리,27
핸드,27
깔끔하다,27
스티커,27
드립,27
기억,27
포장,26
다양하다,26
도,26
시럽,26
주차,26
에티오피아,26
킥,26
플립,26
토요일,26
위,26
덥다,26
요,25
달고나,25
가능하다,25
아주,25
직원,25
게,25
쿠키,25
어떻다,25
혼자,24
박스,24
살짝,24
한강,24
도넛,24
이번,24
밭,24
힙,24
비,24
따뜻하다,24
차,24
괜찮다,24
가면,24
함,24
크림,24
밖,24
온,24
오예,23
종류,23
골목,23
서서,23
게시,23
샷,23
편,23
원래,23
운영,23
를,23
옷,23
맥주,23
항상,23
모습,23
님,23
새롭다,22
고민,22
마시기,22
재생,22
볼,22
좌석,22
외관,22
뚝섬,22
계속,21
모아이,21
지금,21
치즈,21
전문점,21
산책,21
웨이,21
스토어,21
가장,21
여름,21
브루잉,21
가깝다,21
야외,21
에스프레소,21
마음,21
보,20
저희,20
신기하다,20
해,20
후,20
브랜드,20
팔로워,20
팔로잉,20
취향,20
좁다,20
두,20
오후,20
하루,20
센터,20
설명,20
네이버,20
러브,20
가야,19
이름,19
봄,19
햇살,19
뒤,19
이쁘다,19
밀크,19
멋지다,19
공휴일,19
간단하다,19
완전,19
소개,19
로베,19
팅,19
여유,18
필터,18
용,18
동네,18
굉장하다,18
간,18
밀,18
도착,18
대한,18
대표,18
시스템,18
출구,18
별로,18
초코,18
멀다,18
기본,18
난,18
매력,18
굿,18
전문,18
언니,17
비누,17
스타일,17
주차장,17
가볍다,17
걸,17
건물,17
베트남,17
비싸다,17
장소,17
마지막,17
가득,17
등,17
준비,17
햇빛,17
식당,17
끝,17
토,17
밉다,17
달,17
처,17
선물,17
최고,16
다르다,16
예약,16
밥,16
북적,16
개인,16
엄마,16
인,16
지갑,16
피자,16
재밌다,16
감,16
살,16
길다,16
평소,16
컵,16
아이스커피,16
가기,16
추가,16
시원하다,16
진하다,16
이야기,16
선택,16
자리다,16
스마트,16
성,16
예전,16
간판,16
입맛,16
글,16
위해,16
먹기,15
사랑,15
참고,15
일본,15
계시다,15
하니,15
힘들다,15
의,15
재,15
