word,count
커피,4284
카멜,3530
있다,2411
성수동,1243
카페,1187
좋다,969
같다,791
맛있다,790
층,774
호점,772
곳,737
것,727
없다,651
주문,617
성수,598
맛,573
길,572
사진,557
성동구,541
더,536
서울숲,528
많다,519
느낌,495
수,467
서울특별시,447
자리,442
저,407
아니다,401
점,393
분위기,393
예쁘다,382
사람,380
메뉴,369
빈티,366
시간,361
공간,357
이,345
방문,339
서울,325
빵,324
때,324
크림,322
정말,312
화장실,311
우리,311
생각,308
테이블,307
나,301
버터,299
날,298
또,294
인테리어,289
핫,286
그렇다,278
하나,277
여기,273
안,269
진짜,267
처,262
집,250
이다,248
바로,239
내부,238
그,237
라떼,236
팅,228
좋아하다,226
웨이,226
친구,224
맛집,221
거,218
정도,217
그냥,215
감성,214
유명하다,210
카멜커피,209
보고,206
내,202
잔,195
구경,195
좀,195
귀엽다,195
덕정,192
매장,186
다른,185
번,184
이렇다,182
웨이팅,181
요즘,179
개,177
듯,176
현대,173
다음,171
위치,169
오픈,168
역시,162
전,162
추천,161
제,161
사장,159
본점,157
오늘,157
크로와상,157
음료,157
소품,154
달달,154
미숫가루,154
주택,153
중,153
골목,152
주차,150
메뉴판,148
거리,146
아이스,145
조금,143
아메리카노,142
평일,142
앞,141
주차장,138
근처,137
작다,137
말,134
처음,131
아주,130
아쉽다,129
개조,127
줄,126
왜,124
분,123
입구,121
다시,121
직원,120
디저트,119
도,119
뭔가,119
부드럽다,119
뭐,118
위,118
영업,117
명,117
주말,117
이쁘다,116
가격,114
요,113
손님,112
문,112
알,112
및,110
사실,109
포장,108
쪽,108
한번,107
만,107
게,105
꼭,104
해,104
저희,103
의자,103
함,103
못,102
나사,101
이용,101
기분,101
도산,100
때문,98
따뜻하다,95
매일,95
날씨,94
대기,94
마음,93
일,93
지점,92
가게,92
이번,91
저녁,89
넓다,89
오래되다,89
판매,89
가구,88
종류,87
후기,87
옆,87
눈,85
존,84
궁금하다,84
약간,84
교회,83
티,83
외관,83
인스타,82
등,81
꽤,81
후,81
양,80
로,79
포스팅,79
컵,79
그대로,78
동영상,78
먼저,78
온,78
가장,77
퀸,77
화이트,76
데이트,76
가면,76
덥다,76
보기,75
도착,75
기억,75
팝업,74
난,74
가능하다,74
모두,74
건물,74
제일,74
베이커리,74
볼,73
계속,73
지금,73
두,73
간판,73
인,72
성,72
괜찮다,72
예전,72
망,72
밥,71
어떻다,71
고소하다,71
건,71
진하다,71
걸,70
입,70
소금,70
나들이,70
마블,70
플랫,70
고민,69
개인,69
이야기,69
인기,68
마지막,68
살짝,68
어디,68
소개,68
테이크아웃,68
가능,67
편하다,67
다양하다,67
시작,67
동네,66
향,66
완전,66
점심,66
카운터,65
뚝섬,65
조명,65
곳곳,64
거의,64
원래,63
벽,63
너,63
오후,63
안되다,63
핫플,63
물,63
비,63
이름,62
가지,62
재미,61
스럽다,61
혼자,61
차,61
좌석,61
엄마,60
자체,60
가깝다,59
재생,59
별로,59
밀크,58
참고,58
동반,58
뚝섬역,58
매력,58
돈,58
회사,57
안쪽,57
사이,57
모습,57
여유,56
포토,56
번호,56
출구,56
남편,56
이제,56
한잔,56
에스프레소,56
첫,55
청담,55
크루아상,54
새롭다,54
성수역,54
직접,53
간,53
식당,53
일단,53
뒤,53
맘,53
지하,53
여행,52
방,52
사이즈,52
적당하다,52
편,51
무엇,51
7호점,51
달,51
계단,51
힘들다,51
자주,51
예약,50
계시다,50
얼마,50
스타일,50
힙,50
입장,50
막,49
블로그,49
노,49
꽃,48
데,48
밖,48
/,48
를,48
창가,48
뷰,47
굉장하다,47
아이,47
다르다,47
항상,47
매우,47
배,47
굿,47
오빠,46
불편하다,46
감,46
가득,46
최고,46
지도,46
손,46
둘,45
가득하다,45
달콤하다,45
취향,45
자리다,45
주방,45
팀,45
코스,45
가기,45
먹기,44
친절하다,44
옛날,44
우유,44
휴무,44
발견,44
세상,44
프레첼,44
기대,44
그니,44
편이,44
무,44
네이버,44
이유,44
신기하다,43
메뉴인,43
산,43
보통,43
키즈,43
나름,43
멋지다,43
주변,43
주,43
전체,42
아침,42
잠시,42
유럽,42
끝,42
하루,42
조용하다,42
스토어,42
춥다,41
공원,41
제대로,41
베이글,41
속,41
팔로워,41
주소,41
반려동물,41
모든,41
운영,41
상,41
야외,41
금방,40
몇,40
다행하다,40
독특하다,40
아인,39
깔끔하다,39
님,39
마들렌,39
좁다,39
미치다,39
위해,39
멋,39
게시,38
재밌다,38
준비,38
실내,38
포인트,38
리뷰,38
마무리,38
살,38
이상,38
옷,38
얼,38
최근,38
바,38
보,37
카페인,37
재,37
종이,37
팔로잉,37
겨울,37
구,37
김,37
워낙,37
거기,37
움,36
이동,36
동안,36
어렵다,36
아아,36
언니,36
비싸다,36
센스,36
오,36
조합,36
무장,36
클래식,36
컨셉,36
하니,35
치즈,35
레이스,35
낡다,35
만석,35
무조건,35
선물,35
선택,35
음식,35
공영,35
비슷하다,35
테라스,35
찍,35
낮,34
산책,34
시,34
우린,34
블루,34
대표,34
도보,34
용,34
푸딩,34
멀다,34
가정,34
와인,33
압구정,33
야하다,33
보이,33
은,33
안내,33
외부,33
갑자기,33
타임,33
요기,33
컬러,33
감각,33
주택가,32
봄,32
역,32
확실하다,32
행복하다,32
무슨,32
앤,32
햇살,32
찍기,32
접기,32
구옥,31
단,31
특유,31
사랑,31
아래,31
여기저기,31
입맛,31
패스,31
표,31
아늑하다,31
여름,31
기본,31
전시,31
바깥,31
넘치다,31
백화점,31
시장,31
맥주,31
슈페,31
가야,30
밤,30
제품,30
서서,30
타고,30
팟타이,30
추가,30
여의도,30
전화번호,29
디자인,29
왼쪽,29
길다,29
얼마나,29
라면,29
잡고,29
빈,29
콜라보,29
배부르다,29
마당,28
라우,28
일찍,28
늘,28
정보,28
솔직하다,28
마치,28
해도,28
구석구석,28
특별하다,28
일반,28
디올,28
나중,28
저기,28
언제,28
라스트,28
나무,27
랄,27
즐겁다,27
투어,27
소스,27
책,27
겸,27
여전하다,27
젤,27
한적하다,27
구매,27
콜드,27
보틀,27
중간,27
밉다,27
코로나,27
브랜드,27
로고,26
간단하다,26
여러,26
호,26
전혀,26
평소,26
아기자기하다,26
인생,26
메인,26
고,26
지인,26
인스타그램,26
산미,26
컷,26
세트,26
피자,26
뚜레쥬르,26
임,26
글,26
검색,26
벨,26
시원하다,26
땐,26
벽돌,26
이후,25
체크,25
박스,25
"카멜커피,",25
샌드위치,25
샷,25
자기,25
진동,25
점도,25
차이,25
의,25
카,25
기대하다,25
벽면,25
냄새,25
대부분,25
엔틱,25
수요일,25
벌써,25
브라운,25
류,25
테이프,25
모,25
품절,25
서울시,25
먹음,24
경우,24
기도,24
호호,24
애기,24
전화,24
골목길,24
담,24
잠깐,24
제작,24
브루,24
오히려,24
크게,24
가을,24
지난,24
음,24
사용,24
잠봉,24
조화,24
핸드,24
대신,24
"커피
성수동",24
이벤트,24
수다,24
오른쪽,23
무난,23
상태,23
부분,23
진심,23
도넛,23
접시,23
킹,23
기준,23
촬영,23
커피잔,23
존맛,23
터,23
운,23
원두,23
년,23
평,23
심,23
한강,23
엄청나다,23
아웃,23
오전,23
앵무새,23
바삭,23
특이하다,23
수도,23
일요일,23
덕,23
담백하다,22
곳도,22
애견,22
바닐라,22
camel,22
순간,22
드,22
비주,22
작고,22
상품,22
일상,22
주차공간,22
마감,22
구조,22
빠르다,22
소리,22
외,22
"카페,",22
가방,22
일이,21
통해,21
스,21
동생,21
-,21
작성,21
진열,21
달라,21
설명,21
파스타,21
청담동,21
마침,21
편안하다,21
차갑다,21
포기,21
애,21
건대,21
초록,21
:,21
부산,21
솔드아웃,21
반,21
사고,21
그림,21
샐러드,21
서로,20
커피숍,20
런가,20
싫다,20
전부,20
더욱,20
간다,20
힐링,20
안녕하다,20
리,20
은근,20
미스터,20
만큼,20
수가,20
확인,20
쯤,20
와중,20
창,20
진,20
영상,20
마스,20
우드,20
충전,20
행사,20
장소,20
노출,20
혹시,20
개성,20
물씬,20
케이크,20
창고,20
약속,20
앤티크,20
아담하다,20
카페],19
연방,19
얘기,19
추억,19
당연하다,19
아날로그,19
여자,19
월,19
저격,19
겐,19
애플,19
공사,19
할인,19
재미있다,19
당황,19
멋있다,19
정리,19
색,19
누구,19
아들,19
아몬드,19
강하다,19
외출,19
각,19
인지,19
