word,count
어스,4857
그로,4758
있다,4261
연희동,3538
좋다,3330
브런치,3197
층,2387
파스타,1987
카페,1944
맛있다,1778
메뉴,1633
맛집,1573
같다,1465
예쁘다,1459
자리,1356
것,1339
곳,1242
사진,1194
테이블,1186
주문,1184
맛,1164
연희,1147
분위기,1016
크림,968
테라스,946
서대문구,905
수,898
없다,843
많다,835
오일,786
항정살,776
더,745
길,744
방문,737
날,737
음식,711
정말,702
서울특별시,687
버섯,675
저,657
느낌,656
퍼스트,645
공간,633
때,632
명,563
빵,556
트러플,554
데이트,546
이다,545
아니다,536
햇살,534
이,531
시간,527
진짜,523
추천,522
예약,517
여기,507
날씨,490
야외,487
그렇다,477
주차,475
커피,469
거,459
생각,441
이쁘다,435
또,432
하나,431
좋아하다,430
친구,426
사람,422
주택,411
주차장,409
인테리어,407
잼,403
브렉,400
안,394
제,393
우리,392
집,387
페스,380
내부,378
나,378
서울,371
위치,368
음료,359
마팔디네,355
좀,354
개,354
저희,348
토,348
소스,348
베이컨,344
토마토,332
바로,326
정도,318
뇨끼,317
꼭,316
토스트,305
향,304
입구,301
샐러드,297
번,292
다음,289
조금,288
라떼,287
식사,278
주말,278
가지,275
내,275
개조,273
딸기,269
그,269
창가,268
아보카도,267
이용,266
전,265
요,264
메뉴판,262
다양하다,261
다른,260
오늘,258
바질,257
좌석,255
점,254
면,254
치즈,253
아주,252
분,251
아쉽다,250
그냥,249
시그널,246
듯,244
먼저,244
하트,244
조용하다,244
리조또,242
기분,240
유명하다,240
이렇다,240
그로어스,237
넓다,235
오픈,235
재생,232
주택가,232
매일,231
뷰,225
감성,220
해,220
위,218
장소,216
처음,215
만,215
요즘,213
중,213
양송이,212
이드,212
역시,211
먹기,210
매콤,208
꽃,206
나물,206
보고,206
일룸,204
볶음밥,204
영업,204
단독주택,203
다시,202
미슐랭,199
팅,197
새우,197
물,197
소세지,196
아메리카노,194
말,194
골목,192
구경,191
드,191
살짝,189
및,188
가격,187
비,187
근처,186
사실,186
꽤,186
완전,185
계란,185
평일,185
모두,184
등,183
느끼하다,183
카운터,182
그릴,182
핫,181
제일,179
동네,179
때문,178
여유,178
깍두기,175
쪽,175
번호,174
가게,174
눈,174
한적하다,171
앞,170
외관,170
가능하다,168
인스타,168
얼,168
입,167
라스트,167
봄,166
덥다,166
게,165
조합,163
후,162
가득,161
매장,161
셰프,160
마음,160
약간,158
후기,157
깔끔하다,157
준비,155
통창,153
정원,152
가장,152
끼,151
옆,151
동영상,150
석,150
도,149
도착,148
웨이팅,147
뭐,147
브랙,146
채광,146
한번,146
따뜻하다,146
손님,144
보기,144
안쪽,144
계단,143
마당,143
비주,143
실내,141
소품,140
고민,140
샥슈카,139
양,139
플레이,137
화장실,136
못,136
종류,135
괜찮다,135
서대문,134
구성,134
자몽,133
밥,131
디저트,131
꼬,131
어떻다,130
접기,130
모습,130
참고,128
창,127
저녁,127
아이스,126
소개,126
프렌치,125
셀프,125
전체,124
개인,124
편,124
인기,123
노미,123
고소하다,123
코스,122
샤워,121
거리,120
도우,120
부라타,119
뭔가,119
스프,118
추가,118
부드럽다,117
일단,117
행복하다,116
밖,116
자리다,115
걸,114
가득하다,114
함,114
운,114
직원,113
아침,113
웨이,112
님,112
차,110
찍기,110
건물,110
마포,109
최고,109
주변,109
포토,109
두,108
조화,108
블랙,108
카야,108
미리,108
간,108
알,108
취향,107
블루베리,107
리뷰,107
계속,106
적당하다,106
모임,105
왜,103
밉다,103
주소,103
식감,103
통,103
올리브,102
보,102
거의,102
귀엽다,102
접시,101
처,101
직접,101
감자,101
포스팅,101
곳곳,100
온,100
연남동,100
일,99
줄,99
유료,99
어디,99
햇빛,99
편하다,98
자체,98
점심,98
재,98
자주,98
이제,97
민영,96
재료,96
사용,95
화이트,95
존,94
사이,94
티,93
상큼,93
버터,93
오후,93
달달,93
과일,92
언니,92
진하다,92
오전,91
원래,90
재미,90
엄마,89
맘,89
인,89
가능,89
소개팅,88
낮,87
게시,87
잔,87
패션후르츠,87
가을,86
캐치,86
건,86
단체,86
굉장하다,85
볼,84
프렌치토스트,84
레몬에이드,83
룸,83
용,83
발라,83
시작,83
블로그,82
팔로워,82
신선하다,82
별로,82
감각,82
매력,82
기억,82
이번,81
팔로잉,81
지금,81
네이버,81
가면,80
주,80
식,79
계시다,79
아래,78
돈,78
배,77
민규,77
궁금하다,77
샷,77
아마,76
트,75
풍경,75
초록,75
작다,75
버스,75
소시지,75
안내,75
바깥,74
피클,74
대기,74
선택,74
가기,74
식물,73
모든,73
야하다,73
뒤,73
둘,73
중간,73
나무,73
편이,73
가깝다,73
대표,73
"길
연희동",72
잡고,72
홍대,72
듬뿍,72
여름,71
하늘,71
즐겁다,71
무조건,71
운영,71
일찍,70
문,70
땐,70
브리,69
원하다,69
안되다,69
먹음,68
비싸다,67
기본,67
답,67
스타일,67
톤,67
힐링,67
마지막,66
삭슈카,66
트리,66
보이,66
요기,66
여자,66
힘들다,66
좋은,66
이유,66
검색,65
입맛,65
글,65
이야기,65
창문,64
마련,64
