word,count
커피,789
더니,428
있다,419
카페,293
연희동,254
좋다,204
곰,200
맛있다,168
같다,166
것,143
크림,138
사진,137
연희,119
곳,118
맛,117
귀엽다,113
갸또,105
수,101
서대문구,99
없다,90
더,89
라떼,87
원두,83
서울특별시,83
때,82
사장,82
주문,81
메뉴,77
길,75
많다,75
바,73
정말,72
자리,71
이,70
디저트,70
강아지,67
저,67
좋아하다,66
테이블,66
생각,65
또,64
층,64
말차,63
명,61
날,60
개,60
공간,58
내,58
손님,57
나,56
방문,55
그렇다,53
및,53
동영상,52
시간,51
작다,50
우리,49
사람,47
그,46
친구,46
향,46
드립,44
아니다,43
느낌,43
다음,42
깔끔하다,41
오늘,39
거,39
드립커피,39
물,38
하나,38
바로,38
분위기,37
카라멜,37
진짜,37
조금,37
집,37
보고,37
제,37
좀,36
서울,36
히메지,35
마스코트,34
티,34
메뉴판,33
아메리카노,32
이다,32
안,32
처음,32
산미,32
위치,31
다른,31
아주,31
추천,30
여기,30
인테리어,30
아이스,30
앞,30
사실,30
조용하다,29
이름,29
건물,28
가지,28
로스팅,28
정도,27
케이크,27
영업,27
분,27
선택,27
딸기,26
화이트,26
그냥,26
함,26
님,26
보기,26
맛집,25
듯,25
때문,25
기분,25
전,24
입,24
예쁘다,24
따뜻하다,24
휴무,24
팔로워,24
팔로잉,24
게시,24
부드럽다,24
요즘,24
인스타,24
아쉽다,23
잔,23
매일,23
매력,23
한번,23
게이샤,23
직접,23
말차갸또,23
중,23
머신,23
다시,23
산책,22
끝,22
매장,22
마음,22
쪽,22
재생,22
종류,21
더니커피,21
로스,21
이렇다,21
핸드,21
옆,21
내부,21
말,21
흑임자,20
골목,20
동네,20
뭐,20
언니,20
모습,20
유명하다,20
걸,19
일,19
연남동,19
왜,19
소개,19
알,19
달,19
판매,19
심플,19
궁금하다,19
계시다,19
어떻다,19
못,18
번,18
꽤,18
음료,18
덕,18
만,18
볼,18
원래,18
계속,18
위,18
뭔가,18
차,17
쑥갸또,17
이번,17
이유,17
준비,17
사용,16
요,16
주차,16
기억,16
눈,16
고소하다,16
제일,16
다양하다,16
인,16
조합,16
약간,16
별로,15
움,15
이쁘다,15
줄,15
브루잉,15
괜찮다,15
구경,15
레몬,15
예약,14
인스타그램,14
도,14
친절하다,14
라마르,14
접기,14
자주,14
한잔,14
가게,14
진하다,14
아담하다,14
마지막,14
포스팅,14
예전,14
자체,14
역시,14
터리,13
꼭,13
적,13
뒤,13
단골,13
꼬,13
달달,13
살짝,13
지금,13
해,13
가면,13
에스프레소,13
혼자,12
필터,12
까맣다,12
보,12
아래,12
생크림,12
너,12
어디,12
강하다,12
구,12
이제,12
행복하다,11
편하다,11
소리,11
아침,11
굉장하다,11
야하다,11
아이,11
마,11
건,11
를,11
근처,11
쑥,11
테이크아웃,11
항상,11
밖,11
온,11
다르다,11
달라,11
게,11
주소,11
힐링,11
음악,11
거리,11
편이,11
두,11
안쪽,11
맘,11
외관,11
오픈,11
의자,11
노트,11
마시기,11
먹기,10
꽃,10
톤,10
스티커,10
초코,10
날씨,10
봄,10
/,10
넓다,10
컵,10
적당하다,10
처,10
지도,10
발견,10
편안하다,10
개인,10
스피커,10
밑,10
아늑하다,10
비주,10
단맛,10
도착,10
저녁,10
특별하다,10
설명,10
감성,10
시작,10
직원,9
집중,9
마차,9
취향,9
편,9
덕분,9
감,9
작고,9
왼쪽,9
하루,9
토,9
최근,9
통,9
이야기,9
갑자기,9
작,9
발,9
여유,9
재미,9
신기하다,9
간다,9
기도,9
스페셜,9
핫,9
무섭다,9
연휴,9
햇살,9
힘들다,9
빵,9
카페인,9
입맛,9
전혀,9
손,9
플랫,9
가능하다,9
먼저,9
일단,9
단,8
밥,8
컷,8
자리다,8
파운드,8
간판,8
쇼핑,8
오후,8
난,8
둘,8
팩트,8
창가,8
네이버,8
저기,8
비,8
쇼콜라,8
사,8
선물,8
아마,8
블로그,8
은은하다,8
입구,8
기본,8
간,8
좌석,8
등,8
뉴,8
가깝다,8
늘,8
옷,8
고민,8
점심,8
파스타,8
즐겁다,8
후,8
인형,8
제공,7
전체,7
고양이,7
막,7
대화,7
가득,7
전화번호,7
살,7
안되다,7
유녕,7
얼,7
가끔,7
협소,7
나중,7
리스트,7
거의,7
반갑다,7
김밥,7
"카페,",7
에티오피아,7
포장,7
저희,7
주택가,7
무겁다,7
수요일,7
기대,7
첫,7
변하다,7
리,7
답,7
우유,7
하얗다,7
마이크로,7
점,7
대부분,7
한적하다,7
땐,7
있는,7
세,6
음,6
녀석,6
흔하다,6
전부,6
짧다,6
코,6
라인업,6
털,6
여러,6
급,6
충분하다,6
동생,6
맛있는,6
바깥,6
로,6
-,6
이상,6
임,6
운영,6
Dawny,6
문제,6
글,6
앗,6
난로,6
위해,6
가격,6
밉다,6
형,6
덥다,6
노래,6
유일하다,6
수도,6
지인,6
속,6
"연희동
연희동",6
과일,6
무엇,6
목줄,6
영상,6
최고,6
만두,6
선호,6
사랑,6
문,6
우드,6
워,6
행복,6
참고,6
순간,6
샷,6
상큼,6
멀다,6
잠시,6
혼,6
새롭다,6
작년,6
알차다,6
다행하다,6
완성,6
완전,6
질감,6
애교,6
미치다,6
계정,6
시크,6
실내,6
제대로,6
초록,6
:,6
주,6
동안,6
콜롬비아,6
몇,6
어렵다,6
사이,6
수가,6
구성,6
갱얼쥐,6
동반,6
걱정,6
잡고,6
형식,6
모두,6
과정,6
주인공,5
나들이,5
애견,5
오빠,5
금,5
그것,5
불편하다,5
달콤하다,5
용,5
일본,5
신맛,5
명절,5
스팅,5
양갱,5
재밌다,5
식감,5
월,5
팝업,5
신,5
은신,5
마들렌,5
유리,5
크기,5
스웨,5
포메라니안,5
바닥,5
뿐이다,5
카페라떼,5
희다,5
화,5
은근,5
싫어하다,5
평일,5
데,5
남편,5
게샤빌리,5
프로,5
댕댕,5
주차장,5
엘린,5
또한,5
그라인더,5
한쪽,5
두잇츄,5
자세하다,5
포도,5
커피집,5
정보,5
소식,5
가볍다,5
코스타리카,5
일요일,5
브라질,5
인정,5
주말,5
마치,5
서비스,5
높다,5
폰,5
느끼하다,5
정원,5
차분하다,5
생,5
규모,5
주변,5
바리스타,5
타임,5
고,5
세상,5
더욱,5
엄마,5
사이즈,5
검다,5
얘기,5
얘,5
가야,5
가장,5
팀,5
오,5
퀄리티,5
더니커피	안녕하다,5
엘,5
모든,5
넘치다,5
더니커피(Dawny,5
정,5
애,5
장미,5
동시,5
인석,5
좁다,5
자그마하다,5
모,5
미니,5
주신,5
똥꼬,5
주인,5
확실하다,5
오기,5
종종,5
보지,5
운동,5
나머지,5
유녕이,5
평소,5
마침,5
확인,5
공지,5
투어,5
바쁘다,5
잔잔하다,5
타이밍,5
더하다,5
계획,5
맞이,5
돈,5
진,5
거기,5
파나마,5
커피숍,4
상황,4
입안,4
피,4
로그인,4
촌,4
입장,4
엄청나다,4
치,4
얼그레이,4
풍경,4
안고,4
센스,4
리뷰,4
밤,4
성,4
무척,4
논,4
플레이,4
하얀색,4
미리,4
최애,4
마무리,4
일찍,4
바구니,4
고요,4
은,4
새,4
보이,4
이동,4
그때,4
원형,4
양산,4
몇개,4
귀하다,4
맛차,4
봉,4
산,4
라이,4
미가,4
찾기,4
애매하다,4
반,4
군더더기,4
찍기,4
취미,4
워낙,4
가능,4
특징,4
만석,4
가기,4
언제,4
약속,4
가운데,4
예술,4
어느새다,4
싱글,4
주택,4
바디,4
이드,4
귀여운,4
놀래다,4
목,4
이용,4
한편,4
인기,4
깊다,4
테이,4
여러분,4
상당하다,4
여전하다,4
혜화동,4
자두,4
꿀,4
더니커피	더니,4
빙수,4
리조또,4
간단하다,4
색감,4
맛로,4
여름,4
부지런하다,4
실제,4
연남,4
매우,4
곰돌이,4
후기,4
웨이팅,4
요거트,4
"건물
연희동",4
전화,4
이전,4
찰떡,4
|,4
비슷하다,4
졸귀,4
류,4
골목길,4
소품,4
자신,4
군데,4
소중하다,4
햇빛,4
공원,4
버전,4
신경,4
안나,4
점점,4
포인트,4
대한,4
멀리,4
모양,4
스타일,4
잘못,4
형부,4
재,4
"더니커피,",4
담,4
이크,4
잠깐,4
인상,4
불가,4
오시,4
인하다,4
코로나,4
쓴맛,4
굳다,4
그림,4
아시,4
팅,4
얌전하다,4
냄새,4
스미스,4
카메라,4
아아,4
차갑다,4
영화,4
스토어,4
오신,4
갈색,3
피곤하다,3
가득하다,3
오렌지,3
"보기
연희동",3
외국인,3
시드,3
도자기,3
석,3
방,3
허니,3
죄송하다,3
무난,3
남아,3
카페],3
쑥맛,3
힘드다,3
산타,3
진심,3
부분,3
에노,3
변경,3
해도,3
코너,3
부드러움,3
마리아,3
커피한잔,3
아웃,3
섬세하다,3
선생님,3
어쩜,3
기쁘다,3
강아지가,3
장소,3
레트로,3
고곰이와,3
게다가,3
얼른,3
각,3
소소하다,3
테,3
금방,3
픽,3
왕왕,3
각각,3
로럴,3
짐,3
테스트,3
뿐,3
안녕하다,3
혀,3
하니,3
인사,3
결정,3
서버,3
모금,3
관심,3
블루베리,3
매번,3
헤헤,3
이태원,3
한자리,3
샵,3
테카,3
추석,3
군,3
훌륭하다,3
존맛,3
그거,3
반지하,3
레이스,3
대충,3
덕함,3
주스,3
부산,3
모델,3
꺄,3
깜짝,3
한장,3
검색,3
링,3
하늘,3
coffee,3
클래식,3
예상,3
",",3
외부,3
어딘가,3
내추럴,3
부럽다,3
라면,3
(Dawny,3
당하다,3
오래되다,3
하트,3
오토,3
유리창,3
시원하다,3
토마스,3
평화롭다,3
뭘,3
야마하,3
급하다,3
막상,3
고급,3
간식,3
깜빡,3
니,3
색깔,3
비바,3
선반,3
절,3
맑다,3
공식,3
다가,3
밀크,3
선,3
서로,3
묵직하다,3
게샤,3
지나,3
적절하다,3
호기심,3
와인,3
식물,3
라자냐,3
유독,3
캬라멜,3
발랄하다,3
벽면,3
그날,3
이상하다,3
용산구,3
만끽,3
천원,3
뉘앙스,3
쥐,3
원하다,3
"예약
연희동",3
포기,3
커핑,3
노맨,3
그닥,3
추억,3
버섯,3
드,3
다발,3
마포구,3
자기,3
계열,3
스마트,3
실패,3
제외,3
초콜렛,3
반대,3
네,3
야채,3
어제,3
반려동물,3
벌써,3
미소,3
기준,3
결,3
랄,3
생기,3
마트,3
배,3
무지개,3
필름,3
전문점,3
따스하다,3
과,3
봉투,3
통창,3
슈가,3
심심하다,3
시골,3
히비스커스,3
패키지,3
꼬숩,3
말씀,3
클린,3
접,3
커피잔,3
표시,3
초콜릿,3
무,3
쭉,3
아기,3
학교,3
디자인,3
총,3
칭찬,3
헷갈리다,3
맛없다,3
거나,3
찬,3
식,3
보관,3
지하,3
불호,3
남자친구,3
빈티,3
팔로우,3
조,3
버스,3
양,3
버거,3
파우더,3
협,3
값,3
부탁드리다,3
길다,3
할인,3
유자,3
기대하다,3
자스민,3
터,3
보통,3
맞은편,3
얼마나,3
카운터,3
대신,3
안녕,3
가까이,3
야외,3
시간대,3
자극,3
크게,3
바우,3
마챠,3
아로마,3
블랙,3
가을,3
터기,3
쯤,3
홍대,3
홈,3
다이어트,3
케냐,3
가방,3
브랜드,3
알바,3
댜,3
뻔하다,3
검정,3
이사,3
먹음,2
(연희동,2
귀요미,2
쓸데없다,2
일이,2
조명,2
빼꼼,2
멋지다,2
년,2
진정하다,2
오브,2
한눈,2
비밀번호,2
오토바이,2
예능,2
제임슨,2
체크,2
옳다,2
인증샷,2
줌,2
탐방,2
겉,2
며칠,2
싫다,2
온도,2
생활,2
랩,2
보이지,2
토요일,2
뜨겁다,2
방울,2
머,2
충전,2
겨울,2
션,2
볶음,2
갠,2
통해,2
더더,2
땅,2
경우,2
기계,2
눈동자,2
거북이,2
핸드폰,2
수업,2
자고,2
우도,2
타고,2
간결하다,2
프로세싱,2
셋,2
다만,2
그땐,2
초코갸또,2
땡글,2
빠르다,2
시국,2
장님,2
플루,2
주심,2
소,2
마샬,2
버릇,2
식전,2
무슨,2
얼음,2
자매,2
씁쓸하다,2
새침하다,2
정갈하다,2
아베,2
야들야들,2
그다지,2
호,2
신나다,2
아트,2
사랑스럽다,2
돈내,2
스럽다,2
추구,2
반려견,2
자켓,2
유지,2
위협,2
생면,2
배꼽,2
이나,2
"건물
연희동카페",2
귀욤,2
심지어,2
[연희동/더니커피(dawnycoffee)]	더니,2
현상,2
페인,2
쥬,2
온두라스,2
오향,2
구수하다,2
활발하다,2
얼굴,2
딱이다,2
로망,2
기온,2
낮,2
목도리,2
열정,2
커다랗다,2
쓰기,2
만족,2
설비,2
스테이션,2
주시,2
리나,2
얼마,2
제품,2
coffee)	연희동,2
시중,2
콕,2
아이팟,2
목련,2
한지,2
과테말라,2
독특하다,2
능력,2
밀고,2
시킴,2
댕,2
골,2
위잉,2
웨이,2
블,2
마련,2
완벽하다,2
일산,2
가향,2
중이,2
의,2
허전하다,2
디카,2
이기,2
필요,2
똥,2
시기,2
티퀘,2
보디,2
화하다,2
비치,2
배치,2
럭키,2
시선,2
따라서,2
조그맣다,2
오븐,2
빨르다,2
시나몬,2
케익,2
산소,2
정이,2
스트레스,2
창밖,2
마챠갸또,2
염증,2
테라스,2
자연,2
에콰도르,2
센터,2
만족하다,2
찌,2
숟가락,2
지점,2
연속,2
부담,2
후암동,2
던데,2
파,2
앙증맞다,2
일반,2
화요일,2
시몬,2
질,2
기록,2
으르렁,2
뒷모습,2
조화,2
구석,2
귀신,2
오구,2
"마세,",2
오리진,2
노곤,2
마심,2
간만,2
피드,2
가은,2
전문,2
목적지,2
소한,2
누굴,2
dawny,2
아쉬움,2
파랗다,2
봉봉,2
곱다,2
폴앤폴,2
제조,2
밸런스,2
장난감,2
단단하다,2
파인애플,2
궁합,2
한정,2
조예,2
계절,2
특성,2
애기야,2
