word,count
파이,287
있다,170
더,120
카페,80
좋다,78
층,65
같다,59
디저트,58
맛있다,57
연남동,55
많다,53
수,49
맛,45
라떼,44
것,41
사진,39
곳,37
메뉴,36
공간,35
크림,35
케이크,34
방문,32
맛집,31
홍대,28
없다,27
종류,27
치즈,25
주문,25
사람,24
정말,24
연희동,23
이다,23
핫,22
테라스,22
야외,21
길,21
마포구,21
날,20
스프,20
지하,20
때,20
우리,20
예쁘다,19
타르트,19
진짜,19
친구,19
생각,19
음료,18
분위기,18
로,18
이,18
내,18
버터,17
시간,17
아니다,17
번,17
서울특별시,17
매장,16
커피,15
성미산,15
저,15
및,15
화장실,15
또,15
가격,15
테이블,14
스트로베리,14
비주,14
여기,14
자리,14
류,14
등,14
말차,14
아래,14
위,14
서울,14
출구,14
이드,14
좀,13
이용,13
연남,13
오늘,13
포토,13
앞,13
나,13
다시,13
가장,12
편,12
바,12
다른,12
시작,12
안,12
그,12
초콜릿,12
투어,12
점,12
다양하다,11
구매,11
정도,11
구경,11
얼,11
홀,11
재료,11
집,11
오렌지,10
당시,10
조금,10
쪽,10
식사,10
거,10
명,10
홍대입구역,10
생일,10
제,10
처,10
마음,10
추천,10
인,10
입구,10
꼭,10
이번,10
개조,10
고민,10
도보,10
건물,9
아쉽다,9
상큼,9
좋아하다,9
후기,9
새롭다,9
내부,9
진열,9
케익,9
개,9
이쁘다,9
대형,9
주택,9
느끼하다,9
포장,9
피넛,9
바로,9
존,9
참고,9
도,9
티,9
신상,9
하나,9
아주,9
라스트,9
브런치,8
제과,8
보,8
콜라보,8
치즈케이크,8
좌석,8
저녁,8
완전,8
오후,8
이렇다,8
동영상,8
삼각지역,8
돈,8
브륄레,8
게,8
전,8
중,8
오픈,8
쉬,8
바나나,8
메뉴판,8
걸,7
석,7
림프,7
초코,7
그냥,7
야하다,7
힘들다,7
안쪽,7
산,7
평일,7
매력,7
주차장,7
비,7
루꼴,7
가게,7
이야기,7
예약,7
선택,7
냉면,7
아메리카노,7
비건,7
앤,7
넓다,7
소개,7
먼저,7
보고,7
사실,7
덕,7
과일,7
먹음,6
프랑스,6
비싸다,6
나무,6
빵,6
준비,6
말,6
실내,6
총,6
제대로,6
포크,6
근처,6
특이하다,6
키슈,6
때문,6
주말,6
줄,6
지구,6
다음,6
음식,6
폴드,6
카라멜,6
처음,6
그렇다,6
디네,6
맘,6
중간,6
알,6
듯,6
영업,6
소스,6
운,6
판매,6
요즘,6
어떻다,6
보기,6
망,6
샐러드,6
볼,5
여러분,5
계단,5
취향,5
어쩜,5
날씨,5
화이트,5
브라우니,5
거리,5
피칸,5
간,5
번트,5
베이컨,5
듬뿍,5
벚꽃,5
녹차,5
쨘,5
소품,5
콜라,5
입맛,5
헤이즐넛,5
외관,5
꽤,5
바삭,5
함,5
가좌역,5
가능하다,5
자,5
최고,5
행복하다,5
먹기,5
이색,5
문,5
카드,5
대가,5
살짝,5
달콤하다,5
크리미,5
감자,5
이름,5
대용,5
향,5
널,5
보이,5
제품,5
바늘,5
이상,5
안국,5
리지,5
카,5
한번,5
요리,5
달달,5
포스터,5
데이트,5
유명하다,5
일,4
가득하다,4
샤브,4
느낌,4
요,4
연희,4
보시,4
상태,4
바닐라,4
두번째,4
레이,4
기도,4
오,4
쫀득,4
뿐,4
제로,4
라즈베리,4
그늘,4
카페라떼,4
츄,4
스팟,4
가지,4
디자인,4
물,4
힙,4
회,4
거의,4
계란,4
덥다,4
위치,4
금요일,4
따뜻하다,4
필요하다,4
대박,4
모두,4
만,4
귀엽다,4
약간,4
옆,4
솔직하다,4
분,4
마치,4
모습,4
와인,4
교점,4
팔로워,4
팔로잉,4
벽면,4
편하다,4
게시,4
가야,4
나쁘다,4
음악,4
식감,4
여자,4
호,4
동생,4
스럽다,4
직,4
모든,4
독특하다,4
애플,4
르콘토엘,4
소개팅,4
•,4
아이스,4
부드럽다,4
양,4
설명,4
콘,4
사이,4
만족스럽다,4
카운터,4
찍,4
달,4
겸,4
강추,4
다크,4
팝콘,4
손님,4
기분,4
님,4
단,3
서비스,3
멋지다,3
제공,3
찬쌈,3
아이스케이크,3
골목,3
밥,3
피,3
트,3
제일,3
언니,3
잠봉,3
더비,3
저희,3
샌드위치,3
원하다,3
전반,3
베이스,3
공영,3
세트,3
창문,3
항정살,3
초콜렛,3
짱,3
실제,3
미라보,3
무스,3
적,3
자몽,3
안녕하다,3
굉장하다,3
편이,3
좁다,3
역시,3
을지로,3
샵,3
가깝다,3
뭐,3
핫플,3
위로,3
블로썸,3
우유,3
계산,3
단독주택,3
토,3
사과,3
파티,3
대표,3
샤브샤브,3
과자,3
휴무,3
팅,3
소식,3
사타,3
조용하다,3
혼자,3
가을,3
얀,3
대중교통,3
눈,3
속,3
고소하다,3
에스프레소,3
싹,3
거기,3
파이인더샵,3
다르다,3
티라미수,3
기간,3
계속,3
식물,3
깊다,3
그날,3
토요일,3
딸기,3
용산구,3
개인,3
경우,3
르콘토,3
비빔냉면,3
추하다,3
크리스,3
얼그레이,3
주택가,3
직접,3
바노피,3
김치,3
강,3
기본,3
괜찮다,3
커리,3
전화번호,3
아이,3
만족,3
잼,3
어디,3
건,3
안되다,3
뒤,3
마련,3
조합,3
쁘띠,3
페이스트리,3
뭔가,3
일반,3
평소,3
감성,3
깔끔하다,3
도전,3
얼마나,3
고기,3
주차,3
가능,3
이제,3
수제,3
그림,3
초,3
서대문구,3
이유,3
수도,3
파롤,3
맨,3
랑그,3
시원하다,3
나름,3
일단,3
라임,3
대체,3
가도,3
지도,3
펩시,3
어스,2
밀크,2
높다,2
환경,2
이후,2
원래,2
특유,2
앞서,2
투움바,2
사용,2
런가,2
숲,2
흑임자,2
