word,count
있다,176
커피,168
카페,127
식물,116
연희동,97
와플,72
좋다,68
것,55
곳,52
같다,51
수,47
디저트,42
연희,35
많다,34
주문,32
화분,27
맛,27
이다,27
아이스크림,26
층,24
느낌,23
공간,22
입구,22
아메리카노,21
없다,21
맛있다,21
길,20
우유,20
서대문구,19
아니다,18
갑,17
진짜,17
분위기,16
더,16
방문,16
예쁘다,16
에스프레소,16
사진,16
직접,16
힐링,15
바로,15
이,15
초록,15
메뉴,15
서울특별시,15
제,15
날,14
저,14
정말,14
치즈,14
사람,14
가능하다,14
한살림,14
사장,14
매장,13
기분,13
좋아하다,13
브라운,13
빨대,13
요,12
거,12
주차,12
게,12
그렇다,12
맛집,12
마음,12
체험,11
위,11
내부,11
따뜻하다,11
가게,11
가득하다,11
견과류,11
오늘,11
시간,11
구경,11
위해,11
다양하다,10
두,10
테라스,10
비,10
하나,10
판매,10
작다,10
한번,10
사실,10
내,10
데이트,10
향,9
햇살,9
인테리어,9
자리,9
생각,9
이쁘다,9
재활용,9
안,9
꼭,9
집,9
여기,9
실내,9
해,9
카운터,9
모두,9
옆,9
라떼,8
공기,8
오전,8
등,8
함,8
나,8
조용하다,8
주말,8
정원,8
도,8
반려,8
빵,8
운영,8
때,8
앞,8
어떻다,8
일단,8
눈,8
분,8
저희,7
바닐라,7
기도,7
잔,7
또,7
배출,7
번,7
이렇다,7
좀,7
경우,7
그,7
수거,7
만들기,7
맘,7
가지,7
서울,7
보고,7
깔끔하다,7
개,7
달달,7
메뉴판,7
고소하다,7
우리,7
아주,7
볼,6
다음,6
입장,6
굉장하다,6
과,6
중,6
시,6
말씀,6
위치,6
야외,6
다른,6
조명,6
멋지다,6
일,6
반죽,6
여러분,6
정도,6
간판,6
그냥,6
뒤,6
제대로,6
유명하다,6
이드,6
걸,5
여유,5
장소,5
상큼,5
식물원,5
실제,5
포스팅,5
후기,5
거리,5
키,5
작성,5
말,5
근처,5
종이,5
주차장,5
그림,5
문의,5
분리,5
시원하다,5
한잔,5
멘보샤,5
시작,5
제공,5
오스,5
예약,5
지금,5
계시다,5
처음,5
곳곳,5
여러,5
아깝다,5
가득,5
엽서,5
아이,5
오후,5
거나,5
싱그럽다,5
외,5
아이스,5
어렵다,5
요즘,5
인스타,5
자원,5
밖,5
커피팜,5
과일,5
지구,4
이용,4
아래,4
타임,4
주소,4
및,4
참고,4
벽,4
장,4
테이블,4
해도,4
중후,4
장님,4
나무,4
부부,4
듬뿍,4
스텐,4
카페인,4
를,4
가끔,4
명,4
무엇,4
코스,4
동영상,4
덩이,4
영업,4
애정,4
운,4
휴무,4
대박,4
정화,4
종이팩,4
환경,4
실,4
음,4
선택,4
편안하다,4
분갈이,4
존,4
추천,4
포토,4
등등,4
게다가,4
리뷰,4
리에주,4
편,4
잠시,4
바깥,4
택배,4
지원,4
저녁,4
완전,4
목란,4
넓다,4
늘,4
네이버,4
크림,4
액자,4
달,4
손님,4
줄,4
수다,4
라스트,4
전용,4
온실,3
업체,3
북적,3
전체,3
빵집,3
꽃,3
편하다,3
살짝,3
주변,3
보시,3
세상,3
바리스타,3
더욱,3
원하다,3
차,3
아쉽다,3
날씨,3
자기,3
음악,3
핫,3
괜찮다,3
조금,3
힘들다,3
자체,3
널,3
안쪽,3
뭐,3
프로그램,3
꽤,3
물,3
하루,3
바질,3
드릴,3
의미,3
먼저,3
찍기,3
전문,3
조합원,3
가능,3
노트북,3
구성,3
가기,3
음료,3
쉬,3
이유,3
쌍,3
오래되다,3
자주,3
수도,3
추가,3
적당하다,3
실천,3
이야기,3
온,3
최고,3
행복하다,3
종류,3
사랑,3
건물,3
문,3
발견,3
아몬드,3
신선하다,3
달콤하다,3
궁금하다,3
너,3
동네,3
