word,count
빵,1234
있다,797
빵쌤,674
연희,575
연희동,539
점,481
좋다,407
카페,322
베이커리,301
맛있다,283
빵집,237
많다,214
종류,199
고구마,196
것,182
감자,176
케이크,174
수,167
같다,163
소금,162
맛,161
다양하다,153
파이,152
커피,147
밤,144
진짜,131
메뉴,119
없다,116
곳,114
음료,111
저,110
샌드위치,99
정말,97
서대문구,97
안,93
좋아하다,89
초코,85
치즈,80
거,80
층,80
시간,77
아메리카노,77
매장,77
이다,75
서울특별시,73
바로,71
더,71
가격,71
하나,71
주문,69
크림,69
샐러드,69
아니다,69
타르트,67
제,66
넓다,66
식빵,65
여기,64
선물,63
포장,61
추천,60
자리,59
셀프,59
느낌,58
공간,57
딸기,56
버터,56
이,56
때,55
등,54
생각,54
안쪽,53
달달,53
세트,52
고소하다,52
그렇다,52
먹기,50
판매,50
내부,49
바,49
나,49
방문,48
재생,47
매일,46
따뜻하다,46
사진,45
맛집,45
요즘,45
디저트,43
잼,43
아주,43
테이블,42
요,42
사용,41
사람,41
부드럽다,41
예쁘다,41
컵,41
내,41
전자레인지,40
가득,40
꽤,40
바게트,39
분위기,39
스콘,39
그,39
꼭,39
준비,38
인기,38
용,38
쿠키,38
개,37
눈,37
이렇다,37
바질,37
유명하다,37
생크림,36
중,36
도,36
또,36
유기농,36
먹물,35
라떼,35
이용,34
위,34
마늘,34
친구,34
분,34
티,33
전,32
인테리어,32
입,32
디카,32
포크,32
건강하다,32
카스테라,32
볼,32
페인,32
그냥,32
좌석,32
식사,32
크로와상,32
영업,32
베이글,32
집,31
마들렌,31
순이,31
위치,31
나이프,30
비주,30
서울,30
처음,30
접시,30
류,30
좀,29
날,29
해,29
얼,29
듯,29
과일,29
다음,29
겉,29
주차장,29
깔끔하다,28
비,28
다른,28
뭐,27
토마토,27
구매,26
밤빵,26
때문,26
달콤하다,26
직접,26
접기,26
롤,26
가능하다,25
가성,25
옆,25
줄,25
이름,25
오늘,25
차,24
홀,24
역시,24
보고,24
소세지,24
블루베리,24
오픈,24
자주,24
선택,23
취향,23
재료,23
마카롱,23
밀,23
참고,23
입구,23
정도,23
완전,23
한번,23
행복하다,22
새롭다,22
사실,22
보기,22
주차,22
일,21
가장,21
괜찮다,21
파운드,21
쪽,21
진열,21
케익,21
근처,21
촉촉하다,21
속,21
편하다,21
미니,21
고민,21
만쥬,21
원두,20
조명,20
향,20
담백하다,20
보,20
못,20
곡물,20
설탕,20
아이스,20
한쪽,20
모카,20
귀엽다,20
작물,19
볼케이노,19
이번,19
구경,19
메뉴판,19
발효종,19
처,19
이드,19
구황,19
인,19
조금,19
아침,19
크기,19
바삭,19
혼자,18
은,18
살,18
물,18
간단하다,18
등등,18
굉장하다,18
번,18
가능,18
만,18
약간,18
가득하다,17
빵샘,17
게,17
소화,17
연희점,17
먼저,17
손님,17
밖,17
먹음,17
츄러스,17
호두,17
밥,17
및,17
편,17
명,17
달,17
가게,17
진하다,17
우리,17
공주,16
신선하다,16
착하다,16
입맛,16
가면,16
천연,16
저렴하다,16
살짝,16
건강,16
가지,16
함,16
소개,16
알,16
소시지,16
브런치,15
건물,15
아쉽다,15
포스팅,15
모든,15
러스크,15
모양,15
이제,15
어떻다,15
마음,15
얼그레이,15
동네,15
발효,15
데,15
신상,15
노트북,15
적당하다,15
스무디,15
조각,15
기분,15
최고,14
무엇,14
편안하다,14
길,14
사이즈,14
기본,14
움,14
제품,14
외,14
동영상,14
팥,14
잡곡,14
크리스마스,14
전자렌지,14
직,14
저녁,14
오후,14
무,14
공식,13
제일,13
에그타르트,13
별로,13
저희,13
재미,13
핫,13
모임,13
가깝다,13
말,13
군,13
점심,13
대표,13
유자,13
앞,13
조용하다,13
모두,13
솔직하다,13
걸,13
골목,13
개인,13
체리,13
쫀득,13
잔,13
당일,13
계정,13
거의,13
무조건,13
쇼콜라,13
구비,13
오렌지,12
여름,12
야채,12
치즈케이크,12
대용,12
배,12
편이,12
월요일,12
양,12
몇,12
보통,12
통,12
이쁘다,12
일단,12
다시,12
직원,12
사랑,12
리뷰,12
브라우니,12
후기,12
크런치,12
딱이다,12
로,12
중간,12
스타일,12
덥다,12
휴무,12
강추,12
주말,12
공부,12
산미,12
카공,11
콘센트,11
자체,11
손,11
사이,11
의자,11
작업,11
베스트,11
지금,11
밀가루,11
쫄깃,11
스럽다,11
페퍼,11
왜,11
초콜릿,11
위해,11
끼,11
데이트,11
간식,11
올리브영,10
제공,10
원래,10
프리미엄,10
라이스,10
바닐라,10
변경,10
날씨,10
다이소,10
보이,10
우유,10
롤케이크,10
고로케,10
대신,10
추가,10
모습,10
밀크,10
여유,10
교차로,10
계속,10
여러분,10
부분,10
얘,10
작다,10
여러,10
식감,10
감,10
조합,10
종종,10
뭔가,10
지점,10
이야기,10
박스,9
상태,9
비싸다,9
상큼,9
병,9
힘들다,9
듬뿍,9
얼마,9
버스,9
도너츠,9
어렵다,9
아시,9
시트,9
홍대,9
돈,9
계절,9
곳도,9
견과류,9
가슴,9
팥빵,9
진심,9
궁금하다,9
피자,9
봄,9
햄,9
아이,9
일찍,9
따끈따끈하다,9
앙금,9
마련,9
쭉,9
답,9
외관,9
필링,9
바스크,9
정보,9
가기,9
냉장,9
양상추,9
한잔,9
뭘,9
짭짤하다,9
시작,9
어르신,9
캐모마일,8
음식,8
위생,8
막,8
가족,8
적,8
마포,8
슈크림,8
이상,8
카페인,8
갈라,8
몽블랑,8
콥,8
매력,8
각종,8
비닐,8
담,8
시식,8
할인,8
비쥬,8
아메,8
널찍하다,8
큼직하다,8
필요하다,8
아아,8
지인,8
컷팅,8
갓,8
복도,8
장갑,8
