word,count
있다,580
카페,529
미미,446
토,431
연희동,310
좋다,262
층,238
애견,217
강아지,162
같다,148
수,147
동반,127
펫,121
공간,119
연희,108
테라스,108
것,107
케이크,100
서대문구,96
곳,96
가능하다,94
귀엽다,84
반려동물,83
디저트,80
사진,80
없다,79
시간,72
맛,68
주차,67
판매,63
이,61
날,60
서울특별시,58
메뉴,57
저,56
이다,53
방문,53
많다,51
예쁘다,51
주문,50
우리,49
친구,49
커피,48
때,48
조명,47
거,47
정말,47
그렇다,46
강동우,45
더,45
짜장,45
안,44
아니다,44
맛있다,44
음료,43
컵케이크,42
기저귀,41
해,41
가능,40
간식,40
느낌,39
반려견,39
사람,39
작품,37
아이,37
분,37
분위기,36
전시,36
집,36
바로,35
서울,35
오늘,34
포토,34
위,33
댕댕,33
하나,33
존,33
전,33
내부,33
제,32
오일,32
생각,32
번,31
실내,30
야외,30
요,29
허니,29
좋아하다,29
깔끔하다,29
제공,28
용,28
전시회,28
아메리카노,28
라떼,27
저희,27
테이블,27
매일,27
앞,27
비주,27
여기,27
자리,27
나,26
이용,26
얼,26
탑,25
오픈,25
내,25
준비,25
맛집,25
영업,25
날씨,24
또,24
작가,24
재생,24
루프,24
치즈,24
덥다,24
눈,24
아쉽다,23
듯,23
좀,23
꼭,23
참고,22
조금,22
달달,22
잔디,22
정도,22
치즈케이크,22
말,22
다른,22
그,21
요즘,21
토스트,21
데리,20
진짜,20
추천,20
넓다,20
양제,20
클릭비,20
중,20
갤러리,20
한번,20
알,20
시원하다,20
마음,20
다양하다,19
차,19
미미에토,19
개인,19
직접,19
무료,19
유일하다,19
다음,18
노민혁,18
동물,18
미역국,18
줄,18
입장,18
편하다,18
뒤태,18
품질,18
비,18
이쁘다,18
짜장면,17
매장,17
보고,17
기분,17
처음,17
입구,17
유명,17
를,17
때문,17
스무디,17
메뉴판,16
한적하다,16
시전,16
토핑,16
소품,16
아이스,16
가격,16
문화,16
주소,15
최초,15
화장실,15
화이트,15
운영,15
희다,15
구경,15
모양,15
즐겁다,15
아가,15
자주,15
손님,15
우리나라,15
궁금하다,15
작다,15
새롭다,15
인테리어,15
쪽,15
위치,15
사장,15
혼자,14
행복하다,14
게,14
계단,14
엄마,14
너,14
그냥,14
저녁,14
등,14
뭐,14
물,14
개,14
어떻다,14
다시,14
국내,14
예약,14
카야,14
토의,14
신기하다,14
푸딩,14
괜찮다,14
못,14
가지,14
부드럽다,14
접기,14
온,14
구매,13
완전,13
착용,13
댕,13
소개,13
연예인,13
토리,13
보기,13
꿀,13
신나다,13
형태,13
외관,13
이렇다,13
코코,13
테리,13
누나,13
만,13
건물,12
길,12
및,12
용품,12
하니,12
특이하다,12
먼저,12
감상,12
크림,12
점,12
수제,12
모두,12
힐링,12
솜,12
가깝다,12
미용,12
설명,12
주말,12
밖,12
걸,11
커비,11
옥상,11
도,11
아깝다,11
관람,11
매력,11
사실,11
이제,11
옆,11
아주,11
무엇,11
계시다,11
애견동반,11
연남동,11
애,11
살,11
의,11
외부,11
후,11
이벤트,11
모습,11
욤,10
인조잔디,10
표현,10
빵,10
카운터,10
아기자기하다,10
유치원,10
분리,10
영상,10
볼,10
포장,10
원래,10
빛,10
계속,10
수영장,10
디테일,10
톤,10
여러,10
배변,10
산책,10
마,10
위해,10
필수,10
우디,10
의자,10
대박,10
뇨끼,10
약간,10
깨끗하다,10
이드,10
선물,10
브런치,9
사용,9
음식,9
초코,9
소,9
바람,9
도착,9
반려,9
마련,9
맘,9
중간,9
대한,9
배달,9
함,9
스튜디오,9
사이,9
맥주,9
가기,9
상세,9
방,9
경우,9
요기,9
포스팅,9
닭,9
어디,9
설치,9
디자인,9
주,9
입장료,9
네이버,9
필요하다,9
가게,9
단체,9
로고,8
멍,8
가슴,8
스트로베리,8
랍니,8
센스,8
자몽,8
굉장하다,8
초콜릿,8
펫티즈,8
특별하다,8
초록,8
명,8
운동장,8
코로나,8
겹,8
종류,8
사랑,8
보,8
전체,8
별로,8
인스타그램,8
컨텐츠,8
컷,8
가장,8
리뷰,8
핫,8
핑크,8
마리,8
간,8
제품,8
건,8
데,8
출몰,8
가방,8
문,7
로또,7
통해,7
호텔,7
애완견,7
코너,7
애기,7
거리,7
오뚝이,7
덕분,7
화분,7
낮,7
관심,7
두,7
역시,7
식사,7
도움,7
산,7
꽤,7
평일,7
개조,7
하루,7
근처,7
가끔,7
건강하다,7
생일,7
몇,7
저렴하다,7
가을,7
일단,7
인스타,7
구비,7
거기,7
일,7
완두콩,7
타임,7
세상,7
형광등,7
놀,7
커리,7
편이,7
로,7
일상,7
임,7
레몬에이드,7
나중,7
검색,7
따뜻하다,7
냄새,7
데이트,7
조용하다,7
적당하다,7
평화롭다,7
쇼콜라,7
속,7
님,7
직원,6
멋지다,6
먹기,6
석,6
건강,6
안고,6
장소,6
곳곳,6
전구,6
햄,6
후기,6
잔,6
노,6
류,6
카페라떼,6
루키,6
중이,6
진열,6
가면,6
창가,6
강쥐,6
판,6
잠깐,6
동영상,6
진행,6
대표,6
남,6
감성,6
오시,6
홍대,6
빈,6
내용,6
브랜드,6
유명하다,6
전용,6
목줄,6
나들이,6
뷰,6
달라,6
멍뭉이,6
흑임자,6
문구,6
오른쪽,6
제일,6
살짝,6
고,6
전이,6
타고,6
가야,6
간단하다,6
상큼,6
전시관,6
구,6
매우,6
티,6
무섭다,6
홀,6
향,6
얼마,6
촬영,6
바닥,6
독특하다,6
안쪽,6
존맛,6
고민,6
정서,6
거의,6
컵,6
걱정,6
인형,6
면,6
진하다,6
리트리버,6
일이,5
빼빼로,5
곳도,5
출입,5
블로그,5
가능한,5
막,5
한강,5
재미,5
장,5
태,5
헬,5
오전,5
편,5
잠시,5
다리,5
안녕하다,5
인사,5
야하다,5
가득,5
상품,5
민혁,5
좌석,5
졸귀,5
구리,5
폭,5
카페인,5
뒤,5
안되다,5
왜,5
좋은,5
끝,5
우유,5
대마,5
하얗다,5
왼쪽,5
트러플,5
장마,5
신촌,5
주스,5
마치,5
앙증맞다,5
소고기,5
의미,5
와인,5
밥,5
실외,5
찍,5
젤리,5
애견카페,5
여사,5
아아,5
지인,5
의료,5
장식,5
이름,5
클릭,5
기도,5
동네,5
여자,5
기본,5
모든,5
벨트,5
과,5
자체,5
|,5
품,5
안전,5
복,5
그릇,5
식당,5
총,5
박경,5
파스타,5
굿,5
밉다,5
찍기,5
주차장,5
자세하다,5
안내,5
풀,5
그림,5
좌측,5
무조건,5
오일도,5
추가,5
토핑형태,5
패드,5
돈,5
여행,4
레오,4
여유,4
관계,4
커피숍,4
복합,4
표정,4
기능,4
선택,4
크래커,4
북중,4
규모,4
신기,4
고양이,4
언니,4
뇌전증,4
디테,4
벽,4
종합,4
상태,4
물건,4
스티커,4
함께,4
착하다,4
커피한잔,4
인공,4
대형견,4
세트,4
마킹,4
마지막,4
가족,4
안정,4
봄,4
꼬리,4
무척,4
퀄리티,4
요거트,4
뿐,4
감,4
유리,4
젤라또,4
우측,4
슬프다,4
대비,4
소세지,4
호강,4
쇼핑몰,4
다행하다,4
구입,4
출신,4
완벽하다,4
미치다,4
답,4
친절하다,4
제대로,4
멤버,4
모형,4
말티,4
손,4
주인,4
멀리,4
관리,4
확실하다,4
물품,4
장군,4
포크,4
마스크,4
자연,4
코스,4
일반,4
길다,4
동안,4
레몬,4
방이,4
호찌,4
수가,4
보통,4
바쁘다,4
최고,4
다가,4
가까이,4
높다,4
차고,4
오렌지,4
