word,count
있다,91
카페,75
좋다,72
롯,71
맛있다,48
같다,38
프렌치토스트,37
홍제천,35
곳,33
것,32
시간,29
연희동,29
사진,28
서대문구,28
메뉴,28
느낌,27
이,25
커피,25
공간,25
그렇다,24
주문,22
맛,21
많다,21
서울특별시,21
더,20
및,20
명,20
때,20
내,20
홍제,19
동영상,19
나,19
감성,18
분위기,17
아니다,17
라떼,17
수,17
없다,17
자리,16
하나,16
사람,15
방문,15
휴무,15
파니니,15
앞,15
개,15
바로,14
진짜,14
매실,14
테이블,14
정말,14
초록,14
물,14
책,13
예쁘다,13
음료,13
빙수,13
여기,12
거,12
따뜻하다,12
빵,12
날,12
말차,11
작다,11
여름,11
조금,11
요거트,11
근처,11
팔로워,10
이다,10
정도,10
월,10
집,10
이렇다,10
저,10
위치,10
손님,10
우리,10
팥빙수,10
일본,10
안,10
게시,10
토스트,10
팥,10
귀엽다,10
보기,10
팔로잉,9
영업,9
기분,9
님,9
과일,9
보고,9
오레,8
조합,8
오픈,8
듯,8
사장,8
프렌치,8
볼,8
또,8
롯지190,8
내부,8
안쪽,8
함,8
레몬,8
서울,8
달달,8
유명하다,8
바게트,7
밤,7
봄,7
좋아하다,7
|,7
토마토,7
생각,7
꽤,7
아이스,7
코디,7
지리산,7
정리,7
디저트,7
엄마,7
타고,7
풍경,7
소,7
전,7
친구,7
가득,7
역시,7
창가,7
분,7
온,7
딸기,6
저희,6
바닐라,6
궁금하다,6
편,6
벚꽃,6
움,6
매일,6
맛집,6
화,6
가격,6
미나,6
마음,6
좀,6
가득하다,6
먹기,6
생,6
주소,6
참고,6
추천,6
직접,6
달,6
판매,6
조용하다,6
옆,6
다르다,5
문,5
프토,5
겨울,5
샌드위치,5
아메리카노,5
티,5
넓다,5
왜,5
맘,5
빈티,5
화요일,5
촉촉하다,5
블라우스,5
운,5
소스,5
기억,5
이유,5
약간,5
아주,5
나들이,5
일,5
겉,5
살짝,5
카라멜,5
그,5
도,5
위,5
첫,5
랄,5
간판,5
두,5
난,5
쿠키,5
난로,5
가끔,5
토,5
자주,5
이쁘다,5
메뉴판,5
요즘,5
인스타,5
속,5
밖,5
모습,5
후드,4
우드,4
꽃,4
금,4
길,4
지금,4
콘센트,4
날씨,4
나무,4
배,4
신수정,4
오늘,4
산책,4
이번,4
입,4
의,4
평일,4
버스,4
일반,4
물씬,4
마침,4
그림,4
인기,4
계속,4
가게,4
면,4
보,4
편안하다,4
은은하다,4
사시미,4
자수,4
꼭,4
주방,4
푸딩,4
거리,4
소리,4
감자전,4
국물,4
향,4
저녁,4
뭐,4
중간,4
매장,4
우유,4
창밖,4
바질,4
깔끔하다,4
크림,4
금요일,4
만석,4
서울시,4
여유,3
타도,3
통밀,3
자전거,3
확장,3
차,3
상큼,3
힐링,3
마지막,3
여자,3
접시,3
포스팅,3
