word,count
있다,106
좋다,53
카페,50
나,45
내,41
날,37
수,34
것,33
같다,33
일상,32
맛있다,32
연희동,32
귀엽다,32
없다,29
층,29
때,28
당신,27
연희,27
이,27
많다,27
뚱중해,26
라떼,25
커피,23
사람,23
거,23
집,22
애견,21
이다,21
아니다,21
딸기,20
좋아하다,20
더,20
공간,20
강아지,20
저,20
방문,19
이제,19
진짜,19
아토,18
또,17
자리,17
생각,17
상,17
맛,17
사진,17
중,17
우리,17
하나,16
곳,16
개,16
메뉴,14
요즘,14
그,14
시간,14
재생,14
동생,13
서울특별시,13
타르트,13
스플릿,13
안,13
그렇다,13
사장,13
빵,12
말,12
책,12
너,12
해,12
컨드,11
언니,11
이름,11
조금,11
등,11
한번,11
그루밍,11
길,11
고양이,11
얘기,11
조카,11
주문,11
걸,10
여행,10
한강,10
위,10
맛집,10
다음,10
여기,10
다른,10
행복하다,9
처음,9
저녁,9
맘,9
예쁘다,9
덥다,9
마음,9
좀,9
제일,9
작다,9
새,9
넓다,9
왜,9
생일,9
이영,9
완,9
아주,9
밥,8
오빠,8
망고,8
가장,8
역시,8
재,8
가능하다,8
보고,8
정말,8
기분,8
디저트,8
여름,8
꽤,8
명,8
때문,8
가게,8
요,7
취향,7
그냥,7
소금,7
리,7
고민,7
알,7
자주,7
선물,7
바로,7
게,7
행복,7
인생,7
무섭다,7
이번,7
입,7
뭐,7
이렇다,7
옆,7
사랑,6
다양하다,6
차,6
성수,6
손,6
버스,6
요새,6
어렵다,6
씨,6
주차,6
음료,6
서대문구,6
곡,6
일,6
먹기,6
구매,6
도,6
꼭,6
남친,6
친구,6
전,6
병원,6
은,6
제품,6
못,6
가지,6
미용,6
거의,6
확인,6
항상,6
만,6
예약,5
종류,5
저희,5
키친,5
힐링,5
봄,5
첫,5
앨범,5
마무리,5
얼굴,5
코난,5
자연도,5
이모,5
완전,5
준비,5
회사,5
무,5
세계,5
끝,5
시험,5
책방,5
박,5
아이스,5
파스타,5
드론,5
먼저,5
듯,5
가득하다,5
구성,5
기억,5
약속,5
조용하다,5
제,5
아보카도,5
일단,5
찬희,5
보기,5
눈,5
준,5
사,5
로덴,5
문,5
발견,5
박람회,5
컷,5
추천,5
아쉽다,5
야채,5
간,5
산책,5
살,5
매일,5
토마토,5
근처,5
웃음,5
컵,5
점,5
티켓팅,5
뭘,5
허머스,5
손님,5
다시,5
주말,5
열,4
혼자,4
그녀,4
원래,4
이용,4
실,4
편하다,4
분위기,4
살짝,4
및,4
짤,4
샌드위치,4
비싸다,4
가야,4
아메리카노,4
테,4
급,4
짐,4
몬,4
아빠,4
예전,4
노,4
서비스,4
오늘,4
머리,4
힘들다,4
쪽,4
소설,4
식이,4
좌석,4
두,4
의,4
매장,4
번,4
옷,4
양,4
지난번,4
가격,4
인간,4
사용,4
앞,4
호찌,4
위치,4
카레,4
노래,4
플랭크,4
포도,4
팅,4
가기,4
그것,4
식빵,4
유치원,4
시작,4
갑자기,4
분,4
속,4
로덴드론,4
일본,4
간단하다,4
주의,4
만난,4
새롭다,4
향,4
안되다,4
페잇퍼,4
비밀,4
구경,4
글,4
물,4
찾기,4
주스,4
함,4
마스코트,4
동영상,4
따뜻하다,4
달,4
시원하다,4
홍대,4
줄,4
거기,4
직원,3
발,3
회원,3
갈릭,3
