word,count
있다,474
피스,436
앤,427
해피,408
커피클럽,394
카페,384
연희동,270
좋다,253
사진,222
연희,198
맛,188
소르베,186
맛있다,180
디저트,180
같다,160
것,143
귀엽다,143
수,141
커피,140
서대문구,139
층,133
명,130
없다,126
아이스크림,119
메뉴,116
및,114
서울특별시,114
동영상,113
공간,113
예쁘다,107
자리,106
방문,104
더,103
케이크,103
곳,102
시간,99
개,97
주문,96
많다,95
느낌,93
망고,91
판나코타,91
라즈베리,91
딸기,90
테이블,87
푸딩,86
소,80
레몬,79
아니다,78
나,75
생각,74
사람,72
물,71
크림,71
사장,69
이,68
좋아하다,64
저,64
하나,63
거,62
휴무,62
음료,62
주말,61
위치,60
여기,58
또,58
님,58
팔로워,57
팔로잉,57
게시,57
보기,56
색감,55
피스타치오,54
아메리카노,54
때,54
안,54
일,53
바로,53
진짜,53
바질,52
내,50
상큼,50
분위기,49
날,49
맛집,49
오픈,49
여름,48
초코,45
인테리어,45
바나나,45
서울,45
의자,44
오일,44
화요일,43
라떼,43
전,42
무화과,42
옆,42
깔끔하다,42
정말,42
추천,41
정도,41
평일,41
그렇다,40
주차,40
메뉴판,40
그,38
이렇다,38
신상,38
영업,36
바,36
제,36
요즘,36
조금,36
감성,36
팅,36
분,36
행복하다,35
다음,35
행복,35
그냥,35
우유,35
동반,35
토,34
손님,34
다른,34
기분,34
이다,33
친구,33
좌석,33
월,32
소파,32
바닐라,32
점,32
초등학교,31
우리,31
가게,31
내부,30
핸드,30
웨이,30
넓다,30
부드럽다,30
앞,30
보고,30
좀,29
모든,29
드립커피,29
꽤,29
요,29
인,29
집,29
쇼파,28
처음,28
센스,27
작다,27
위,27
오늘,27
근처,27
길,26
치즈케이크,26
달달,26
아주,26
볼,26
금,26
구경,26
꼭,25
정기,25
함,25
조용하다,25
준비,24
사실,24
눈,24
접시,23
드립,23
매일,23
가능,23
여유,23
소품,23
인스타그램,22
해피앤피스커피클럽,22
새롭다,22
두,22
덥다,22
이름,22
조합,22
포셋,22
원두,21
종류,21
도,21
포스팅,21
중,21
뭐,21
애플,21
초,21
다양하다,21
반려동물,21
연필,21
번,21
마음,21
과일,21
온,21
먹기,20
게,20
호,20
편,20
완전,20
해,20
이용,20
핫,20
매장,20
하트,20
만,20
빵,19
아이스,19
뭔가,19
아기자기하다,19
계속,18
문구,18
살짝,18
아쉽다,18
곳곳,18
향,18
비,18
시트,18
모두,18
참고,18
주방,18
콜드,18
입,18
먼저,18
브루,18
듯,18
인스타,18
제공,17
식물,17
편하다,17
취향,17
자몽주스,17
연남동,17
얼,17
어떻다,17
원래,17
궁금하다,17
웨이팅,17
고민,17
자주,17
가득하다,16
편안하다,16
임,16
못,16
비주,16
가지,16
가능하다,16
평화,16
평화롭다,16
한적하다,16
예약,15
등,15
역시,15
키위,15
가격,15
알,15
줄,15
썸머,15
걸,15
클럽,15
이쁘다,15
혼자,14
막,14
부분,14
입구,14
자체,14
인석,14
운영,14
말,14
네이버,14
거의,14
다시,14
저희,14
샤인,14
이번,14
가구,14
중간,14
감각,14
카운터,14
고소하다,14
심플,14
책,13
제일,13
개인,13
별로,13
하겐다즈,13
자리다,13
동네,13
편이,13
둘,13
창가,13
기억,13
데이트,13
잔,13
야하다,13
재,13
적당하다,13
가세,13
밖,13
모습,13
감동,12
발견,12
꽃,12
용,12
날씨,12
글월,12
감,12
쪽,12
친절하다,12
코스,12
한번,12
캐모마일,12
주소,12
티,12
굉장하다,12
간판,12
왜,12
포인트,12
스타일,12
아아,12
밥,11
재밌다,11
동생,11
연남,11
플레이,11
청,11
햇살,11
단맛,11
난,11
식,11
글,11
쌈밥,11
따뜻하다,11
달,11
가볍다,11
일단,11
나름,11
진하다,11
살구,11
건물,11
선택,11
보,11
후기,11
가득,11
바닥,11
그릇,11
외관,11
힙,11
사항,11
무드,11
생일,11
사이트,11
문의,11
애견,10
사랑,10
머,10
불편하다,10
존,10
요기,10
톤,10
컬러,10
화장실,10
해피앤피스커피클럽	해피,10
낭만,10
도착,10
오후,10
총,10
하루,10
버스,10
간격,10
트러,10
휴일,10
필수,10
외부,10
만석,10
후,10
시작,10
산미,10
목,10
문,10
직접,10
자몽,10
거리,10
편지,10
안녕하다,10
엽서,10
로,10
낫,10
얼마,10
이상,10
맘,10
가면,10
머신,10
담,10
불가,10
찍,10
이제,10
홍대,10
최고,9
복숭아,9
다르다,9
포장,9
왕,9
강하다,9
차,9
식감,9
기대,9
하니,9
간,9
치즈,9
월요일,9
산,9
알록달록하다,9
매력,9
그로,9
소개,9
미츠바,9
검색,9
주차장,9
무조건,9
가방,9
유명하다,9
서비스,9
뷰,9
"해피앤피스커피클럽,",9
사용,9
전체,9
메인,9
신기하다,9
팀,9
구,9
오,9
괜찮다,9
패턴,9
일찍,9
어디,9
레몬에이드,9
반하다,9
곧,9
문방구,9
판매,9
대박,9
색,9
작업,9
돈,9
"보기
연희동",8
스캣,8
마포구,8
화이트,8
저녁,8
다행하다,8
건,8
시럽,8
데,8
찍기,8
컵,8
겸,8
하늘색,8
지향,8
수다,8
어스,8
느끼하다,8
석,8
카페],8
밑,8
아늑하다,8
엄마,8
재미,8
지금,8
포토,8
힐링,8
가장,8
잠시,8
아침,8
구수하다,8
아깝다,8
낮,8
만족,8
안되다,8
뒤,8
마련,8
미니,8
끝,8
특별하다,8
손,8
영파,8
파스타,8
때문,8
머스켓,8
통,8
일요일,8
무엇,7
귀여운,7
나들이,7
체크,7
컷,7
빠르다,7
흑심,7
잎,7
폭,7
카페인,7
은근,7
화,7
세심,7
점심,7
삼거리,7
위해,7
끼,7
가기,7
베이글,7
아담하다,7
높다,7
브런치,7
우드,7
블로그,7
생,7
은은하다,7
대로,7
쥐,7
런,7
저번,7
장소,7
정확하다,7
제외,7
멀다,7
벌써,7
첫,7
예전,7
화분,7
마무리,7
산책,7
은,7
무료,7
상콤,7
베르크,7
빈티,7
동안,7
파스텔,7
보통,7
투어,7
시원하다,7
이야기,7
에스프레소,7
선물,7
이드,7
