word,count
커피,129
다크,46
에디,45
션,45
있다,41
연희동,28
원두,27
카페,24
같다,23
주문,22
맛,21
많다,16
곳,16
맛있다,16
드립,15
핸드,13
것,12
정말,11
느낌,11
다양하다,10
더,10
정도,9
나,9
서대문구,9
하나,9
메뉴판,9
수,9
공간,9
잔,8
자리,8
드립커피,8
메뉴,8
연희,8
그,8
아니다,8
마길,8
방문,8
생각,8
오픈,8
서울특별시,8
사장,8
이다,7
게이샤,7
꼭,7
때,7
없다,7
내,7
눈,7
종류,6
좋아하다,6
이,6
라우터,6
내부,6
잠깐,6
로스팅,6
앞,6
좋다,6
이름,6
그렇다,6
저,6
내추럴,6
층,6
책,5
엄마,5
화이트,5
프,5
여기,5
텔론,5
가능하다,5
카스,5
어떻다,5
다른,5
마음,5
게샤,5
골목,5
전,5
번,5
플랫,5
가체,5
예쁘다,5
따뜻하다,5
제,5
손님,5
다르다,4
다음,4
선택,4
언니,4
휴식,4
부분,4
지금,4
새롭다,4
향,4
날,4
뭐,4
재,4
어렵다,4
듯,4
아주,4
에스프레소,4
선물,4
라떼,4
좀,4
원래,4
취향,4
작다,4
예전,4
또,4
자체,4
산뜻하다,4
시간,4
맛집,4
화려하다,4
뭔가,4
먼저,4
위치,4
영업,4
휴무,4
후,4
가게,4
다시,4
거기,4
마치,3
멋지다,3
시드,3
문,3
바로,3
분위기,3
살짝,3
바리스타,3
장,3
추천,3
가장,3
거리,3
중,3
입,3
등,3
자신,3
전혀,3
말,3
거,3
이렇다,3
기,3
마카,3
블렌드,3
음료,3
이유,3
한잔,3
요즘,3
귀엽다,3
약간,3
싱글,3
걸,3
기간,3
비교,3
제일,3
위,3
구,3
다크에디션커피,3
인테리어,3
좁다,3
/,3
끝,3
매장,3
중학교,3
아이스,3
일반,3
오리진,3
비,3
때문,3
산미,3
최고,2
먹기,2
필터,2
음식,2
워,2
게,2
상당하다,2
강하다,2
개인,2
등급,2
밑,2
아늑하다,2
쌉싸름하다,2
더욱,2
테이블,2
궁금하다,2
두번째,2
첼,2
당근,2
날씨,2
동네,2
첼베사,2
충분하다,2
편,2
논,2
조금,2
뿐,2
아침,2
감,2
결정,2
페인,2
정기,2
가득,2
야하다,2
비슷하다,2
새,2
준비,2
사람,2
친절하다,2
디자인,2
해,2
구경,2
대한,2
라이트,2
외,2
협소,2
주스,2
머신,2
설명,2
홍대입구역,2
링,2
보고,2
즐겁다,2
사실,2
공지,2
밀크,2
놀래다,2
볼,2
최근,2
여유,2
유행,2
기억,2
언제,2
판매,2
시원하다,2
인스타,2
이야기,2
주말,2
시작,2
땐,2
장사,2
부터,2
아지트,2
과일,2
서연,2
세,2
관련,2
디저트,2
주산,2
엄청나다,2
안,2
당연하다,2
순간,2
직접,2
오전,2
주제,2
접근성,2
수요일,2
멀다,2
네츄럴,2
"커피
연희동",2
홀,2
적,2
자락,2
집,2
오늘,2
그냥,2
힘들다,2
좌석,2
역대,2
왜,2
무,2
디카,2
성적,2
더치커피,2
가면,2
플릿,2
맵다,2
강아지,2
노란색,2
가격,2
한번,2
위해,2
워낙,2
대신,2
개,2
예상,2
커피집,2
베사,2
달,2
겸,2
"층
연희동",2
오만이천원,2
연하다,2
진하다,2
줄,2
고소하다,2
분,2
갑자기,2
출구,2
당양,1
지속,1
다가,1
미도,1
이진,1
행복하다,1
편안함과,1
복숭아,1
힙해,1
여럿,1
장하다,1
율,1
평,1
달라,1
지나,1
사의,1
사용,1
진짜,1
고려,1
유독,1
회관,1
게르,1
피,1
취급,1
요,1
땡그랗다,1
맛있는커피,1
전부,1
꽃,1
짧다,1
세상,1
여전하다,1
참고,1
및,1
커런트,1
보람,1
토일,1
꼬릿,1
상태,1
진심,1
게이,1
열대과일,1
신기하다,1
확장,1
차,1
커피한잔,1
애견동반)	바람,1
연희동커피맛집	연희동,1
레몬주스,1
동남아,1
구매,1
아쉽다,1
대의,1
졸졸졸,1
대명사,1
장님,1
호평,1
장소,1
위스키,1
색감,1
여러,1
랏,1
용지,1
아메리카노,1
확,1
신나다,1
플랫화이트,1
론,1
욕,1
기대,1
갯수,1
맛있는,1
제목,1
끝자락,1
잠시,1
발효,1
베이,1
스팀밀크,1
커피가,1
기준,1
첫,1
후기,1
바람,1
콤,1
생기,1
주는,1
값어치,1
굉장하다,1
다크에디션커피	구,1
읍,1
괜스레,1
중반,1
라벤더,1
과,1
화려한,1
보틀,1
쪽,1
다크에디션커피	길,1
단맛,1
도착,1
장미,1
다크에디션커피☕️	다크,1
산책,1
-,1
얼마,1
소나기,1
청춘,1
하이엔드,1
골목길,1
리,1
두,1
아이패드,1
재야의,1
시,1
구입,1
군데,1
소품,1
분실,1
조만간,1
넓다,1
장인,1
담벼락,1
입맛,1
기존,1
좌,1
스콜,1
고수,1
이자,1
징,1
본적,1
비밀,1
듭니,1
외관,1
가지,1
쥬스,1
"꼭
연희동",1
신경,1
총,1
의치,1
예민하다,1
거나,1
우유,1
회전,1
제대로,1
썩,1
흥미롭다,1
귀환,1
라떼아트,1
죠큐,1
라마르,1
오트,1
조물,1
글,1
구나,1
란,1
보고싶었어요~	새롭다,1
괜시리,1
버스,1
작은카페,1
강력,1
곧,1
어찌,1
담,1
게이샤커피의,1
부디,1
힙,1
나라,1
부탁드리다,1
사항,1
얼핏,1
세번,1
돌이,1
길다,1
로컬,1
콜롬비아,1
다크블렌드,1
커버,1
리스트,1
본격,1
언급,1
몇,1
마주,1
서울,1
유효,1
사이,1
오래오래,1
룸,1
도전,1
꼬,1
지하철역,1
인하다,1
손길,1
