word,count
있다,149
연희,84
연희동,79
것,60
좋다,46
쿳사,42
곳,41
같다,41
카페,41
브런치,38
메뉴,32
블랙,31
층,31
수,30
커피,27
무화과,26
서대문구,26
공간,25
에스프레소,25
느낌,25
더,24
호주,24
주문,22
롱,22
이야기,21
바늘,20
저,20
예쁘다,20
그렇다,19
아니다,19
이,19
사진,18
쿳,18
편지,18
판매,18
글월,17
맛있다,17
주차,17
예약,16
점,15
이다,14
많다,14
개,14
없다,14
건물,14
자리,14
방문,14
서울특별시,14
더반,13
콘,13
진짜,13
팬시,13
때,13
나,13
하나,13
제,13
티니,12
그,12
크로스,12
뜨개질,12
생각,12
서울,12
해,11
거,11
감성,11
사실,11
때문,11
베를린,11
처음,11
시간,11
주차장,11
베네딕트,11
요즘,11
귀엽다,11
맛,11
좀,10
이렇다,10
프리터,10
후,10
분,10
및,10
안,10
조금,10
바,10
바로,9
테이블,9
후기,9
잔,9
혹,9
스턴,9
내,9
쪽,9
사람,9
맛집,9
그로서리,9
다른,9
식물,8
입구,8
증가,8
전,8
역시,8
소개,8
재생,8
분위기,8
날씨,8
위,8
향,8
운영,8
싱그럽다,8
종이,8
메뉴판,8
마음,8
좋아하다,7
또,7
제품,7
듯,7
옆,7
다음,7
오브,7
음식,7
게,7
요,7
개인,7
다양하다,7
꼭,7
빵,7
명,7
케이크,7
투어,7
크림,7
아보카도,7
주말,7
이용,6
원하다,6
색감,6
정도,6
로스,6
터스,6
오늘,6
그냥,6
자체,6
이번,6
입,6
디자인,6
물,6
알,6
동영상,6
아보,6
클럽,6
보기,6
처,6
걸,6
볼,6
편지지,6
하우스,6
레터,6
피,6
아래,6
살짝,6
저희,6
추천,6
엽서,6
날,6
뭔가,6
근처,6
테라스,6
스매시,6
어떻다,6
가방,6
브랜드,6
온,6
헤비,5
종류,5
그린,5
길,5
구매,5
폭포,5
포스팅,5
친구,5
핑크,5
컬렉터,5
봉투,5
왜,5
식당,5
내부,5
맘,5
답,5
구경,5
초록,5
네이버,5
보고,5
수란,5
오히려,5
가게,5
대형,5
칠리,5
서비스,5
먹기,5
크레파스,5
에노,5
펜팔,5
이름,5
여기,5
잼,5
류,5
건,5
넓다,5
꽤,5
팬,5
넌컨,5
숍,5
대표,5
템포,5
정말,5
약간,5
기분,5
원두,4
쇼룸,4
일,4
문구,4
오른쪽,4
불편하다,4
비트,4
취향,4
초코,4
선선,4
동네,4
여러,4
팝업,4
집,4
매콤,4
감,4
하니,4
코어,4
인테리어,4
베이컨,4
작성,4
카페인,4
안쪽,4
말,4
핫플,4
대한,4
예,4
설명,4
한번,4
깔끔하다,4
확인,4
달달,4
사장,4
니트,4
고소하다,4
마켓,4
유명하다,4
직원,4
여유,4
다르다,4
송영,4
문,4
주변,4
궁금하다,4
계시다,4
인,4
직접,4
게시,4
작다,4
실제,4
괜찮다,4
거리,4
커다랗다,4
시점,4
이상,4
식사,4
뭐,4
끝,4
번,4
평일,4
확실하다,4
아이스,4
놈,4
가능하다,4
나중,4
먼저,4
컨셉,4
위치,4
안내,4
영업,4
소스,4
노래,4
따뜻하다,4
잠봉뵈르,4
음료,4
가을,4
시작,4
우리,4
아주,4
님,4
무엇,3
프로젝트,3
멋지다,3
나들이,3
오프라인,3
체크,3
계속,3
셀렉,3
관련,3
골목,3
오빠,3
팔로잉,3
우선,3
인스타그램,3
브레드,3
거목,3
타고,3
구류,3
간단하다,3
도,3
미대,3
호,3
적,3
재료,3
기회,3
마트,3
그대로,3
마무리,3
중,3
움,3
등,3
접,3
회사,3
기존,3
등장,3
포인트,3
고민,3
버스,3
블레어,3
깨알,3
겸,3
동반,3
크게,3
의자,3
다소,3
브라질,3
만,3
줄,3
작업,3
심플,3
눈,3
높다,3
책,3
곳도,3
바인,3
선택,3
세대,3
팔로워,3
호주식,3
노션,3
메인,3
계단,3
참고,3
원,3
샷,3
레트로,3
비주,3
상큼,3
가장,3
넌컨템포,3
티,3
반려동물,3
첫,3
답문,3
미리,3
새롭다,3
낮,3
쓰기,3
단맛,3
비슷하다,3
케일,3
완전,3
그때,3
코코아,3
신랑,3
못,3
뒤,3
가구,3
포셋,3
매장,3
감각,3
오픈,3
얼,3
글,3
돌,3
부드럽다,3
오디너리,3
함,3
핏,3
파우더,3
문지,3
까르,3
취미,3
접기,3
야외,3
오래되다,3
기억,3
자주,3
라스트,3
선물,3
핑크색,2
라떼,2
트랜디,2
가루,2
선,2
느끼하다,2
담백하다,2
토분,2
일부,2
무늬,2
적절하다,2
블로그,2
투명,2
허니,2
트,2
무난,2
입장,2
짧다,2
도심,2
베이커리,2
주소,2
최고,2
포만,2
겹,2
방법,2
요건,2
도로,2
대바늘,2
간혹,2
뷰,2
결제,2
사랑,2
재미,2
흔하다,2
연결,2
샌드위치,2
시한,2
상태,2
바닐라,2
데이,2
은은하다,2
여러분,2
통해,2
차로,2
지금,2
신기하다,2
보물,2
만년필,2
요기,2
해외,2
배고프다,2
컨텐츠,2
비싸다,2
해도,2
스티커,2
미트,2
수많다,2
세트,2
차,2
아쉽다,2
클릭,2
장소,2
마지막,2
식감,2
아메리카노,2
공유,2
월,2
접시,2
화장실,2
무슨,2
씁쓸하다,2
무척,2
조화롭다,2
스페셜,2
입성,2
라파,2
점심시간,2
연남동,2
코드,2
모든,2
마운틴,2
예전,2
배,2
무게,2
앤,2
덕분,2
매출,2
오전,2
유투브,2
학원,2
고요,2
슈퍼마켓,2
두,2
멀다,2
준비,2
소품,2
차이,2
형태,2
가깝다,2
치아바타,2
커피잔,2
고수,2
표시,2
쭉,2
무언가,2
외관,2
늘,2
예민하다,2
제대로,2
