word,count
마카롱,67
테라,51
부띠,50
있다,50
연남동,44
카페,40
디저트,23
맛,21
오페라,18
커피,17
선물,16
것,15
아메리카노,15
좋다,13
리뷰,13
케이크,12
맛있다,12
많다,12
네이버,12
매장,11
수제,11
같다,11
맛집,11
주문,10
사진,10
세트,10
라떼,9
다양하다,9
사용,9
이다,8
초코,8
마포구,8
초콜렛,8
아니다,8
쿠키,8
할인,8
티라미수,8
메이플,8
수,8
로,8
예쁘다,8
롤,8
페이,7
길,7
연남,7
시간,7
때,7
타블렛,7
시,7
쿠폰,7
음료,7
이벤트,7
집,6
내부,6
생각,6
부드럽다,6
개,6
후,6
제,6
메뉴판,6
분,6
포장,6
느낌,6
입,6
포인트,6
하나,6
참여,6
결제,5
와인,5
추천,5
구매,5
곳,5
친구,5
또,5
오후,5
이,5
평일,5
서울특별시,5
용,5
그,5
좋아하다,5
굉장하다,5
영업,5
판매,5
층,5
카카오,5
카드,4
테이블,4
집들이,4
뭐,4
가지,4
메뉴,4
위치,4
정말,4
저렴하다,4
지도,4
먹기,4
종류,4
분위기,4
편하다,4
인스타그램,4
그렇다,4
제품,4
설,4
초콜릿,4
추석,4
식,4
일반,4
가격,4
검색,4
영수증,4
휴무,4
외부,4
따뜻하다,4
주말,4
직원,3
가득하다,3
오른쪽,3
티라미슈,3
참고,3
추하다,3
더,3
못,3
날,3
총,3
혜택,3
번,3
꽤,3
왼쪽,3
거,3
외,3
아이스,3
양,3
롤케이크,3
가능하다,3
아메,3
보고,3
블로그,3
듯,3
필수,3
민트,3
입력,3
전체,3
요즘,3
대부분,3
민족,3
증정,3
안,3
꼭,3
정도,3
강,3
잔,3
여기,3
이번,3
은,3
배달,3
적립,3
가면,3
테이크아웃,3
사실,3
카운터,3
과자,3
내,3
가기,3
나,3
적당하다,3
지인,3
걸,2
단,2
방법,2
평,2
이용,2
자격증,2
금액,2
규모,2
주소,2
부분,2
식감,2
오전,2
전시,2
엘,2
스펀지,2
간판,2
오늘,2
크기,2
비슷하다,2
제로,2
임,2
입맛,2
미니,2
방문,2
글,2
사항,2
얇다,2
홍대입구역,2
잠깐,2
서울,2
몇,2
때문,2
다크,2
나름,2
홍대,2
색,2
고소하다,2
별,2
모습,2
사,2
상시,2
엔틱,2
다가,2
무엇,2
밸런스,2
발,2
하우스,2
다르다,2
다음,2
예약,2
진짜,2
선택,2
바로,2
겉,2
박스,2
밑,2
달콤하다,2
비싸다,2
샷,2
도,2
위,2
퀄리티,2
후기,2
쫀득,2
치즈,2
편리하다,2
편이,2
인테리어,2
수준,2
업로드,2
버튼,2
-,2
촬영,2
등,2
카페인,2
녹차,2
왜,2
의,2
끝,2
대한,2
모양,2
고민,2
근처,2
협소,2
테라스,2
저,2
소개,2
앙증맞다,2
위해,2
꼬끄,2
확인,2
도보,2
깔끔하다,2
점,2
노트북,2
배송,2
없다,2
정보,2
요리,2
문의,2
언제,2
맨,2
귀엽다,2
쇼케이스,2
줄,2
출구,2
유명하다,2
온,2
아이스크림,2
윗,1
미도,1
행복하다,1
도로,1
멋지다,1
현명하다,1
오테라,1
일,1
제공,1
오렌지,1
좀,1
만든,1
예정,1
진행중,1
칵,1
굵다,1
문구,1
런가,1
점령,1
파다하다,1
발견,1
고객,1
어마어마하다,1
로만,1
롯데,1
은은하다,1
금,1
카페],1
카달,1
현대,1
막,1
상당,1
태그,1
베이커리,1
및,1
부티크,1
쥐,1
원,1
보람,1
바닐라,1
종합,1
"0	1
title	[]
연남동",1
수제로,1
와우,1
신기하다,1
주택가,1
차,1
진행!	안녕하다,1
이디야,1
명절,1
시국,1
클릭,1
농구,1
주기,1
경의선,1
고급스럽다,1
구,1
네,1
핫,1
목록,1
실제,1
틈,1
멀다,1
기대,1
뽀쨕,1
척,1
로그,1
모찌,1
쫀득했다,1
성찬,1
주관,1
괜찮다,1
흐트러지,1
동일하다,1
하얀색,1
플레이,1
드립,1
코드,1
파운드,1
전,1
편의점,1
연휴,1
기회,1
재간,1
마무리,1
머렝쿠키,1
모금,1
그냥,1
택배,1
딱이다,1
낮,1
의아,1
쪽,1
자리,1
네이버예약,1
거울,1
종,1
도착,1
인석,1
저녁,1
다행하다,1
무방,1
코코아,1
건,1
트로피,1
/,1
카페라떼,1
사람,1
무진장,1
엠,1
웬만하다,1
"부탁드리다
[서울",1
기존,1
첨부,1
외관,1
칭찬,1
릿,1
비치,1
셨,1
스코티,1
어보,1
배치,1
훌륭하다,1
저작권,1
를,1
프로그램,1
소요,1
그거,1
스타벅스,1
레이스,1
이렇다,1
커피],1
대충,1
케익,1
부띠끄(feat.,1
알림,1
카포네,1
블루,1
드물다,1
칩,1
설명,1
그게,1
파우더,1
티타임,1
시대,1
종이,1
생일,1
로나,1
요새,1
평소,1
기대하다,1
프랜차이즈,1
대해,1
남,1
어렵다,1
앞,1
"케이크,",1
하하,1
수제케이크,1
마침,1
자세하다,1
찹쌀떡,1
픽사,1
다행,1
코로나,1
신뢰,1
케잌,1
시간대,1
보아,1
"혜택,",1
사장,1
의자,1
강추,1
위쪽,1
데이트,1
숲길,1
모두,1
활용,1
안전하다,1
어떻다,1
몰리,1
홈,1
손님,1
창,1
번호,1
한적하다,1
세련되다,1
염,1
속,1
눈,1
억,1
내돈내산,1
안주,1
최고,1
찰,1
공식,1
지난주,1
놀래다,1
"부띠
오테라",1
마키,1
떄,1
듭니댜,1
맛볼,1
마스,1
알려드림)	테라,1
카페!	테라,1
요,1
트,1
불가능,1
포테이토,1
딸기,1
아래,1
전부,1
보이지,1
댓글,1
베스트,1
살짝,1
낱개,1
보시,1
밍밍,1
라,1
집중,1
경우,1
칼,1
카라멜,1
“오테라부띠끄”,1
박하,1
웃픈,1
전반,1
초코렛을,1
해도,1
특이,1
진수,1
순간,1
당연하다,1
쫀쫀했다,1
평범하다,1
견해,1
가야,1
"마카롱,",1
이름,1
배고프다,1
추첨,1
프로방스,1
노닥거리,1
높이,1
공통,1
날씨,1
맵,1
감당,1
작다,1
과카,1
밤,1
추천	연남동,1
정갈하다,1
스마트,1
월,1
스,1
봄,1
동생,1
오테르,1
선수,1
충분하다,1
"연남동
연남동",1
매달,1
해시태그,1
이면,1
옾페라부띠끄,1
맛있는,1
유지,1
꽉,1
편,1
화이트,1
아빠,1
쯔음,1
정성,1
베이,1
거리,1
조금,1
기준,1
정감,1
첫,1
뚜,1
바람,1
랄,1
표현,1
어플,1
안녕하다,1
아침,1
하니,1
적용,1
그대로,1
새롭다,1
향,1
부띠끄,1
스테이크,1
전문점,1
중,1
과,1
영어,1
햇살,1
봉투,1
재고,1
일찍,1
관심,1
전화번호,1
떡,1
"곳,",1
산책,1
"힘
오테라부띠끄",1
키,1
파리바게트,1
고요,1
중인,1
라며,1
는걸,1
시중,1
완전,1
다운,1
작성,1
부띠그,1
역시,1
준비,1
공감,1
무료,1
현수막,1
앙금,1
카페｜마카롱,1
계정,1
백화점,1
조합,1
이기,1
시럽,1
밍,1
이왕이면,1
나오니,1
해,1
아래쪽,1
사뭇,1
우유,1
인식,1
위험하다,1
보관,1
장난,1
오기,1
오픈,1
오테라부띠끄,1
반하다,1
살포시,1
롱,1
제휴,1
토,1
연해,1
오렌지카라멜,1
물씬,1
알,1
"마카롱",1
요즈음,1
대표,1
현주엽,1
인상,1
매쉬,1
팁,1
거의,1
합리,1
등록,1
오테라부띠끄	카페,1
클래식,1
핸드,1
비,1
천막,1
"층
[연남동",1
쪼끔,1
덥다,1
워낙,1
조건,1
줄라,1
크림,1
운,1
가능,1
부담스럽다,1
안내,1
크롤,1
뙇,1
오트밀,1
완료,1
바,1
연남점	안녕하다,1
창고,1
쌉쌀하다,1
성큼,1
반대편,1
프리,1
일행,1
시원하다,1
가게,1
방문자,1
인정,1
단체,1
거품,1
덕후,1
진하다,1
다른,1
머랭,1
고급,1
헤즐넛,1
휴대폰,1
솔직하다,1
쫀쫀,1
어느새다,1
아주,1
우리,1
아담하다,1
우리나라,1
싸하다,1
진,1
산미,1
있는,1
초코렛,1
