word,count
카페,520
있다,515
층,396
유,364
연남동,279
좋다,226
디저트,174
낭시,170
휘,169
티,150
맛있다,140
같다,136
사진,131
크림,129
커피,129
힙,118
것,113
주문,112
수,109
맛,104
길,96
곳,96
테이블,95
공간,95
느낌,92
마포구,87
스틱,87
교,81
분위기,75
메뉴,72
라떼,71
연남,71
좋아하다,70
더,70
음료,70
인테리어,69
서울특별시,65
화장실,60
이,57
없다,56
고소하다,55
블루,54
정말,54
여기,53
나,53
아이스크림,53
진짜,52
방문,52
이다,52
저,51
이색,51
자리,51
위치,51
맛집,50
아니다,47
쿠키,47
제,46
추천,46
시간,46
예쁘다,46
원두,45
또,45
향,44
종류,43
많다,42
갤러리,41
아메리카노,41
사장,41
내부,41
위,40
달달,40
포토,39
완전,39
날,39
하나,39
이드,39
핫,38
그렇다,38
친구,38
바로,37
존,37
앞,37
그,37
때,36
아몬드,35
사람,34
개,34
모습,34
라벤더,33
생각,33
서울,33
깔끔하다,33
독특하다,32
명,31
내,31
다른,31
파란색,30
중,30
매일,30
처,30
사용,29
선택,29
리뷰,29
다양하다,29
오늘,29
의자,29
조용하다,29
이쁘다,29
뷰,28
및,28
카라멜,28
빵,28
듯,28
초코,27
안,27
역시,27
시공,27
아주,27
말차,26
하유,26
이렇다,26
신상,26
집,25
등,25
뭔가,25
부드럽다,25
요거트,25
치즈,25
번,25
거,25
요,24
바닐라,24
직접,24
꼭,24
연희동,24
딸기,23
말,23
가능하다,23
동영상,23
츄리,23
영업,23
가운데,23
눈,23
매력,23
우리,23
문,22
땅콩,22
너티넛,22
멋지다,22
정도,22
구경,22
홍대입구역,22
플레인,22
페스,22
메뉴판,22
궁금하다,21
골목,21
오픈,21
아이스,21
옆,21
산미,21
솔티,21
바삭,21
차,20
넓다,20
다음,20
처음,20
도,20
시원하다,20
작업,20
조합,20
모두,20
살짝,19
파랑,19
거울,19
유의,19
전,19
감성,19
선샤인,19
보기,19
초콜릿,19
분,19
꽤,19
글,19
스미스,19
마음,19
볼,18
티넛,18
거리,18
용,18
입구,18
나롱이,18
움,18
두,18
만,18
진하다,18
출구,18
좌석,18
요즘,18
베리,18
밀크,17
좀,17
블로그,17
취향,17
인,17
가지,17
통,17
보,17
저희,17
컬러,17
조금,17
굉장하다,17
통창,17
기분,17
제공,16
이용,16
메탈,16
건물,16
참고,16
상큼,16
색감,16
중간,16
후,16
여자,16
초록,16
덕,16
전체,15
편하다,15
계단,15
날씨,15
나무,15
잼,15
히비스커스,15
중앙,15
발,15
포장,15
찍기,15
음악,14
잔,14
자체,14
얼,14
로나,14
카운터,14
약간,14
달콤하다,14
식감,14
카페인,14
벽,13
가장,13
황,13
페인,13
남자,13
디카,13
매장,13
물,13
소개,13
가격,13
구성,13
인스타,13
츠,13
수박,13
쪽,13
이번,13
원형,13
작성,13
자신,13
준비,13
안쪽,13
외관,13
포인트,13
제청,13
특이하다,13
달,13
귀엽다,13
가득하다,12
메인,12
센스,12
괜찮다,12
단맛,12
뒤,12
맘,12
조물,12
근처,12
네이버,12
보고,12
이제,12
손님,12
라스트,12
견과류,12
화이트,12
그냥,12
힙하,12
해,12
바스크,12
가게,12
서비스,11
일,11
더욱,11
힐링,11
비주,11
포스팅,11
새롭다,11
간,11
라즈베리,11
오후,11
설탕,11
무,11
한번,11
덥다,11
점,11
투어,11
수제,11
그림,11
어떻다,11
이색카페,11
팔로워,11
팔로잉,11
발견,11
게시,11
곳곳,11
브라우니,11
청,11
스티븐,11
입,11
살,11
식,11
특별하다,11
비,11
운,11
아름답다,11
방문자,11
고급,11
님,11
실버,10
넛티,10
아래,10
주소,10
지금,10
아쉽다,10
푸딩,10
치즈케이크,10
인도네시아,10
편이,10
건,10
시럽,10
데,10
창가,10
주스,10
먼저,10
사실,10
바,10
때문,10
홍대,10
다시,10
혼자,10
계속,10
사랑,10
행복,10
스티커,10
전화번호,10
스텐,10
뭐,10
제대로,10
진행,10
컵,10
