word,count
빵,1448
있다,638
모리노,595
일본,323
소금,315
맛있다,311
연남동,280
빵집,279
맛,245
식빵,237
것,230
같다,196
좋다,163
곳,162
없다,159
마포구,152
연남,152
길,147
귀엽다,145
로,134
메론빵,131
좋아하다,123
서울특별시,122
야끼소바,120
느낌,115
많다,115
수,113
크림,110
홍대,105
더,104
맛집,103
하나,101
진짜,100
이,99
아니다,98
저,97
메뉴,89
층,89
안,87
이다,86
바타,82
그렇다,81
종류,78
사진,78
명란,78
커피,78
의,78
개,77
집,77
나,77
제,76
정말,76
생크림,74
또,74
초코,73
구매,71
가게,71
때,69
시간,68
생각,68
그,67
날,65
거,65
부드럽다,64
여기,63
방문,63
추천,62
은,61
다음,61
야키소바,61
분,61
휴무,59
인테리어,59
벽화,58
호,58
바로,57
베이커리,57
위치,55
포장,54
카페,54
그냥,54
꼭,53
서울,53
치즈,52
바게트,52
매장,52
골목,50
입구,50
월요일,50
듯,49
요,48
동경제,48
전,48
버터,48
단팥빵,47
내부,47
야키소바빵,47
보고,47
졸업,47
정도,46
입,46
못,46
내,46
도,45
나마,45
이름,45
오늘,45
다른,45
번,44
숲,44
사람,44
가격,44
카레빵,43
영업,43
중,42
및,42
기본,41
주문,40
산도,40
테이블,40
친구,40
좀,39
키,39
촉촉하다,39
후기,38
다양하다,38
수석,37
궁금하다,37
모양,37
명,36
유명하다,36
분위기,35
살짝,35
아쉽다,35
뭐,35
마감,35
해,35
일,34
처음,34
고민,34
요즘,34
디저트,34
역시,34
근처,33
사실,33
팥,33
얼,33
메론,32
말,32
아주,32
비주,32
토끼,32
쿠팡,32
동영상,32
브레드,31
오픈,31
토스트,31
모리노팡,31
판매,31
아티스트,31
자체,31
예쁘다,31
딸기,30
정기,30
때문,30
우리,30
소개,30
카라멜,29
뜻,29
이렇다,29
함,29
연유,29
아기자기하다,29
일단,29
일본어,29
게,29
화,29
진열,29
사장,29
고소하다,29
조금,28
향,28
쪽,28
온,28
새롭다,27
가지,27
자리,27
코알라,27
알,27
음료,27
담백하다,26
꽤,26
스타일,26
감성,26
동물,26
바나나,26
걸,26
메,25
학교,25
케이크,25
점,25
약간,25
직접,25
프렌치토스트,25
간판,25
토토,25
구경,25
한번,25
옆,25
눈,25
사과,24
소진,24
쇼,24
