word,count
크레페,688
있다,298
수크레,237
하우스,235
연남동,201
좋다,141
맛집,137
디저트,121
맛있다,120
브런치,100
치즈,99
수,96
프랑스,88
맛,88
메뉴,87
주문,78
같다,74
번,74
메인,63
길,58
것,58
안,57
당근,52
식사,51
마포구,50
교,49
정말,45
층,45
거,43
곳,42
잠봉,41
서울특별시,41
테이블,40
소스,39
진짜,38
아이스크림,37
다양하다,35
데이트,34
나,34
페,34
레스토랑,33
느낌,33
양파,32
운,32
내,32
탈,32
에멘,31
분위기,31
카페,31
더,31
저,31
없다,31
바질,30
이다,29
앞,29
제,29
재생,29
가게,29
좋아하다,28
이,28
커피,27
인테리어,27
토마토,27
메뉴판,27
추천,27
화장실,27
하나,27
비프,26
음식,26
아니다,26
누텔라,26
음료,26
개,25
바로,25
그렇다,25
재료,25
드라이,25
토,25
때,25
사진,24
하겐다즈,24
내부,24
오픈,24
매장,24
생각,24
달달,24
오늘,23
부드럽다,23
과일,23
루꼴,23
페스,23
먹기,22
할라피뇨,22
자리,22
뱅쇼,21
가능하다,21
중,21
주스,21
또,20
고기,20
반죽,20
날씨,20
위치,20
바베큐,19
매일,19
가득,18
시간,18
서울,18
사장,18
도,18
방문,18
다음,17
달콤하다,17
많다,17
보고,17
그,17
쪽,17
조합,17
테라스,17
아메리카노,16
든든하다,16
등,16
듯,16
야외,16
착즙,16
바삭,16
따뜻하다,16
종류,15
집,15
크기,15
그냥,15
날,15
요즘,15
홍대,15
오렌지,15
주방,15
위,15
끼,15
예쁘다,15
생크림,14
가지,14
식,14
밖,14
분,14
듬뿍,14
유럽,14
공간,14
골목,13
및,13
차,13
비주,13
준비,13
사이드,13
깔끔하다,13
고소하다,13
혼자,13
사용,13
블로그,13
요,13
리뷰,13
여기,13
향,13
완전,13
얼,13
명,13
추가,13
취향,12
역시,12
먼저,12
후,12
전,12
새롭다,12
다른,12
기분,12
볼,11
불고기,11
기대,11
말,11
꽤,11
신상,11
얇다,11
홍대입구역,11
감성,11
눈,11
파리,11
함,11
귀엽다,11
포장,10
초코,10
장소,10
토핑,10
입,10
안쪽,10
외관,10
해,10
구경,10
고민,10
카운터,10
손님,10
옆,10
과정,10
출구,10
프렌치,10
좀,10
가득하다,10
톰,10
꼭,10
조금,10
양념,10
좌석,10
사람,10
이렇다,10
물,10
접기,10
영업,10
주차,10
요리,10
바,10
핫소스,10
약간,10
우리,10
색다르다,9
체다,9
신선하다,9
간단하다,9
제리,9
아이스,9
동영상,9
확인,9
점,9
모두,9
일단,9
속,9
온,9
라떼,9
이용,9
친구,9
감,9
류,9
초록,9
위해,9
살짝,8
개인,8
수크레크레페하우스,8
짐,8
배,8
모짜렐라,8
시기,8
왼쪽,8
빈티,8
때문,8
보기,8
줄,8
모습,8
걸,8
선택,8
재미,8
샌드위치,8
바닐라,8
인,8
핫,8
바깥,8
완성,8
콜라,8
왜,8
소개,8
알,8
만,8
아주,8
프랑스식,8
사랑,7
머스터드,7
편하다,7
라페,7
루꼴라,7
입구,7
접시,7
포스팅,7
자체,7
식당,7
친절하다,7
페하,7
점심,7
건강하다,7
사실,7
더하다,7
가을,7
어떻다,7
포테이토,7
저희,7
신기하다,7
직접,7
피자,7
정도,7
우스,7
도착,7
저녁,7
빵,7
못,7
뒤,7
미치다,7
가격,7
한번,7
즉시,7
노랑,7
적당하다,7
시작,7
마음,7
영상,6
무엇,6
계절,6
이색,6
계속,6
게,6
참고,6
처음,6
상큼,6
식감,6
야채,6
연남,6
뚝딱,6
잔,6
후식,6
디기,6
뭔가,6
이제,6
배부르다,6
크게,6
갑자기,6
일,6
우드,6
전체,6
오빠,6
부분,6
지금,6
버섯,6
드,6
여러,6
구,6
프레,6
피클,6
전문점,6
애,6
인석,6
카페라떼,6
마련,6
리차드,6
창가,6
코스,6
네이버,6
조화,6
셀프,6
계란,6
기억,6
시원하다,6
단체,6
방문자,6
최고,5
마치,5
포만,5
폰,5
다르다,5
발견,5
제일,5
생,5
여러분,5
타임,5
아늑하다,5
더욱,5
버드와이저,5
용,5
톤,5
컬러,5
색감,5
고급스럽다,5
인용,5
금방,5
쫀득,5
이번,5
두,5
형태,5
신경,5
끝,5
이미지,5
포인트,5
초록색,5
남자친구,5
양,5
파스타,5
매쉬,5
평소,5
도보,5
크림,5
맥주,5
동반,5
냄새,5
여행,5
행복하다,5
겉,5
사탕,5
머,5
샤인,5
매우,5
괜찮다,5
거리,5
설탕,5
시럽,5
둘,5
내용물,5
손,5
글,5
하루,5
중구,5
외부,5
