word,count
있다,85
페어리,73
하우스,70
카페,51
웨딩,46
층,45
공간,39
연남동,37
파티,34
브런치,33
예쁘다,30
좋다,27
테라스,26
수,24
곳,22
메이크업,19
덜,19
샤워,19
브라,19
같다,18
스몰,17
가능하다,17
사진,17
친구,16
샌드위치,15
메뉴,14
것,13
준비,13
방문,13
음식,11
마포구,11
그렇다,11
로,11
이,11
스튜디오,11
추천,11
장소,11
대관,10
길,10
오픈,10
성미산,10
맛있다,10
운영,9
생일,9
없다,9
하나,9
이쁘다,9
여기,9
대여,9
서울특별시,9
결혼식,9
커피,8
직접,8
아이,8
빵,8
많다,8
소규모,8
파티룸,8
주문,8
해,8
때,8
초록,7
대표,7
조용하다,7
돌잔치,7
전체,7
집,7
치즈,7
날,7
단독주택,7
명,7
저,7
제,7
모습,7
신부,6
그,6
아메리카노,6
스킷,6
하객,6
포크,6
룸,6
맛,6
이용,6
출처,6
요,6
공수,6
브리,6
가깝다,6
레이스,6
바질,6
위치,6
정말,6
분,6
사용,5
진짜,5
이다,5
및,5
디렉터,5
포토,5
도,5
정도,5
핫,5
가격,5
크림,5
드레스,5
원두,5
골목,5
꽃,5
존,5
위,5
페어리하우스,5
시간,5
신랑,5
등,5
헤어,5
비,5
모두,5
홍대,5
웨디,5
샐러드,5
먹기,4
건물,4
데이,4
다양하다,4
원하다,4
인,4
입구,4
여러,4
실제,4
명장,4
원장,4
기획,4
저녁,4
아니다,4
마련,4
카페모카,4
맛집,4
풀드,4
특별하다,4
진행,4
최고급,4
수년,4
다른,4
우리,4
아주,4
브리스킷,4
안,4
좋아하다,4
헤메,4
재료,4
훈연,4
새롭다,4
내부,4
디자인,4
생각,4
감각,4
찍기,4
요정,4
전문,4
구성,4
가을,4
예식,4
다시,4
지인,4
행복하다,3
다음,3
느낌,3
저희,3
테이블,3
꼭,3
작다,3
디렉팅,3
더,3
플레이,3
바깥,3
감,3
채광,3
오늘,3
딱이다,3
적합하다,3
한지,3
샵,3
신경,3
흑석동,3
하루,3
재,3
설명,3
한번,3
대해,3
서울,3
앞,3
감성,3
사이,3
베뉴,3
따뜻하다,3
때문,3
이유,3
이벤트,3
서비스,3
높다,3
일,3
예약,3
정원,3
상당하다,3
주택가,3
가든,3
부,3
후기,3
중,3
인테리어,3
자리,3
거울,3
도착,3
어디,3
소품,3
토마토,3
번,3
거,3
신상,3
동안,3
단독,3
중요하다,3
상,3
팅,3
애프터,3
사장,3
눈,3
마치,2
무엇,2
친,2
진정하다,2
끼리,2
실,2
복합,2
감탄,2
문,2
바로,2
게,2
금액,2
아늑하다,2
성하다,2
최적,2
서도,2
참고,2
해결,2
정은주,2
참새,2
메컵,2
코,2
취향,2
착하다,2
처음,2
폴드포크,2
견적,2
플라워,2
포스팅,2
괜찮다,2
안녕하다,2
뿐,2
여기저기,2
야하다,2
훈,2
비댓,2
사람,2
안되다,2
동아리,2
모,2
매장,2
구경,2
대한,2
경험,2
얼,2
글,2
찾기,2
웨디입니,2
위해,2
양지,2
동영상,2
먼저,2
한국,2
즐겁다,2
듯,2
기념,2
만족스럽다,2
조건,2
고기,2
독보,2
겸,2
정보,2
아름답다,2
판매,2
문의,2
일요일,2
인터넷,2
연희동,2
연하다,2
티아라,2
기분,2
구비,2
슬로,2
볼,2
올리브,2
인근,2
보,2
피로연,2
폴드,2
아래,2
분위기,2
편하다,2
행사,2
푸릇푸릇,2
경우,2
