word,count
있다,108
마들렌,83
떼,74
흐뒤,55
휘,51
연남동,46
낭시,40
수,33
맛있다,31
좋다,31
디저트,29
메뉴,28
맛집,27
때,27
마포구,26
맛,26
같다,25
서울특별시,24
좋아하다,23
오픈,22
움,21
길,21
곳,21
과자,21
층,21
교,21
카라멜,19
더,19
카페,18
것,18
포장,17
없다,17
바닐라,16
추천,16
구매,15
많다,15
뒤,14
사진,14
시간,14
다양하다,13
오흐,13
내,13
중,12
아니다,12
명,12
종류,12
집,12
느낌,11
진짜,11
이,11
방문,11
하나,11
후스,10
정도,10
건,10
패션후르츠,10
나,10
타히티,10
빈,10
이다,10
및,10
안,10
티,10
전,10
로,10
글,10
동영상,10
달달,10
선물,10
빵,9
무화과,9
위치,9
바,9
향,9
라즈베리,9
날,9
매장,9
개,9
에스프레소,9
마음,9
복숭아,8
게,8
화,8
시트,8
보기,8
홍,8
일,8
그,8
간판,8
또,8
듯,8
가게,8
작다,7
사람,7
쎄다,7
가지,7
공간,7
저,7
영업,7
귀엽다,7
말차,7
예약,7
처음,7
기본,7
역시,7
생각,7
레몬,7
합정,7
제,7
다음,6
기간,6
꼭,6
휘그,6
월,6
여기,6
페슈,6
입,6
오후,6
한번,6
클래식,6
블랙,6
파운드,6
친구,6
인테리어,6
자리,6
티그레,6
크림,6
휴무,6
시작,6
아주,6
걸,5
바로,5
음식,5
팔로워,5
아몬드,5
커피,5
수업,5
아쉽다,5
리뷰,5
그렇다,5
강,5
콩,5
도착,5
못,5
주문,5
루쥬,5
옥수수,5
물,5
성미산,5
보고,5
정말,5
사장,5
다른,5
베르데,5
골목,5
겉,5
팔로잉,5
이름,5
게시,5
통통하다,5
피자,5
식감,5
마카롱,5
살레,5
포트,5
품절,5
보관,5
부드럽다,5
근처,5
재,5
팔고,5
우리,5
님,5
라떼,4
직원,4
후카,4
강하다,4
올해,4
달콤하다,4
베이스,4
날씨,4
렌테,4
비주,4
가장,4
상큼,4
호,4
조금,4
재료,4
전문점,4
진출,4
완전,4
베르,4
거,4
위해,4
즐겁다,4
라면,4
요즘,4
메뉴판,4
어떻다,4
홍대,4
홈,4
줄,4
월량관,4
고소하다,4
유명하다,4
밥,4
박스,4
빵집,4
가나,4
참고,4
테이블,4
예전,4
상품,4
이전,4
쪽,4
잼,4
구움과자,4
천도,4
모양,4
얼,4
뭔가,4
바삭,4
대표,4
서울,4
몇,4
점,4
때문,4
철,4
이쁘다,4
만,4
퀸넬브릴,4
손님,4
기분,4
과일,4
행복하다,3
고르곤졸라,3
여유,3
웨,3
먹기,3
지구,3
이스트,3
선택,3
조개,3
개인,3
주변,3
메인,3
아늑하다,3
살라,3
저희,3
부분,3
지금,3
차,3
밤,3
순례,3
부지런하다,3
감,3
새롭다,3
오늘,3
아티,3
일찍,3
제로,3
시럽,3
늘,3
진열,3
구경,3
스탠딩,3
산,3
평일,3
이렇다,3
토,3
노란색,3
소개,3
알,3
가격,3
반,3
케이크,3
예쁘다,3
클래스,3
앞,3
필수,3
주차,3
애정,3
가능,3
소스,3
특징,3
플레인,3
않는,3
만날,3
가기,3
마감,3
인스타,3
주말,3
쇼콜라,3
피프,3
분,3
눈,3
최고,3
높다,3
어스,3
서비스,3
좀,3
오렌지,3
세,3
석,3
오빠,3
전체,3
도슨,3
발견,3
분위기,3
꺾이지,3
별로,3
전시회,3
계시다,3
두번째,3
마지막,3
연남,3
포스팅,3
기회,3
백도,3
정기,3
가득,3
낮,3
힘들다,3
이번,3
알차다,3
소품,3
웨이브,3
조합,3
초콜릿,3
레,3
맘,3
친절하다,3
해,3
번,3
가면,3
주,3
함,3
가능하다,3
판,3
기,3
마음(연남동,3
권장,3
사고,3
컵,3
오흐뒤구떼,3
전문,3
촉촉하다,3
만족스럽다,3
시즌,3
얼마나,3
네이마르,3
항상,3
별,3
상자,3
단,2
여행,2
방법,2
멋지다,2
발,2
한정,2
목,2
꽃잎,2
인기,2
계속,2
사랑,2
문,2
깊다,2
트,2
요,2
생,2
쌉싸름하다,2
베이커리,2
주소,2
전이,2
크루통,2
체리,2
얼그레이,2
차로,2
취향,2
아웃,2
패션,2
메리,2
선생님,2
판나코타,2
동글동글,2
기타,2
등등,2
입구,2
위,2
제외,2
실온,2
아트,2
가나슈,2
멀다,2
디피,2
화이트,2
코르,2
방어,2
반려동물,2
뜻,2
기준,2
콤,2
모든,2
자마자,2
하니,2
치즈,2
구이,2
법도,2
관심,2
판이,2
종,2
비슷하다,2
장미,2
콩피,2
은,2
레밍,2
제품,2
구리,2
비스킷,2
홍차,2
/,2
매일,2
운영,2
식사,2
기존,2
내부,2
말,2
둘,2
달콤,2
상콤,2
외관,2
꼬치,2
월요일,2
타,2
황홀하다,2
노랗다,2
초록색,2
알록달록하다,2
슈,2
하루,2
제주도,2
남편,2
매력,2
퇴사,2
개성,2
클로버,2
파,2
물씬,2
로나,2
조화,2
불가,2
어렵다,2
운,2
총칭,2
야외,2
배부르다,2
동반,2
성공,2
콤포트,2
기억,2
다소,2
필요하다,2
무조건,2
적당하다,2
약,2
대부분,2
젤,2
내년,2
진하다,2
고급,2
쫀쫀,2
후회,2
처,2
지인,2
성지,2
속,2
심플,2
온,2
마치,2
공식,2
영상,2
"오흐뒤구떼,베르데,16강진출)	중요하다",2
볼,2
가득하다,2
예정,2
평,2
이용,2
보라보라,2
척척,2
타도,2
사용,2
방,2
사브,2
그린,2
토요일,2
까눌레,2
아래,2
막,2
요건,2
크리스마스,2
한글,2
인스타그램,2
런,2
루시,2
사이즈,2
컬러,2
추억,2
직접,2
골드,2
장소,2
용품,2
소,2
도,2
조앤,2
특색,2
지하철,2
동생,2
선수,2
대한민국,2
제주,2
괜찮다,2
당분,2
나스,2
달력,2
화분,2
생소하다,2
야하다,2
사블레,2
편이,2
만족,2
류,2
눈물,2
녹차,2
시,2
존재,2
회사,2
접,2
왜,2
중이,2
난,2
뭐,2
끝,2
라즈,2
턴,2
를,2
솔티,2
잔뜩,2
스타일,2
모던,2
코코넛,2
양,2
과육,2
낭브,2
마이스,2
파우더,2
시식,2
리스,2
뿜뿜,2
홍대입구역,2
"오흐뒤구떼,",2
먼저,2
평소,2
스튜디오,2
간만,2
당,2
#,2
캘린더,2
보통,2
확인,2
카운터,2
자세하다,2
이제,2
겸,2
페스,2
정보,2
서재,2
소진,2
자주,2
수도,2
통,2
일요일,2
들락거리,2
가을,2
모두,2
티켓팅,2
면,2
약간,2
대중교통,2
쇼파,2
타르트,2
모습,2
사,2
꽃물,2
안주,2
이사,2
갈색,1
프렌치,1
갈수록,1
투어6]오흐뒤구떼	흐뒤,1
"보기
연남동",1
빼꼼,1
담백하다,1
서로,1
데리,1
계절,1
페스트,1
작품,1
선,1
겉바,1
크리,1
스몰,1
꽃글,1
호출,1
순이,1
묵직하다,1
만두,1
종료,1
리몬첼로,1
신비롭다,1
학부모,1
헤롱,1
잉어빵,1
러블리,1
최대한,1
와인,1
자꾸,1
안길,1
식물,1
타가,1
녀석,1
인증샷,1
향기,1
상황,1
연차,1
문구,1
업체,1
워,1
우드,1
프리미엄,1
블로그,1
절임,1
모자,1
새벽,1
콤함,1
포스트잇,1
로고,1
기전,1
도서,1
피,1
제일,1
안내서,1
어향,1
행복,1
로만,1
은은하다,1
이상하다,1
금,1
가능	돈,1
통해,1
프랑스어,1
다수,1
베스트,1
부다,1
제창,1
누,1
보시,1
지층,1
늦,1
뿌듯하다,1
스트로,1
커튼,1
더위,1
도심,1
여전하다,1
천원,1
바다,1
경우,1
럼,1
마찬가지,1
단위,1
재미,1
원,1
볶음밥,1
선명하다,1
치,1
엄청나다,1
붕어빵,1
크리미,1
데크,1
리그,1
퓨레,1
스티커,1
버섯모,1
코,1
외로워,1
다만,1
최고의,1
라인업,1
아쌈,1
자리다,1
기쁘다,1
빠르다,1
겉면,1
관광객,1
공영,1
'렌테,1
어썸,1
다사,1
간단하다,1
기도,1
힐링,1
나무,1
고구마,1
무슨,1
각,1
로마노,1
얼음,1
피스타치오,1
사라다,1
보장,1
맛있어	빵,1
가요,1
정갈하다,1
시절,1
주방,1
신나다,1
호호,1
풍요,1
왜인,1
금방,1
서늘하다,1
등산,1
에너지,1
샌디,1
제목,1
편,1
꽉,1
배꼽,1
육개장,1
자부심,1
잠시,1
전시장,1
정성,1
가고,1
몬,1
벌써,1
퀄리티,1
청록색,1
e,1
첫,1
휘낭시에	갑자기,1
웨이팅,1
노페,1
사가,1
쏙,1
핑크,1
청,1
정신,1
휘낭시에,1
합,1
딥,1
마운틴,1
도우,1
갈릴,1
그대로,1
매콤,1
생맥주,1
정규,1
살걸,1
간,1
전화,1
갔다!	낭만,1
공연,1
대비,1
"확인
연남동",1
딱이다,1
크기,1
든든하다,1
그냥,1
몹시,1
애,1
바탕,1
메뉴인,1
놀러와,1
재고,1
햤는데,1
구석구석,1
작년,1
마인드,1
기운,1
버터,1
"전문샵,",1
슈트,1
거저,1
호불호,1
-,1
보이,1
술,1
얼마,1
날인,1
슈가,1
골목길,1
리필,1
쇼핑,1
위안,1
샵,1
직역,1
대기,1
웨이,1
구움과자의,1
징,1
안쪽,1
"작성",1
필요,1
카라멜휘그,1
고생,1
세심,1
갤러리,1
이기,1
닭고기,1
필링,1
다짐,1
마산,1
"하루
홍대",1
쿠키,1
눅진하다,1
주신,1
회도,1
어보,1
배치,1
훌륭하다,1
블로썸,1
hus)’,1
제대로,1
지성껏,1
식,1
오흐뒤구떼(heur,1
대한,1
링크,1
꽤,1
분야,1
고민,1
종종,1
정이,1
지점,1
만족하다,1
센터,1
유사하다,1
김,1
애매하다,1
코스,1
일반,1
앙증맞다,1
솔드아웃,1
네이버,1
밉다,1
토스트,1
탕,1
찍기,1
저기,1
월량관|,1
만큼,1
접기,1
워낙,1
쪼끔,1
쾌적하다,1
식기,1
소맥,1
야식,1
한쪽,1
예상,1
"확인
[연남동",1
피펫,1
안내,1
이해,1
분홍색,1
드댕,1
아기자기하다,1
결과,1
초행길,1
호선,1
리본,1
"오흐뒤구떼,베르데,16강진출)	파티셰",1
팅,1
셜,1
스포이드,1
솔트,1
판다,1
걱정,1
별명,1
gouter)	상호,1
상호,1
테마,1
자랑,1
주민,1
시스템,1
후,1
잡고,1
가죽,1
냄새,1
좌측,1
더하다,1
솔티드,1
톡톡,1
여자친구,1
"카페,",1
한잔,1
시원하다,1
신건,1
나름,1
다크,1
프로포즈,1
대량,1
섭섭하다,1
스토,1
응원,1
수혈,1
깔꼼,1
거품,1
연하다,1
갔다가,1
고프다,1
피프에스프레소바(Pfiff),1
du,1
밀크,1
씨스루,1
나들이,1
어향가,1
제공,1
촉촉,1
이후,1
원래,1
광어,1
플로,1
다섯,1
(조앤도슨/홈어스/오흐뒤구떼/아티웨이브/지구샵/후카후카스튜디오/아트클로버)	조앤,1
달라,1
분명하다,1
색다르다,1
이색,1
카페드댕,1
노상,1
건물,1
이득,1
여,1
탐방,1
비교,1
인근,1
주저,1
거실,1
보,1
그립다,1
월드컵,1
딸기,1
어색하다,1
전부,1
보이지,1
머,1
충전,1
"층
230407",1
성공하다,1
겨울,1
여사,1
편하다,1
금일,1
건가,1
고양이,1
청량감,1
빵피,1
"같다
[연남동",1
소담,1
존,1
텀블러,1
마르다,1
킨,1
쟈,1
더욱,1
윤작,1
요기,1
린스,1
브레드,1
매운탕,1
장,1
물건,1
비용,1
"0	1
title	[]
연남동",1
재즈,1
상이,1
칭구,1
맛집	흐뒤,1
고추가,1
참새,1
법,1
워터,1
꿀,1
다난하다,1
튀김,1
망고,1
인,1
포토,1
평범하다,1
저장,1
대인,1
프로방스,1
간다,1
"작성
중요한",1
주심,1
녹색,1
소화,1
애국가,1
외롭다,1
용량,1
닉네임,1
계열,1
오설록,1
하나로,1
출입문,1
고급스럽다,1
색감,1
주먹,1
잉글리쉬,1
‘휘겔리후스(hyggelig,1
소소하다,1
쏠띵즈|하나킨	친구,1
여자,1
퐁신퐁신,1
여름,1
접근성,1
만난,1
번더,1
로서,1
사랑스럽다,1
손질,1
봄,1
하단,1
각각,1
레시피,1
관할,1
기대,1
어제,1
"사
중요한",1
아무,1
채,1
