word,count
요거트,2687
땡스오트,2229
있다,2201
그릭,1511
연남,1180
연남동,1155
그렇다,995
좋다,974
맛있다,946
같다,818
메뉴,752
샌드위치,720
카페,692
맛,663
것,653
곳,555
마포구,535
아보카도,519
주문,501
맛집,494
치즈,486
수,475
없다,468
사진,465
많다,453
서울특별시,435
더,424
길,422
볼,419
로,419
저,418
느낌,397
성미산,384
자리,361
건강하다,344
생각,333
때,327
방문,316
테이블,309
친구,308
집,308
좋아하다,303
아니다,298
시간,296
사람,295
예쁘다,295
점,295
정말,288
베,284
거,277
내부,271
날,266
연어,266
시럽,265
가게,263
매장,262
개,262
진짜,259
안,253
베이글,253
이,250
나,239
또,236
과일,235
햄,231
포장,225
베리,223
이다,220
추천,220
제,219
딸기,216
허니,213
정도,212
매일,208
분위기,204
좀,203
우리,203
메뉴판,200
귀엽다,198
동반,196
하나,195
내,194
판매,192
바나나,191
아가,190
오트밀,186
바로,183
번,183
체리,180
커피,179
위치,176
블루베리,175
숲길,175
강아지,174
분,174
팅,174
음료,171
여기,168
수제,166
경의선,165
공간,165
그레이,164
웨이,164
애견,163
및,163
웨이팅,162
앞,159
프,158
조합,158
그,155
나무,153
명,152
끝,151
작다,150
오,149
오늘,148
먹기,145
다음,145
푸딩,144
우드,143
위,143
덕,143
요즘,140
조금,140
사용,139
동영상,137
인테리어,135
서울,135
아쉽다,134
전,134
영업,133
때문,133
달달,132
무화과,131
그냥,130
해,130
물,129
외관,128
가능하다,127
처음,125
대기,125
저희,124
입구,123
가격,122
직접,121
옆,119
음식,118
듯,118
리즈,117
그릭요거트,116
유명하다,116
스트로베리,115
주말,115
보고,114
날씨,112
사실,112
식사,111
안국,111
이렇다,111
손님,110
코코넛,108
다른,107
아침,105
파크,105
재료,103
감성,103
역시,102
끼,102
소스,102
포스팅,101
보기,101
아주,100
인,99
따뜻하다,98
꼭,98
홍대입구역,97
라떼,96
중,96
모든,96
양,96
쪽,95
다이어트,95
블루,95
기분,94
이드,94
출구,94
모두,93
요,93
이쁘다,92
도착,92
나잇,92
종류,91
거리,91
뭔가,91
빵,90
꽤,90
개인,90
가좌역,89
홍대,89
용,89
가지,89
카운터,88
만,88
상큼,87
배,87
바질,87
가능,87
야외,87
게,86
뭐,86
고소하다,86
밉다,86
다시,86
티,85
말,85
평일,84
산책,82
좌석,82
마음,82
토핑,82
트럴,82
청,81
입,80
이름,79
식감,79
적,79
거의,79
가볍다,79
테라스,78
도,78
후기,78
포도,78
함,77
제철,77
참고,77
초록,77
완전,76
덥다,76
비,76
층,76
알,74
자주,74
님,74
살짝,74
걸,73
다양하다,73
일,72
게시,72
유기농,72
편,71
밖,71
원래,71
향,71
가깝다,71
고민,71
소개,70
팔로잉,69
디저트,69
자연,69
레놀라,68
건강,68
안쪽,68
후,68
문,67
팔로워,67
앤,67
이번,67
꿀,67
왜,67
줄,67
브런치,66
저녁,66
한번,66
피,66
신선하다,66
가득,66
반려견,65
반려동물,65
근처,65
판타지,65
그릇,65
별로,64
지금,64
데이트,64
계절,63
핫,63
가면,63
구매,62
이용,62
먼저,62
구경,62
재생,62
인기,61
건,61
초콜릿,61
못,60
약간,60
시작,60
넛츠,60
선택,59
보,59
자락,59
오픈,59
무,59
혼자,58
팀,58
야하다,58
얼,58
청포도,57
등,57
달,57
카카오,57
용기,56
눈,56
퍼피,56
건물,55
아기자기하다,55
주차,55
간단하다,54
가장,54
간,54
자체,54
쇼콜라,54
야채,54
예전,53
힘들다,53
항상,53
온,53
사랑,53
주변,53
아늑하다,53
괜찮다,53
굉장하다,53
실내,53
토마토,53
점심,53
바,53
적당하다,53
햇살,52
위해,52
네이버,52
행복하다,52
언니,52
숫,52
편이,51
넓다,51
계속,51
전체,51
감,51
트랩,51
깔끔하다,51
땡스,50
피그,50
기억,50
스토어,50
샐러드,50
너,50
인스타,49
를,49
이제,49
생,48
플라스틱,48
난,48
가을,48
어떻다,48
준비,48
제일,47
둘,47
바삭,47
일단,47
속,47
궁금하다,47
기본,47
오트,47
직원,46
두,46
추가,46
리뷰,46
오후,46
크림,46
취향,45
망고,45
마이,45
다크,45
밥,45
쭉,45
가기,45
비주,44
뒤,44
금방,44
화장실,44
서점,43
차,43
든든하다,43
/,43
글,43
부드럽다,43
다르다,42
살사,42
모습,42
견과류,42
조화,42
타치,42
블로그,41
마지막,41
접기,41
조용하다,41
가득하다,41
식물,41
땡,41
맘,41
아담하다,41
밀크,40
편하다,40
스마트,40
키위,40
돈,40
크루,40
운영,40
배부르다,40
비싸다,39
달콤하다,39
첫,39
자몽,39
하니,39
탄산수,39
시즌,39
코로나,39
거기,39
데리,38
지구,38
자리다,38
홀릭,38
필수,38
장소,38
레,38
여름,37
존맛,37
하루,37
채소,37
스오트,37
외부,37
간식,37
주소,37
봄,37
제로,37
공원,37
닙스,37
초코,36
로스,36
톤,36
신기하다,36
아메리카노,36
단맛,36
좁다,36
재,36
블랜디드,35
기도,35
통,35
최고,35
올리브,35
골목,35
햇빛,35
케이크,35
의자,35
편안하다,34
겨울,34
레시피,34
왼쪽,34
오두막,34
콤,34
담,34
만족스럽다,34
동물,34
블랙,34
스타일,33
계시다,33
매우,33
라나,33
숲속,33
훈제,33
요기,32
몸,32
멀다,32
입장,32
해도,32
바깥,32
친절하다,32
반,32
레몬,32
중간,32
손,32
데,32
댕댕,32
예약,31
세상,31
경우,31
듬뿍,31
안되다,31
하늘,31
이유,31
나중,31
사이,31
사람과,31
교,31
무엇,30
아래,30
메인,30
카라멜,30
발견,30
도넛,30
하와,30
전문점,30
대신,30
갑자기,30
낮,30
사장,30
리스본,30
나들이,29
오른쪽,29
드,29
홀,29
선,29
산,29
이안,29
워낙,29
휴무,29
겸,29
다행하다,29
입맛,29
미치다,29
:,29
주차장,29
무조건,29
바람,28
안녕하다,28
레어,28
설탕,28
동안,28
원하다,28
타고,28
블렌디드,28
의,28
식,28
창가,28
평소,28
라면,28
쯤,28
나름,28
땐,28
친,27
기대,27
얼마,27
움,27
류,27
하바나,27
몇,27
패션후르츠,27
솔직하다,27
굿모닝,27
동화,27
임,27
은근,27
귀리,27
사과,27
즐겁다,27
일요일,27
달라,26
레인,26
순간,26
살,26
먹음,26
단,26
음,26
막,26
싱싱하다,26
작고,26
운,26
곡물,26
약속,26
인스타그램,25
동네,25
픽,25
실제,25
랄,25
미리,25
담백하다,25
친환경,25
여러분,25
컵,25
빠르다,25
크기,25
일상,25
인석,25
제품,25
수다,25
시,25
기대하다,25
걱정,25
미숫가루,25
여유,24
석,24
아마,24
불편하다,24
텀블러,24
힐링,24
오전,24
확실하다,24
애매하다,24
덜,24
최근,24
마치,24
오빠,24
강하다,24
엄청나다,24
피스타치오,24
충분하다,24
은,24
소품,24
쇼핑,24
레몬에이드,24
버스,24
수가,24
보통,24
얼마나,24
맥주,24
느끼하다,23
건강한,23
스콘,23
치아,23
부담,23
저기,23
수도,23
대부분,23
준,23
고프다,23
방식,23
비교,23
엄마,23
무슨,23
여러,23
성,23
김광규,23
점도,23
일찍,23
계산,23
일반,23
길다,23
검색,23
테이크아웃,23
도보,23
냄새,23
여,22
장,22
배고프다,22
레이어,22
버터,22
애플,22
개조,22
비쥬,22
양은,22
스푼,22
다이어터,22
선물,22
포만,22
세트,22
간판,22
식당,22
등장,22
총,22
첨가,22
찍,22
자극,22
한적하다,22
두기,21
샷,21
구,21
꽉,21
잠시,21
새롭다,21
이동,21
어렵다,21
걷기,21
주택,21
끄트머리,21
꽃,21
더욱,21
부분,21
의사,21
신나다,21
대용,21
덕분,21
어디,21
우린,21
상콤,21
월요일,21
제대로,21
오마이,21
남자친구,21
버거,21
마을,21
기,21
굿,21
노래,21
연희동,21
철길,20
주의,20
강,20
심지어,20
한참,20
불구,20
잔뜩,20
대표,20
오히려,20
약,20
조명,20
플레이,20
잔,20
최애,20
결정,20
정,20
-,20
술,20
링,20
도전,20
유,20
푸릇푸릇,19
보시,19
목,19
식품첨가물,19
만난,19
벌써,19
전화,19
저격,19
찰떡,19
리,19
중이,19
그래놀라,19
방부제,19
파인애플,19
새싹,19
물티슈,19
벽돌,19
리얼,19
얘기,19
동생,19
그대로,19
보이,19
싹싹,19
멀리,19
종종,19
투어,19
구성,19
강추,19
맨,19
인터넷,19
면,19
지난,19
감동,18
카페],18
웨,18
시드,18
이스트,18
스프,18
"맛집,",18
행복,18
인생,18
사이즈,18
풍경,18
주방,18
매력,18
남편,18
레드,18
찍기,18
또한,18
식기,18
포스터,18
모멘트,18
곳곳,18
재밌다,18
급,18
자마자,18
마무리,18
전화번호,18
가물,18
식단,18
칩,18
마침,18
안내,18
시원하다,18
처,18
여행,17
책,17
곳도,17
포기,17
딱이다,17
희다,17
럼블,17
협소,17
떡볶이,17
지점,17
루꼴,17
끝쪽,17
만석,17
이후,17
전부,17
토요일,17
저번,17
센스,17
당근,17
밤,17
조화롭다,17
표지판,17
여기저기,17
통로,17
잎,17
호불호,17
답,17
핫플,17
맛없다,17
회전,17
리스트,17
오시,17
예상,17
인정,17
"길
연남동",17
피넛,16
딱딱하다,16
짱,16
스럽다,16
소리,16
만족,16
작성,16
덕함,16
불가,16
이야기,16
환경,16
세,16
자꾸,16
와인,16
트,16
컷,16
명단,16
가야,16
여자,16
점심시간,16
기준,16
관심,16
비슷하다,16
알차다,16
원목,16
모,16
딸,16
유행,16
"땡스오트,",16
필요하다,16
마감,16
쫀쫀,16
전용,16
욤,15
은은하다,15
규모,15
물이,15
다만,15
넉넉하다,15
창문,15
톨,15
맛있는,15
짐,15
마인드,15
중앙,15
하얗다,15
토,15
숟가락,15
벤치,15
자세하다,15
재배,15
판다,15
언제,15
부터,15
지도,15
결제,15
겉,15
통해,15
::,15
밑,15
타임,15
고,15
이웃,15
구간,15
양도,15
쥬,15
콩,15
믹스,15
착용,15
회사,15
사회,15
쿠키,15
싫어하다,15
인위,15
아이스,15
주,15
확인,15
잡고,15
뭘,15
연트럴,15
지향,15
페이,14
데이,14
짧다,14
그것,14
벽,14
착하다,14
온유,14
낮다,14
인원,14
앤베,14
애,14
요런,14
고고,14
내용물,14
배달,14
대한,14
오기,14
가끔,14
생일,14
잠깐,14
합정,14
대박,14
저렴하다,14
쭈욱,14
작업,14
사서,14
목줄,14
예정,14
런가,14
고해,14
힘드다,14
진심,14
일본,14
나혼자산다,14
츠,14
단점,14
월,14
부족하다,14
치킨,14
만해,14
습,14
얼굴,14
톡,14
나초,14
이상,14
나쵸,14
소중하다,14
특별하다,14
지하,14
순삭,14
길이,14
설명,14
퀴노아,14
스무디,14
창,14
라임,14
가도,14
그린,13
상태,13
두번째,13
잔디,13
경의,13
비건,13
수저,13
아사,13
과,13
이서,13
벚꽃,13
호점,13
작년,13
구입,13
문제,13
만족하다,13
물씬,13
난리,13
냉동,13
철,13
조각,13
팔고,13
깨끗하다,13
사,13
호캉스,13
귀찮다,13
싫다,13
우선,13
연희,13
요건,13
실패하다,13
나쁘다,13
각,13
뿐,13
바닥,13
오일,13
땡쓰오트,13
늘,13
안나,13
점점,13
우유,13
옛날,13
레이스,13
곧,13
종이,13
간만,13
촉촉하다,13
가까이,13
크게,13
가정,13
덕후,13
아기자기,13
후회,13
산미,13
발,12
당황,12
닷,12
신맛,12
인지,12
음악,12
제외,12
병,12
아깝다,12
공명,12
매번,12
시킴,12
