word,count
디저트,573
있다,533
카페,467
데이,418
인어,415
연남동,414
해피니스,403
쿠키,330
좋다,239
맛있다,208
맛,190
수,137
버터,126
맛집,125
같다,119
개,115
수제,110
곳,102
것,98
길,94
초코,91
마포구,90
메뉴,90
교,86
사진,85
정말,83
주문,82
브루,82
테이블,81
더,81
재료,80
분위기,79
추천,78
호,76
티,76
많다,76
느낌,75
인테리어,74
키,74
진짜,74
커피,73
음료,73
사장,68
아메리카노,67
친구,67
공간,67
예쁘다,66
사용,66
시간,64
저,64
넓다,63
및,62
좋아하다,60
발,59
포장,59
치즈,59
제,57
집,56
오레오,55
명,55
서울특별시,55
층,54
때,54
없다,53
동영상,53
달달,52
방문,51
유명하다,51
이다,50
초콜릿,50
라떼,49
높다,49
미아,49
매장,48
마카,48
거,48
안,47
유자,47
메,47
하나,46
다양하다,46
스모,46
그렇다,45
크림,45
아니다,44
밀가루,43
인천,43
바,43
브랜드,43
위치,42
또,42
칩,42
로나,42
데이트,42
이,41
요,40
서울,40
이벤트,39
월요일,39
스콘,38
럼블,38
휴무,38
함량,38
말차,38
고소하다,38
내부,37
유기농,37
위,37
중,36
생각,36
종류,36
물,36
처,35
가득,35
간격,34
대표,34
배달,33
미가,33
깔끔하다,33
페퍼로니,33
보기,32
여기,32
이상,32
영업,32
다른,32
기분,31
복숭아,31
오픈,31
콘치,31
귀엽다,31
얼그레이,30
가격,30
등,29
안쪽,29
덥다,29
브라우니,28
편안하다,28
정도,28
구매,27
오늘,27
바우트,27
딸기,27
게시,27
치즈케이크,27
번,27
부드럽다,27
시원하다,27
팔로워,26
팔로잉,26
홍대,26
카카오,26
님,26
꼭,25
테이크아웃,25
세컨,25
가능하다,25
분,25
추가,25
아주,25
이드,25
처음,24
입구,24
향,24
최고,24
선택,24
발효,24
황,24
고민,24
요즘,24
날,23
내,23
바로,23
구월동,23
케이크,23
감성,23
입,22
나,22
화이트,22
준비,22
벨벳,22
레드,22
손님,22
증정,22
지역,21
그,21
얼,21
떠먹쿠,21
바스크,21
완전,21
애플,21
해,21
저희,20
배치,20
건물,20
모든,20
옥수수,20
홍대입구역,20
사실,20
다음,19
소르베,19
편하다,19
핫,19
의,19
진행,19
블랙,19
제일,18
참고,18
사람,18
알,18
달,18
가게,18
아이스크림,18
계단,18
쪽,18
조합,18
함,18
눈,18
아지트,18
골목,17
햇살,17
약과,17
옷,17
재배,17
보,17
톤,17
엄선,17
소파,17
나사,17
발견,16
직접,16
피자,16
도,16
뛰어나다,16
말,16
스타일,16
소개,16
위해,16
비,16
또한,16
컨셉,16
옆,16
유지방,16
주소,16
아늑하다,16
자리,16
앞,16
청정,16
모카,16
어떻다,16
후기,15
친절하다,15
시나몬,15
신상,15
아이스,15
일,15
달콤하다,15
유리,15
거울,15
빵,15
이렇다,15
보고,15
듯,15
때문,15
모두,15
메뉴판,15
단,14
서비스,14
해피니스인어데이,14
궁금하다,14
연남,14
전,14
류,14
역시,14
왜,14
진하다,14
온,14
용,14
취향,14
우유,14
의자,14
마음,14
먹기,13
우선,13
리뷰,13
피스타치오,13
괜찮다,13
간,13
유명,13
자체,13
이유,13
가운데,13
쇼파,13
행복하다,13
제공,13
가장,13
전화번호,13
못,13
답,13
가성,13
재미,12
킹,12
베이,12
어디,12
가지,12
온라인,12
덕,12
약간,12
출구,12
견과류,12
소품,12
오라,12
밉다,12
먼저,12
시즌,12
빨대,12
밀크,11
이용,11
인기,11
기대,11
조금,11
정기,11
이번,11
보이,11
감각,11
한번,11
가능,11
통,11
주말,11
우리,11
가득하다,11
좀,11
살짝,11
스티커,11
차,11
아쉽다,11
센스,11
비주,11
여름,11
직,11
그냥,11
걸이,11
제대로,11
포인트,11
모히또,11
점,11
카운터,11
상,11
현재,11
걸,10
밥,10
바닐라,10
여러,10
거리,10
통창,10
글,10
아기자기하다,10
조용하다,10
적당하다,10
만,10
고급,10
문,10
날씨,10
화장실,10
편,10
콜드,10
대비,10
좌석,10
맘,10
꽤,10
플레인,10
여자친구,10
라임,10
게,9
얘기,9
지금,9
이름,9
포토,9
식감,9
감,9
페인,9
랏세,9
식사,9
네이버,9
초코쿠키,9
해피,9
주차,9
자주,9
이야기,9
무엇,9
전체,9
민족,9
인스타그램,9
장소,9
상큼,9
논,9
화,9
디카,9
둘,9
창가,9
하루,9
설명,9
외투,9
아아,9
볼,8
느끼하다,8
다르다,8
아래,8
더욱,8
벽,8
부분,8
진심,8
신기하다,8
본점,8
포스팅,8
블루베리,8
중이,8
뭐,8
를,8
당,8
연유,8
따뜻하다,8
판매,8
줄,8
마치,8
조명,8
블로그,8
메인,8
카라멜,8
픽,8
간판,8
아깝다,8
인석,8
구경,8
레몬,8
비쥬,8
민트,8
후,8
일단,8
다이어트,8
먹음,7
평,7
깊다,7
불편하다,7
존,7
해피니스인어데이	안녕하다,7
경우,7
계시다,7
대화,7
굉장하다,7
편이,7
찰떡,7
얼마,7
포근하다,7
시,7
뒤,7
뭔가,7
특이하다,7
부담,7
"호
연남동",7
찍기,7
최상급,7
유기농법,7
동반,7
냉동,7
분리,7
수도,7
혼자,7
대박,7
쇼케이스,7
고해,7
고급스럽다,7
색감,7
맛있는,7
마들렌,7
가깝다,7
미치다,7
세컨드,7
근처,7
평소,7
콤달콤,7
도보,7
번길,7
밖,7
선물,7
담백하다,6
계속,6
프랑스,6
장식품,6
크리스마스,6
순간,6
곳곳,6
씁쓸하다,6
매우,6
기준,6
채광,6
새롭다,6
움,6
카페인,6
중간,6
모양,6
점심,6
콘치즈,6
쫀득해,6
정보,6
언제,6
단체,6
영화,6
솔직하다,6
쫀쫀,6
진,6
가도,6
유가,6
원래,6
왕,6
거실,6
겉,6
개인,6
농법,6
비싸다,6
아웃,6
힐링,6
마지막,6
창문,6
음악,6
무척,6
스럽다,6
굿굿,6
반려동물,6
탑,6
도착,6
색상,6
배우,6
건,6
독특하다,6
테이크,6
진열,6
평일,6
남자친구,6
포크,6
가끔,6
바삭,6
기,6
사이,6
촉촉하다,6
보통,6
얼마나,6
냄새,6
피치,6
지도,6
진행중,5
짱짱,5
전부,5
무슨,5
로부터,5
금방,5
성,5
행,5
덕분,5
하니,5
그대로,5
힘들다,5
살,5
작성,5
리,5
두,5
오후,5
운영,5
고고,5
완벽하다,5
전혀,5
달콤,5
헤이즐넛,5
가면,5
특별하다,5
호주,5
확실하다,5
모던,5
재,5
화요일,5
굿,5
주차장,5
마시멜로우,5
필수,5
외부,5
라면,5
케잌,5
기억,5
쉬,5
이쁘다,5
한잔,5
방문자,5
수다,5
영상,5
산미,5
세,5
음식,5
오빠,5
수진,5
행복,5
은은하다,5
독일,5
로만,5
근방,5
강하다,5
밑,5
별로,5
착하다,5
아쌈,5
초콜렛,5
철산,5
컨,5
만남,5
장애,5
등장,5
실내,5
상상,5
식,5
매력,5
남편,5
자연,5
힙,5
종이,5
판,5
생일,5
어렵다,5
수가,5
이제,5
나름,5
인스타,5
다시,5
속,5
준,5
갈색,4
여행,4
끼리,4
티라미수,4
업체,4
포스트잇,4
더더,4
쓰시,4
민초,4
사이사이,4
인,4
샷,4
등등,4
너,4
편안함,4
결론,4
기본,4
첫,4
안녕하다,4
천장,4
잔,4
만해,4
정,4
지유,4
로,4
잼,4
좁다,4
콕,4
안되다,4
웨이,4
바랑,4
아치,4
관리,4
주,4
운동,4
경기도,4
개방,4
검색,4
바쁘다,4
광명시,4
항상,4
쌉쌀하다,4
일요일,4
덕후,4
디,4
시작,4
빈,4
캐릭터,4
마시멜로,4
탁,4
특유,4
실,4
색다르다,4
소문,4
석,4
비교,4
여러분,4
규모,4
스피커,4
상당하다,4
고,4
타임,4
등급,4
쌉싸름하다,4
러그,4
엄청나다,4
컷,4
전반,4
어유,4
내일,4
자리다,4
미드,4
풍부하다,4
낮다,4
오,4
푸딩,4
에이,4
벌써,4
퀄리티,4
랄,4
쫀득,4
모임,4
구석구석,4
비슷하다,4
홍차,4
방명록,4
디자인,4
링크,4
데,4
찾기,4
콘,4
나머지,4
퐁당,4
아메로,4
만큼,4
확인,4
룸,4
검증,4
만족스럽다,4
자세하다,4
궁합,4
합격,4
콘도,4
잔잔하다,4
키치,4
찍,4
가까이,4
굳다,4
완료,4
자극,4
부모님,4
젤,4
대부분,4
창,4
색,4
서울시,4
일이,3
밸런스,3
여유,3
책,3
순이,3
다섯,3
한편,3
욕심,3
자꾸,3
인증샷,3
러버,3
도리,3
오른쪽,3
탐방,3
턴테이블,3
미로,3
통해,3
청량감,3
연출,3
신기,3
집중,3
마찬가지,3
요건,3
몫,3
까다롭다,3
차로,3
법,3
꿀,3
핫초코,3
작다,3
월,3
스,3
실제,3
양도,3
적,3
이나,3
미쁘동,3
트리,3
뿐,3
쥬,3
진동,3
곳곳이,3
전화,3
커플,3
라테,3
주황색,3
헤헤,3
냉장고,3
"이다
연남동",3
희다,3
식당,3
비밀,3
난,3
외관,3
신경,3
핫플,3
시선,3
박서,3
존맛,3
기둥,3
손,3
경험,3
보관,3
잔뜩,3
보지,3
흔적,3
각종,3
사인,3
코스,3
노란색,3
반,3
치즈케잌,3
나중,3
인상,3
간만,3
쾌적하다,3
금요일,3
과자,3
특징,3
닭갈비,3
겸,3
푹,3
매트,3
밀도,3
약속,3
디저트가,3
일행,3
코지,3
담요,3
자칫,3
바깥쪽,3
조각,3
거도,3
재생,3
주황,3
쇼룸,3
감동,3
나들이,3
뷰,3
촉촉,3
어쩐지,3
몇몇,3
우동,3
피,3
대요,3
페이,3
왕창,3
원하다,3
해도,3
베이스,3
장님,3
기도,3
야무지다,3
짱,3
구,3
충분하다,3
봄,3
에너지,3
잠시,3
위주,3
콤,3
마무리,3
저격,3
판이,3
톡,3
솔직,3
듬뿍,3
단맛,3
저녁,3
제품,3
구리,3
폭,3
퍽퍽,3
매치,3
역대,3
햇빛,3
모,3
쭉,3
중앙,3
칭찬,3
에어컨,3
대한,3
넵킨,3
왼쪽,3
레이스,3
노랗다,3
케익,3
덕함,3
쑥,3
베,3
무드,3
죵,3
건강하다,3
볼때,3
조화,3
연예인,3
기현우,3
최고급,3
덜,3
몇,3
남,3
언급,3
감상,3
패스,3
안성맞춤,3
중요하다,3
믿음,3
쓴맛,3
신뢰,3
구성,3
배부르다,3
방안,3
팅,3
메모,3
멋있다,3
뎅,3
형식,3
더하다,3
오리로,3
포차,3
구조,3
쭈욱,3
페페로니,3
노력,3
한적하다,3
마시기,3
깨끗하다,3
디저트맛집,3
벽돌,3
타르트,3
주택,3
부터,3
핵,2
바삭바삭하다,2
어스,2
선,2
목,2
특성,2
데리,2
햇볕,2
계절,2
욤,2
하우스,2
묵직하다,2
슬램덩크,2
머리,2
곳도,2
피넛,2
진정하다,2
맛보기,2
즐,2
"휴무
해피니스인어데이,",2
키치한,2
하해,2
카노,2
럽,2
쟁반,2
최대한,2
포토시,2
레몬이,2
투명,2
보도,2
따닥따닥,2
티브,2
고객,2
흰색,2
극혐,2
화일,2
토요일,2
금,2
카페],2
무선,2
막,2
람사,2
로비,2
서도,2
호텔,2
원,2
더욱더,2
와우,2
일본,2
크런키,2
아인,2
마끼아또,2
추억,2
얘,2
실패하다,2
진리,2
간다,2
잇님들,2
요리조리,2
간단하다,2
체인점,2
토닉,2
오붓하다,2
얼른,2
의사,2
오또케,2
밤,2
어서,2
동네,2
지하철,2
떨기,2
인용,2
여자,2
토핑,2
만점,2
쭉쭉,2
땡,2
유자차,2
척,2
재질,2
창의,2
채,2
부족하다,2
홀,2
원고료,2
소리,2
요청,2
여기저기,2
결정,2
최애,2
카페트,2
인사,2
철산역,2
따스하다,2
과,2
고풍,2
편리하다,2
강력하다,2
정식,2
만약,2
차림,2
영어,2
어,2
하체,2
산뜻하다,2
떡,2
요런,2
IN,2
