word,count
있다,3671
마가렛,3455
카페,3263
연남,3201
디저트,2928
층,2752
연남동,2190
케이크,1871
좋다,1640
많다,1433
맛있다,1382
예쁘다,1356
같다,1211
것,1042
자리,976
맛,973
스콘,960
사진,940
크림,909
길,863
큐브,851
마포구,837
곳,778
로,778
주문,763
파이,750
없다,745
성미산,738
커피,689
종류,658
음료,639
수,635
서울특별시,633
테라스,611
사람,590
다양하다,579
분위기,578
느낌,562
진짜,552
더,537
저,524
아메리카노,524
방문,519
맛집,517
테이블,516
안,511
빵,510
정말,504
아니다,479
공간,475
하나,467
메뉴,458
때,449
날,447
친구,435
여기,425
치즈,423
생각,423
시간,417
좋아하다,411
이,404
그렇다,397
거,394
이다,374
개,366
또,361
귀엽다,359
추천,356
제,345
내부,340
인테리어,332
티,330
서울,330
좌석,326
감성,325
야외,325
딸기,323
매일,313
우리,310
나,308
바로,298
접시,296
베이커리,293
도넛,292
이쁘다,291
다음,287
좀,279
다른,276
주택,272
아이스,271
내,270
날씨,267
홍대,255
눈,253
라떼,251
번,251
레몬,250
고민,248
초코,247
개조,244
얼,243
중,240
달달,240
집,234
명,234
정도,230
핫,230
밀크,226
조금,222
그냥,220
외관,220
아쉽다,219
그,219
이렇다,219
저희,218
요,216
우유,215
요즘,215
위치,212
컵케이크,210
비주,209
오늘,209
위,208
햇살,206
보고,206
피스타치오,205
입구,204
및,204
꽤,204
컵,202
소품,198
영업,197
분,193
듯,191
가격,189
꼭,189
동영상,188
전,186
이드,185
타르트,183
매장,180
메뉴판,180
구경,179
인,178
유명하다,177
단호박,176
포장,174
에그타르트,174
가득,174
넓다,172
주말,171
크리스마스,168
역시,167
홍대입구역,165
점,164
사실,163
인스타,163
말차,162
아주,161
부드럽다,161
덥다,158
해,157
평일,157
바닐라,156
거리,155
마음,155
만,153
앞,152
케익,149
저녁,149
먼저,149
밥,148
게,148
등,148
아기자기하다,146
별로,143
선택,142
다시,142
보기,142
먹기,140
생크림,140
한번,139
따뜻하다,138
보,136
안쪽,134
데이트,133
출구,132
옆,132
가능하다,131
존,131
잔,131
치즈케이크,130
약간,129
후기,129
뭐,129
이용,127
처음,127
가득하다,126
포토,126
완전,126
가지,126
못,125
카운터,124
의자,124
일단,124
쪽,123
무화과,123
화장실,122
물,121
수플레,121
아아,121
제일,120
살짝,119
걸,119
후,119
초록,118
도,118
말,118
자몽,117
류,117
손님,117
가능,115
취향,115
모두,115
함,113
리뷰,113
가게,112
때문,112
방,111
자리다,111
가면,111
입,110
진열,110
바질,110
식물,110
너,110
준비,110
고소하다,110
향,109
참고,108
달,107
당근,106
기분,106
트리,105
힘들다,104
뭔가,104
인기,103
깔끔하다,103
조합,102
쿠키,102
괜찮다,101
가장,100
브라우니,99
소개,99
밖,99
포스팅,98
게시,98
처,98
가기,96
얼그레이,95
페스,94
왜,93
찍기,93
계단,92
근처,92
츄리,92
배,91
님,91
빅토리아,90
거의,90
팔로워,90
작다,90
편,90
블루베리,90
줄,90
네이버,89
외부,89
동반,89
팔로잉,89
토마토,89
온,89
진하다,88
이제,88
모습,88
이번,86
미치다,86
원래,85
궁금하다,85
직접,85
반려동물,85
캐년,85
전체,84
먹음,84
어떻다,84
달콤하다,83
색감,83
봄,83
맘,83
실내,83
곳곳,82
계산,82
나무,81
발견,81
개인,80
오픈,79
알,79
일,79
다르다,79
꽃,79
상큼,78
페인,78
편이,78
오후,78
디카,78
크로우,78
적당하다,77
천국,76
건,76
자체,75
목련,75
행복하다,75
점심,75
/,74
조각,74
도보,74
볼,73
지금,73
움,73
로투스,73
무난,73
차,73
두,73
밤,72
팅,72
최고,71
바삭,71
청포도,70
둘,70
모양,70
산미,70
재미,70
굉장하다,70
추가,69
쇼케이스,69
시작,69
홀,68
시원하다,68
도착,68
버터,68
배부르다,68
속,68
주소,67
용,67
벚꽃,67
누텔라,67
판매,67
원하다,67
성,67
멜론,66
흑임자,66
집게,66
중간,66
인절미,66
창가,66
직,66
여유,65
사용,65
마지막,65
주차,65
블로그,65
이름,65
식감,65
픽,65
답,65
투어,65
톤,64
아인,64
직원,64
계속,64
촉촉하다,64
어디,63
비,63
샷,63
웨이팅,63
춥다,63
낮,63
쑥,62
만석,62
교,62
베리,62
카페인,62
그릇,62
비쥬,62
색,62
뷰,61
골목,61
부분,61
스럽다,61
핫플,61
돈,61
이상,60
스타일,60
슈페,60
예약,59
모든,59
상태,59
요기,58
체리,58
여름,58
끝,58
수다,58
웨이,58
산,58
재,58
결정,57
운,57
순수,57
야하다,57
존맛,56
이유,56
편하다,56
동생,56
요거트,56
통창,56
생일,56
즐겁다,56
바,56
가을,56
티라미수,55
베스트,55
간,55
위해,55
땐,55
디자인,55
잡고,55
무조건,55
마가렛연남,55
인생,54
시나몬,54
담,54
피넛,53
건물,53
바깥,53
채광,53
산책,53
제대로,53
벨,53
덕,53
석,52
보이,52
달라,52
안녕하다,52
무,52
신상,52
시트,52
구매,51
힐링,51
여러,51
한참,51
햇빛,51
포스터,51
조용하다,51
나들이,51
비싸다,51
뒤,51
숲길,51
무엇,50
등등,50
매우,50
기억,50
"층
연남동",50
시,50
안되다,50
기대,49
감,49
진동,49
하루,49
꽉,49
버터크림,49
은,48
주차장,48
자주,48
뭘,48
아래,48
리얼,48
경의선,47
카페라떼,47
마련,47
엄마,47
그림,47
새롭다,46
:,46
나중,46
검색,46
워낙,46
필수,46
통,46
카페],46
저격,46
잼,46
다행하다,46
좁다,46
과일,46
선물,46
느끼하다,45
플레,45
임,45
사랑,45
불편하다,45
황,45
소금,45
왼쪽,45
어렵다,45
로얄,45
창문,44
구,44
드,44
난,44
를,44
사장,44
강하다,43
곰돌이,43
정신,43
입맛,43
항상,43
디저트가,43
우드,43
문,43
해도,43
맛있는,43
블랙,43
대부분,43
음식,42
주변,42
|,42
포인트,42
기,42
예쁜,41
샤인,41
기본,41
외,41
양,41
만족스럽다,41
패스,41
바나나,41
타임,40
언니,40
마당,40
매력,40
특이하다,40
바람,40
희다,40
과자,40
데,40
사이,40
혼자,39
아늑하다,39
계시다,39
겨울,39
푸딩,39
가깝다,39
럼블,39
파스타,39
민트,39
초코우유,39
나름,39
갑자기,39
오렌지,38
허니,38
밑,38
파운드,38
킷캣,38
골,38
화이트,38
반,38
아깝다,38
컨셉,38
모,38
친절하다,38
장식,37
기도,37
넘치다,37
이동,37
순이,37
논,37
여기저기,37
크기,37
몇,37
만큼,37
아기자기,37
지도,37
여러분,36
진심,36
쥬,36
케잌,36
이야기,36
알록달록,36
피칸,36
비슷하다,36
레이스,36
벽돌,36
겉,35
컷,35
얘기,35
고구마,35
실제,35
따스하다,35
살,35
운영,35
알록달록하다,35
단,35
막,35
망고,35
가야,35
장소,35
폭,35
찍,35
푸릇푸릇,34
잔뜩,34
글,34
거기,34
전화번호,34
만족,34
구석구석,34
고고,34
스팟,34
액자,34
구성,34
카라멜,33
엄청나다,33
트럴,33
덕분,33
얼마,33
손,33
확실하다,33
자연,33
조화,33
걱정,33
수도,33
파크,33
연남	안녕하다,33
벌써,33
솔드아웃,33
아인슈페너,33
구조,33
런가,32
인스타그램,32
앤,32
그대로,32
코스,32
대박,32
"카페,",32
가정,32
벽,32
포기,32
미리,32
식,32
일반,32
보통,32
소리,31
정,31
듬뿍,31
가구,31
가운데,31
방문자,31
진,31
컬러,31
거울,31
유럽,31
확인,31
티크,31
트,30
대화,30
뽀또,30
완벽하다,30
노랑,30
휴무,30
오히려,30
조명,30
애견,30
결제,30
나쁘다,30
여자,30
히비스커스,30
리,30
좋은,30
연남	연남동,30
파스텔,30
창,30
솔직하다,30
마치,29
곳도,29
신기하다,29
닉,29
강아지,29
저기,29
머스켓,29
더욱,29
원,29
유리,29
식당,29
버거,29
머핀,29
파티,29
냄새,29
한적하다,29
빈,29
겹,28
출처,28
생,28
당연하다,28
선선,28
재밌다,28
오,28
적,28
옷,28
마멀레이드,28
초,28
원두,28
면,28
기준,28
바쁘다,28
성공,28
예전,27
찰떡,27
포근하다,27
만족하다,27
물씬,27
끼,27
테이크아웃,27
라면,27
한잔,27
연말,27
여행,27
입장,27
통해,27
무슨,27
첫,27
콤,27
뿐,27
아침,27
간판,27
마무리,27
일찍,27
냉장고,27
구리,27
맛없다,27
감각,27
노랗다,27
반하다,27
간격,27
기대하다,27
평소,27
낭낭,27
수가,27
도전,27
크게,27
답답하다,27
높다,26
보시,26
순간,26
동네,26
심지어,26
독특하다,26
은근,26
남편,26
굿,26
셀프,26
패션후르츠,26
대형,26
오브,26
각,26
신나다,26
금방,26
총,26
주,26
각종,26
방이,26
마감,26
음,25
은은하다,25
세상,25
메인,25
멀다,25
하니,25
오기,25
단독주택,25
세,25
시끄럽다,25
풍경,25
얼른,25
잠시,25
군데,25
디스,25
자,25
불가,25
대신,25
사,25
여,24
랜,24
센스,24
디저트카페,24
필름,24
식사,24
보늬밤,24
포크,24
구석,24
전부,24
남아,24
::,24
스,24
설레다,24
딱이다,24
아이,24
우린,24
늘,24
옥수수,24
화려하다,24
빈티,24
시즌,24
연남	마가렛,24
가볍다,24
필요하다,24
강추,24
욤,23
잡기,23
누,23
저번,23
빠르다,23
이서,23
애매하다,23
밉다,23
약속,23
아마,23
소바,23
경우,23
'마가렛,23
랄,23
화분,23
요런,23
제로,23
낌,23
동안,23
마침,23
터,23
영상,22
편안하다,22
간단하다,22
연어,22
플레이,22
전화,22
-,22
퍽퍽,22
의,22
배치,22
"연남,",22
한쪽,22
소스,22
겸,22
냉장,22
옆쪽,22
변경,22
다만,22
평범하다,22
녹차,22
신경,22
에어컨,22
할인,22
얼마나,22
빨갛다,22
젤,22
후회,22
커서,21
빛,21
꿀,21
넉넉하다,21
아무,21
재료,21
애,21
겹겹이,21
뻔,21
멀리,21
모형,21
기록,21
인정,21
멋지다,21
충전,21
의사,21
호,21
인석,21
초록색,21
설명,21
뿜뿜,21
인상,21
고기,21
파롤,21
패스츄리,21
깨끗하다,21
돼지,21
햇볕,20
러버,20
페이,20
초도,20
촬영,20
회사,20
루이보스,20
옛날,20
특별하다,20
싱그럽다,20
레드,20
힙,20
분리,20
평,20
토요일,20
셋,20
급,20
강,20
까페,20
노,20
색상,20
가시,20
품절,20
보지,20
모던,20
길다,20
수제,20
다소,20
소파,20
퇴근,20
특유,19
거실,19
도슨,19
고,19
마포,19
촉,19
일상,19
공원,19
사고,19
쾌적하다,19
겨우,19
주민,19
랑그,19
있는,19
겉바,19
카드,19
우선,19
머,19
사이즈,19
타고,19
튀김,19
확,19
픽업,19
레이어,19
동화,19
장애,19
징,19
점점,19
다이닝,19
버스,19
착석,19
잠깐,19
덜,19
룸,19
중요하다,19
쯤,19
카메라,19
에스프레소,19
귀찮다,18
북적,18
행복,18
커스터드,18
오전,18
네,18
점심시간,18
후식,18
초코바나나,18
테틈,18
몇개,18
떡볶이,18
김,18
노란색,18
인간,18
하늘,18
초이,18
노래,18
정보,18
캐모마일,18
급하다,18
연희동,18
딱딱하다,18
덕후,18
구비,18
저장,18
피자,18
낮다,18
야무지다,18
여러가지,18
충분하다,18
모임,18
등장,18
귀염,18
지난번,18
구역,18
각자,18
정리,18
지인,18
니,18
준,18
사서,18
트리플,18
계절,17
동기,17
선호,17
오빠,17
피,17
배경,17
호다닥,17
상당하다,17
심,17
랍니,17
세트,17
와이파이,17
광,17
최애,17
과,17
쌀국수,17
메론,17
보관,17
미나리,17
찾기,17
봄날,17
해피,17
언제,17
일요일,17
인터넷,17
책,17
왕,17
워,17
뜨겁다,17
코,17
간다,17
조앤,17
인원,17
인지,17
메뉴인,17
역,17
벨벳,17
지난,17
유,17
제법,17
목,16
오른쪽,16
어쩜,16
가요,16
만난,16
짱,16
핑크,16
곳곳이,16
카푸치노,16
취식,16
시선,16
장난,16
대충,16
누가,16
부담,16
"층
[연남동",16
최근,16
예상,16
연하다,16
절대,16
눈치,16
복숭아,16
나이프,16
대가,16
박스,16
