word,count
케이크,147
무무,120
베이,114
옥수수,105
있다,87
초당,83
아이스크림,74
푸딩,63
사진,46
것,40
맛,37
럼블,34
연남동,33
연남,33
같다,32
수,31
마포구,31
길,29
로,29
맛있다,28
명,28
주문,27
카페,27
개,25
좋다,25
및,24
층,24
동영상,23
시간,21
아니다,21
많다,20
맛집,20
서울특별시,20
메뉴,19
곳,18
생일,18
예쁘다,18
디저트,17
초,17
귀엽다,17
예약,16
라멘,16
나,16
바나나,16
날,15
테이블,14
더,14
내,14
안,14
홀,14
거,14
게시,13
친구,13
이,13
물,13
하나,13
보기,13
디자인,13
피,12
커피,12
또,12
서울,12
영업,12
없다,12
우리,12
일,12
팔로워,12
팔로잉,12
인스타그램,12
픽업,12
스키,12
휴무,12
정말,12
다른,12
님,12
추천,11
먹기,10
진짜,10
아메리카노,10
전,10
집,10
내부,10
판매,10
어떻다,10
발레,10
그렇다,10
이렇다,10
때,10
다음,9
생,9
월,9
팝업,9
듯,9
크림,9
정도,9
코어,9
미치다,9
생각,9
위치,9
걸,8
포장,8
사랑,8
바로,8
인,8
사람,8
저,8
음료,8
게,8
꼭,8
후기,8
가득,8
무무대베이크,8
살,8
번,8
가능하다,8
제,8
다양하다,7
처음,7
그,7
식감,7
소품,7
말,7
뭐,7
달,7
여기,7
화,7
방문,7
파티,7
사장,7
종류,6
크기,6
중,6
양,6
가격,6
오브젝트,6
보통,6
가능,6
추가,6
요즘,6
좀,6
체리,6
이드,6
밀크,5
보,5
라이터,5
단짝,5
초도,5
좋아하다,5
핑크,5
그냥,5
좌석,5
완전,5
우린,5
매장,5
아이스,5
제작,5
지로,5
앞,5
감성,5
메뉴판,5
인스타,5
기분,5
이다,5
아쉽다,5
비주,5
여름,5
하니,5
향,5
입,5
조합,5
힙,5
필수,5
리본,5
가게,5
눈,5
돈,5
마음,5
오브,4
개인,4
밑,4
궁금하다,4
지금,4
가야,4
마지막,4
위,4
편,4
버터,4
역시,4
시,4
끝,4
진열,4
오픈,4
알,4
한번,4
초당옥수수,4
보고,4
디엠,4
팅,4
문의,4
통,4
일단,4
다시,4
스토어,4
최고,4
행복하다,4
멋지다,4
이용,4
발견,4
아래,4
작다,4
야채,4
티,4
거리,4
기준,4
그대로,4
이번,4
보이,4
독특하다,4
왜,4
외관,4
테이크아웃,4
컵,4
덥다,4
무조건,4
모두,4
연희동,4
줄,4
옆,4
분,4
단,3
라떼,3
볼,3
계절,3
작품,3
다르다,3
요,3
제일,3
아이리쉬,3
주년,3
참고,3
저희,3
신기하다,3
이름,3
포토,3
도,3
너,3
화장실,3
화이트,3
전시,3
국물,3
자리,3
라즈베리,3
빵,3
등,3
"층
연남동",3
두,3
대기,3
모양,3
얼,3
글,3
공간,3
반,3
동안,3
분명,3
사실,3
확인,3
시즌,3
주차,3
아기자기하다,3
달달,3
일요일,3
적당하다,3
시작,3
무엇,3
혼자,3
느낌,3
무난,3
꽃,3
히말라야,3
존,3
카라멜,3
용,3
캐치,3
삭,3
초코,3
미드,3
생크림,3
피스타치오,3
얼른,3
기본,3
미리,3
못,3
몇개,3
무,3
맘,3
가지,3
산,3
미가,3
함,3
숙주,3
무드,3
목표,3
기록,3
등록,3
민트,3
하이,3
걱정,3
때문,3
톡톡,3
부모님,3
쇼케이스,3
고소하다,3
목,2
커서,2
계속,2
자꾸,2
솜사탕,2
이틀,2
우드,2
당황,2
블로그,2
소바,2
선택,2
교점,2
전체,2
티드,2
대요,2
따개비,2
짧다,2
언니,2
주소,2
진심,2
소비,2
결혼,2
간단하다,2
곳곳,2
색감,2
야무지다,2
저리,2
토핑,2
조심,2
모시,2
동생,2
로스,2
브라우니,2
정성,2
퀄리티,2
아빠,2
플레이,2
휴가,2
모든,2
마포,2
날짜,2
우측,2
오늘,2
아깝다,2
과,2
아이,2
톡,2
만듭니,2
"또
연남동",2
냉장고,2
인심,2
준비,2
오후,2
고고,2
넓다,2
불,2
웨이,2
햇빛,2
축소,2
목적,2
처럼,2
난,2
친절하다,2
한층,2
해,2
:,2
외,2
부드럽다,2
어죽,2
특이하다,2
만족하다,2
보양식,2
코스,2
소개,2
홍대입구역,2
돌이,2
진행,2
검색,2
와우산,2
먼저,2
본격,2
마침,2
깔끔하다,2
카운터,2
점,2
쿠폰,2
월화,2
대신,2
I,2
가사,2
찍,2
오히려,2
라면,2
정보,2
소식,2
자주,2
알갱이,2
다이어트,2
홍대,2
아아,2
지난,2
아주,2
교,2
베리,2
마치,2
겹,2
현명하다,2
감동,2
예정,2
흔하다,2
오른쪽,2
중독,2
끄덕,2
연상,2
연희,2
건가,2
그것,2
고양이,2
힘드다,2
올해,2
톤,2
컷,2
사이즈,2
해도,2
스카치,2
버섯,2
팔구,2
아부,2
구매,2
센스,2
가장,2
상큼,2
네,2
짱,2
팀,2
멀다,2
땅콩,2
괜찮다,2
찰옥수수,2
틴,2
조금,2
하이라이트,2
표현,2
동그랗다,2
잔,2
결정,2
최애,2
점도,2
야하다,2
이전,2
자체,2
주시,2
새,2
어디,2
임,2
그릇,2
목요일,2
답,2
고생,2
시선,2
주스,2
콘,2
설명,2
기념일,2
축하,2
볼거리,2
나중,2
한쪽,2
스푼,2
씨,2
케,2
차슈,2
아름답다,2
무무대베이크	무무,2
마감,2
솔티드,2
가운데,2
만,2
개정,2
갑자기,2
속,2
산미,2
선물,2
영상,1
🌟,1
아까버,1
시계,1
거죱,1
컷팅해,1
진주,1
재미있다,1
분해,1
틴룸,1
원래,1
특유,1
찰나,1
뼘,1
탄산,1
이후,1
대왕,1
레터,1
선호,1
소문,1
],1
강탈,1
끝내주다,1
사용,1
샤베트,1
기약,1
밥,1
출처,1
신부,1
주문제작케이크,1
안달,1
조미료,1
어미,1
빵집,1
우선,1
박스,1
뜨겁다,1
딸기,1
566라멘,1
우연,1
문밖,1
카페],1
통해,1
브레이크,1
막,1
넣기,1
불편하다,1
수용,1
상당,1
빙,1
도화,1
"냥",1
집중,1
별로,1
개이득,1
이웃,1
엄청나다,1
달콤하다,1
투,1
"길
무무대베이크",1
꼬소함,1
"0	1
title	[]
연남동",1
포기,1
이구,1
풍경,1
발레코어,1
변경,1
전인,1
딱딱하다,1
끝내,1
컬러,1
간결하다,1
즉흥,1
코,1
스티커,1
빙수,1
생일케이크,1
계시다,1
증말,1
그닥,1
놀,1
성함,1
선생님,1
연락처,1
기쁘다,1
자리다,1
빠르다,1
진시,1
날씨,1
놀람,1
기도,1
예약하는법	돈,1
감사,1
돈코츠,1
얼음,1
무슨,1
추천	연남동,1
재밌다,1
여러,1
접근성,1
기기,1
터지는,1
핫,1
아침밥,1
구,1
실제,1
어둠,1
목록,1
상징,1
"층
연남동디저트",1
잡솨,1
양도,1
포스팅,1
젠,1
둘이서,1
슈퍼,1
매우,1
킹,1
개맛,1
마저,1
민트케이크,1
요거트,1
첫,1
힘드넹,1
인지상정,1
계좌,1
설레다,1
쏙,1
안녕하다,1
강릉,1
연중,1
크런치,1
덕분,1
시즌스,1
영업일,1
새롭다,1
치즈,1
정기,1
정,1
대여,1
눙,1
댱,1
이서,1
편이,1
힘들다,1
인테리어,1
만족,1
플라스틱,1
널,1
고요,1
키,1
중인,1
움,1
한참,1
유리잔,1
해메,1
제품,1
초가,1
바닥,1
이상,1
푸딩케이크,1
건,1
마르고,1
책장,1
웨이브,1
띠용,1
불가하다,1
완벽하다,1
마련,1
모,1
드세요!!!,1
위층,1
"가격,",1
챠슈,1
계정,1
등장,1
은근,1
갤러리,1
중앙,1
문제,1
의,1
미니,1
버전,1
신경,1
늘,1
월요일,1
주신,1
존맛,1
배려,1
맛임,1
기둥,1
방향,1
평일,1
버,1
말걸,1
문서,1
삶,1
꽤,1
데,1
브래드,1
계산,1
점보,1
순삭,1
화려하다,1
근처,1
찾기,1
놈,1
실랑이,1
베,1
어찌,1
담,1
사과,1
사항,1
이크,1
마구,1
불기,1
굿,1
구석,1
케이크가,1
협소했,1
운명,1
인간,1
토스트,1
끼,1
비,1
파라,1
불어,1
족족,1
케이크와,1
뽀짝,1
어울림,1
쾌적하다,1
"보기
연남동카페",1
워낙,1
양은,1
또한,1
"꼭
연남동",1
산이,1
(올해,1
"끝
[연남동",1
가세요🌽🍦	연희동,1
재야,1
컨셉,1
파인애플,1
최근,1
센치,1
스키피90주년팝업,1
"번
연남동",1
유일하다,1
외부,1
독특한,1
단체사진,1
본인,1
단말,1
"층
[",1
잘하는,1
