word,count
케이크,1770
있다,751
럭,689
스몰,668
카페,516
연남동,425
좋다,340
주문,289
맛있다,271
예쁘다,266
사진,246
수,220
맛,219
같다,212
것,208
디저트,153
길,152
예약,150
시간,142
마포구,141
로,141
링,138
없다,135
레터,134
많다,133
메뉴,130
성미산,125
아니다,124
진짜,122
맛집,122
방문,121
서울특별시,121
크림,119
커피,118
층,114
저,113
곳,112
음료,112
더,109
친구,107
미니,106
내,106
호,101
날,100
이쁘다,100
거,97
때,96
이,95
얼그레이,92
픽업,92
정말,92
귀엽다,91
초코,90
느낌,87
테이블,87
자리,87
당일,87
개,86
생각,84
우리,84
및,83
분위기,82
위치,81
또,80
가능하다,80
내부,79
나,78
여기,77
명,77
좋아하다,75
생일,75
안,74
추천,73
그렇다,72
휴무,71
동영상,70
아메리카노,70
다음,68
공간,68
감성,67
인테리어,65
매장,64
라떼,64
단,63
그,62
바로,62
일,61
무화과,61
이드,61
발,61
이다,61
레몬,60
하나,60
위,59
디자인,59
집,59
햇살,58
사람,58
월,57
치즈케이크,56
정도,56
체리,55
중,55
로나,55
치즈,54
꼭,53
옥수수,52
영업,52
분,51
초콜릿,51
종류,50
요,50
번,49
제,49
다른,49
티,48
전,48
화,48
럼블,47
따뜻하다,46
물,45
레드,45
인스타,45
홍대,45
이용,45
상큼,45
벨벳,45
보고,45
창문,44
초,44
소품,43
가격,43
사장,43
구경,43
포스터,43
아주,43
케익,42
제작,42
듯,40
판매,40
때문,39
복숭아,39
좀,38
딸기,38
오늘,38
보기,38
해,38
아이스,38
앞,38
조합,37
유명하다,37
원두,36
계단,36
취향,36
게시,36
가지,35
메뉴판,35
님,35
포장,35
달,35
주말,35
날씨,34
조금,34
거리,34
그냥,34
말,34
토,34
확인,34
게,34
처음,34
점,34
청포도,33
작다,33
라즈베리,33
완전,33
창가,33
시트,33
마음,33
팔로워,33
팔로잉,33
쪽,33
조각,33
오렌지,32
정기,32
선택,32
밤,32
가게,32
다양하다,31
엽서,31
이렇다,31
후,31
입,31
오후,31
고민,31
준비,30
함,30
옆,30
뷰,30
스몰럭케이크,30
벚꽃,30
오픈,30
창,30
산미,30
저녁,29
팅,29
눈,29
인,29
홍대입구역,29
서울,29
적당하다,29
다시,29
인스타그램,28
입구,28
도,28
역시,28
꽤,28
넓다,28
웨이,28
달달,28
만,28
연남,27
한번,27
일요일,27
요즘,27
선물,27
걸,27
볼,27
참고,27
크리스마스,27
홀,27
카운터,27
기분,27
뭐,26
얼,26
사실,26
비주,26
이번,26
못,26
손님,26
개인,25
채광,25
좌석,25
소파,25
과일,25
저희,25
봄,25
문구,24
아쉽다,24
구매,24
진하다,24
아이스크림,24
편하다,23
컷,23
후기,23
밖,23
원하다,23
두,22
가능,22
원래,22
발견,22
단호박,22
뒤,22
맘,22
아래,21
고소하다,21
생,21
망고,21
생크림,21
건,21
둘,21
코코넛,21
파티,21
아기자기하다,21
덕,21
군밤,21
보,20
별로,20
요거트,20
가득,20
시,20
소개,20
네이버,20
깔끔하다,20
일단,20
문,20
이름,20
미치다,20
재,20
말차,19
계속,19
밥,19
리뷰,19
편,19
미리,19
저격,19
온,19
직접,19
초도,19
화장실,19
괜찮다,19
파이,19
부드럽다,19
축하,19
먼저,19
약간,19
지금,18
핫,18
구,18
웨이팅,18
잔,18
등,18
친절하다,18
어떻다,18
기본,18
편이,18
토마토,18
링크,18
굿,18
재생,18
먹기,17
와인,17
식물,17
궁금하다,17
덕분,17
향,17
햇빛,17
쑥,17
편안하다,17
홈페이지,17
사이즈,17
자체,17
도착,17
답,17
나중,17
이제,17
가기,17
출구,17
베리,17
오전,16
크기,16
데,16
근처,16
화요일,16
테이크아웃,16
모두,16
돈,16
건물,16
제일,16
엄마,16
나무,16
가장,16
색감,16
끝,16
포인트,16
우유,16
뭔가,16
기념일,16
할인,16
무조건,16
쇼파,16
행복하다,15
아늑하다,15
언니,15
너,15
산,15
케이,15
알,15
비,15
다르다,15
전문점,15
/,15
가면,15
몇,15
촉촉하다,15
무엇,14
인기,14
꽃,14
톤,14
기대,14
화이트,14
만족,14
가깝다,14
평일,14
덥다,14
그림,14
의자,14
