word,count
케이크,896
얼,476
웨이즈,463
스프링,454
있다,454
연남동,365
휘,337
낭시,337
디저트,256
생화,252
카페,245
좋다,224
맛있다,218
예쁘다,204
주문,202
맛,176
층,137
수,136
같다,123
제작,119
곳,118
것,114
크림,102
맛집,98
기념일,97
저,97
호텔,96
마포구,91
로,90
홍대,88
좋아하다,87
사진,86
성미산,85
더,83
꽃,83
정말,82
진짜,75
제,74
거,73
종류,72
파티쉐,72
사장,72
버터,71
생크림,68
약과,68
서울특별시,67
하나,65
없다,65
호,64
딸기,64
많다,62
출신,62
위치,59
이다,58
날,56
귀엽다,56
포장,56
추천,56
아니다,55
신라,55
부드럽다,53
때,52
시간,51
음료,51
예약,51
얼그레이,51
브륄레,50
바로,49
인절미,49
선물,49
친구,48
준비,48
위,48
생각,48
이,47
방문,47
과자,47
개,46
로투스,46
분,46
다양하다,46
메,46
식감,45
피칸,45
움,45
츄러스,45
느낌,44
다음,44
분위기,44
그,43
재생,43
생일,43
바닐라,41
품,41
특별하다,41
케익,41
유명하다,41
메이플,41
답례,41
안,41
여기,41
커피,40
그렇다,40
요,39
집,38
해,38
번,38
보고,38
테이블,36
쿠키,36
판매,36
휴무,36
초코,35
사람,35
가격,35
내부,34
가게,34
미리,34
중,34
초,34
비주,33
등,33
운영,33
픽업,32
사용,31
홀,31
달달,31
일,30
정도,30
전,30
오늘,30
메뉴,30
깔끔하다,30
옆,30
파티,29
다른,29
라떼,29
계시다,29
완전,29
역시,29
명,29
건물,28
및,28
크리스마스,28
고소하다,28
걸,28
서울,28
시트,28
요즘,28
참고,27
꼭,27
나,27
월,26
연남,26
또,26
직접,26
좀,25
아메리카노,25
재료,25
가능하다,25
크림브륄레,25
용,25
매장,25
동영상,25
처음,24
도,24
가득,24
이쁘다,24
초도,24
후기,24
함,24
듯,24
인스타,24
조각,24
가득하다,23
접기,23
살짝,23
촉촉하다,23
영업,23
달,23
보기,23
디자인,22
공간,22
향,22
기분,22
게,21
오픈,21
개인,21
인테리어,21
볼,20
궁금하다,20
이번,20
우유,20
보관,20
계단,20
쑥,20
내,20
때문,20
제일,19
핫,19
빵,19
사이,19
감동,18
티,18
입,18
속,18
먹기,18
보,18
취향,18
센스,18
화이트,18
신상,18
소개,18
아주,18
기본,17
연말,17
골목,17
얼웨이즈스프링,17
위해,17
한번,17
아기자기하다,17
과일,17
건,16
매력,16
주말,16
모습,16
출구,16
인스타그램,16
자체,16
자리,16
화,16
덜,16
아름답다,16
후,16
마음,16
겉,15
이용,15
인생,15
고,15
