word,count
있다,404
오렌지,393
카페,337
채널,298
연남동,203
복구,166
디저트,163
좋다,163
맛있다,129
같다,119
것,111
귀엽다,108
케이크,86
길,83
강아지,82
사진,81
커피,80
로,80
사장,80
마포구,77
예쁘다,77
곳,74
진짜,70
라떼,70
성미산,68
서울특별시,67
주문,66
수,66
나,66
많다,65
메뉴,65
이다,64
때,63
맛,60
음료,60
좋아하다,59
시간,59
없다,59
이,57
치즈케이크,56
분위기,56
더,55
명,55
바스크,51
딸기,50
조명,48
느낌,47
저,47
내,47
하나,46
또,46
테이블,45
인테리어,44
및,43
님,43
내부,42
다음,42
그렇다,40
아니다,40
이름,39
리트리버,38
추천,37
개,37
자리,37
생각,37
안,36
오늘,36
친구,36
동영상,36
방문,35
여기,35
날,35
공간,35
레몬,33
아메리카노,31
사람,31
제,31
중,31
거,31
물,31
인스타그램,30
옆,30
처,30
눈,30
초코,30
쿠키,30
우리,30
정도,29
정말,29
보고,28
동반,28
바로,27
빈티,27
크리스마스,26
소품,26
맛집,26
위치,26
종류,25
음악,25
위,25
달달,25
가게,25
보기,25
집,24
휘,24
영업,24
메뉴판,24
다른,24
휴무,23
낭시,23
주말,23
데이트,23
좀,22
말,22
번,22
이드,22
그냥,22
감성,22
일,21
팔로워,21
팔로잉,21
도,21
작다,21
알,21
서울,21
걸,21
게시,21
오픈,21
분,21
티,20
친절하다,20
판,20
비,20
매장,20
구경,20
부드럽다,20
꼭,19
한번,19
애견,19
끝,19
모두,19
처음,18
그,18
벚꽃,18
사실,18
따뜻하다,18
때문,18
요즘,18
층,18
요,18
다양하다,18
키,18
아이스,18
혼자,17
게,17
파운드,17
가지,17
해,17
판매,17
볼,17
포장,17
보,17
조금,17
잔,17
마들렌,17
모,17
손님,17
다시,17
저희,16
코,16
채널오렌지,16
시,16
이렇다,16
소개,16
직원,16
티라미수,16
흑임자,16
옥자,16
가득하다,15
제일,15
아쉽다,15
향,15
거울,15
함,15
브루,15
노래,15
기분,15
아주,15
라스트,15
사랑,15
가득,15
낮,15
산책,15
가구,15
사항,15
모습,15
사용,14
참고,14
너,14
괜찮다,14
청,14
뭐,14
외관,14
근처,14
가격,14
카메라,14
아담하다,14
계속,14
골목,14
월,14
입,14
못,14
조합,14
마스코트,14
변동,14
의자,14
돈,14
공주,13
턴테이블,13
금,13
밤,13
트리,13
쌀국수,13
역시,13
평일,13
이쁘다,13
만,13
식물,13
아늑하다,13
거리,13
계정,13
토,13
가능하다,13
취향,12
동네,12
연남,12
자락,12
간,12
쪽,12
준비,12
월요일,12
설명,12
컵,12
조용하다,12
어떻다,12
화,12
손,12
기억,12
고소하다,12
발견,11
