word,count
카페,583
스트뉴,577
있다,559
연남동,366
좋다,348
커피,258
맛있다,221
디저트,213
티라미수,189
치즈,170
맛,160
치즈케이크,155
피스타치오,140
크림,140
사진,136
곳,136
로,135
마포구,132
같다,130
수,128
성미산,123
딸기,122
주문,119
메뉴,118
안길,116
라떼,113
층,108
것,106
서울특별시,106
많다,104
분위기,104
케이크,97
없다,96
예쁘다,94
테이블,94
정말,92
저,91
방문,89
느낌,87
맛집,87
글,86
티,85
시간,83
좋아하다,81
끝,80
아메리카노,78
이,73
누가,73
자리,71
위,70
위치,69
공간,69
동반,69
그렇다,68
더,68
아니다,67
내부,67
명,67
조용하다,67
및,66
진짜,64
넓다,63
인테리어,62
때,62
동영상,61
제,60
거,58
안,56
친구,56
감성,56
세,55
향,55
브라운,54
사람,54
이다,52
또,52
생각,52
부드럽다,51
연남,50
음료,50
다음,49
추천,49
날,48
나,48
햇살,47
블루베리,47
가좌역,47
고소하다,46
매일,45
사장,45
숲길,45
처,45
경의선,44
번,44
주차,44
따뜻하다,44
여기,43
가능하다,43
강아지,42
깔끔하다,42
귀엽다,42
아이스크림,42
물,41
달달,41
하나,41
다양하다,40
개,40
바닐라,40
완전,40
얼그레이,39
아이스,39
좌석,39
우리,39
애견,38
그,38
다른,38
영업,38
메뉴판,38
정도,37
거리,37
입,37
재생,37
여유,36
조금,36
레,36
가능,36
내,36
처음,35
소파,35
티라미슈,34
전,34
종류,33
분,33
널,32
오픈,32
꼭,31
바로,31
오늘,31
꽤,31
빈,31
파크,31
전체,30
게시,30
서울,30
홍대,30
해,30
리지,30
님,30
팔로잉,29
중,29
팔로워,29
자락,29
보기,29
새롭다,28
신상,28
손님,28
토치,28
트럴,28
아주,28
청포도,27
직접,27
잔,27
덕,27
마음,27
좀,27
게,27
레어,27
보고,27
점,27
남동,27
출구,27
건물,26
바,26
주말,26
요,26
뉴,26
과일,26
볼,25
골목,25
쪽,25
산책,25
편하다,25
스트,25
듯,25
모두,25
산미,25
밀크,24
서비스,24
편안하다,24
준비,24
단체,24
집,24
오후,24
간격,24
요즘,24
리뷰,23
편,23
가기,23
반려동물,23
가득,23
저녁,23
통창,23
역시,23
매장,23
이렇다,23
소개,23
동네,22
화이트,22
채광,22
말,22
저희,22
아쉽다,22
알,22
프랑스,21
스트뉴커피,21
걸,21
식물,21
우드,21
등,21
평일,21
못,20
중간,20
홍대입구역,20
덥다,20
데이트,20
시원하다,20
적당하다,20
온,20
일,20
두,20
매력,20
함,20
가격,20
어떻다,20
일단,20
진하다,20
이름,19
가깝다,19
쇼파,19
눈,19
이용,19
비주,19
빵,19
얼,19
살짝,18
외관,18
특별하다,18
고민,18
딸치케,18
가득하다,18
원래,18
가장,18
음악,18
샤인,18
비,18
이쁘다,18
한적하다,18
견과류,17
궁금하다,17
차,17
접기,17
만,17
갓,17
아래,17
길,17
취향,17
"층
연남동",17
조합,17
창가,17
앞,17
포장,16
아늑하다,16
언니,16
재,16
버거,16
인스타,16
머,16
그냥,16
낮,16
자연,16
때문,16
이드,16
무엇,15
석,15
날씨,15
도,15
식감,15
기본,15
소품,15
뭐,15
가지,15
양,15
약간,15
작업,15
나무,15
힐링,15
데,15
근처,15
사실,15
먹기,14
스캣,14
인,14
셰프,14
이번,14
친절하다,14
우유,14
이제,14
이탈리안,14
팅,14
다시,14
블로그,14
베이스,14
입구,14
거울,14
카페라떼,14
미치다,14
쭉,14
옥자,14
사이,14
만족스럽다,14
옆,14
발견,13
개인,13
톤,13
센스,13
곳곳,13
화장실,13
기대,13
창석,13
편이,13
얼마,13
안쪽,13
의미,13
창,13
선택,13
맛있는,13
상수,13
트리,13
광,13
왜,13
맘,13
달,13
포스터,13
시트,13
유명하다,13
최고,12
빛,12
여,12
용,12
치케,12
작다,12
치킨,12
굉장하다,12
간,12
자체,12
쌀국수,12
액자,12
마지막,12
넘치다,12
류,12
/,12
초콜릿,12
를,12
거의,12
노트북,12
그림,12
후,12
통,12
가을,12
아아,12
책,11
보,11
주소,11
너,11
의사,11
포스팅,11
계속,11
사랑,11
막,11
도착,11
뒤,11
둘,11
무화과,11
담,11
위해,11
나중,11
의자,11
수다,11
매우,11
감,11
구경,11
초록,11
플랫,11
가게,11
동작,11
시작,11
기분,11
계절,10
색다르다,10
사용,10
혼자,10
뷰,10
와인,10
북적,10
제일,10
주변,10
문,10
신선하다,10
별로,10
부분,10
그대로,10
변하다,10
건,10
스타일,10
뭔가,10
수제,10
오히려,10
상큼,10
자주,10
모습,10
대화,10
소리,10
안되다,10
웨이,10
타코,10
네이버,10
컵,10
항상,10
높다,9
느끼하다,9
바리스타,9
여러,9
후기,9
웨이팅,9
캐리커쳐,9
바람,9
이상,9
라멘,9
제대로,9
가면,9
모던,9
파스타,9
무조건,9
대부분,9
고급,9
피스,9
에스프레소,9
단,9
행복하다,9
조명,9
제공,9
불편하다,9
벽,9
스티커,9
오전,9
성,9
마무리,9
파이,9
카페인,9
감각,9
포크,9
한번,9
확인,9
얼마나,9
줄,9
흔하다,8
차분하다,8
네일,8
아인,8
장소,8
핫,8
오,8
충분하다,8
안녕하다,8
어디,8
독특하다,8
존재,8
전혀,8
식당,8
존맛,8
옷,8
확실하다,8
롱,8
머신,8
동안,8
기억,8
쉬,8
판매,8
발레,8
속,8
원두,8
카페],8
상태,8
풍경,8
부드러움,8
계시다,8
멀다,8
파리,8
반려견,8
괜찮다,8
뜻,8
모든,8
배,8
크기,8
작성,8
운영,8
마련,8
중앙,8
댕댕,8
개방,8
검색,8
도토리,8
어렵다,8
오시,8
노래,8
널찍하다,8
뇨끼,8
가루,7
햇볕,7
네트,7
캐모마일,7
은은하다,7
여러분,7
밑,7
메인,7
컷,7
신기하다,7
밤,7
봄,7
동생,7
아침,7
바닥,7
살,7
한지,7
햇빛,7
일관,7
쿠키,7
이미지,7
잔뜩,7
블루,7
코스,7
기대하다,7
평소,7
또한,7
찍,7
로움,7
이유,7
블랙,7
한잔,7
땐,7
밖,7
갑자기,7
답답하다,7
여행,7
업체,7
더욱,7
놀,7
샷,7
기도,7
스페셜,7
엔칠라다,7
