word,count
있다,1002
카페,925
메리,861
트리,789
연남동,681
좋다,391
귀엽다,386
같다,326
루프,310
탑,302
층,295
사진,279
맛있다,276
예쁘다,257
곳,235
것,233
라떼,228
마포구,222
주문,222
케이크,210
메뉴,203
서울특별시,191
자리,187
맛,183
눈사람,175
없다,174
로,173
디저트,172
많다,169
저,166
수,164
음료,161
진짜,154
더,153
성미산,153
분위기,140
안길,138
이,138
사람,137
우리,132
아니다,132
시간,131
이다,128
테이블,128
느낌,127
공간,127
날,125
때,124
초코,123
내부,122
곰돌이,121
크림,119
커피,118
친구,116
맛집,111
아기자기하다,106
빙수,104
정말,104
하나,101
여기,100
거,100
입구,99
소품,96
좋아하다,95
그렇다,94
안,92
인테리어,92
개,92
방문,92
내,91
위,88
좀,85
바로,84
휴무,84
또,82
나,81
제,81
오늘,79
이쁘다,78
생각,77
따뜻하다,76
명,75
아메리카노,74
저희,74
추천,74
집,73
감성,73
홍대,73
조금,72
월요일,72
위치,69
딸기,68
그냥,67
중,64
문,63
날씨,63
길,62
전,61
다른,59
계단,59
망고,59
듯,59
꼭,58
깔끔하다,58
밥,57
정도,57
메뉴판,57
아이스,56
이드,55
크리스마스,54
번,54
영업,54
겨울,53
앞,52
덥다,52
아이스크림,52
다음,52
달달,51
메리트리,50
연남,49
브라우니,49
가게,49
발견,49
보고,48
창가,48
가격,48
너,47
작다,47
가능하다,47
만,47
구경,46
로우,46
헤,46
서울,45
아주,45
먹기,45
요,44
역시,44
해,44
이렇다,44
분,44
거울,43
저녁,43
처,43
치즈,43
도,42
화장실,42
화이트,42
동반,42
방,41
용,41
아쉽다,41
반려동물,41
가지,41
주말,41
옆,41
및,41
안쪽,41
인스타,41
존,40
괜찮다,40
슈페,40
보기,40
눈,40
종류,39
아인,39
그,39
넓다,39
인,39
평일,39
님,39
포스팅,38
사용,38
물,38
사실,38
못,37
다시,37
처음,36
움,36
녹차,36
찍기,36
가면,35
동영상,35
일,35
요즘,35
춥다,34
뭐,34
시즌,34
걸,34
게시,34
비주,34
완전,34
꽤,34
얼,34
한번,34
어떻다,34
쪽,33
실내,33
파스타,33
건,33
조용하다,32
참고,32
티,32
둘,32
매장,32
햇살,31
유명하다,31
선택,31
팅,31
거리,30
두,30
아늑하다,30
데이트,30
톤,29
편,29
약간,29
이용,29
빵,29
근처,29
마시멜로우,29
사장,29
빨갛다,29
기분,29
마음,29
보,28
인스타그램,28
잔,28
은,28
외관,28
스터디,28
수다,28
손님,28
아기자기,28
밖,28
지금,27
우유,27
뭔가,27
때문,27
가득하다,27
다양하다,27
벽,27
화,27
노트북,27
가기,27
볼,26
원래,26
성,26
웨이,26
고민,26
카운터,26
팔로워,26
취향,26
이름,26
포토,26
가득,26
헤이,26
인절미,26
거의,26
카페],25
별로,25
핫초코,25
웨이팅,25
입,25
왜,25
하얗다,25
홍대입구역,25
팔로잉,25
제일,25
이번,25
케익,25
소개,25
바,25
일단,25
전체,24
곳곳,24
치즈케이크,24
후기,24
헤이즐넛,24
점,24
적당하다,24
시원하다,24
줄,24
차,24
드,24
말,24
알,24
밤,23
레이어,23
쿠키,23
오픈,23
달,23
생크림,23
를,23
왼쪽,23
소스,23
맘,22
부드럽다,22
점심,22
살짝,22
가장,22
/,22
매일,22
반,22
아인슈페너,22
귀여운,21
골목,21
굉장하다,21
인석,21
어디,21
레몬,21
수제,21
게,21
창문,21
테라스,21
가능,21
후,21
자리다,20
도착,20
좌석,20
조합,20
:,20
이제,20
검색,20
최고,19
달콤하다,19
배,19
"층
연남동",19
귀염,19
리지,19
시작,19
카레,19
출구,19
개인,19
하니,19
널,19
하루,19
모두,19
뷰,18
예약,18
오른쪽,18
꼬리,18
밤팥,18
아깝다,18
먼저,18
토요일,18
언니,18
바닐라,18
루프탑,18
얼그레이,18
파운드,18
끝,18
글,18
고소하다,18
여유,17
첫,17
바람,17
저격,17
난,17
생일,17
벨,17
판매,17
자주,17
조명,17
기본,17
연어,17
진동,17
간,17
카페라떼,17
밉다,17
룸,17
아아,17
애견,16
와인,16
막,16
칼,16
컷,16
샷,16
과,16
루돌프,16
힘들다,16
등,16
항상,16
기억,16
일요일,16
진하다,16
베리,16
티라미수,16
꽃,16
주소,16
상큼,16
여름,16
향,16
중간,16
함,16
위해,16
비,16
모습,16
밀크,15
계속,15
오빠,15
우미,15
안녕하다,15
단호박,15
희다,15
포인트,15
방이,15
비쥬,15
찍,15
셀카,15
교,15
행복하다,15
그린,15
옥상,15
마지막,15
산책,15
좁다,15
아치,15
코스,15
의자,15
욤,14
느끼하다,14
산타,14
여자,14
봄,14
랜드,14
미리,14
뒤,14
눈꽃,14
아기,14
친절하다,14
투어,14
추가,14
땐,14
썸머,14
건물,14
여,14
음식,14
가야,14
매콤,14
야하다,14
햇빛,14
식당,14
나중,14
자세하다,14
나름,14
무엇,13
포장,13
사랑,13
요기,13
비싸다,13
신기하다,13
계시다,13
리뷰,13
편이,13
준비,13
토마토,13
패스,13
컵케이크,13
크게,13
팥,13
이유,13
온,13
나들이,13
달라,13
무난,13
편하다,13
포기,13
센스,13
트로피,13
레몬에이드,13
입맛,13
한층,13
데,13
부모님,13
인생,12
체리,12
궁금하다,12
새우,12
스콘,12
도넛,12
아기자기한,12
대기,12
미치다,12
스타일,12
럼블,12
재,12
머핀,12
즐겁다,12
담요,12
이야기,12
장소,12
매우,12
재료,12
결정,12
덕분,12
메뉴인,12
싫어하다,12
떡볶이,12
물씬,12
수가,12
사이,12
안내,12
갑자기,12
가루,11
인기,11
텐동,11
메리트리	안녕하다,11
타고,11
미쁘동,11
여기저기,11
리,11
벨벳,11
담,11
만석,11
요리,11
쇼케이스,11
조각,11
가도,11
마시멜로,11
주변,11
커튼,11
셋,11
기도,11
핫,11
푸딩,11
정기,11
낮,11
아이,11
멜로,11
임,11
매력,11
하늘,11
맞이,11
돈,11
준,11
계절,10
다르다,10
오브,10
식물,10
여러분,10
장식,10
얘,10
동네,10
스럽다,10
꽉,10
벌써,10
간판,10
노,10
화분,10
얼마,10
이상,10
무,10
초콜릿,10
무화과,10
손,10
반하다,10
신상,10
초밥,10
몇,10
케잌,10
"카페,",10
거기,10
복도,10
혼자,10
시끄럽다,10
밑,10
엄마,10
재미,10
스티커,10
튀김,10
직접,10
실패,10
팀,10
모든,10
엽서,10
다행하다,10
오후,10
가깝다,10
산,10
토,10
네이버,10
저기,10
뽀짝,10
촉촉하다,10
확인,10
보통,10
라면,10
무조건,10
강추,10
창,10
속,10
선물,10
리얼,10
높다,9
데리,9
목,9
만두,9
탁,9
세,9
런가,9
카라멜,9
얼른,9
얼음,9
금방,9
월,9
급,9
기대,9
요거트,9
갸또,9
딱이다,9
이서,9
살,9
마련,9
불가하다,9
모,9
역,9
빨간색,9
모양,9
특별하다,9
