word,count
말차,621
있다,616
카페,576
롱,539
베케,538
션,528
연남동,384
푸딩,366
일본,310
맛,263
좋다,241
라떼,237
같다,220
층,184
디저트,181
느낌,165
주문,156
맛있다,153
것,152
길,149
교토,149
마포구,147
교,137
분위기,129
수,122
메뉴,122
사진,121
안닌도후,115
곳,114
없다,111
시월,110
감성,104
서울특별시,103
좋아하다,100
이다,100
방문,100
음료,100
더,95
커피,93
시간,88
많다,88
인테리어,86
저,86
롤케이크,83
팥,82
크림,81
자리,80
사람,77
귀엽다,76
여기,73
날,73
나,73
아니다,67
아메리카노,66
때,66
안,65
신상,65
깔끔하다,64
예쁘다,63
추천,63
그렇다,63
테이블,62
공간,61
상주,60
위치,60
정말,60
이,59
제,59
내부,59
휴무,58
생각,57
거,56
티,56
개,56
테라스,54
부드럽다,54
계단,53
입구,53
진짜,53
월요일,52
맛집,51
친구,51
명,50
일,49
인,48
강아지,48
아쉽다,48
좀,47
듯,47
분,47
향,46
및,45
서울,45
달달,45
포스터,44
하나,44
동영상,43
건물,43
매장,43
진하다,43
정도,42
엽서,41
라스트,40
요,39
화,39
번,39
롱베케이션,38
물,38
견,38
레몬,37
토,36
이용,36
바로,36
우리,35
위,35
이드,35
정기,34
영업,34
날씨,34
또,34
보고,34
리치,34
이름,33
덥다,33
살짝,33
달,33
그,32
일본어,32
판매,32
캐모마일,31
입,31
출근,31
메뉴판,31
보기,31
그냥,31
옆,31
다음,30
골목,30
꼭,30
연남,30
전,30
오늘,30
처,30
이렇다,29
얼,29
주말,29
벽,28
토닉,28
조금,28
손님,28
아주,28
게,28
내,28
마음,28
고양이,27
온,27
여행,27
작다,27
리뷰,27
간판,27
오픈,27
아이스,27
벽돌,27
저희,26
처음,26
드라마,26
그린티,26
나무,26
핫,26
좌석,26
녹차,26
네이버,26
카운터,26
넉,26
가게,26
눈,26
새롭다,25
라벤더,25
홍대입구역,25
야외,25
요즘,25
가득하다,25
용,25
가루,24
참고,24
꽤,24
사장,24
사용,24
완전,24
바,24
게시,23
중,23
우유,23
때문,23
데이트,23
비주,23
사실,23
다른,23
밀크,22
다시,22
출구,22
유명하다,22
우드,22
팔로워,22
가격,22
앞,22
시원하다,22
은은하다,21
넓다,21
비,21
팔로잉,21
적당하다,21
만,21
님,21
볼,20
거리,20
팅,20
문,20
굉장하다,20
단맛,20
역시,20
이쁘다,20
고소하다,20
평일,19
기분,19
아몬드,19
"층
연남동",19
뭔가,19
한번,19
롤,19
조용하다,19
포장,18
도,18
라무네,18
해,18
홍대,18
달콤하다,18
차,18
생크림,18
집,18
쪽,18
스타일,18
케이크,18
모습,18
바닐라,17
편,17
웨이,17
조합,17
약간,17
궁금하다,17
보,16
직접,16
못,16
함,16
모두,16
피스타치오,16
태블릿,16
말,16
뭐,16
가지,16
고민,16
가능하다,16
소개,16
알,16
무엇,15
탱글탱글하다,15
건,15
왜,15
거의,15
그린,15
편안하다,15
차분하다,15
개인,15
가득,15
등,15
준비,15
비엔나,15
계속,14
주소,14
계시다,14
랏,14
휴가,14
얼마,14
글,14
검색,14
노래,14
어떻다,14
강하다,14
존,14
플라워,14
노,14
양,14
물씬,14
컨디션,14
추가,14
월,13
촬영,13
산,13
근처,13
우지,13
따뜻하다,13
노트북,13
키즈,13
조명,13
톤,13
소품,13
중간,13
기대하다,13
수도,13
줄,13
책,12
다르다,12
밥,12
쌉싸름하다,12
비싸다,12
풍경,12
식감,12
은,12
맘,12
미치다,12
라면,12
후,12
일단,12
원래,12
종류,12
편하다,12
부분,12
주방,12
팀,12
기대,12
기무라,12
초록,12
타쿠야,12
불가,12
일요일,12
전체,11
잠시,11
웨이팅,11
후기,11
간,11
편이,11
자체,11
운영,11
왼쪽,11
주차,11
인스타,11
직원,11
걸,11
특유,11
블로그,11
지금,11
취향,11
씁쓸하다,11
저녁,11
두,11
친절하다,11
난,11
를,11
사이,11
보통,11
자주,11
뇨끼,11
심플,11
에스프레소,11
마치,10
아래,10
불편하다,10
더욱,10
츠케멘,10
뜻,10
바람,10
로,10
일상,10
뒤,10
구경,10
스푼,10
외부,10
시작,10
인스타그램,10
가장,10
오,10
포스팅,10
괜찮다,10
가깝다,10
비쥬,10
이제,10
일드,10
밖,10
영상,9
높다,9
여유,9
욤,9
색감,9
마지막,9
성,9
화장실,9
반려견,9
논,9
랄,9
움,9
살,9
신랑,9
안되다,9
포인트,9
제대로,9
해산물,9
창가,9
한쪽,9
가능,9
땐,9
술집,9
선택,9
스프,9
제일,9
입장,9
주변,9
타임,9
밑,9
누,9
별로,9
부드러움,9
제외,9
멀다,9
기본,9
바깥,9
야하다,9
도착,9
류,9
카페인,9
입맛,9
외관,9
이미지,9
보지,9
먼저,9
촉촉하다,9
도보,9
바쁘다,9
가기,9
최고,8
인기,8
무난,8
인생,8
샷,8
선선,8
너,8
출입문,8
금방,8
그대로,8
영어,8
보이,8
어디,8
한지,8
오후,8
고고,8
시럽,8
중앙,8
혼자,8
실내,8
매력,8
음식,8
바질,8
소,8
학습,8
컵,8
상업,8
소스,8
크게,8
의자,8
상주견,8
여름,8
영화,8
잔,8
시,8
미니,8
랏카세,8
낭낭,8
케잌,8
깨끗하다,8
지도,8
목,7
선,7
한정,7
먹기,7
시끄럽다,7
자꾸,7
러버,7
단정하다,7
카페],7
금,7
아늑하다,7
워터,7
창문,7
재밌다,7
호,7
봄,7
스럽다,7
모든,7
감,7
인사,7
과,7
호불호,7
모,7
의,7
레이스,7
잠깐,7
주차장,7
필수,7
호선,7
자극,7
시트,7
가을,7
나름,7
대부분,7
단,7
아아,7
일본여행,7
산미,7
아마,7
있는,7
발견,7
이웃,7
얘기,7
베이스,7
예전,7
롱베케이션	연남동,7
메뉴인,7
인석,7
빵,7
골목길,7
질감,7
좋은,7
끝,7
존맛,7
식,7
방학,7
:,7
점심,7
파우더,7
일반,7
위해,7
나중,7
덜,7
어렵다,7
확인,7
점,7
잔잔하다,7
기억,7
마냥,7
가운데,7
덕후,7
이야기,7
휴지,7
돈,7
거기,7
누누,6
브런치,6
싫다,6
우선,6
토요일,6
금액,6
브레이크,6
호텔,6
장,6
사이즈,6
전반,6
동네,6
동생,6
경의,6
제한,6
덕분,6
중국,6
도쿄,6
오묘하다,6
요런,6
카페라떼,6
/,6
마련,6
앙금,6
둘,6
미가,6
남편,6
찾기,6
코스,6
청량하다,6
워낙,6
영수증,6
순두부,6
아기자기하다,6
빨갛다,6
색,6
살구,6
수다,6
뷰,6
여,6
음,6
석,6
수영장,6
상당하다,6
요기,6
컷,6
신기하다,6
코,6
실제,6
양도,6
연어,6
소리,6
듬뿍,6
붉다,6
비슷하다,6
버터,6
좁다,6
안쪽,6
전혀,6
