word,count
마카롱,593
렌테,312
있다,309
까눌레,253
맛,237
연남동,220
맛있다,211
것,159
좋다,140
디저트,137
같다,133
맛집,110
개,109
휘,108
낭시,106
없다,105
마포구,103
곳,101
서울특별시,87
포장,83
진짜,83
더,81
가게,81
하나,78
길,77
집,77
좋아하다,76
사진,76
바닐라,75
피스타치오,72
사장,72
내,67
초콜릿,66
카페,66
수,65
때,65
정말,65
교,64
나,62
이,60
방문,60
아니다,58
안,57
패션후르츠,56
추천,56
초코,55
많다,55
작다,54
시간,54
예쁘다,53
저,51
얼그레이,51
날,50
과자,49
생각,49
층,48
휴무,47
마들렌,47
여기,46
또,46
사람,46
그렇다,45
이다,44
움,41
필링,40
좀,39
및,39
다른,39
향,38
그,37
다음,36
종류,36
뚱카롱,36
거,36
느낌,35
케이크,35
구매,34
오픈,34
바로,33
꼬끄,33
서울,32
사실,32
동영상,30
점,30
처음,29
만,29
그냥,29
오늘,29
영업,29
유명하다,29
말차,28
밀크,28
부드럽다,28
명,28
커피,28
식감,28
역시,28
내부,28
크림,28
촉촉하다,27
요즘,27
선물,27
개인,27
중,27
메뉴,27
테이크아웃,27
제,26
서비스,26
바삭,26
가격,26
겉,25
정도,25
꼭,24
가지,24
상큼,24
전,24
알,24
기분,24
판매,23
별로,23
매장,23
번,23
이렇다,23
위치,23
때문,23
아주,23
취향,22
말,22
주문,22
듯,22
친구,22
자리,22
아쉽다,21
조금,21
로,21
화요일,21
기억,21
입,21
친절하다,21
마음,21
최고,20
발견,20
기본,20
괜찮다,20
클래식,20
보기,20
걸,19
화,19
깔끔하다,19
인스타,19
다시,19
제일,19
살짝,19
함,19
귀엽다,19
프랑스,18
진하다,18
우리,18
일,18
예약,18
보고,18
달달,18
모두,18
사이즈,17
정통,17
빵,17
해,17
물,17
어떻다,17
홍대,17
다양하다,17
게시,17
겉바,16
위,16
호,16
편,16
후기,16
등,16
외관,16
진열,16
줄,16
분,16
게,16
팔로워,16
궁금하다,16
이름,16
티,16
뒤,16
뭐,16
난,16
뭔가,16
가능하다,16
가장,15
연남,15
왜,15
버터,15
두,15
소품,15
앞,15
음료,15
눈,15
리틀,14
팔로잉,14
촉,14
빅토리,14
/,14
글,14
먹기,14
박스,14
완전,14
산,14
속,14
갑자기,14
님,14
강하다,13
한번,13
후,13
주말,13
아담하다,13
사,13
흑임자,13
밥,13
밤,13
크기,13
구경,13
가면,13
공간,13
분위기,12
수요일,12
포스팅,12
힘들다,12
편이,12
못,12
건,12
오후,12
성미산,12
적당하다,12
행복하다,12
아래,12
딸기,12
크리스마스,12
쫀득,12
간,12
가깝다,12
근처,12
소개,12
레몬,12
일단,12
약간,12
돈,12
원래,11
문,11
세상,11
인스타그램,11
용,11
지금,11
구,11
전문점,11
쪽,11
비슷하다,11
매일,11
쇼핑,11
존맛,11
데,11
갓,11
혼자,11
오빠,11
테이블,11
날씨,11
거리,11
준비,11
옆,11
상자,11
재생,11
이드,11
어스,10
얼스,10
메인,10
가야,10
네,10
배,10
예전,10
희다,10
다인,10
얇다,10
나중,10
덥다,10
쇼케이스,10
다르다,10
인기,10
요,10
참고,10
작고,10
이번,10
소금,10
품절,10
충실하다,10
고민,10
하루,10
홍대입구역,10
먼저,10
투어,10
냉동,10
고소하다,10
이후,9
사용,9
카라멜,9
진심,9
도넛,9
오,9
자마자,9
재료,9
벚꽃,9
어디,9
위해,9
거의,9
무조건,9
실,9
골목,9
해운대,9
조앤,9
도,9
가득,9
키,9
저녁,9
특별하다,9
모양,9
담,9
얼스어스,9
즐겁다,9
보통,9
얼마나,9
자주,9
손님,9
예정,8
달라,8
음식,8
마지막,8
식탁,8
파운드,8
단맛,8
단호박,8
얼마,8
임,8
를,8
아이스,8
에뚜왈,8
접기,8
이제,8
덕,8
색,8
책,8
보,8
도슨,8
연희,8
비싸다,8
차,8
두번째,8
무슨,8
확,8
나나,8
굉장하다,8
새롭다,8
다행하다,8
라즈베리,8
안쪽,8
최지훈,8
확실하다,8
동안,8
그린티,8
몇,8
확인,8
주차,8
바,8
이유,8
땐,8
모습,8
미완성,8
사서,8
볼,7
여유,7
낱개,7
인,7
자기,7
나들이,7
계속,7
인생,7
럼,7
커런트,7
딱딱하다,7
자리다,7
세트,7
피자,7
리뷰,7
잠시,7
요거트,7
바람,7
감,7
사면,7
일상,7
구입,7
말씀,7
안나,7
월요일,7
솥밥,7
가끔,7
비닐,7
유자,7
평소,7
만큼,7
즌,7
달,7
메뉴판,7
솔직하다,7
작업,7
사르르,7
색감,7
핫,7
알티,7
매우,7
정신,7
자체,7
친절,7
빅,7
식,7
혹시,7
리스트,7
최근,7
구성,7
블랙,7
연희동,7
팔고,7
깊다,6
이집,6
주소,6
계시다,6
코메,6
간다,6
입구,6
모든,6
간판,6
인테리어,6
도착,6
살,6
안되다,6
설,6
밍,6
쁘띠,6
오디너리,6
바질,6
테라스,6
핏,6
시장,6
검색,6
찍기,6
컵,6
비,6
야외,6
보라,6
바나나,6
브랜드,6
라스트,6
티크,6
단,6
라떼,6
가득하다,6
왕,6
사랑,6
뜨겁다,6
해리,6
벨렘,6
상태,6
아웃,6
재밌다,6
아메리카노,6
성,6
접시,6
벌써,6
안녕하다,6
뿐,6
전화,6
닉,6
정기,6
녹차,6
테이크,6
입맛,6
정석,6
모,6
의,6
둘,6
쿠키,6
총,6
