word,count
아르,135
라보,133
있다,122
디저트,103
휘,73
낭시,71
맛있다,69
연남동,63
밀푀유,59
카페,56
크림,53
좋다,53
그렇다,44
같다,42
것,40
맛,39
딸기,35
진짜,34
바닐라,33
맛집,32
타르트,32
사진,31
더,30
수,29
초코,28
주문,27
없다,26
올리브,26
하나,25
마포구,25
곳,25
치즈,24
서울특별시,23
나,23
교,23
안길,23
음료,22
밀푀이,22
소금,21
거,21
몽블랑,20
개,20
처,20
파이,19
안,19
성,19
희다,19
메뉴,19
층,19
밤,18
방문,18
때,18
골목,18
위,18
저,18
정말,18
카라멜,17
사장,16
포장,15
여기,15
집,15
또,15
고소하다,15
이다,14
테이블,14
매장,14
쇼케이스,14
작다,14
대추,14
바삭,14
요거트,13
이,13
커피,13
입,13
시간,13
많다,13
예쁘다,13
캬라멜,12
향,12
생각,12
휴무,12
가게,12
귀엽다,12
추천,12
그,12
피스타치오,12
꼭,12
아니다,12
가지,12
내,12
달달,12
이벤트,12
파블로바,12
종류,11
아메리카노,11
과자,11
느낌,11
그냥,11
움,11
내부,11
오픈,11
명,11
라임,11
프랑스,10
월,10
조금,10
사람,10
화,10
공간,10
아보카도,10
에그타르트,10
아쉽다,10
소개,10
위치,10
플레인,10
바로,9
다양하다,9
정도,9
중,9
투어,9
판매,9
아담하다,9
유명하다,9
리뷰,9
티,9
친구,9
오늘,9
바질,9
인스타,9
다음,8
및,8
무슬린,8
새롭다,8
물,8
가격,8
케이크,8
일,8
도,8
좋아하다,8
임,8
동영상,8
보고,8
눈,8
느끼하다,7
상큼,7
고급스럽다,7
애플파이,7
띠옷,7
주황색,7
얼,7
웨딩,7
한번,7
네이버,7
깔끔하다,7
머랭,7
오렌지,7
좀,7
페리,7
와인,7
라보아르,7
처음,7
안쪽,7
듯,7
적당하다,7
옆,7
돈,7
걸,6
라떼,6
묵직하다,6
메인,6
드,6
이름,6
화장실,6
연남,6
자리,6
거울,6
두,6
미치다,6
중간,6
푀이타쥬,6
꽤,6
영업,6
가기,6
하트,6
제,6
만,6
진하다,6
우리,6
옹,6
길,6
부분,6
차,6
전,6
유리,6
운영,6
뭐,6
신상,6
부드럽다,6
제작,6
레몬,6
베린,6
조용하다,6
보기,6
줄,6
선물,6
단,5
직접,5
봄,5
벌써,5
후기,5
완전,5
빵,5
준비,5
•,5
라이,5
산,5
근처,5
영수증,5
반지,5
스토어,5
아주,5
참여,5
원래,5
머,5
살짝,5
크랜베리,5
별로,5
얼그레이,5
잡지,5
밀푀,5
입구,5
얀쿠브레,5
편,5
괜찮다,5
작고,5
판이,5
날,5
쿠키,5
해,5
팔로우,5
이제,5
후,5
라바,5
분,5
목,4
견과류,4
실,4
왕,4
예약,4
겹겹,4
팔로워,4
게,4
팔로잉,4
차분하다,4
제일,4
아몬드,4
분위기,4
무슬린크림,4
꿀,4
순간,4
게시,4
인,4
웨이팅,4
인테리어,4
빅토리,4
저녁,4
오렌지색,4
라즈베리,4
골목길,4
시,4
조합,4
번,4
블루,4
가능하다,4
얇다,4
알,4
조화,4
거의,4
가능,4
냉큼,4
따뜻하다,4
자주,4
다른,4
재생,4
리틀,4
런가,4
제과,4
겉,4
까눌레,4
인스타그램,4
신기하다,4
스마트,4
낮다,4
파리,4
마들렌,4
피칸,4
크기,4
아이,4
말,4
웃기,4
제대로,4
가면,4
사과파이,4
떡볶이,4
먼저,4
사이,4
촉촉하다,4
최근,4
달,4
일요일,4
망원동,4
일단,4
홍대,4
한적하다,4
휴지,4
안주,4
님,4
과일,4
지도,4
리도,3
혼자,3
다르다,3
먹기,3
세,3
키쉬,3
금,3
현대,3
단면,3
한강,3
주소,3
크리스마스,3
저희,3
틀,3
컬러,3
색감,3
식감,3
포스팅,3
콜드,3
거리,3
휘낭시에,3
콩,3
하니,3
라벤더,3
햇살,3
쪽,3
"층
연남동",3
천재,3
역시,3
우린,3
패키지,3
마련,3
맘,3
무,3
둘,3
모레,3
이렇다,3
외,3
매력,3
마을,3
사실,3
시즌,3
외부,3
바,3
이유,3
고정,3
고급,3
약간,3
가득하다,3
플로,3
계속,3
밥,3
보,3
입안,3
요,3
무난,3
주변,3
부자,3
달콤하다,3
구매,3
라인업,3
샷,3
얼른,3
다그,3
짐,3
적,3
대화,3
콤,3
배,3
간판,3
재인,3
세로,3
레이어,3
상품,3
메뉴인,3
일찍,3
바닥,3
못,3
뻔,3
쇼핑,3
컷팅식,3
상콤,3
학교,3
무화과,3
구경,3
식,3
모양,3
토,3
대표,3
클래식,3
등록,3
서울,3
앞,3
감성,3
꼬,3
수제,3
루아,3
의자,3
대박,3
어떻다,3
다크,3
빈,3
속,3
마음,3
부터,3
간이,2
한정,2
여유,2
랭탕,2
빛,2
워,2
블로그,2
음식,2
문,2
메르,2
발견,2
박스,2
생,2
밑,2
계단,2
아늑하다,2
답례,2
쥐,2
특수하다,2
사이즈,2
해도,2
취향,2
화이트와인,2
장식,2
얘,2
계시다,2
높이,2
생크림,2
경의선,2
마지막,2
재밌다,2
쫄깃,2
피낭,2
여러가지,2
접시,2
기대,2
부부,2
마쉿는,2
무스,2
기본,2
페어,2
꼼,2
미리,2
잔,2
안녕하다,2
혀,2
쿠우,2
과,2
전문점,2
여우,2
편이,2
어,2
파괴,2
듬뿍,2
비슷하다,2
종,2
알차다,2
르,2
폭,2
등,2
안되다,2
왜,2
몇개,2
등장,2
존맛,2
평일,2
반지하,2
냅킨,2
글,2
케이,2
하루,2
베,2
쫀득쫀득,2
파티,2
코팅,2
안심,2
목걸이,2
반,2
한남,2
가로,2
셀프,2
비,2
고소,2
당,2
핸드,2
접기,2
보통,2
만하,2
확인,2
얼마나,2
젤리,2
구성,2
배부르다,2
뜨르,2
가볍다,2
완료,2
녹진하다,2
냉장,2
쉬,2
냉동,2
철,2
언제,2
숲길,2
스무디,2
이야기,2
간식,2
경사,2
조각,2
현재,2
구찌,2
수다,2
뻔하다,2
짓,2
사르르,2
마치,2
봉봉,2
끄트머리,2
조명,2
이후,2
예정,2
꾹,2
이틀,2
향기,2
스탑,2
파튀쉐님,2
루피,2
향기롭다,2
꽃,2
보이지,2
개인,2
강하다,2
막,2
소담,2
자전거,2
럼,2
수료증,2
용,2
새우,2
지금,2
궁금하다,2
아웃,2
집들이,2
섬세하다,2
튀김,2
간단하다,2
너,2
나쁘다,2
돈가스,2
무슨,2
음악,2
팔로,2
주의,2
포즈,2
디저트카페,2
실제,2
쉐프,2
바깥,2
랄,2
허니졍,2
기회,2
마포,2
모임,2
한남동,2
대비,2
야하다,2
르그,2
열정,2
잼,2
주시,2
이번,2
-,2
은,2
보이,2
휘이잉,2
스텐,2
상표,2
이상,2
살,2
건,2
매일,2
겹겹이,2
따끈따끈하다,2
출신,2
레몬에이드,2
입맛,2
최소,2
친절하다,2
헤이즐넛,2
위로,2
총,2
공장장,2
우유,2
진열,2
옛날,2
타이,2
타,2
손,2
주인,2
특별하다,2
럼블,2
쿠션,2
뭔가,2
아이스,2
주,2
르노,2
함,2
거북하다,2
종이,2
코코,2
클래스,2
몇,2
로맨틱,2
진짜진짜,2
아보,2
수가,2
기념,2
마침,2
단단하다,2
한쪽,2
파티셰,2
궁합,2
대신,2
맥주,2
상,2
뭐임,2
굳다,2
정보,2
솔트,2
때문,2
의견,2
멋있다,2
주력,2
추가,2
나름,2
스케치,2
퇴근,2
벽화,2
유,2
안이,2
개정,2
심플,2
밖,2
깨끗하다,2
마켓,2
시에나,2
온,2
조심스럽다,1
귀요미,1
먹음,1
깨달음,1
프렌치,1
파워,1
귯,1
바삭바삭하다,1
직원,1
엑스트라,1
방법,1
더블유,1
행복하다,1
작품,1
그녀,1
주문제작-*	라보,1
발,1
프루츠,1
계절,1
끝판,1
차돌,1
일부,1
겉바,1
(연남동,1
돈값,1
남발,1
청포도,1
발달,1
추측,1
오즈,1
호캉스,1
호두,1
색다르다,1
"보기
[",1
스멜,1
체크,1
여,1
소숑오뽐므,1
건물,1
],1
푸드,1
당황,1
단어,1
마스,1
꾹꾹,1
스윗,1
고딩,1
지에스,1
가토,1
천지개벽,1
안달,1
그린,1
테이,1
짇,1
목말,1
안경,1
이집,1
"맛집,",1
덩,1
정상,1
생활,1
인터뷰,1
빵집,1
챱챱뿌려,1
"오픈
\"[서울/연남동카페]",1
통채,1
대요,1
부의,1
핸드솝,1
영문,1
짧다,1
충전,1
남아,1
직장인,1
갠,1
겨울,1
연희,1
숴,1
자유,1
서두,1
몸블,1
지층,1
심,1
파란,1
뿌듯하다,1
고,1
김꼬숩입니,1
단면샷,1
세상,1
누,1
놨다,1
언니,1
"보고
연남동",1
경인로,1
몫,1
대자연,1
호텔,1
요건,1
서도,1
탐색,1
상부,1
권,1
토일,1
툭툭,1
러,1
훨,1
투어14],1
바스락,1
원하다,1
증발기,1
포,1
제발,1
비싸다,1
때매,1
자녀,1
풍경,1
바삭한,1
뿌시,1
홍제천,1
살찌다,1
법,1
오묘숲)	토요일,1
잉,1
형광,1
바이브,1
증말,1
적응하다,1
가야,1
실패하다,1
몸,1
동부,1
포토,1
날씨,1
찬스,1
안고,1
센스,1
성장하다,1
세트,1
녹색,1
gem&silver,1
휠,1
빵수니,1
힐링,1
비주,1
놀람,1
가장,1
보임,1
고구마,1
한웅,1
나무,1
깜박,1
힘,1
휴무💜,1
당시,1
창문,1
요긴,1
동네,1
로부터,1
인용,1
좀더,1
확,1
미식,1
비정,1
풍요,1
호,1
타르트맛집,1
신나다,1
금방,1
호호,1
쫍아,1
번은,1
동생,1
부들부들,1
홍보,1
조화롭다,1
치즈케이크,1
어제,1
아무,1
최고다,1
양도,1
그니,1
소금집,1
채,1
커팅,1
젠,1
매우,1
좋으먄,1
잠시,1
카라,1
직,1
브라운,1
박두,1
신세계,1
집의,1
어택,1
백색,1
다리,1
농도,1
귀걸이,1
결,1
"후기
9.12",1
이중,1
모든,1
청,1
트럴,1
추진,1
나인,1
공,1
뿐,1
차라,1
밤맛,1
여기저기,1
환상,1
양화로,1
감,1
덕분,1
최애,1
만해,1
살걸,1
대성,1
간,1
확대,1
고갈,1
낫다,1
정기,1
윤기,1
에두,1
만약,1
이서,1
차림,1
자체,1
샌드,1
보틀,1
|,1
소설,1
꽃혀,1
의자	디저트,1
마수,1
담수,1
단맛,1
도착,1
구석구석,1
동시,1
한수,1
버터,1
타입,1
"\"\"라보아르(ravoire)\"\"",1
시오,1
작년,1
"0	1
title	[]
[연남동]",1
다행하다,1
똑똑하다,1
궁금,1
홍차,1
살얼음,1
발음,1
질감,1
리,1
작성,1
헤어,1
카페인,1
군데,1
하룻밤,1
소품,1
으루,1
조만간,1
가시,1
감정,1
쨍,1
뒤,1
대기,1
"이다
연남동",1
샛길,1
취식,1
자랑거리,1
라보아르	핫,1
번쩍,1
설탕,1
찐,1
필요,1
은근,1
세계,1
군,1
중앙,1
애플,1
나들이/라보아르],1
시럽,1
에꼴,1
"안경
밀푀이가",1
끝,1
진토닉,1
가구,1
싫어하다,1
