word,count
카페,143
슈타데,116
있다,109
연남동,85
좋다,56
커피,46
파크,34
트럴,34
이다,32
길,32
수,32
숲길,32
분위기,30
경의선,30
사진,29
신상,27
맛집,26
마포구,25
같다,25
맛,24
교,22
곳,22
예쁘다,22
층,21
주문,21
느낌,20
것,20
자리,20
맛있다,20
푸딩,19
서울특별시,19
시간,18
오픈,18
때,18
아메리카노,17
바나나,17
인테리어,16
뷰,16
라떼,15
내부,15
동반,15
방문,14
감성,14
없다,14
공간,13
메뉴,13
화장실,12
또,12
티,12
거,12
안,11
괜찮다,11
추천,10
슈,10
날씨,10
날,10
저,10
위치,10
영업,10
메뉴판,10
모습,10
햇살,9
아니다,9
유럽,9
외관,9
일,9
및,9
새롭다,9
명,9
홍대,9
지도,9
다음,8
바로,8
번,8
손,8
홍대입구역,8
동영상,8
듯,8
깔끔하다,8
카운터,8
다른,8
낙곱새,8
디저트,8
독일,8
크리스마스,8
테이블,8
창문,8
땅콩,8
여기,8
쪽,8
준비,8
많다,8
주차,8
블랙,8
옆,8
작업,8
이드,8
애견,7
선택,7
문,7
볶음밥,7
입구,7
후기,7
산책,7
이,7
서울,7
보고,7
크림,7
정말,7
야외,7
연두색,7
출구,7
원두,7
팀,7
더,7
가격,7
단풍,7
가능,7
어떻다,7
눈,7
진짜,6
얼그레이,6
프렌치토스트,6
월,6
반려견,6
좋아하다,6
조금,6
국물,6
정식,6
사람,6
꽤,6
팩,6
적당하다,6
라스트,6
시공,6
목,6
전체,6
직접,6
포토,6
감,6
그루,6
토스트,6
모두,6
가을,6
제,6
손님,6
처,6
고소하다,6
별로,5
거리,5
매장,5
를,5
음료,5
나,5
주말,5
재생,5
여유,5
원래,5
런가,5
타일,5
밥,5
요,5
금,5
저희,5
컬러,5
그,5
피자,5
연남,5
그니,5
뚜껑,5
트리,5
친구,5
원목,5
주차장,5
접기,5
개,5
달달,5
후,5
달쿵,5
보기,5
캐모마일,4
북적,4
이름,4
인,4
게시,4
센스,4
너,4
포스팅,4
전,4
모든,4
낮,4
비슷하다,4
폭,4
뭐,4
중간,4
끝,4
실내,4
해,4
포인트,4
테라스,4
함,4
찍기,4
사장,4
요즘,4
한적하다,4
지인,4
밖,4
신상카페,4
참기름,4
님,4
온,4
걸,4
프렌치,4
티라미수,4
건물,4
팔로워,4
그린,4
팔로잉,4
