word,count
제,652
카페,645
오랑,627
있다,580
연남동,368
좋다,321
디저트,234
예쁘다,232
같다,215
타르트,186
사진,177
길,160
오렌지,158
층,158
마포구,152
것,148
맛있다,140
귀엽다,139
애견,136
교,133
곳,132
테라스,129
분위기,126
많다,122
동반,122
수,120
서울특별시,116
야외,112
주문,111
날,110
자리,104
파크,104
트럴,102
음료,98
테이블,96
아니다,96
없다,95
강아지,95
메뉴,95
맛,95
내부,93
더,82
커피,81
느낌,80
티,79
시간,76
소품,76
안,73
딸기,73
이,73
저,70
과일,70
아기자기하다,69
케이크,68
맛집,64
이다,62
능소화,62
홍대,62
라떼,61
정말,60
진짜,59
때,59
메뉴판,59
바로,57
거,57
오늘,56
이드,56
인테리어,56
연남,55
감성,54
다양하다,53
다음,52
입구,52
방문,52
서울,52
추천,51
그렇다,51
나,51
집,50
하나,50
날씨,49
생각,49
가능하다,49
우리,49
주황,48
산책,48
친구,48
여기,47
덥다,47
번,46
눈,46
아메리카노,46
제주,44
또,44
숲길,44
블루베리,43
점,43
요,43
청귤,43
영업,43
판매,43
치즈,42
사람,42
경의선,41
내,41
이쁘다,41
상큼,40
크림,40
듯,40
위치,40
좋아하다,39
공간,38
그림,38
기분,38
생,37
앞,37
매일,36
구경,36
제주도,36
분,36
가게,36
에그타르트,35
따뜻하다,35
벚꽃,35
매장,35
실내,34
홍대입구역,34
위,33
비,33
옆,33
좌석,33
개,33
좀,32
향,32
종류,31
포토,31
쪽,31
만,31
핑크베리,30
아쉽다,30
중,30
고민,30
보고,30
외부,30
주황색,29
해,29
사장,29
온,29
전,29
출구,29
가득하다,28
색감,28
조금,28
역시,28
달달,28
밀크,28
직접,28
시원하다,28
이용,27
저희,27
초코,27
자몽,27
오랑제뜨22,27
계절,27
외관,27
이렇다,27
코,26
완전,26
의자,26
도,26
정도,26
피크닉,26
빛,25
명,25
잔,24
빵,24
의,24
인,24
아주,24
그냥,23
말,23
주스,23
가격,23
찍기,23
보,23
지금,23
아이스,23
다른,23
행복하다,22
모자,22
등,22
요즘,22
꼭,22
가득,22
얼,22
가능,22
존,21
포스팅,21
발견,20
여름,20
토스트,20
데이트,20
밖,20
처음,20
오렌지색,20
후기,19
바람,19
이번,19
입,19
를,19
깔끔하다,19
다시,19
처,19
속,19
편하다,19
및,19
그,19
리뷰,19
수박,19
햇살,19
준비,19
쥬스,19
함,19
주말,19
간식,19
조명,18
파라솔,18
선택,18
취향,18
로,18
진열,18
물,18
한번,18
때문,18
인스타,18
주택,18
크리스마스,18
이름,18
마당,18
저녁,18
주차,18
나들이,17
막,17
컬러,17
당근,17
반려견,17
곰돌이,17
카페인,17
안쪽,17
오픈,17
소개,17
주차장,17
후,17
모습,17
볼,17
꽃,17
작다,17
밤,17
이제,17
캠핑,16
주소,16
은,16
근처,16
카운터,16
석,16
편,16
못,16
왜,16
맘,16
가기,16
비엔나,16
라스트,16
원래,15
용품,15
비주,15
나무,15
공원,15
뭐,15
둘,15
손님,15
님,15
밥,15
개인,15
참고,15
얼그레이,15
곳곳,15
봄,15
쨍,15
부드럽다,15
동영상,15
수가,15
약간,15
시작,15
생크림,14
안녕하다,14
햇빛,14
댕댕,14
비쥬,14
어떻다,14
마음,14
용,14
차,14
거울,14
떡볶이,14
망원동,14
일,13
예약,13
반려동물,13
두,13
카페라떼,13
모두,13
일단,13
아아,13
줄,13
돈,13
여행,13
화장실,13
어디,13
무엇,12
정원,12
포르투칼,12
재미,12
환영,12
식당,12
매력,12
보기,12
솔직하다,12
살짝,12
컷,12
애견동반,12
바깥,12
낮,12
가지,12
유명하다,12
문,11
신선하다,11
계시다,11
힐링,11
괜찮다,11
미리,11
오레오,11
오후,11
스팟,11
포인트,11
꽤,11
네이버,11
사실,11
아기자기,11
골목,11
전체,11
달콤하다,11
핀,11
넓다,11
뒤,11
답,11
상콤,11
눈길,11
조용하다,11
땐,11
소바,10
제일,10
한강,10
바닐라,10
기도,10
가장,10
과,10
아이,10
한참,10
/,10
키위,10
모형,10
개조,10
점심,10
위해,10
나중,10
굿,10
걸,10
컵,10
어렵다,10
선선,10
방석,10
빈,10
확,10
배,10
덕분,10
감,10
오랑제뜨22	오랑,10
자체,10
쭉,10
존맛,10
뭔가,10
바삭,10
찍,10
자주,10
스무디,10
쇼케이스,10
수다,10
마치,9
영상,9
말차,9
최고,9
게,9
예쁜,9
언니,9
별로,9
장,9
장소,9
깨비,9
연어,9
거리,9
콤,9
보이,9
친절하다,9
손,9
가면,9
멀리,9
케익,9
달,9
블랙,9
다르다,9
먹기,9
아래,9
엄마,9
치,9
게시,9
너,9
성,9
조합,9
귀염,9
시선,9
가정,9
진하다,9
조각,9
가방,9
술집,9
베리,9
달라,8
계속,8
팔로워,8
팔로잉,8
인생,8
밑,8
계단,8
아늑하다,8
상태,8
자리다,8
세트,8
공영,8
인지,8
구,8
잠시,8
여기저기,8
얼마,8
가깝다,8
하루,8
포크,8
알,8
물씬,8
검색,8
테이크아웃,8
시즌,8
초,8
걱정,8
리얼,8
선물,8
데리,8
전부,8
주변,8
"제
연남동",8
궁금하다,8
망고,8
일러스트,8
여러,8
신나다,8
동생,8
야하다,8
장미,8
맑은,8
무,8
글,8
청귤티,8
레몬,8
먼저,8
몇,8
워낙,8
기억,8
와사비,8
김밥,8
추가,8
한잔,8
절대,8
거기,8
음식,7
차분하다,7
멍,7
불편하다,7
공수,7
메인,7
구매,7
베이스,7
핫,7
오,7
매우,7
무섭다,7
전남친,7
애,7
움,7
새,7
중간,7
망원,7
산,7
모양,7
쿠션,7
거의,7
투어,7
정보,7
와플,7
준,7
마켓,7
사,7
직원,7
서비스,7
스누피,7
건물,7
연상,7
겨울,7
가야,7
본점,7
모든,7
새롭다,7
보틀,7
도착,7
좁다,7
레몬에이드,7
안되다,7
마련,7
모,7
초콜릿,7
미치다,7
쿠키,7
외,7
잠깐,7
자,7
수제,7
이유,7
문의,7
울,7
서울시,7
화사하다,6
이색,6
은은하다,6
세상,6
벽,6
어쩜,6
센스,6
샤인,6
만난,6
실제,6
뿐,6
까페,6
구이,6
캐,6
잼,6
마,6
난,6
끝,6
평일,6
특별하다,6
스타일,6
찾기,6
악세사리,6
코스,6
즐겁다,6
영자,6
포스터,6
바나나,6
가을,6
한적하다,6
갑자기,6
먹음,6
여유,6
욤,6
석도,6
티라미수,6
크레이프,6
캐모마일,6
사용,6
머,6
더욱,6
신기하다,6
셋,6
튀김,6
샷,6
토핑,6
접시,6
청,6
만해,6
결정,6
라테,6
찰떡,6
힘들다,6
살,6
이상,6
임,6
그릇,6
빛깔,6
재,6
설명,6
채소,6
카스테라,6
오시,6
한쪽,6
최근,6
고시,6
통,6
적당하다,6
"카페,",6
팔고,6
아담하다,6
진,6
라인,6
혼자,5
뷰,5
사랑,5
인증샷,5
이자카야,5
그린,5
애견동반카페,5
이상하다,5
카페],5
타임,5
포기,5
감귤,5
원더,5
짱,5
아지,5
요거트,5
다리,5
미쁘동,5
춥다,5
환상,5
딱이다,5
전화번호,5
메뉴인,5
산뜻하다,5
-,5
저절로,5
녹차,5
운영,5
좋은,5
중앙,5
맛없다,5
우유,5
오기,5
훠궈,5
토,5
밉다,5
조화,5
라미,5
간만,5
포장,5
만큼,5
플리,5
우선,5
대문,5
뜨겁다,5
밍밍,5
얼마나,5
케,5
겸,5
항상,5
충전기,5
각자,5
인형,5
무조건,5
제철,5
나름,5
쭈욱,5
색,5
차갑다,5
농장,5
제법,5
서도,5
아이스크림,5
톤,5
엄청나다,5
진심,5
부분,5
귤,5
평범하다,5
등등,5
게다가,5
원점,5
동네,5
여자,5
금방,5
아무,5
기대,5
그니,5
화이트,5
적,5
소리,5
넘치다,5
예전,5
마리,5
하니,5
전화,5
간,5
듬뿍,5
구석구석,5
인석,5
천국,5
고고,5
꼬치,5
선풍기,5
에어컨,5
연트럴파크,5
강쥐,5
양,5
파스타,5
미국,5
파티,5
동안,5
기대하다,5
무리,5
바쁘다,5
운,5
팅,5
쉬,5
발걸음,5
수도,5
대박,5
뭘,5
이야기,5
망,5
흐,5
산미,5
다가,4
도로,4
눈사람,4
인기,4
활짝,4
블로그,4
흰색,4
프랑스,4
닷,4
여러분,4
금,4
통해,4
청량감,4
보시,4
고,4
베이커리,4
만끽,4
왕관,4
해도,4
풍경,4
타고,4
그닥,4
순간,4
꿀,4
연락처,4
장님,4
부,4
정확하다,4
스럽다,4
경의,4
이면,4
직,4
기준,4
굉장하다,4
파이,4
프로필,4
마무리,4
저격,4
전문점,4
관심,4
일찍,4
요런,4
만족,4
주얼,4
포근하다,4
폭,4
입맛,4
소중하다,4
시럽,4
제대로,4
방향,4
스타벅스,4
옷,4
주인,4
싱그럽다,4
확실하다,4
화려하다,4
낌,4
창가,4
밋,4
김,4
앙증맞다,4
불어,4
눅눅하다,4
벌레,4
도보,4
확인,4
찜,4
화창하다,4
오히려,4
매트,4
드림,4
보아,4
지난,4
고소하다,4
색깔,4
지도,4
래서,4
단,4
머리,4
곳도,4
홍대역,4
스캣,4
쎄리,4
음,4
실외,4
출처,4
북적,4
루이,4
오빠,4
피,4
보이지,4
원피스,4
충전,4
쌀쌀하다,4
지고,4
요건,4
피어,4
저번,4
법,4
준우,4
착하다,4
물이,4
배고프다,4
폭포,4
김치,4
나쁘다,4
지하철,4
월레스,4
월,4
산딸기,4
충분하다,4
치즈케이크,4
치킨,4
남친,4
대화,4
오랑제뜨22	연남동,4
그대로,4
쥬,4
상품,4
귀염뽀짝,4
엽떡,4
호점,4
|,4
단맛,4
류,4
그늘,4
불구,4
황보,4
서울역,4
리코,4
설,4
내내,4
늘,4
디자인,4
혹시,4
식,4
데,4
해산물,4
신상,4
그로,4
자연,4
착석,4
사이,4
자세하다,4
합격,4
아시,4
셀카,4
언제,4
일요일,4
연남동카페,4
덕,4
인정,4
빵빵,4
스토어,4
형형색색,4
전용,4
있는,4
썬더,3
피곤하다,3
디져트,3
데코,3
외국인,3
앞서,3
필터,3
와인,3
문구,3
귀찮다,3
실물,3
침대,3
벽면,3
대가,3
그라스,3
디테일,3
그것,3
고용,3
더위,3
인스타그램,3
요기,3
원하다,3
기차,3
전반,3
얘,3
당연하다,3
레쉬,3
마지막,3
액세서리,3
야무지다,3
태양,3
도장,3
병,3
매,3
야외테라스가,3
팀,3
오렌지빛,3
야채,3
마미,3
무척,3
강,3
기본,3
채,3
산책길,3
홀,3
뜻,3
벌써,3
유시,3
노페,3
생기,3
랄,3
간판,3
유리,3
"제
[연남동",3
꼬막,3
아깝다,3
비록,3
동화,3
면도,3
톡,3
아이디어,3
키,3
라며,3
공항,3
이동,3
구리,3
작성,3
식사,3
쇼핑,3
회사,3
똑같다,3
전혀,3
처럼,3
화,3
이기,3
어마,3
애플,3
싫어하다,3
점점,3
미미,3
라볶이,3
필,3
초록,3
휴양지,3
반하다,3
남자친구,3
가끔,3
누가,3
각종,3
특이하다,3
높다,3
일반,3
던데,3
느끼하다,3
목걸이,3
순이,3
겉바,3
한눈,3
세,3
목표,3
반죽,3
구석,3
존예,3
관련,3
기약,3
고해,3
인근,3
입안,3
오랑제뜨22	안녕하다,3
텐동,3
무난,3
토요일,3
입장,3
상당하다,3
킨,3
리신,3
휴식,3
이웃,3
올해,3
체리,3
새우,3
장식,3
커피한잔,3
광합성,3
섬세하다,3
감자,3
저장,3
피자,3
애완동물,3
손소독제,3
얼른,3
감자탕,3
식감,3
스,3
조명도,3
픽,3
사랑스럽다,3
팝업,3
메,3
전시,3
코스터,3
점심시간,3
심지어,3
피클,3
정신,3
핑크,3
마포,3
후추,3
대여,3
송가,3
편이,3
이서,3
종,3
비슷하다,3
라즈베리,3
건,3
트레이,3
가시,3
우린,3
존재,3
불,3
대기,3
웨이,3
저기,3
봄날,3
누텔라,3
아메,3
취미,3
뽀짝,3
발길,3
완벽하다,3
도전,3
맞은편,3
패스,3
아기,3
장안,3
"오랑제뜨22,",3
라면,3
시간대,3
콘셉트,3
케잌,3
포르투갈,3
냄새,3
시트,3
마감,3
뎅,3
저렴하다,3
미니,3
카메라,3
팔찌,3
가성,3
퇴근,3
정리,3
유,3
지인,3
깜빡,3
총총,3
심플,3
니,3
보쌈,3
별,3
빨대,3
한판,3
작,3
답답하다,3
갓,3
배치,3
대한,3
꼼꼼하다,3
중순,3
피어싱,3
앗,3
보지,3
주,3
곧,3
영롱하다,3
담,3
판,3
길다,3
생일,3
쏠쏠하다,3
건강하다,3
선글라스,3
분명,3
평소,3
전날,3
굳이,3
요새,3
카도,3
낭낭,3
촉촉하다,3
궁합,3
합정,3
연유,3
노래,3
소스,3
