word,count
카페,3693
잼잼,3291
있다,3249
연남동,2537
흑임자,2362
브런치,1721
좋다,1673
맛있다,1454
메뉴,1217
크림,1165
같다,1106
라떼,1038
커피,980
사진,979
맛,970
디저트,906
것,870
곳,852
로,792
주문,791
길,787
많다,775
마포구,769
수,745
아이스크림,724
층,706
지하,700
럼블,699
성미산,656
없다,646
서울특별시,627
느낌,607
저,607
맛집,599
파스타,594
더,589
자리,546
진짜,540
아니다,538
방문,512
분위기,486
때,463
예쁘다,459
테이블,449
시간,439
바질,427
사람,423
좋아하다,420
친구,415
이,413
내부,406
정말,403
거,399
여기,397
힙,395
나,388
생각,380
그렇다,377
아메리카노,375
음료,372
인테리어,372
날,366
안,364
메뉴판,363
이다,362
또,353
공간,346
제,345
토,338
내,334
위,318
페스,311
우리,297
개,297
다음,295
하나,294
감성,288
토스트,280
추천,278
좀,278
오늘,275
바로,274
요즘,274
컵,274
명,272
치즈,268
번,267
위치,266
유명하다,256
분,256
보고,254
빵,246
서울,243
및,243
매장,234
그냥,233
정도,230
연남,230
아주,229
귀엽다,227
고소하다,227
그,221
조금,218
동영상,218
음식,215
매일,214
떡볶이,214
꼭,211
저희,209
아이스,205
테라스,205
달달,203
가능하다,202
전,196
살짝,195
다른,192
이드,192
집,192
날씨,190
어,190
얼,188
홍대,188
영업,185
핫,182
재생,181
듯,178
물,176
팅,176
이렇다,175
아쉽다,173
옆,173
편하다,169
야외,169
완전,168
꽤,167
중,166
해,165
보기,165
의자,164
요,161
먼저,161
앞,160
주말,160
입구,159
뭐,159
화장실,158
처음,157
입,157
사실,157
비주,155
부드럽다,154
인스타,153
초코,152
안쪽,152
깔끔하다,152
웨이팅,151
샐러드,151
약간,150
덥다,149
이쁘다,149
글리,148
식사,148
뭔가,148
잔,147
한번,147
처,147
역시,144
말,143
조합,142
후,142
손님,141
오픈,141
직원,139
먹기,139
웨이,139
동반,139
때문,139
다양하다,137
만,137
점,136
못,135
가게,133
진하다,133
사장,132
모두,132
도,131
소스,131
볼,128
잠봉,128
홍대입구역,128
쪽,128
손,128
왜,127
반지하,126
프렌치,125
다시,125
외관,125
가격,124
양,123
저녁,123
이용,121
좌석,121
님,120
일,120
딸기,119
클레이,119
평일,118
애견,117
향,117
데이트,117
보,116
무스,116
구경,116
캐년,116
소품,115
게시,114
거리,114
넓다,112
바닐라,112
크로우,112
카운터,112
밥,111
잼,111
팔로워,111
눈,111
인기,110
후기,110
팔로잉,110
덕,110
접기,109
고민,108
가지,108
기분,107
티,107
등,107
줄,107
포스팅,106
게,105
괜찮다,105
마음,105
이름,104
성,103
아이패드,103
청포도,102
인,102
사용,102
알,102
출구,101
우유,101
가면,100
입맛,99
참고,97
거울,97
케이크,97
온,96
전체,95
개인,95
편,95
리필,95
준비,95
