word,count
있다,694
프로포즈,643
모어,625
카페,618
케이크,508
이드,480
연남동,457
맛,329
디저트,299
같다,283
맛있다,274
좋다,269
것,257
딸기,250
사진,245
주문,188
없다,185
마포구,183
예쁘다,173
곳,167
서울특별시,158
많다,152
귀엽다,150
과일,140
메뉴,138
음료,138
수,133
층,131
로,130
댕댕,130
길,128
때,121
생각,118
느낌,117
그렇다,114
안,108
아니다,108
성미산,106
크림,105
거,105
친구,104
더,102
방문,100
좋아하다,99
저,97
커피,96
날,95
및,93
치즈케이크,93
진짜,91
정말,91
치즈,90
이,89
가격,86
테이블,86
맛집,85
동영상,85
시간,84
이쁘다,78
여기,76
하나,76
사람,76
무화과,75
내,74
내부,72
얼그레이,71
제,71
이다,71
레,71
휴무,70
초,70
개,70
종류,69
핑크,69
레몬,69
오늘,68
판매,67
나,66
에이,64
제청,64
타르트,62
또,62
자리,62
원모어프로포즈,60
명,60
위,60
우리,60
카운터,59
생크림,59
좀,58
분위기,58
복숭아,57
조금,57
연남,57
티,57
다른,57
약간,57
사실,55
그냥,55
인스타,55
정도,54
중,54
고민,54
전,54
월요일,53
메뉴판,52
아주,52
존,51
달달,50
해,50
위치,50
유명하다,50
물,49
뭐,48
인테리어,48
번,48
얼,48
거리,47
오픈,47
소품,46
깔끔하다,46
영업,46
아쉽다,46
비주,46
추천,45
보기,45
키위,45
베리,45
그,44
꼭,44
님,44
집,44
서울,44
보고,44
라운드,43
게시,43
일,43
바로,42
팔로워,42
팔로잉,42
상큼,42
듯,42
라떼,41
완전,40
홍대,40
처음,39
애플,39
가게,39
노,39
가지,39
사장,39
요즘,39
요거트,38
시럽,38
럼블,38
점,38
저희,38
포장,37
참고,37
화장실,37
라즈베리,36
창가,36
이렇다,36
다음,35
이름,35
쪽,35
입,35
시트,35
요,34
크리스마스,34
매장,34
공간,34
분,34
마음,34
한번,33
포스팅,33
넓다,33
의자,33
다양하다,32
키즈,32
옆,32
게,32
뭔가,32
한정,31
보,31
사과,31
주차,31
별로,31
청,31
앞,31
빵,30
말,30
때문,30
밥,29
클래스,29
괜찮다,29
역시,29
양,29
전체,28
아메리카노,28
케익,28
걸,28
햇살,28
후기,27
건,27
덥다,27
아기자기하다,27
다시,27
제일,27
살짝,27
기분,27
흑임자,26
직접,26
함,26
거의,26
달,26
만,26
눈,26
온,26
반지하,26
수제,26
지금,25
궁금하다,25
입구,25
화이트,25
그대,25
못,25
비싸다,25
등,25
안되다,25
외관,25
꽤,25
후,25
적당하다,25
류,24
준비,24
근처,24
이안,24
진하다,24
하와,24
