word,count
있다,1825
카페,1537
연남동,852
벌스가,791
층,775
좋다,751
같다,611
자리,510
곳,470
사진,442
것,434
식물,426
많다,409
예쁘다,391
공간,375
케이크,367
느낌,352
꽃,344
수,328
분위기,321
길,313
마포구,312
플라워,303
벌스가든,293
주문,289
벌스,257
서울특별시,257
없다,250
로,247
맛있다,241
성미산,228
음료,227
여기,218
맛,214
테이블,210
더,205
사람,203
이,200
커피,199
날,195
메뉴,194
테라스,190
그렇다,189
티,188
입구,187
시간,187
저,186
때,185
하우스,183
정말,177
안,173
아니다,173
야외,167
좋아하다,166
친구,161
방문,161
이다,158
생각,158
진짜,155
가든,155
나,155
이쁘다,145
좀,142
우리,141
추천,137
또,136
내부,135
집,132
숲길,128
홍대,126
아메리카노,124
경의선,123
초록,122
인테리어,121
개조,118
내,117
가격,115
바로,114
룸,113
다른,113
기분,112
거,111
주택,111
화장실,104
가득하다,104
다양하다,104
하나,103
번,102
디저트,101
이렇다,101
위치,99
조금,99
서울,99
쪽,97
전,96
계단,95
구경,95
라떼,94
좌석,93
날씨,92
데이트,92
제,91
저희,91
보고,90
처음,89
듯,88
분,86
가득,86
넓다,84
다음,84
옆,82
만,82
정도,81
오늘,81
향,80
온,80
방,80
마음,79
그냥,79
드라이,77
레몬,76
그,75
파크,75
덥다,74
정원,74
힐링,73
아이스,73
한번,73
눈,73
트럴,71
사실,71
뭔가,69
앞,69
사장,69
종류,68
안쪽,68
명,68
연남,67
요,67
딸기,67
영업,67
중,65
역시,65
개,65
꼭,65
감성,65
다시,64
손님,64
위,64
나무,63
컨셉,63
메뉴판,63
조명,63
못,63
가게,63
맛집,62
휴무,62
여름,61
소개,60
조용하다,60
곳곳,59
밀크,58
완전,58
카운터,58
일,58
속,56
외관,56
해,56
차,55
끝,55
때문,55
모습,55
아주,55
요즘,54
산책,54
월요일,54
실내,54
저녁,53
고민,53
인,53
거리,53
주차,53
출구,53
얼그레이,51
동남아,51
꽤,51
아쉽다,50
밖,50
살짝,50
아늑하다,50
약간,50
및,49
괜찮다,49
뭐,49
발견,48
왜,48
편하다,48
후기,48
초코,47
수박,47
앤,47
이제,47
이름,47
말,47
물,47
홍대입구역,47
영화,47
문,46
지금,46
알,46
비,46
주말,46
꽃집,45
낮,45
허브,45
볼,44
게,44
예전,44
보기,44
편,44
가면,44
점,43
별로,43
비싸다,43
핫,43
바나나,43
시원하다,43
등,42
줄,42
간,42
이번,42
포스팅,41
바람,41
이드,41
직접,41
작다,41
재생,41
자리다,40
어떻다,40
돈,40
케익,40
걸,39
참고,39
화분,39
장식,39
어디,39
후,39
바깥,38
찍기,38
브라우니,38
가능하다,38
동영상,38
먼저,38
거울,37
중간,37
판매,37
멋지다,37
계속,37
따뜻하다,37
가정,37
귀엽다,37
제일,36
꽃들이,36
빵,36
매일,36
모두,36
밥,36
굉장하다,36
가좌역,36
외부,36
가기,36
교,36
달달,35
