word,count
이,204
있다,174
도,84
의,83
를,70
은,59
좋다,52
수,50
로,50
메뉴,50
것,42
요,32
곳,32
같다,32
과,30
주문,30
사진,26
디저트,25
아니다,25
층,24
제,24
분위기,23
맛,23
저,23
시간,22
맛있다,22
공간,22
안,21
때,21
해,20
스콘,20
자리,20
방문,20
테이블,19
나,19
무화과,18
그,17
게,17
그렇다,17
위치,17
마음,17
마포구,15
좋아하다,15
크림,15
느낌,15
만,15
정도,14
친구,14
사람,14
많다,14
분,14
핫,14
없다,14
적,13
두,13
바,13
바로,13
진짜,13
매장,13
강아지,13
더,12
중,12
아메리카,12
이다,12
버터,12
빵,12
명,12
동영상,12
힙댕,12
부터,12
술,11
시,11
꽤,11
영업,11
정말,11
사장,11
애견,11
고,11
카페,11
및,11
가지,11
보,10
전,10
오픈,10
서울특별시,10
앞,10
따뜻하다,10
귀엽다,10
혼자,10
다양하다,10
리마,10
집,10
향,10
생각,10
개,10
하나,10
길,9
럼블,9
밉다,9
음료,9
철거,9
고구마,9
치즈,9
내,9
입구,8
간단하다,8
확,8
또,8
운영,8
칵테일,8
듯,8
의자,8
다른,8
브런치,8
아늑하다,8
위,8
헤헤,8
날,8
먼저,8
기분,8
볼,7
좀,7
일,7
건물,7
편,7
레스토랑,7
등,7
애플,7
역,7
파,7
예쁘다,7
깔끔하다,7
눈,7
작업,7
니,7
모습,7
베리,7
세,7
저희,7
폐기물,7
직접,7
티,7
조금,7
월컵로,7
못,7
처럼,7
번,7
데,7
란,7
레몬,7
동반,7
판매,7
아이스크림,7
이용,6
종류,6
테리어,6
계시다,6
밤,6
입,6
준비,6
군,6
맛집,6
실내,6
아이스,6
가능,6
요즘,6
메뉴판,6
보기,6
빈,6
처,6
라떼,6
더욱,6
달콤하다,6
궁금하다,6
가장,6
꼭,6
여기,6
쪽,6
저녁,6
내부,6
이렇다,6
물,6
기,6
상주,6
컵,6
부럽다,6
망원동,6
산도,6
과일,6
조명,5
다음,5
바게트,5
계속,5
문,5
선택,5
팔로워,5
팔로잉,5
코페,5
재미,5
새우,5
게시,5
처음,5
상큼,5
류,5
안쪽,5
밀크,5
외관,5
거,5
이슬,5
단체,5
면,5
필터,5
손님,5
날씨,5
에이,5
트리,5
잔,5
아이,5
넓다,5
둘,5
담,5
댕댕,5
시장,5
이쁜이,5
보고,5
감성,5
휴무,5
견,5
데이트,5
모두,5
일단,5
간식,5
줄,5
옆,5
처리,5
속,5
서비스,4
책,4
로고,4
트,4
럼,4
재즈,4
동탁,4
얼그레이,4
아쉽다,4
초코,4
브라우니,4
미만,4
하리,4
그냥,4
아깝다,4
월요일,4
확실하다,4
신상,4
쿠바,4
딜,4
만큼,4
가볍다,4
냄새,4
어떻다,4
진하다,4
브륄레,4
원두,4
원래,4
곳도,4
사랑,4
제일,4
아이리쉬,4
보시,4
호텔,4
벽,4
해도,4
이름,4
나무,4
비주,4
얼음,4
음악,4
라서,4
자몽,4
마리,4
새롭다,4
후추,4
가득,4
낮,4
편이,4
블루베리,4
트북,4
과테말라,4
말,4
친절하다,4
지하,4
오트,4
남자친구,4
서울,4
하몽,4
때문,4
추가,4
망,4
아주,4
울,4
마치,3
제공,3
사용,3
골목,3
방,3
전체,3
놀이,3
까눌레,3
요기,3
포,3
취향,3
브레,3
망고,3
아쌈,3
창문,3
벵쇼,3
식감,3
화장실,3
반려동물,3
자락,3
차량,3
오늘,3
바닥,3
역시,3
매일,3
중앙,3
로코,3
장군,3
직원,3
걸,3
에스,3
여유,3
스탬프,3
얼,3
뭔가,3
칩,3
일반,3
소개,3
위해,3
조화,3
솔티독,3
형,3
사이,3
수가,3
보통,3
쿠폰,3
안내,3
밀쿠,3
구성,3
기억,3
더하다,3
기간,3
크래커,3
캠핑,3
위생,3
편안하다,3
이상하다,3
커피,3
핸립,3
겨울,3
참고,3
엄청나다,3
패,3
성격,3
힐링,3
위스키,3
만다린,3
반전,3
네,3
홀,3
괜찮다,3
거리,3
간,3
야하다,3
이번,3
완전,3
소금,3
건,3
휘,3
뭐,3
끝,3
관리,3
특별하다,3
창가,3
남편,3
테라스,3
수제,3
라면,3
달달,3
만석,3
달,3
걱정,3
시간대,3
낭시,3
유치원,3
수도,3
이쁘다,3
조용하다,3
적당하다,3
슬리퍼,3
비엔나,3
다시,3
약간,3
우리,3
유명하다,3
사,3
주류,3
아지트,3
레오,2
발,2
차양,2
먹기,2
머리,2
스낵,2
추위,2
루,2
문구,2
업체,2
깊다,2
이것은,2
망리,2
차분하다,2
은은하다,2
금액,2
배경,2
