word,count
이,84
도,57
있다,48
은,41
시장,27
의,26
로,25
마포구,24
를,23
같다,23
서울특별시,21
많다,20
길,19
고릴라,19
사진,18
곳,18
저,17
내,17
맛있다,17
맛집,16
없다,16
맛,16
초코,16
안,15
예쁘다,15
좋다,15
좋아하다,14
귀엽다,13
것,13
만,12
게,12
진짜,11
추천,11
수,11
못,11
소품,11
시간,10
층,10
고,10
월컵로,10
해,10
또,9
사람,9
나,9
가게,9
종류,9
공원,9
정말,9
일단,9
분,9
바로,8
집,8
아니다,8
역,8
앞,8
크림,8
망원동,8
가방,8
여기,8
망원,8
구경,8
음료,8
청어,7
친구,7
데,7
가격,7
사실,7
점,7
아기자기하다,7
하나,7
상점,7
요,7
타임,7
과,7
때,7
영업,7
람,7
더,6
그냥,6
오늘,6
매일,6
주문,6
투어,6
개,6
아주,6
라떼,6
위,6
네,6
첫,6
말,6
끝,6
번,6
생각,6
초이,6
달짜,6
리얼,6
좀,5
느낌,5
블로그,5
음식,5
모자,5
이다,5
브레이크,5
리뷰,5
티,5
미치다,5
맘,5
알,5
큐스,5
닭강정,5
다른,5
밀크,5
잡화,5
딸기,5
다양하다,5
치즈,5
중,5
국수,5
제로,5
역시,5
코코넛,5
파스타,5
사장,5
돈,5
컷,4
처음,4
너,4
꼭,4
성,4
동생,4
적,4
웨이,4
방문,4
디어,4
꽤,4
거,4
얼,4
근처,4
생일,4
듯,4
길거리,4
포은로,4
플리,4
자주,4
스토어,4
유명하다,4
주소,4
저희,4
마지막,4
여름,4
짐,4
조금,4
블루베리,4
술,4
녹차,4
징,4
식당,4
날,4
고민,4
빈티,4
버스,4
밉다,4
누텔라,4
하늘,4
당,4
컵,4
팅,4
바나나,4
곱창전골,4
눈,4
마리오,4
부터,4
마음,4
마시멜로,3
음,3
스타,3
원본,3
발견,3
생,3
선녀,3
달마시안,3
그,3
정도,3
매우,3
괜찮다,3
전,3
자리,3
버터,3
이동,3
건,3
픽스,3
희다,3
무,3
이상순,3
흑백,3
식,3
왼쪽,3
바삭,3
티비,3
소박하다,3
명,3
한번,3
서울,3
포장,3
수제,3
이제,3
맥주,3
사지,3
수도,3
충전,3
분위기,3
시작,3
절대,3
우리,3
스페이스,3
출구,3
셀,3
곱창,3
타고,3
플레,3
비주,3
주방,3
만물,3
최유리,3
거리,3
쥬,3
향,3
봉투,3
도착,3
리,3
입맛,3
난,3
처럼,3
학교,3
옷,3
물품,3
아이스,3
양,3
메뉴,3
나중,3
굿,3
따뜻하다,3
데이트,3
어쩌다가,3
요즘,3
보기,3
유,3
사,3
선물,3
사서,3
빨대,3
무엇,2
혼자,2
사용,2
고해,2
제일,2
디저트,2
캔들,2
요기,2
신선하다,2
빌딩,2
지금,2
취향,2
보부상,2
직접,2
등등,2
그렇다,2
동네,2
지하철,2
금방,2
아무,2
기대,2
곰돌이,2
무섭다,2
앨범,2
예전,2
넘치다,2
국물,2
습,2
할머니,2
야하다,2
톡,2
쪽,2
살,2
오후,2
아메리카,2
조합,2
답,2
강변,2
은근,2
둘,2
늘,2
산,2
그거,2
부메랑,2
글,2
하루,2
매력,2
강아지,2
떡볶이,2
비빔국수,2
네이버,2
목걸이,2
오브젝트,2
동영상,2
건강하다,2
먼저,2
기대하다,2
보고,2
비쥬,2
낭낭,2
감성,2
코로나,2
후다닥,2
겸,2
항상,2
달달,2
단,2
걸,2
가루,2
볼,2
계절,2
아름답다,2
판다,2
일요일,2
사이클,2
만두,2
다음,2
티라미수,2
시원하다,2
세,2
방문자,2
향기,2
반지,2
피크닉,2
영화,2
교,2
쉽다,2
서울시,2
밥,2
피,2
겨울,2
푸릇푸릇,2
한강,2
엄마,2
및,2
장,2
사이즈,2
싱싱하다,2
날씨,2
생크림,2
레트로,2
핫,2
라서,2
구,2
짱,2
식탁,2
강,2
가치,2
다리,2
바람,2
덕분,2
하니,2
전화,2
힘들다,2
입,2
얼마,2
완전,2
등,2
뭐,2
친절하다,2
외관,2
미니,2
거나,2
소라색,2
진열,2
조그맣다,2
모형,2
오픈,2
잔뜩,2
확실하다,2
초록색,2
뭔가,2
밤비,2
점심,2
예,2
쩨알,2
잔치국수,2
길이,2
축하,2
레크,2
돌이,2
조화,2
먹거리,2
검색,2
리스트,2
정로,2
투게더,2
씨,2
향초,2
휴무,2
호선,2
타이밍,2
가볍다,2
상호,2
후,2
저렴하다,2
제,2
에프,2
메뉴판,2
어떻다,2
다시,2
송이,2
솔직하다,2
줄,2
처,2
갑자기,2
과일,2
아이스크림,2
에어,1
보신,1
다가,1
최고,1
말차,1
친,1
환경,1
저녁식사,1
재미있다,1
파는덴,1
반품,1
피카추,1
서교동,1
플로,1
진행중,1
달라,1
패쓰,1
랭,1
이용,1
지나,1
사리,1
꼬마,1
건물,1
강탈,1
우동,1
글쓰기,1
실물,1
문,1
갈수,1
단어,1
비교,1
오빠,1
스탑,1
보,1
팔로잉,1
편안하다,1
욤뽀,1
고객,1
대요,1
데이,1
스무,1
콧속,1
로만,1
거부,1
앞데,1
홈페이지,1
판도,1
양말,1
동답,1
고릴라	비빔국수,1
자전거,1
최민,1
경우,1
등장	고릴라,1
달콤하다,1
엄청나다,1
패애애애스,1
오산,1
선명하다,1
용,1
진심,1
쿨하다,1
밑반찬,1
나이스,1
기고,1
공개,1
그닥,1
버섯,1
핫초코,1
바이브,1
린,1
추억,1
츠,1
접선,1
게시,1
동쪽,1
몸,1
저장,1
샷,1
베르가,1
기타,1
간단하다,1
입구,1
마운,1
릴라,1
작다,1
밤,1
절벽,1
식감,1
쫄깃,1
확,1
좀더,1
꽃집,1
토핑,1
파파르델레,1
여러가지,1
접시,1
레벨,1
포스팅,1
최고다,1
양도,1
회포,1
기본,1
안질,1
플레이,1
연남동,1
치킨,1
요청,1
편의점,1
정신,1
표지판,1
재료,1
만원,1
마리,1
벳,1
조그마하다,1
프로필,1
곽진,1
연필,1
직장,1
본능,1
학원,1
생신,1
가득,1
엽서,1
부실,1
상품,1
들것,1
듬뿍,1
일상,1
종현,1
산책,1
산	안녕하다,1
좌석,1
는걸,1
허심,1
마,1
"시장",1
이상,1
콕,1
코코아,1
천국,1
그때,1
다우니,1
자유롭다,1
독특하다,1
샵,1
운영,1
당일,1
뒤,1
대기,1
왜,1
스위치,1
초콜릿,1
귀엽죵,1
아기,1
바이바이,1
시럽,1
문제,1
젓가락,1
칼로리,1
주섬주섬,1
미지,1
시선,1
존맛,1
배려,1
열,1
"층
망원동",1
려,1
대고,1
먹음,1
선물	고릴라,1
"마포구
망원동",1
혹시,1
얼임,1
타,1
대한,1
놀래다,1
홀려,1
장본,1
선,1
들판,1
고릴라	모두,1
뽀,1
전해리,1
자제,1
반지하,1
바리,1
줗,1
토피,1
재주,1
실험실,1
율,1
곳도,1
먹기,1
전달,1
그램,1
유혹,1
자동,1
귀마개,1
실,1
이렇다,1
계산,1
콧,1
필터,1
아름,1
도시락,1
디즈니,1
자꾸,1
라자냐,1
옹기종기,1
사랑,1
요미,1
고릴라	밉다,1
골목,1
통닭,1
명소,1
열한,1
물,1
서지,1
팔로워,1
이것은,1
방송,1
김종현,1
추,1
가라,1
년차,1
쑥,1
주스,1
찾기,1
귀엽졍,1
사진관,1
숟가락,1
렸다,1
애매하다,1
센터,1
부담,1
서랍,1
줄줄,1
편집,1
위해,1
패딩턴,1
검지,1
질,1
짝,1
최대,1
잠깐,1
워너블,1
큐티뽀짝,1
초딩,1
듯이,1
낮술,1
대표,1
전날,1
욥,1
고맙다,1
몇,1
러브,1
현지,1
남,1
진짜진짜,1
콤달콤,1
불가,1
즐겁다,1
어렵다,1
무한도전,1
사이,1
금욜,1
완전하다,1
만족스럽다,1
박스,1
우선,1
혜자,1
벌,1
연유,1
손수,1
토요일,1
무난,1
크림소스,1
근방,1
블린,1
살짝,1
비밀스럽다,1
강하다,1
베스트,1
세상,1
로투스쨈,1
심,1
밑,1
파란,1
거짓말,1
다정하다,1
큐트,1
찍,1
언니,1
형도,1
더니,1
부럽다,1
천사,1
크리스마스,1
정보,1
달,1
터넷,1
유니크,1
기억,1
안보,1
군침,1
판매,1
케이스,1
약속,1
발랄,1
분식집,1
김밥,1
대기업,1
재미,1
이벤트,1
상순,1
통,1
이쁘다,1
사계절,1
적당하다,1
면,1
뭘,1
라크,1
주말,1
랬,1
백,1
바닐라,1
런,1
훨,1
테이블,1
핸폰,1
땐,1
"그렇다
바나나",1
퇴근길,1
마시기,1
라스트,1
"예약
망원",1
울,1
효,1
세팅,1
눈치,1
여서,1
담뿍,1
림,1
깨,1
강둑,1
포기,1
원하다,1
해도,1
컬러,1
법,1
거대하다,1
튀김,1
충격,1
배꼬미,1
섬세하다,1
두번째,1
땡글,1
먹방,1
엄두,1
설득,1
안고,1
장소,1
파스,1
출력,1
주심,1
"리뷰
서울",1
왐마,1
기도,1
창문,1
쓸모없다,1
조광,1
친근하다,1
슬러쉬,1
실패,1
야무지다,1
오전,1
병,1
진언,1
기기,1
만난,1
냐미,1
야채,1
멀다,1
단축,1
편,1
논,1
생면,1
샤시,1
화이트,1
퀄리티,1
뜻,1
잠시,1
직,1
정통,1
후기,1
몫함,1
크루,1
반원,1
웰빙,1
점포,1
설레다,1
공,1
안녕하다,1
뿐,1
연중,1
아침,1
여기저기,1
"장점
망원동",1
결정,1
고릴라	안녕하다,1
남자,1
정기,1
순하다,1
망망대해,1
정,1
돈까스,1
도저히,1
가보,1
운지,1
이전,1
잼,1
요런,1
거울,1
새,1
이태리,1
호불호,1
안타깝다,1
류,1
냉장고,1
좁다,1
선정,1
한텐,1
프라이,1
구리,1
빵,1
"층
공지",1
소금,1
"가야
아기자기",1
골목길,1
고마움,1
발전,1
