word,count
이,223
있다,191
도,139
젤리,119
를,98
디저트,96
의,81
라떼,81
층,76
로,73
좋다,70
은,69
맛있다,66
주문,60
메뉴,60
맛,56
크림,54
네,47
수,47
곳,45
휘,45
낭시,44
코,42
같다,40
마포구,39
그,37
포은로,36
니,34
아이스크림,33
과,32
음료,32
거,31
많다,30
사진,30
것,29
테리어,28
분위기,28
방문,28
시,26
더,25
흑임자,25
위치,25
브라우니,24
내부,24
역,24
나,23
만,23
띠,23
누,22
시간,22
저,22
하나,22
처,22
위,22
해,21
서울특별시,21
서울,21
사장,21
오,20
친구,20
달달,20
이다,20
안,19
분,19
바로,19
테이블,19
때,19
중,18
부터,18
느낌,17
입구,17
구,17
적,17
또,17
요,16
카페,16
좋아하다,16
전,16
아니다,16
맛집,16
예쁘다,16
없다,16
동반,16
자리,16
가능하다,16
건물,15
쿠스,15
깔끔하다,15
개,15
포스터,15
여기,15
아메리카,15
매장,15
제,15
메뉴판,15
귀엽다,15
그램,14
거울,14
시장,14
퀸,13
저희,13
궁금하다,13
스콘,13
그렇다,13
게,13
두,13
힙,13
영업,13
망,13
달콤하다,12
정도,12
화이트,12
반려동물,12
그냥,12
부럽다,12
종류,12
일본,12
굉장하다,12
날,12
번,12
정말,12
다른,12
상당하다,11
다양하다,11
처음,11
오늘,11
가득,11
소품,11
중간,11
휴무,11
눈,11
고소하다,11
추천,11
얼그레이,11
등,11
친절하다,11
명,11
블랙,11
주말,11
사이키,10
다음,10
고,10
꼭,10
앤,10
못,10
준비,10
건어물,10
가면,10
화요일,10
면,10
보기,10
호랑이,10
이름,10
조금,10
역시,10
가지,10
디,10
스타,9
거북이,9
아몬,9
아이스,9
사실,9
내,9
조용하다,9
망원동,9
욤,9
식물,9
진짜,9
길,9
간,9
시나몬,9
램,9
아이스티,9
보고,9
아슈페너,9
마음,9
티라미수,8
보,8
아쉽다,8
라서,8
구경,8
추가,8
가게,8
라스트,8
직원,8
일,8
및,8
쪽파,8
티,8
넓다,8
생각,8
감성,8
요즘,8
먹기,7
여,7
은근,7
먼저,7
따뜻하다,7
이쁘다,7
손님,7
출구,7
걸,7
볼,7
라운지,7
망리,7
아래,7
바닐라,7
직접,7
생크림,7
비주,7
거리,7
치즈,7
향,7
약과,7
구리,7
사람,7
미치다,7
나중,7
때문,7
데이트,7
조각,7
원두,6
코랏,6
계단,6
리뷰,6
모든,6
집,6
입,6
고민,6
동영상,6
컵,6
시원하다,6
옆,6
아주,6
유명하다,6
캐릭터,6
단,6
세,6
포토,6
고구마,6
기본,6
정기,6
쪽,6
장미,6
저녁,6
완전,6
왜,6
조합,6
뭐,6
이렇다,6
데,6
얼,6
함,6
한번,6
어렵다,6
앞,6
소파,6
의자,6
쯤,6
대부분,6
밥,5
흔하다,5
생,5
강하다,5
지금,5
신기하다,5
이나,5
화분,5
크기,5
오기,5
신상,5
주,5
찍기,5
솔트,5
기억,5
판매,5
덕,5
진하다,5
효,5
우리,5
여서,5
좀,5
편안하다,5
에그타르트,5
존,5
부분,5
스티커,5
장소,5
화장실,5
하니,5
만화,5
새롭다,5
베이컨,5
자체,5
도착,5
소금,5
매일,5
안되다,5
포트,5
공간,5
매력,5
근처,5
강아지,5
짝꿍,5
네이버,5
조화,5
검색,5
필수,5
스푼,5
가능,5
이제,5
어떻다,5
혼자,4
포장,4
적절하다,4
석,4
커피,4
살짝,4
용,4
톤,4
확,4
핫,4
짱,4
고룽,4
에이,4
마무리,4
전화번호,4
이상,4
스팟,4
말,4
뭔가,4
딸,4
모던,4
기,4
웃음,4
적당하다,4
다시,4
"층
망원동",4
목,4
가득하다,4
원래,4
이것은,4
머,4
편하다,4
참고,4
커피젤리,4
취향,4
차,4
게시,4
장님,4
월,4
곰돌이,4
괜찮다,4
후기,4
황,4
편이,4
표시,4
외관,4
평일,4
꽤,4
레이스,4
남편,4
물,4
창가,4
찾기,4
바삭,4
알,4
안내,4
찍,4
바,4
크게,4
후,4
약,4
이야기,4
공부,4
기분,4
행복하다,3
전체,3
서두,3
베스트,3
밑,3
언니,3
동의,3
계시다,3
곳곳,3
얼른,3
씁쓸하다,3
여러,3
띤구,3
식감,3
커리,3
배,3
야하다,3
움,3
호불호,3
마,3
숫자,3
입맛,3
쎄다,3
이기,3
옴,3
스타일,3
오픈,3
점심,3
여행,3
간격,3
감동,3
갈비,3
상회,3
자,3
저기,3
하늘,3
당,3
애견,3
도보,3
과자,3
달,3
음식,3
유니크,3
자주,3
수도,3
한잔,3
뭘,3
속,3
산미,3
팔로워,3
팔로잉,3
국밥,3
제일,3
겨울,3
입장,3
장,3
가야,3
세트,3
카페	서울특별시,3
가장,3
애니,3
호떡,3
미리,3
공,3
뿐,3
추사,3
듬뿍,3
쌀국수,3
단맛,3
재난,3
작년,3
류,3
오후,3
모,3
답,3
처럼,3
난,3
신경,3
달콤,3
존맛,3
배치,3
왼쪽,3
덕함,3
만족하다,3
특이하다,3
토,3
설명,3
콘,3
가격,3
한장,3
먹거리,3
거의,3
패션후르츠,3
팅,3
유행,3
여자친구,3
짠맛,3
일단,3
약간,3
지도,3
말차,2
방법,2
조명,2
달라,2
별표,2
북적,2
겉,2
싫다,2
기전,2
은은하다,2
금,2
타임,2
보시,2
대로,2
주소,2
쌉싸름하다,2
아늑하다,2
경우,2
힘드다,2
엄청나다,2
변경,2
등등,2
재밌다,2
