word,count
있다,165
이,144
도,84
를,72
랩,62
은,58
로,54
좋다,53
의,49
수,41
것,27
생각,26
터,24
맛,24
이다,24
로스,24
콜,23
원두,22
적,22
곳,22
같다,22
과,21
브루,21
위치,19
제임스,19
커피,18
에이,18
제,18
마포구,17
중,17
주문,17
가능하다,17
음료,17
게,16
행사,16
내부,16
많다,16
길,16
아메리카,16
그렇다,15
더,15
전문점,15
아니다,14
역,14
서울특별시,14
카페,14
자몽,14
생일,14
테이블,13
메뉴,13
하나,13
안,13
등,13
없다,13
요,12
분위기,12
층,12
부터,12
가격,12
데이트,12
고,11
시간,11
날,11
해,11
깔끔하다,11
원,11
좋아하다,11
월컵로,11
저,11
직접,10
만,10
다른,10
망리,10
준비,10
방문,10
번,10
예쁘다,10
사장,10
맛있다,10
괜찮다,9
친구,9
집,9
여기,9
아이스,9
때,9
보고,9
개,9
나,9
선택,9
다양하다,9
날씨,9
정도,9
또,9
또한,9
망원동,9
우리,9
사진,8
그,8
위,8
야외,8
판매,8
사용,8
빙수,8
오,8
운영,8
전문,8
때문,8
컵홀더,8
이용,7
문구,7
더치,7
테리어,7
처음,7
기본,7
전,7
자리,7
쪽,7
선물,7
아이돌,7
사람,7
매장,7
꽤,7
거,7
주차,7
주변,6
차,6
이름,6
티,6
간,6
처럼,6
기념,6
점,6
면,6
가게,6
라떼,6
진짜,6
디저트,6
핸립,6
언니,6
및,6
추천,6
콩,6
오늘,6
오후,6
공간,6
마이걸,6
코스,6
덥다,6
가능,6
액,6
사랑,5
사이즈,5
입구,5
성,5
화장실,5
바깥,5
모든,5
못,5
생산,5
시장,5
로스팅,5
정말,5
이쁘다,5
메뉴판,5
사,5
과일,5
온,5
초코,5
네,5
화이트,5
데,5
물,5
월남쌈,5
알,5
마르,5
분,5
니,5
좀,4
꽃,4
뜨겁다,4
상당하다,4
작다,4
다년,4
스페셜,4
충분하다,4
쌀국수,4
리필,4
말,4
효정,4
오픈,4
숍,4
앞,4
카운터,4
셀카,4
이벤트,4
요즘,4
쇼콜라,4
내용,4
기분,4
단,4
걸,4
볼,4
여유,4
다르다,4
유니콘,4
골목,4
아늑하다,4
저희,4
체리,4
구매,4
기도,4
가장,4
오전,4
거리,4
크기,4
두,4
마련,4
답,4
끝,4
이렇다,4
테라스,4
명,4
한번,4
아슈페너,4
따뜻하다,4
달,4
내,4
손님,4
눈,4
깨끗하다,4
산미,4
느낌,3
쟁반,3
전체,3
허니,3
딸기,3
기계,3
원하다,3
착하다,3
콘센트,3
앤,3
향,3
이전,3
편이,3
햇살,3
어디,3
뭐,3
난,3
가지,3
쿠키,3
실내,3
모양,3
포몬스,3
양,3
블루,3
기,3
요새,3
즐겁다,3
듯,3
도보,3
수제,3
코로나,3
바,3
오프,3
모습,3
별,3
며,3
높다,3
선,3
장점,3
바로,3
용,3
부분,3
지금,3
신기하다,3
장식,3
계시다,3
핫초코,3
센스,3
밤,3
확,3
코케,3
뿐,3
잔,3
감,3
만족,3
좌석,3
저녁,3
트북,3
떄문,3
리,3
역시,3
불,3
비치,3
글,3
근처,3
란,3
함,3
초밥,3
검색,3
셀프,3
클래식,3
컵,3
비,3
한쪽,3
달달,3
한잔,3
차갑다,3
듭,3
마다,3
보기,3
유,3
시작,3
조각,3
고소하다,3
밖,3
수다,3
여서,3
무엇,2
오렌지,2
일,2
제공,2
재미있다,2
원래,2
한편,2
장비,2
탕슉,2
보,2
아래,2
방울,2
편하다,2
보시,2
대로,2
경우,2
마찬가지,2
역삼동,2
바닐라,2
비용,2
해도,2
해지,2
망고,2
포토,2
가야,2
스콘,2
램지,2
선선,2
넉넉하다,2
곳곳,2
용량,2
천,2
나쁘다,2
주방,2
접시,2
동생,2
아무,2
매우,2
"문의
망원동",2
복불복,2
배,2
치즈,2
랩	안,2
전화,2
남자,2
커플,2
개월,2
호강,2
거울,2
비슷하다,2
보이,2
입,2
제품,2
건,2
햇빛,2
회사,2
렌즈,2
친절하다,2
외관,2
신경,2
칭찬,2
대한,2
잔뜩,2
제청,2
공기청정기,2
신상,2
아이템,2
예,2
길이,2
머신,2
아내,2
카,2
칩,2
첨가,2
구석,2
밉다,2
레몬,2
가체,2
언급,2
서울,2
몇,2
묵직하다,2
포장,2
사이,2
수가,2
만족스럽다,2
중요하다,2
가까이,2
이제,2
구성,2
티라미수,2
다음,2
끼리,2
유빈,2
문의,2
자주,2
조용하다,2
어떻다,2
견과류,2
진하다,2
귀엽다,2
주말,2
빛,2
종류,2
이신,2
솔직하다,2
현재,2
스타,2
여,2
돈,2
장사,2
누구,2
증정,2
마음,2
녕,2
실물,2
아지트,2
방,2
벽면,2
제일,2
아리차,2
추출,2
멍,2
은은하다,2
유아,2
톤,2
달콤하다,2
얘기,2
순간,2
꿀,2
자리다,2
장소,2
멘트,2
동네,2
차도,2
병,2
여름,2
라서,2
로서,2
핫,2
후기,2
바람,2
굉장하다,2
미리,2
프,2
차량,2
간판,2
아깝다,2
낮,2
작성,2
패키지,2
넓다,2
안되다,2
포트,2
애플,2
이기,2
시험,2
럭키,2
얼,2
창가,2
퇴사,2
하루,2
질,2
자,2
동영상,2
눈길,2
합리,2
저기,2
퓨즈,2
장실,2
효진,2
아름답다,2
의자,2
시원하다,2
홍대,2
젤,2
아주,2
출구,2
유명하다,2
거기,2
영상,1
최고,1
고프다,1
보신,1
자부,1
혼자,1
행복하다,1
조명,1
트레카,1
환경,1
글코,1
가득하다,1
탄산,1
특유,1
점수,1
장식	정광수,1
따땃,1
앞서,1
서교동,1
감탄,1
두고두고,1
알맞다,1
지나,1
관료,1
자꾸,1
계속,1
결제,1
루,1
이러하다,1
표준,1
향기,1
업체,1
차등,1
셋팅되어,1
귀찮다,1
이것은,1
넥쏘,1
투명,1
팔로워,1
딩딩,1
서브,1
추,1
애호가,1
공기,1
우선,1
불가능,1
대행,1
"듯
온",1
전부,1
안경점,1
향기롭다,1
테라,1
션,1
겨울,1
거맘,1
입장,1
살짝,1
유앤비,1
단면,1
뿌듯하다,1
등급,1
세상,1
심,1
타임,1
랩	안녕하다,1
카페	길,1
"이승준
서울",1
랩	종로,1
칼,1
동의,1
핸폰,1
이구,1
점정,1
베트남,1
섭하다,1
둘째,1
전시회,1
변경,1
타고,1
보리,1
불금,1
주중,1
게시,1
소하,1
간단하다,1
무상,1
너,1
꼭,1
리뷰,1
얼음,1
아랫쪽,1
실패,1
만요,1
만점,1
월,1
금방,1
조심,1
생기지,1
콩등,1
픽,1
임티,1
꼬리,1
산딸기,1
일지,1
땡,1
부지런하다,1
뚜껑,1
재질,1
부부,1
포스팅,1
를	랩,1
최고다,1
랩	홍대,1
연어,1
유니짜장,1
전시,1
플레이,1
예민,1
릴,1
이나,1
실시간,1
대화,1
"걸
흠잡다",1
합,1
액상과당,1
청,1
화룡,1
재료,1
핑크,1
만원,1
기회,1
태블릿,1
평가,1
예전,1
이지,1
무지개,1
돈까스,1
애,1
괜춘,1
문구로,1
안함,1
로제,1
랄라블,1
힘들다,1
현역,1
맴버,1
자체,1
"랩
망원동",1
듬뿍,1
보틀,1
두리,1
제로,1
지원,1
무렵,1
주시,1
이번,1
고요,1
새,1
얼마,1
수고,1
싱기,1
움,1
이내,1
티슈,1
상온,1
마,1
는걸,1
시중,1
듣기,1
한참,1
이상,1
청과,1
설치,1
한지,1
임,1
평점,1
무료,1
말씀,1
차이,1
주어,1
가깝다,1
텀플러,1
안쪽,1
첫째,1
쎄다,1
랩	힙하,1
관,1
부시,1
미니,1
관해,1
온옾,1
영광,1
늘,1
거나,1
찬,1
망원,1
토마토,1
거렸던,1
구경,1
옴,1
상상,1
우유,1
타,1
엌,1
균형,1
장난,1
특별하다,1
호주,1
경험,1
주차공간,1
싱그럽다,1
확실하다,1
탄산수,1
낌,1
덕질,1
칵테일,1
주,1
뭔가,1
미세먼지,1
곧,1
탕수육,1
과육,1
어찌,1
고든,1
려,1
문장,1
"층
망원동",1
먹음,1
꼬꼬,1
어스,1
숍이랍,1
전세,1
한정,1
담백하다,1
상적,1
남틴,1
재치,1
특성,1
포은로,1
커서,1
최적화,1
수록,1
사과,1
연습,1
권해,1
축하,1
테슬라,1
그램,1
보데,1
보스,1
간절하다,1
한눈,1
예약,1
에어콘,1
건물,1
음,1
석,1
문,1
음식,1
새벽,1
관련,1
밥,1
폭발,1
오른쪽,1
틀림,1
소개,1
모델,1
에나,1
일반,1
팔로잉,1
직진,1
대가,1
위생,1
흰색,1
디테일,1
감히,1
판,1
페이,1
가슴,1
생카	사람,1
플랜트,1
진자,1
생,1
규모,1
거부,1
쌈,1
주년,1
나중,1
자유,1
금,1
수용,1
더더,1
별다르다,1
뺠리,1
케이크,1
우산,1
훤,1
역다,1
철거,1
쌉싸름하다,1
주소,1
랩	염,1
만끽,1
시가,1
원내,1
의미,1
마주,1
뚱땡이,1
"효정
망원동",1
참고,1
제이,1
엄마,1
더욱,1
전하,1
만큼,1
미안하다,1
이예,1
어렵다,1
밋밋하다,1
재미,1
작렬,1
감성,1
사실,1
대략,1
걸그룹,1
신지,1
"층
서울",1
이도,1
웅장,1
화병,1
크림,1
얼마나,1
쨋,1
합정,1
전문성,1
사도,1
궁금하다,1
가맹,1
원픽,1
쓴맛,1
찍,1
리퍼,1
이승준,1
그림,1
단말,1
상,1
꾸준하다,1
팅,1
설마,1
종일,1
모라,1
광고,1
오래되다,1
쉬,1
진등,1
걷기,1
에디오피아,1
기억,1
마냥,1
우회,1
수도,1
언제,1
추억,1
대처,1
로우,1
대박,1
추가,1
카메라,1
안전하다,1
시판,1
일단,1
소심하다,1
비엔나,1
고가,1
트와이스,1
연락,1
린것,1
아쉽다,1
베이스,1
짜장면,1
"요
망원동",1
답변,1
대형,1
나이,1
대도,1
전문가,1
사나,1
득템,1
나눔,1
주로,1
쇼케이스,1
고급,1
트럭,1
이야기,1
커피샵	좋다,1
고유,1
수많다,1
세트,1
성지,1
우한,1
빈,1
옆,1
마시기,1
염,1
팔고,1
트위터,1
용품,1
소,1
유령도시,1
주심,1
캐릭,1
폐렴,1
연구실,1
힙함,1
잘생기다,1
리얼,1
사서,1
빨대,1
감사,1
앞집,1
상큼,1
작,1
양옆,1
다석,1
도구,1
특색,1
포카,1
여러,1
식감,1
긍정,1
주의,1
구,1
쏙쏙,1
폿팅,1
셋팅,1
해시태그,1
"억울하다
망원동",1
큼지막하다,1
강유,1
겟챠,1
강,1
메,1
편,1
신,1
짐,1
떼,1
식지,1
퀄리티,1
추강,1
실력,1
굿즈들,1
잠시,1
농도,1
접근,1
글귀,1
랄,1
콤,1
연중,1
아침,1
안산,1
공,1
무료인데,1
랩	를,1
협조,1
최애,1
만해,1
하니,1
모임,1
서버,1
원산지,1
제격,1
유리,1
리타,1
비록,1
딱이다,1
화가,1
엽서,1
상품,1
지기,1
아이,1
판이,1
합세,1
열정,1
하야,1
류,1
천정,1
알차다,1
특,1
안착,1
완전,1
중화요리	따릉,1
"층",1
구입,1
모토,1
이하,1
매일,1
우락부락하다,1
소량,1
눈꽃,1
고고,1
완벽하다,1
이의,1
왜,1
맘,1
무,1
초콜릿,1
미치다,1
둘,1
디카,1
시럽,1
싫어하다,1
가구,1
"작성
망원동",1
미라클,1
사물,1
방황,1
단골,1
