word,count
이,128
있다,111
하임,98
도,90
김밥,80
로,53
맛집,53
은,46
것,42
추천,38
의,34
를,33
좋다,33
곳,32
수,30
메뉴,30
만,29
위치,29
키토,28
주문,27
시장,27
같다,26
맛있다,26
길,22
요거트,22
없다,22
안,21
연어,19
적,19
과,19
바로,18
마포구,18
고,18
여기,18
그릭,17
사진,17
많다,17
저,17
게,16
생각,16
가격,16
나,16
맛,16
요,16
해,16
거,16
월컵로,14
서울특별시,14
아니다,14
포장,13
그렇다,13
동네,13
다양하다,13
소스,13
진짜,12
판매,12
부터,12
자리,12
근처,12
반,11
듯,11
밥,11
시간,11
사장,11
제,11
정도,10
재료,10
지층,10
코,10
이나,10
더,10
이다,9
시,9
리,9
건강하다,9
육회,9
걸,9
야채,9
중,9
코타,9
샐러드,9
그,8
레싱,8
집,8
등,8
내부,8
양,8
알,8
개,8
우리,8
분위기,8
전,8
조합,8
가지,8
데,8
끼,8
내,8
일,7
신선하다,7
포스팅,7
콩,7
사람,7
아메리카,7
생,7
병아리,7
직접,7
배민,7
참치,7
하나,7
이렇다,7
다른,7
돼지,7
저렴하다,7
아보카도,7
줄,7
목살,7
분,7
다음,6
먹기,6
처음,6
간단하다,6
토핑,6
좋아하다,6
그냥,6
공원,6
방문,6
고민,6
아이스,6
때,6
앞,6
이제,6
주민,6
면,6
라떼,6
종류,6
새우,6
위,6
비건,6
건,6
넓다,6
배달,6
바질,6
테이크아웃,6
주차,6
이용,5
테리어,5
브뤼,5
직장,5
오늘,5
빵,5
역,5
서리,5
꽤,5
오픈,5
점심,5
가능하다,5
정말,5
적당하다,5
층,5
주말,5
주로,5
서교,5
식물,5
제일,5
편하다,5
카페,5
지금,5
소,5
기본,5
치즈,5
듬뿍,5
못,5
식사,5
오후,5
물,5
소개,5
기,5
계란,5
비,5
영업,5
배송,5
하츠,5
메뉴판,5
나름,5
눈,5
유명하다,5
행복하다,4
느낌,4
이것은,4
테이블,4
입구,4
벌써,4
역시,4
준비,4
회사,4
말,4
식당,4
번,4
식단,4
오리,4
서울,4
보고,4
구성,4
음료,4
추가,4
망원동,4
귀엽다,4
아주,4
탈,4
이사,4
좀,4
이후,4
싫다,4
궁금하다,4
취향,4
괜찮다,4
친구,4
땡초,4
아침,4
굉장하다,4
편이,4
수바,4
매일,4
맘,4
매장,4
제대로,4
외,4
함,4
구성은,4
일단,4
혼자,3
올리브,3
브런치,3
스타,3
음식,3
발견,3
통밀,3
여러분,3
막,3
원하다,3
사이즈,3
블로거,3
작다,3
여러,3
마요네즈,3
식감,3
호,3
유지,3
편,3
조금,3
위주,3
어플,3
마포,3
또,3
습,3
