word,count
이,133
있다,64
도,62
방울,49
를,37
좋다,35
린지,34
댄스,33
곳,30
은,28
의,28
영상,22
요,22
로,21
공원,21
버,20
과,17
많다,16
공간,16
마포구,16
같다,15
예쁘다,15
주민,14
아이,14
고,13
내,13
이렇다,12
홍보,11
서울특별시,11
수,11
해,11
맛있다,11
김치찌개,11
유수지,10
정말,10
시설,10
것,9
중,9
그늘,9
사랑,9
아니다,9
어린이,9
없다,9
길,8
쌈지,8
전,8
집,8
시간,8
놀이터,8
나,8
사진,8
안,8
못,8
명,8
앞,8
그,7
그렇다,7
맛집,7
뜨겁다,7
여름,7
에이,7
조금,7
보고,7
체육,6
일,6
회수,6
잠시,6
슈가,6
조,6
테이크아웃,6
터,6
개,6
음료,6
제,6
참여,6
청포도,6
진짜,6
이다,6
놀이,6
겨울,6
및,6
권혁수,6
소,6
또,6
춤,6
날,6
구경,6
그램,5
스타,5
골목,5
참여자,5
유튜브,5
채,5
간,5
전문점,5
힘들다,5
어디,5
위해,5
때,5
다시,5
온,5
아이스크림,5
일기,5
칼,5
마당,5
나무,5
상권,5
거리,5
기준,5
므흣,5
이벤트,5
연장,5
분,5
피,4
티라미슈,4
건가,4
저희,4
취향,4
작다,4
동네,4
허수아비,4
저격,4
쪽,4
두리,4
소품,4
준비,4
무,4
생각,4
가면,4
운동,4
한번,4
당첨,4
토스트,4
사실,4
점,4
얼마나,4
자주,4
김밥,4
층,4
만,4
귀엽다,4
이야기,4
백,4
디,4
기간,4
생활,4
편하다,4
카페,4
추억,4
힘,4
짐,4
적,4
공,4
관심,4
떡,4
잼,4
역시,4
건,4
넓다,4
늘,4
외,4
보글,4
매력,4
김,4
회,4
동영상,4
즐겁다,4
위치,4
새싹,4
줄,4
마음,4
부터,4
하중,3
디져트,3
이용,3
밥,3
보,3
어린이집,3
트,3
멍,3
선생님,3
곳곳,3
밤,3
소리,3
여기,3
햇살,3
일상,3
산책,3
이번,3
이상,3
매일,3
오후,3
방문,3
초록,3
합정역,3
양,3
알,3
기록,3
누텔라,3
비,3
버려진,3
데이트,3
바나나,3
어떻다,3
컴퓨터,3
맛,3
우리,3
재생,3
지도,3
무엇,3
다음,3
블로그,3
엄마,3
