word,count
이,364
도래,287
트,234
있다,189
를,173
도,170
로,154
의,148
은,117
츄러스,116
좋다,115
맛,100
맛있다,88
같다,82
내,68
것,65
주문,63
없다,61
곳,58
수,58
과,57
마포구,55
층,54
원두,50
나,49
메뉴,49
테이블,47
서울특별시,47
분위기,45
향,43
방문,43
방울,43
물,43
더,42
사진,41
잔,41
라떼,40
디저트,39
아메리카,38
적,36
저,35
안,34
못,34
자리,33
바,33
시간,33
해,33
때,33
카페,32
정말,32
공간,31
사장,31
추천,30
아니다,30
느낌,29
시,28
마포구청역,28
사람,28
생각,27
아이스,27
고,27
그렇다,27
맛집,27
개,27
핸립,26
전,26
친절하다,26
립,26
이다,25
날,25
이렇다,25
및,25
그,25
많다,25
주,24
예쁘다,24
명,23
동영상,23
보고,23
깔끔하다,23
게,23
요,23
서울,22
영업,22
노트,22
분,22
부터,22
집,21
하나,21
좋아하다,21
위치,21
휴무,21
간판,20
또,20
만,20
내부,20
설명,20
정도,19
거,18
스타,18
따뜻하다,18
싱글,18
다음,17
중,17
리,17
음료,17
다른,17
우리,17
산미,17
오리진,17
메뉴판,17
마음,17
길,16
매장,16
번,16
판매,16
좀,16
음식,16
테리어,16
처음,16
얼음,16
꼭,16
푸딩,16
파스타,16
쯤,16
보기,16
고소하다,16
이번,15
데,15
소스,15
바로,15
직접,15
여기,15
오픈,15
동반,15
티,14
조용하다,14
진하다,14
아주,14
유명하다,14
진짜,14
보리,14
팝업,14
그냥,14
리코,14
모두,14
제,14
마지막,13
마포,13
평일,13
듯,13
코타,13
오후,13
구청,13
의자,13
손님,13
서비스,12
역시,12
두,12
목요일,12
초콜릿,12
자,12
카운터,12
걸,12
치즈,12
구경,12
대리석,12
시장,12
콜롬비아,12
후,12
요즘,12
팔로잉,11
동네,11
친구,11
쪽,11
가깝다,11
가능,11
망원동,11
한잔,11
가게,11
라스트,11
필터,11
종류,11
사용,11
팔로워,11
게시,11
잠시,11
조금,11
거리,11
역,11
씨,11
때문,11
다시,11
커피,10
이나,10
입,10
꽤,10
대해,10
기억,10
추가,10
줄,10
여서,10
보,10
살짝,10
등심,10
작다,10
첫,10
굉장하다,10
오늘,10
타,10
가면,10
컵,10
비,10
차갑다,10
니,10
책,9
애견,9
진심,9
가장,9
주시,9
완전,9
뭐,9
바삭,9
먼저,9
크림,9
팅,9
면,9
주말,9
귀엽다,9
온,9
선택,9
저희,9
스페셜,9
오,9
수요일,9
아침,9
간,9
새롭다,9
웨이,9
말,9
우유,9
식,9
"트
망원동",9
어떻다,9
계속,8
금,8
궁금하다,8
아쉽다,8
나무,8
유리,8
츄,8
처럼,8
배려,8
신상,8
근처,8
사이,8
감성,8
점,8
주차,8
시작,8
직원,8
이용,8
문,8
바닐라,8
구,8
핫,8
로스,8
반려동물,8
일찍,8
좌석,8
건,8
끝,8
가능하다,8
만석,8
뼈,8
모카,8
작업,8
여유,7
동의,7
신기하다,7
색감,7
정갈하다,7
화장실,7
준비,7
공원,7
난,7
글,7
만큼,7
브랜,7
이제,7
제공,7
이벤트,7
일요일,7
옆,7
출구,7
뜨겁다,7
상당하다,7
차,7
각,7
기대,7
온두라스,7
저녁,7
제대로,7
경험,7
매력,7
달달,7
마감,7
데이트,7
일단,7
모습,7
볼,6
차분하다,6
밍밍,6
밀가루,6
괜찮다,6
정기,6
편이,6
자체,6
등,6
자신,6
뭔가,6
특이하다,6
코스,6
거의,6
터,6
사실,6
상,6
통,6
이쁘다,6
빈,6
노트	도래,6
갓,6
혼자,6
석,6
블로그,6
전체,6
강하다,6
김정동,6
원하다,6
취향,6
피자,6
오전,6
네,6
화이트,6
셰프,6
하니,6
덕분,6
당,6
마다,6
눈,6
최고,5
프로젝트,5
묵직하다,5
다르다,5
흔하다,5
밥,5
골목,5
발견,5
장작,5
편안하다,5
제일,5
정동,5
나하,5
주소,5
글라스,5
놀,5
센스,5
입구,5
간단하다,5
여러,5
기본,5
힘들다,5
얼마,5
조합,5
꼬치,5
미니,5
시나몬,5
토,5
간격,5
소개,5
일반,5
투어,5
운,5
가볍다,5
적당하다,5
약간,5
디,5
후회,5
단,5
행복하다,5
일,5
원래,5
토요일,5
섬세하다,5
이름,5
매월,5
무슨,5
위,5
멀다,5
논,5
미리,5
동시,5
독특하다,5
넓다,5
마련,5
가구,5
확실하다,5
반,5
위해,5
주차장,5
라면,5
달,5
소파,5
블랙,5
아아,5
속,5
돼지,5
지도,5
느끼하다,4
브룬디,4
먹기,4
식물,4
정적,4
립를,4
호세,4
카라멜,4
세트,4
재밌다,4
월,4
충분하다,4
무척,4
점심시간,4
배,4
링킹,4
전문점,4
매번,4
새,4
매듭,4
