word,count
이,6
저,4
나,4
진짜,3
목표,3
어떻다,3
원래,2
요,2
고,2
세상,2
난,2
뭐,2
번,2
거,2
운동,2
예쁘다,2
없다,2
라바,2
쇼룸,2
도,2
여기,2
맘,2
미치다,2
물,2
실수,2
있다,2
밸런스,1
랍니다,1
블로그,1
트,1
여니,1
딸기,1
성공하다,1
아파트,1
볶음밥,1
푼뎅,1
올해,1
이름,1
수,1
리뷰,1
꽉,1
좋아하다,1
후기,1
뿌듯,1
격리,1
어그,1
"마음",1
힘들다,1
로,1
만족,1
웹툰,1
시간,1
이상,1
못,1
사람,1
소홀하다,1
연,1
를,1
옷,1
조,1
담,1
깡,1
때,1
링,1
오르쇼룸,1
사고,1
시르다,1
개,1
연유,1
맥주,1
코로나,1
유행,1
일주일,1
후,1
게임,1
모두,1
요즘,1
보새,1
아주,1
여서,1
윗,1
멋지다,1
스타,1
음,1
도리,1
보,1
졋,1
워치,1
원,1
것,1
사이즈,1
포기,1
둘둘,1
저렇다,1
더,1
전,1
무려,1
개월,1
목도리,1
쓴다잉,1
기운,1
시,1
등,1
더봄,1
의,1
싫어하다,1
윌리,1
꽤,1
대충,1
는데욤,1
하루,1
김,1
동영상,1
내사,1
일기	직장,1
보고,1
잔잔하다,1
내,1
것좀,1
홍홍,1
면,1
주말,1
악,1
부터,1
안주,1
온,1
