word,count
이,193
푸딩,170
있다,112
은,90
도,69
의,58
층,52
맛,49
좋다,45
를,44
같다,44
과,37
곳,35
주문,34
맛있다,34
로,32
없다,32
포장,31
초코,29
수,28
좋아하다,27
것,25
커스터,25
해,25
디저트,23
크림,23
자리,22
제,22
정말,21
사진,21
더,21
우유,21
메뉴,21
말차,20
느낌,20
만,19
아니다,19
때,19
매장,18
마포구,17
토핑,17
휘,17
안,17
적,17
낭시,17
귀엽다,17
길,16
그,16
방문,16
거,16
저,16
맛집,16
이용,15
음료,15
게,15
추천,15
많다,15
가능하다,15
고,14
정도,14
분,14
집,14
달달,14
내,14
술빵,14
생각,13
개,13
진짜,13
요,13
그렇다,13
친구,13
서울특별시,13
듯,13
부럽다,13
나,13
테이블,12
중,12
빵,12
옥수수,12
예쁘다,12
점,12
부터,12
꼭,12
하나,12
딸아이,12
카라멜,11
진하다,11
다른,11
참고,10
여기,10
월컵로,10
준비,10
리파,10
밀크,10
만두,10
바로,10
이다,10
살짝,10
전,10
카스텔라,10
시간,10
못,10
이쁘다,10
종류,9
모든,9
향,9
두,9
사람,9
역,9
번,9
꽤,9
당,9
팥,9
걸,9
테리어,9
취향,9
소,9
메론,9
이번,9
사실,9
아주,9
순,8
망리,8
세트,8
식감,8
조금,8
데,8
때문,8
마다,8
빵집,8
생크림,8
티,8
저녁,8
버터,8
약간,8
제일,7
카페,7
궁금하다,7
화장실,7
완전,7
아메리카,7
키위,7
공간,7
모두,7
과일,7
스타,7
분위기,7
편하다,7
작다,7
위,7
기본,7
굉장하다,7
중간,7
앞,7
동양,6
흑임자,6
다양하다,6
소설,6
역시,6
희다,6
내부,6
처럼,6
시장,6
정로,6
덥다,6
수제,6
팅,6
바,6
왕만,6
볼,6
탱글탱글하다,6
다르다,6
다음,6
얼그레이,6
처음,6
나무,6
각,6
오늘,6
건,6
가깝다,6
조합,6
시럽,6
구경,6
밉다,6
먹거리,6
카스테라,6
요즘,6
우리,6
골목,5
입안,5
전체,5
저희,5
마지막,5
색감,5
소금,5
대기,5
가지,5
식,5
글,5
근처,5
함,5
가격,5
통통,5
상,5
면,5
가게,5
손님,5
단,5
라떼,5
가루,5
솔직하다,5
눈,5
니,5
다다미,5
강하다,5
가장,5
곰돌이,5
플레이,5
그냥,5
옛날,5
가면,5
신상,5
운동,5
양,5
지난번,5
귀,5
기,5
먼저,5
서울,5
보고,5
깔끔하다,5
보통,5
젤리,5
망원동,5
시원하다,5
최고,4
멋지다,4
제공,4
방,4
생,4
대로,4
엄마,4
신기하다,4
차,4
불리,4
아쉽다,4
확,4
브라우니,4
종,4
호불호,4
움,4
시,4
티그레,4
소품,4
전혀,4
날,4
총,4
평일,4
이렇다,4
시나몬,4
매력,4
쑥,4
바삭,4
거의,4
형,4
주차장,4
위치,4
아슈페너,4
저렴하다,4
고소하다,4
려,4
실,4
여,4
문,4
별로,4
달콤하다,4
루프,4
린,4
직접,4
라서,4
핫,4
잔,4
또,4
탑,4
떡,4
좌석,4
다다미방,4
아몬,4
입맛,4
초콜릿,4
럼블,4
뭔가,4
주,4
소아과,4
만족스럽다,4
스푼,4
영업,4
달,4
로투스,4
판매,4
조용하다,4
어떻다,4
메뉴판,4
주말,4
마시기,4
라스트,4
출구,4
혼자,3
일,3
라운지,3
계속,3
불편하다,3
아늑하다,3
요건,3
원,3
상태,3
바닐라,3
원하다,3
사이즈,3
구매,3
날씨,3
입구,3
김치,3
편,3
에이,3
후기,3
하니,3
간,3
차림,3
쪽,3
단맛,3
편입,3
녹차,3
뒤,3
뭐,3
젓가락,3
얼,3
외,3
반상,3
알,3
시즌,3
넉,3
그림,3
사장,3
