word,count
이,844
있다,585
를,454
도,416
바질,353
의,321
로,295
맛있다,287
은,270
맛,252
좋다,228
수,219
피자,198
것,197
메뉴,187
위치,185
같다,184
페스,174
토,162
맛집,153
과,144
파스타,132
소스,124
만,123
곳,107
없다,105
주문,104
가지,103
소면,100
더,99
방문,98
해,98
마포구,97
치즈,95
저,87
하나,86
토마토,85
아니다,84
정말,84
사장,83
요,83
향,82
빵,82
때,81
안,79
시금치,79
가게,79
음식,78
적,78
이다,76
나,76
좋아하다,75
층,73
느낌,72
서울특별시,68
판매,68
진짜,67
자리,67
사진,67
요리,67
많다,66
고,65
개,65
그,64
스프,63
집,63
시간,62
고수,61
추천,60
제,58
재료,56
감자,55
바,54
매장,54
명,54
내,54
게,53
트러플,52
선택,51
부추,51
분,51
분위기,51
다양하다,51
날,51
거,50
또,48
다음,47
길,47
처음,47
면,47
좀,46
중,46
직접,44
공간,44
아주,44
및,43
종류,43
친구,43
데,43
다른,43
교,43
희다,42
휴무,42
위,42
보고,42
일,41
테이블,41
구매,41
못,41
도우,40
생각,40
우리,40
가능하다,39
정로,39
예쁘다,39
포장,38
바로,38
여기,38
두,38
느타리,38
바게트,37
식사,37
메뉴판,37
꼭,36
정도,36
아쉽다,36
번,36
스타,35
그렇다,35
등,35
시,35
동영상,35
브레이크,34
타임,34
조합,34
음료,34
조금,34
전,34
입,34
내부,34
작다,33
구,33
오늘,33
영업,33
오픈,32
크레타,32
말,32
건강하다,32
부터,32
듯,31
절임,30
저녁,30
시식,30
때문,30
식당,29
이용,29
사람,29
페이스트리,29
살짝,28
이렇다,28
치아바타,27
신선하다,26
레시피,26
비건,26
그냥,26
준비,26
데이트,26
테리어,26
궁금하다,26
가격,26
친절하다,25
시즌,25
부럽다,25
볼,25
신기하다,25
쪽,25
수프,25
역,25
망원동,25
보기,25
세,24
뭐,24
어떻다,24
주말,24
계절,24
월,24
니,24
걸,23
상큼,23
참고,23
후기,23
자체,23
창가,23
서울,23
감성,23
수제,23
활용,23
요즘,23
마다,23
원래,22
역시,22
물,22
점심,22
그라탕,22
가장,21
네,21
귀엽다,21
기억,21
취향,20
포스팅,20
마음,20
여러,20
식감,20
매콤,20
간,20
화,20
나물,20
계란,20
사이,19
사실,19
맥주,19
선물,19
먹기,19
저희,19
참나물,19
이탈리아,19
운영,19
알,19
고소하다,19
유명하다,19
온,19
팔로워,18
팔로잉,18
비주,18
오,18
이번,18
존맛,18
함,18
설명,18
소개,18
먼저,18
올리브,18
사용,18
전체,18
게시,18
확,18
라이,18
산,18
한번,18
따뜻하다,18
다시,18
옆,18
눈,18
곱창,18
처럼,17
운,17
이제,17
석,17
이름,17
이나,17
평일,17
꽤,17
짓,17
제일,16
버섯,16
기본,16
술,16
새롭다,16
살,16
얼,16
오븐,16
채소,16
할라피뇨,16
마켓,16
쯤,16
제철,16
간단하다,15
주방,15
병,15
기대,15
거리,15
참치,15
외관,15
뭔가,15
앞,15
약간,15
느끼하다,15
브런치,15
금,15
용,15
진심,15
페페,15
완전,15
포트,15
구경,15
양,15
네이버,15
팅,15
손님,15
혼자,14
가득하다,14
계속,14
깻잎,14
골목,14
이것은,14
강하다,14
센스,14
매우,14
괜찮다,14
배,14
전문점,14
편이,14
발라,14
안쪽,14
깔끔하다,14
점,14
가능,14
모두,14
트,14
엄마,14
편,14
비,14
루꼴,14
적당하다,14
줄,14
꿀,13
매,13
핫,13
간판,13
구이,13
입맛,13
가깝다,13
바삭,13
화요일,13
카운터,13
베이글,13
스토,13
라스트,13
다르다,13
토핑,13
동생,13
듬뿍,13
재,13
반,13
내추럴,13
만능,13
가볍다,13
한잔,13
동의,12
마지막,12
모든,12
건,12
소품,12
평소,12
어렵다,12
풀,12
세미,12
정보,12
일단,12
진하다,12
직원,12
아포가토,12
보,12
지금,12
새우,12
맵,12
팝업,12
콤,12
잔,12
가득,12
좌석,12
웨이,12
거의,12
사워크림,12
모습,12
최고,11
아틀리에,11
러버,11
부차,11
별로,11
해도,11
여름,11
올리브오일,11
남자친구,11
기,11
항상,11
동반,11
무조건,11
시작,11
기분,11
여,11
아래,11
더욱,11
푸실리,11
소,11
동네,11
쫄깃,11
화장실,11
환상,11
정기,11
야하다,11
당일,11
음식점,11
고사리,11
초록,11
힙,11
위해,11
끼,11
전문,11
자세하다,11
이탈리안,11
김밥,11
단체,11
아이스크림,11
오렌지,10
사랑,10
페스트리,10
라서,10
오일,10
식,10
미가,10
탄산수,10
고민,10
자,10
달달,10
그라탱,10
안주,10
지도,10
"층
망원동",10
려,10
목,10
발,10
마스,10
방식,10
빵집,10
부분,10
리조또,10
픽,10
야채,10
정성,10
아빠,10
하니,10
감,10
버터,10
냉장고,10
맘,10
특별하다,10
손,10
근처,10
쑥,10
검색,10
자주,10
이쁘다,10
그램,9
대파,9
망리,9
사이즈,9
법,9
계시다,9
등등,9
마늘,9
모짜렐라,9
마리,9
이전,9
널,9
이상,9
어디,9
칵테일,9
신상,9
몇,9
수가,9
크림,9
고기,9
주차,9
담백하다,9
크리스마스,9
성,9
플레이,9
미리,9
굉장하다,9
덕분,9
매일,9
미치다,9
먹물,9
외부,9
배부르다,9
마리네,9
덕,9
속,9
돈,9
출구,9
행복하다,8
실,8
밥,8
깊다,8
발견,8
디저트,8
편하다,8
존,8
아늑하다,8
원하다,8
코,8
제리,8
뭉치,8
티,8
첫,8
딱이다,8
마,8
그때,8
