word,count
쿠키,1919
이,1809
있다,980
도,979
맛,714
를,669
로,649
은,624
맛있다,565
흑임자,537
의,529
좋다,494
같다,396
디저트,375
것,347
크림,346
바닐라,315
개,301
라떼,295
만,278
마포구,267
포장,245
사진,245
곳,243
안,242
더,241
없다,236
수,231
서울특별시,228
버터,224
나,224
레몬,218
교,215
초코,212
그,210
맛집,210
저,208
요,204
아니다,201
과,198
때,196
진짜,189
프레,188
하나,186
고,184
방문,184
메뉴,179
내,177
해,176
많다,169
주문,166
예쁘다,165
피넛,164
피스타치오,164
좋아하다,164
적,158
게,156
선물,155
시간,153
얼그레이,152
거,150
느낌,149
그렇다,145
종류,141
테이블,139
자리,138
카페,135
생각,134
또,130
추천,128
니,128
날,127
제,125
집,121
파르페,121
다음,118
여기,118
쎄다,118
시,117
정도,116
못,115
정말,115
명,115
이다,114
두,110
말차,110
그냥,108
친구,107
및,106
동영상,102
중,101
입,101
좀,99
사람,98
음료,98
휴무,96
보고,94
바로,93
판매,93
다른,91
매장,90
데,90
분,90
향,89
듯,88
부터,87
처,87
카라멜,86
전,86
부럽다,86
내부,85
위치,85
위,84
귀엽다,84
유명하다,84
용,83
박스,82
공간,82
가격,82
가나,81
조합,80
고소하다,80
분위기,79
번,78
보기,77
꼭,76
요즘,75
꽤,74
사장,74
망원동,74
유자,74
가지,73
모양,73
일,73
스타,73
아메리카,73
조금,72
창가,72
서울,71
길,70
면,70
가게,70
빵,68
헤이즐넛,68
역,68
별로,67
다양하다,66
오늘,66
진하다,66
치즈,65
우리,65
이렇다,64
달,64
아쉽다,63
처음,63
물,62
필링,61
영업,59
초콜릿,59
사실,59
궁금하다,58
가능하다,58
한번,58
제일,57
기,57
스콘,57
적당하다,56
팝업,56
갤러리아,56
얼,56
달달,56
화,55
깔끔하다,55
아주,54
걸,53
오픈,53
게시,53
샌드,53
슈,53
먹기,52
구매,52
네,52
말,52
다시,52
후기,52
쪽,52
알,52
사이,52
팔로워,51
팔로잉,51
에이,51
백화점,51
비주,50
처럼,50
함,50
괜찮다,49
역시,49
때문,49
자체,48
손님,48
월요일,48
작다,47
식감,47
눈,47
마음,46
구,45
뭐,45
하트,45
층,45
예약,44
우동,44
버터쿠키,44
참고,44
오,44
간,44
고민,44
리스,43
고급스럽다,43
고급,43
줄,43
베일,42
온,42
소개,42
테리어,41
티,41
뭔가,41
기분,41
편,41
밉다,41
"로
망원동",40
재료,40
마카롱,40
가득,40
살짝,39
기본,39
구경,39
보관,39
후,39
근처,39
어떻다,39
쯤,39
문,38
상큼,38
좌석,38
소금,38
외관,38
평일,38
월,38
거리,38
무화과,38
메뉴판,38
이쁘다,37
마다,37
혼자,37
보,36
거의,36
약간,36
자주,36
무조건,36
먼저,35
앞,35
이것은,35
하니,35
옆,35
원래,34
가면,34
과자,34
둘,34
매력,34
냉장,34
완전,33
품절,33
이제,33
달콤하다,33
잔,33
소품,33
점,33
세,32
밥,32
가장,32
이번,32
등,32
여,32
밤,32
넓다,32
여서,32
선택,31
강하다,31
크리스마스,31
건,31
가깝다,31
난,31
롯데,31
컬러,31
여러,31
동네,31
바삭,31
감성,31
핫,30
새롭다,30
편이,30
저녁,30
친절하다,30
스타일,30
초콜렛,30
신,30
굉장하다,30
맘,30
볼,29
목,29
라서,29
예전,29
입맛,29
재,29
조용하다,29
취향,29
아이스크림,29
왜,29
모두,29
일단,29
계속,28
날씨,28
이나,28
햇살,28
진열,28
돈,28
메,28
압구정,28
몽블랑,28
출구,28
단,27
전체,27
정기,27
관,27
덥다,27
아아,27
언니,27
저희,27
마지막,27
대로,26
포스팅,26
리,26
내추럴,26
맥주,26
팅,26
사,26
최고,26
해도,26
이름,26
너,26
화이트,26
속,26
프랑스,25
라즈베리,25
산,25
신상,25
설명,25
자,25
몇,25
준비,25
안되다,25
중간,25
당,25
빈,25
배,24
힘들다,24
주,24
아이스,24
추가,24
디,24
사용,24
금,24
톤,24
직접,24
뒤,24
시즌,24
딸기,23
밀가루,23
특별하다,23
과일,23
은은하다,23
주소,23
호,23
간판,23
매일,23
웨이,23
끝,23
총,23
특이하다,23
가기,23
계시다,22
베이스,22
기도,22
확,22
운,22
찍,22
모습,22
발견,22
트,22
입구,22
금방,22
잠시,22
첫,22
이상,22
식,22
바,22
주말,22
아담하다,22
진,22
느끼하다,21
아래,21
무난,21
슈가,21
담,21
종이,21
단단하다,21
덕,21
부분,21
차,21
스럽다,21
크기,21
살,21
네이버,21
베이글,21
산미,21
밀크,20
여유,20
그램,20
순삭,20
건강하다,20
주차,20
수제,20
시작,20
원,20
감,20
최애,20
도착,20
레,20
설탕,20
하루,20
찾기,20
자연,20
투어,20
기억,20
쇼케이스,20
려,19
골목,19
겉,19
멀다,19
비건,19
잼,19
산책,19
독특하다,19
우유,19
손,19
어렵다,19
요거트,19
미리,19
얼마,19
오후,19
미치다,19
존맛,19
블랙,19
유기농,19
직원,18
사랑,18
지금,18
레이,18
이지,18
만큼,18
그림,18
일요일,18
가득하다,18
가야,18
습,18
보이,18
포트,18
모,18
디어,18
토,18
비,18
도보,18
언제,18
저렴하다,18
신기하다,17
나무,17
짱,17
돈까스,17
애,17
안쪽,17
점심,17
립,17
색,17
다르다,17
묵직하다,17
색감,17
성,17
야하다,17
나중,17
카운터,17
냉동,17
수도,17
바나나,17
덕후,17
백,17
밖,17
즉석,17
업,17
담백하다,16
블로그,16
편안하다,16
저번,16
리뷰,16
매우,16
릴,16
트리,16
식당,16
반하다,16
양,16
얇다,16
상,16
동반,16
땐,16
상자,16
별,16
행복하다,16
음,16
로고,16
마무리,16
듬뿍,16
비슷하다,16
움,16
어디,16
식사,16
은근,16
마침,16
최근,16
라면,16
이유,16
가을,16
가운데,16
식품,16
아마,15
편하다,15
장,15
소,15
무슨,15
모든,15
기대하다,15
워낙,15
따뜻하다,15
시원하다,15
이용,15
석,15
현대,15
벌써,15
동그랗다,15
뿐,15
운영,15
미가,15
테이크아웃,15
촉촉하다,15
변,15
오빠,14
금토일,14
상당하다,14
세상,14
순간,14
세트,14
딥,14
류,14
임,14
햇빛,14
왼쪽,14
오기,14
동안,14
필수,14
정리,14
스토어,14
피치,14
지도,14
마치,14
포은로,14
깊다,14
여러분,14
존,14
벽,14
코,14
몸,14
여름,14
그대로,14
글리,14
바닥,14
희다,14
무,14
젤리,14
항상,14
먹음,13
캬라멜,13
상태,13
원하다,13
포기,13
얘,13
센스,13
생크림,13
쎄다	안녕하다,13
기대,13
맘모스,13
전화번호,13
거나,13
제대로,13
조,13
베,13
검색,13
즐겁다,13
가능,13
걱정,13
냄새,13
맨,13
한잔,13
홍대,13
무엇,13
건물,13
막,13
아늑하다,13
비싸다,13
아웃,13
매,13
픽,13
반려동물,13
딱이다,13
단맛,13
원형,13
당일,13
케익,13
초코쿠키,13
사고,13
쉬,13
데이트,13
더하다,13
다크,13
수다,13
명품,13
거기,13
칠리,13
여행,12
높다,12
음식,12
출처,12
순,12
밑,12
동이,12
정,12
일상,12
입점,12
구입,12
지하,12
제작,12
덜,12
비쥬,12
대신,12
애정,12
나들이,12
간단하다,12
기준,12
공,12
덕분,12
단호박,12
군데,12
늘,12
외,12
부담,12
코스,12
화요일,12
대표,12
전문,12
가볍다,12
약속,12
쫀쫀,12
자꾸,11
사브,11
생,11
겨울,11
아무,11
연남동,11
심지어,11
전문점,11
찰떡,11
매번,11
월컵로,11
녹차,11
플랫,11
확실하다,11
잠깐,11
평소,11
남,11
바쁘다,11
합정,11
소스,11
배부르다,11
의자,11
통,11
차갑다,11
마시기,11
달라,11
작,11
스프,11
피,11
샷,11
아이스팩,11
정갈하다,11
동생,11
황,11
오레오,11
아침,11
화이트데이,11
새,11
술,11
이동,11
고고,11
이기,11
감각,11
남편,11
일반,11
반,11
조화,11
셔보세,11
도전,11
보통,11
절대,11
계절,10
예정,10
방,10
초당,10
베스트,10
타임,10
마차,10
두번째,10
빠르다,10
의사,10
얼른,10
씁쓸하다,10
땅콩,10
떡,10
공원,10
상콤,10
꼬치,10
그거,10
해주시,10
발렌타,10
남자친구,10
귀,10
형,10
또한,10
한쪽,10
아슈페너,10
대부분,10
젤,10
조각,10
샌딩,10
런가,10
빵집,10
불편하다,10
치,10
풍경,10
간다,10
재밌다,10
봄,10
짐,10
국물,10
제품,10
쭉,10
옥수수,10
주차장,10
만족스럽다,10
스푼,10
오히려,10
솔직하다,10
가루,9
데이,9
전부,9
토요일,9
더욱,9
엄마,9
사이즈,9
빙수,9
주심,9
얼음,9
강남구,9
지하철,9
자마자,9
일찍,9
다행하다,9
냉장고,9
목적,9
전혀,9
중이,9
알콜,9
길가,9
초록,9
운동,9
합정역,9
영롱하다,9
나머지,9
정로,9
외부,9
