word,count
이,187
있다,130
도,80
컴피,80
의,69
좋다,65
은,58
로,57
를,52
같다,41
사진,39
라떼,38
분위기,37
맛,35
맛있다,34
곳,32
메뉴,30
디저트,29
마포구,28
과,28
것,27
주문,27
낭시,26
치즈,26
휘,26
조용하다,25
교,24
적,23
많다,23
공간,23
스파클링,23
카페,22
레몬,22
나,22
만,22
자리,22
예쁘다,22
고,21
서울특별시,21
크림,21
테리어,20
내,20
좋아하다,19
동반,19
층,19
그렇다,19
시간,19
음료,19
테이블,18
때,18
거,18
없다,18
느낌,17
저,17
안,16
그,16
위치,16
화이트,15
아이스,15
개,15
편안하다,15
더,15
수,14
레,14
제,14
원두,14
명,13
가능하다,13
정말,13
편하다,13
및,13
내부,13
맛집,13
동영상,13
듯,13
깔끔하다,13
하나,12
초코,12
아니다,12
해,12
마음,12
티,11
집,11
생각,11
휴무,11
손님,11
이름,11
브라우니,11
쪽,10
바닥,10
아몬,10
디,10
사람,10
날,10
플랫,10
컴,9
게,9
오,9
역,9
이렇다,9
물,9
한번,9
감성,9
니,9
요,9
추천,9
화장실,9
조금,9
요즘,9
애견,8
나무,8
위,8
반려견,8
괜찮다,8
월요일,8
데,8
사실,8
사장,8
적당하다,8
보기,8
바로,8
정도,8
잔,8
입,8
시,8
아메리카,8
방문,8
진하다,8
다른,8
톤,7
구,7
친구,7
전,7
여기,7
향,7
못,7
말,7
화,7
쿠키,7
가격,7
따뜻하다,7
이쁘다,7
혼자,7
욤,7
일,7
보,7
아늑하다,7
두,7
친절하다,7
매장,7
메뉴판,7
산미,7
여서,7
단,6
이것은,6
팔로워,6
이다,6
팔로잉,6
제일,6
이나,6
또,6
햇살,6
통창,6
번,6
창가,6
영업,6
심플,6
좀,6
다음,6
식물,6
살짝,6
강하다,6
게시,6
처음,6
움,6
맘,6
가게,6
주말,6
우리,6
베리,6
사용,5
망리,5
초롱,5
새롭다,5
화분,5
가지,5
근처,5
주스,5
소개,5
네이버,5
위해,5
앞,5
만족스럽다,5
바,5
의자,5
망원동,5
분,5
고소하다,5
선물,5
종류,5
직접,5
색감,5
간판,5
오늘,5
준비,5
넓다,5
뭐,5
끝,5
가면,5
초등학교,5
칩,5
판매,5
걸,4
"층
망원동",4
밀크,4
차분하다,4
길,4
비트,4
차,4
비주,4
주방,4
성,4
매우,4
감,4
좌석,4
트북,4
어디,4
햇빛,4
신경,4
우유,4
꽤,4
성산,4
창밖,4
점심,4
가능,4
부럽다,4
부탁,4
가기,4
립,4
써밋,4
통,4
한적하다,4
기분,4
여유,4
오렌지,4
사랑,4
계속,4
문,4
진짜,4
전체,4
바닐라,4
취향,4
곳곳,4
동네,4
애기,4
브루잉,4
편,4
그냥,4
역시,4
왜,4
조합,4
얼,4
뭔가,4
신상,4
합정역,4
기,4
요새,4
이제,4
모두,4
귀엽다,4
옆,4
울,4
세,3
시끄럽다,3
스타,3
중독,3
이집,3
불편하다,3
참고,3
용,3
저번,3
신맛,3
"보기
망원동",3
작다,3
기본,3
모든,3
앤,3
중,3
엽서,3
이번,3
행복하다,3
아마,3
커피,3
밑,3
주소,3
별로,3
요기,3
얼그레이,3
해도,3
스티커,3
계시다,3
밤,3
충분하다,3
포스팅,3
최고다,3
반려동물,3
미리,3
굉장하다,3
마들렌,3
파망,3
매일,3
포트,3
무,3
처럼,3
난,3
루이보스,3
존맛,3
멀리,3
초록,3
숟가락,3
특이하다,3
조화,3
잔잔하다,3
그림,3
구성,3
반갑다,3
기억,3
방석,3
어떻다,3
급하다,3
에티오피아,3
이야기,3
빈,3
처,3
아주,3
유명하다,3
눈치,3
거기,3
입맛,3
시럽,3
솔티,3
스타일,3
함,3
검색,3
불어,3
보통,3
패스,3
자세하다,3
애정,3
주차,3
과자,3
항상,3
가볍다,3
때문,3
필요하다,3
추가,3
한잔,3
마다,3
아아,3
시작,3
팔고,3
눈,3
작업,3
부터,3
목,2
이후,2
뷰,2
탁,2
원래,2
먹기,2
이용,2
한편,2
음식,2
캬라멜,2
블로그,2
선택,2
비교,2
피,2
아래,2
삼,2
심,2
커튼,2
유딩,2
다양하다,2
카라멜,2
상태,2
여윽시,2
비싸다,2
컬러,2
증말,2
창문,2
오전,2
급,2
맛데,2
육개장,2
에이,2
뜻,2
후기,2
거리,2
랄,2
콤,2
안녕하다,2
공,2
픽업,2
오레오,2
모금,2
저격,2
전화번호,2
레어,2
일찍,2
우린,2
뒤,2
안되다,2
곳데,2
린다,2
등장,2
피로,2
시지,2
시기,2
소재,2
글,2
순삭,2
길이,2
애매하다,2
티백,2
부산,2
비도,2
의미,2
몇,2
서울,2
워낙,2
덥다,2
난리,2
대신,2
액자,2
중요하다,2
보라색,2
팅,2
유행,2
쉬,2
변,2
철,2
자주,2
다크,2
일단,2
주로,2
수다,2
대관,2
갈색,2
제조,2
조명,2
도로,2
여럿,2
책,2
건물,2
석,2
귀찮다,2
발견,2
벽면,2
팝송,2
닷,2
생,2
청소,2
존,2
경우,2
원,2
두운,2
달콤하다,2
체리,2
지금,2
욧,2
콘센트,2
꼴딱,2
아쉽다,2
날씨,2
녹색,2
카페	서울특별시,2
유니,2
기도,2
상큼,2
꼭,2
낮다,2
신나다,2
핫,2
네,2
멀다,2
실제,2
마몽,2
점심시간,2
합,2
혼,2
배,2
전화,2
익숙하다,2
이지,2
간,2
유리,2
정기,2
야하다,2
자체,2
저녁,2
반려,2
다행하다,2
약과,2
빵,2
폭,2
건,2
볼일,2
형태,2
안쪽,2
식당,2
둘,2
옴,2
제대로,2
구경,2
방향,2
몰래,2
블렌딩,2
찾기,2
예,2
강아지,2
자연,2
블랜딩,2
부담,2
오든,2
화요일,2
일반,2
나중,2
초딩,2
자,2
건강하다,2
벤치,2
자갈,2
거의,2
저기,2
비,2
상전,2
보고,2
사이,2
뷰러펌,2
동물,2
초,2
겸,2
달,2
달달,2
크게,2
자극,2
적도,2
유리창,2
시원하다,2
다시,2
창,2
조각,2
땐,2
피지,2
사,2
빨대,2
답답하다,2
온,2
아이스크림,2
먹음,1
려,1
귀요미,1
높다,1
쿵,1
가루,1
볼,1
즈음,1
환경,1
다르다,1
웨,1
묵직하다,1
주위,1
변명,1
육장,1
꼬마,1
이스트,1
꾹,1
끝내주다,1
개척,1
러버,1
커텐,1
녀석,1
만년,1
기엽,1
"같다
망원동",1
운치,1
안달,1
박지,1
력하,1
안내서,1
행복,1
영문,1
멍,1
앤디,1
스윽,1
컴피루,1
충전,1
서두,1
이즈,1
배랑,1
더더,1
막,1
그것,1
연출,1
건가,1
쪼꼬,1
속닥,1
슈웅,1
마르다,1
이외,1
컴피	예전,1
싼타,1
불만,1
더욱,1
서도,1
짐작,1
크리스마스,1
허리,1
묘,1
벽,1
최소한,1
저희,1
개지,1
엄청나다,1
투,1
썸,1
컷,1
기엽다,1
다이어리,1
패,1
신기하다,1
얘기,1
곳이어욤,1
싱크대,1
