word,count
덩크,133
도,99
이,98
있다,85
쿠키,60
를,58
디저트,57
로,50
의,48
좋다,48
치즈,31
사장,31
맛있다,31
은,28
메뉴,26
수,24
직접,23
주문,23
귀엽다,23
바스크,22
요,22
느낌,21
마포구,21
층,21
같다,20
시장,20
내부,18
과,18
탕후루,18
테이크아웃,17
사진,16
라떼,15
따뜻하다,15
음료,15
요즘,15
만,15
카페,14
안,14
분위기,14
매일,14
해,14
서울특별시,14
케,13
바치,13
테리어,13
다양하다,12
것,12
너,12
더,12
슈,12
저,12
때,12
수제,12
정말,12
슈페,12
나,12
티라미수,11
아기자기하다,11
곳,11
위치,11
에이,10
일,10
그,10
아침,10
명,10
이쁘다,10
먹기,9
고,9
자몽,9
시간,9
맛집,9
거,9
맛,9
종류,9
그렇다,9
자리,9
많다,9
크림,9
개,9
니,9
바로,8
및,8
테이블,8
좋아하다,8
아니다,8
방문,8
동영상,8
부럽다,8
없다,8
판매,8
하나,8
제,8
게,8
이다,8
꼭,8
약과,8
시,8
생각,8
한번,8
보고,8
처,8
편안하다,7
아늑하다,7
저희,7
아메리카,7
배달,7
데,7
이렇다,7
망원동,7
아이스크림,7
길,7
달콤하다,7
작다,7
적,7
또,7
오늘,7
빵,7
역,7
번,7
서울,7
앞,7
동반,7
면,7
다른,7
고소하다,7
눈,7
진짜,6
커피,6
말,6
신상,6
근처,6
달,6
선물,6
가루,6
티라미슈,6
추천,6
르뱅,6
정도,6
티,6
전문점,6
두,6
창가,6
주말,6
아주,6
다음,5
반죽,5
타임,5
날씨,5
핫,5
신,5
새롭다,5
향,5
입,5
못,5
중간,5
가능하다,5
예쁘다,5
영업,5
달달,5
내,5
한잔,5
덕,5
보기,5
마음,5
밀크,5
편하다,5
궁금하다,5
처음,5
괜찮다,5
친구,5
하니,5
그냥,5
중,5
저녁,5
날,5
점,5
일단,5
가게,5
스무디,5
단,4
눈알,4
포장,4
보,4
꿀,4
밀가루,4
게시,4
플레,4
위,4
만난,4
라서,4
반려동물,4
집,4
슈크림,4
산책,4
매장,4
아이스,4
비,4
감성,4
듯,4
외부,4
진하다,4
아아,4
시작,4
부터,4
온,4
조명,4
팔로워,4
팔로잉,4
톤,4
용,4
렌카,4
전,4
등,4
조합,4
친절하다,4
가지,4
평일,4
물,4
이제,4
데이트,4
메뉴판,4
이야기,4
선택,3
전체,3
서도,3
취향,3
센스,3
마지막,3
오전,3
네,3
