word,count
이,152
있다,76
도,67
낭시,57
휘,55
은,47
진짜,41
맛있다,40
의,40
를,39
좋다,34
예쁘다,30
로,28
같다,28
저,27
요,24
더,23
거,21
제,21
선물,21
수,20
해,20
귀엽다,20
생각,19
안,19
만,19
나,18
우프,17
없다,17
것,16
집,16
마들렌,16
아니다,16
사람,16
날,15
때,15
개,14
고,14
과,14
또,13
주문,13
하나,13
맛,13
스타,13
길,13
사진,13
생일,13
게,12
그,12
추천,12
좋아하다,12
여기,12
맛집,12
행복하다,11
이다,11
디저트,11
오늘,11
시간,11
내,11
부터,11
거리,11
면,11
마포구,10
그냥,10
못,10
희다,10
늘,10
방문,10
소,10
많다,10
존,9
초코,9
구,9
메론,9
아메리카,9
쿠키,9
듯,9
사실,9
만두,9
포토,9
처음,9
전,9
매장,9
정로,9
층,9
사랑,8
룬,8
꼭,8
이번,8
움,8
솔티,8
번,8
공간,8
가격,8
고맙다,8
감성,8
크림,8
포장,8
다음,8
테리어,8
놀,8
친구,8
곳,8
서울특별시,8
팅,8
줄,8
일,7
좀,7
까눌레,7
너,7
그렇다,7
정도,7
일상,7
매일,7
웨이,7
말,7
한번,7
정말,7
일단,7
영화,7
그램,7
카라멜,7
이름,7
플레,7
성,7
조금,7
중,7
벚꽃,7
유럽,7
신상,7
주,7
과자,7
다른,7
바로,6
제일,6
근처,6
보고,6
디,6
우리,6
여,6
스티커,6
적,6
오레오,6
소품,6
무,6
아이스,6
명,6
메뉴,6
망원동,6
유명하다,6
누룽지,5
망리,5
머,5
및,5
네,5
얼마,5
품,5
완벽하다,5
왜,5
내부,5
뭐,5
데,5
소개,5
시장,5
사장,5
모두,5
시작,5
돈,5
마음,5
졸맛,5
볼,5
다르다,5
겉,5
카페,5
올해,5
용,5
고구마,5
호,5
이나,5
어쨌든,5
애,5
거울,5
약과,5
시,5
두,5
구경,5
바삭,5
파티,5
영,5
음료,5
로투스,5
니,5
참여,5
업,5
나들이,4
느낌,4
기간,4
주변,4
참고,4
테이블,4
아쉽다,4
재밌다,4
수령,4
사은,4
처럼,4
산,4
요새,4
앞,4
깔끔하다,4
양제,4
이제,4
달달,4
달,4
자주,4
판매,4
어떻다,4
아주,4
라떼,4
무모,4
전등,4
링클,4
방,4
박스,4
별로,4
일기,4
위,4
에이,4
후기,4
첫,4
치즈,4
자리,4
뿌,4
저녁,4
빵,4
역시,4
가구,4
끝,4
지루하다,4
오픈,4
기,4
동영상,4
위치,4
영업,4
오히려,4
마다,4
처,4
눈,4
최고,3
됴,3
원래,3
블로그,3
발견,3
꽃,3
장,3
스페,3
얼른,3
식감,3
라서,3
팀,3
매우,3
쫀득,3
예전,3
회색,3
수원,3
산책,3
살,3
이상,3
월요일,3
감각,3
이렇다,3
물,3
부적,3
설명,3
알,3
반,3
굿,3
촉촉하다,3
키링,3
게임,3
요즘,3
라이즈,3
베숨,3
느끼하다,3
다시,3
스즈메,3
골목,3
보,3
그것,3
바다,3
와이프,3
톤,3
진심,3
해도,3
당연하다,3
바르셀로나,3
장소,3
마지막,3
음악,3
접시,3
공,3
정,3
완전,3
미치다,3
잔뜩,3
쵼,3
힙,3
축하,3
적극,3
자,3
파스텔,3
꿈,3
컵,3
사고,3
휴무,3
이쁘다,3
이벤트,3
보기,3
속,3
여서,3
온,3
무엇,2
렛,2
제공,2
가득하다,2
감동,2
리플,2
예정,2
이후,2
욕심,2
표정,2
식물,2
약국,2
최대한,2
문,2
음식,2
팔로워,2
표,2
팔로잉,2
직진,2
생,2
텀블러,2
원,2
저희,2
틀,2
물건,2
제발,2
궁금하다,2
트래킹,2
소비,2
두번째,2
바보,2
곳곳,2
작다,2
라이즈	안녕하다,2
무슨,2
밤,2
도장,2
여름,2
매,2
오,2
짱,2
아저씨,2
포스팅,2
기대,2
수도원,2
아무,2
호떡,2
반려동물,2
표현,2
마무리,2
저격,2
만족,2
임,2
건,2
시체스,2
골,2
을지로,2
똑같다,2
엠지,2
외관,2
몬세라트,2
단골,2
옌,2
얼,2
창가,2
하루,2
걸,2
여행,2
열,2
귀,2
카,2
서비스,2
커플룩,2
목,2
발,2
위해,2
깜짝,2
먹기,2
한철,2
레몬,2
기대하다,2
먼저,2
방이,2
라오,2
덜,2
왕,2
몇,2
팩,2
