word,count
디저트,128
카이,117
막,106
터키,103
케르,74
빵,67
반,64
브런치,41
세트,36
이태원,35
꿀,31
튀르키예,31
이태원역,30
홍차,28
느낌,26
다양하다,22
베이커리,22
바,18
음료,17
쿠키,17
달달,16
우사,15
라씨,15
고소하다,14
인,13
친구,13
치즈,13
이슬람,12
처음,12
한국,12
생각,11
번,11
듯,11
크림,11
초코,11
리뷰,11
내부,11
궁금하다,10
오늘,10
매장,10
정말,10
하나,10
견과류,10
바클라바,10
피스타치오,10
아이스,10
일,9
위,9
믹스,9
살짝,9
여기,9
로쿰,9
양,9
좀,8
단맛,8
조합,8
석류,8
보고,8
분,8
속,8
종류,8
미트,8
그렇다,8
중,8
외관,8
젤리,8
다른,8
선물,8
리얼,8
외국인,7
국적,7
시럽,7
사원,7
보기,7
아이스크림,7
다음,7
먹기,7
요,7
망고,7
도,7
아메리카노,7
인테리어,7
등,7
발라,7
가지,7
덥다,7
간식,7
우리,7
용,6
블루베리,6
류,6
식사,6
맛집,6
하차,6
주스,6
현지,6
구성,6
여행,6
가루,6
목,6
담백하다,6
다르다,6
이색,6
호두,6
계속,6
강하다,6
포,6
식감,6
입,6
쥬스,6
모양,6
소개,6
위치,6
달,6
사장,6
바게트,5
외국,5
금,5
사진,5
저희,5
이름,5
월,5
화장실,5
예전,5
사람,5
꽤,5
라이트,5
바삭,5
대표,5
앞,5
추가,5
메뉴판,5
손님,5
직원,5
케르반,5
작다,5
자리,5
듬뿍,5
이태원동,5
구경,5
우유,5
화려하다,5
딜,5
거기,5
무엇,4
얘,4
거리,4
대용,4
젤라또,4
그냥,4
가득,4
비슷하다,4
완전,4
독특하다,4
왜,4
방문,4
물,4
알록달록하다,4
바끌,4
함,4
사실,4
혜자,4
영업,4
판매,4
눈,4
모습,4
볼,4
흔하다,4
겉,4
막도,4
날씨,4
정도,4
포스팅,4
잔,4
자체,4
이번,4
제품,4
시,4
두,4
소품,4
그릇,4
뭐,4
해,4
식,4
경험,4
고민,4
나라,4
가능하다,4
네이버,4
한번,4
컵,4
때문,4
시원하다,4
"카페,",4
유명하다,4
출구,4
천상,4
한국어,4
조명,3
이용,3
바로,3
선택,3
제일,3
장식품,3
주소,3
용산,3
묘,3
입구,3
백종원,3
접시,3
짐,3
버터,3
색상,3
운영,3
설탕,3
무,3
은근,3
중앙,3
카르,3
얼,3
이태원역카페,3
근처,3
특이하다,3
동영상,3
오르막,3
도전,3
도보,3
민트,3
기억,3
일단,3
온,3
골목,3
밥,3
아래,3
튀르,3
분위기,3
편하다,3
입장,3
주변,3
참고,3
요건,3
영국,3
구매,3
꼭,3
명칭,3
푸딩,3
전,3
새롭다,3
전문점,3
키,3
그때,3
작성,3
역시,3
준비,3
말,3
난,3
가면,3
확실하다,3
알,3
물씬,3
나중,3
