word,count
파이,2550
웅,873
미트파이,420
비프,345
맛집,317
양송이,258
시금치,257
포장,239
치킨,210
메뉴,210
망,210
보스,191
웅파이,189
사진,169
귀엽다,169
가게,166
생각,165
하나,164
치즈,158
소스,154
빵,154
맥주,153
소고기,151
뉴질랜드,150
향신료,147
고기,146
많다,144
매장,135
롤,133
크림,132
다음,131
느낌,131
정말,130
그렇다,126
날,124
바로,123
소세지,117
방문,117
딸기,110
내부,110
사장,110
머쉬룸,109
정도,108
향,106
분,106
고기파이,105
사람,101
또,99
타임,98
좀,95
제,95
테이블,93
감자,92
종류,92
줄,92
오픈,89
가격,87
친구,85
호주,84
듯,84
여기,83
보고,83
잼,82
처음,81
식사,78
위치,78
냄새,75
일산,75
앞,75
두,74
재료,74
휴무,74
미트,72
판매,72
캐릭터,71
토마토,71
우리,71
먹기,70
그냥,70
조금,69
다른,69
한번,69
전,68
입,67
자리,66
때문,65
걸,63
명,63
브레이크,62
꼭,62
가득,61
뭐,61
가지,61
디저트,60
공원,60
구매,60
친절하다,60
박스,58
오늘,58
부드럽다,58
사실,58
영업,58
가능하다,57
눈,57
해,56
번,56
알,56
동영상,56
아쉽다,55
중,55
저희,55
궁금하다,55
원점,55
도,55
이렇다,55
어떻다,55
카레,54
게,54
살짝,54
케찹,54
커리,53
한강,53
손님,53
요,52
작다,52
속,52
일단,52
스튜,51
진하다,51
약간,51
강하다,51
외관,51
월요일,51
일,50
음식,50
다양하다,50
위,50
바삭,50
핫,50
전문점,50
근처,50
따뜻하다,50
아주,50
빵집,48
다산,48
살,48
못,47
웅파,47
보기,47
음료,46
모짜렐라,45
예쁘다,45
소개,45
완전,44
테이크아웃,44
기분,44
메뉴판,43
꽤,42
함,42
유명하다,42
골목,42
소시지,42
주차,42
계시다,41
등,41
역시,41
산,41
지금,40
개인,40
괜찮다,40
인테리어,40
준비,40
온,40
베이커리,39
버섯,39
직접,39
물,39
말,38
조합,38
닭고기,38
느끼하다,38
왜,38
품절,38
다시,38
사용,37
버터,37
끼,37
볼,37
크림소스,37
부분,37
편이,37
보,36
간단하다,36
피자,36
고민,36
야외,36
계속,36
매우,36
빨갛다,35
밖,35
취향,35
매콤,35
뒤,35
스타일,35
요즘,35
에어,34
송도,34
크기,34
화,34
구경,34
미아사거리,34
먼저,34
주말,34
고소하다,34
정통,34
반,34
리뷰,33
든든하다,33
입맛,33
간식,33
스리,33
팀,33
닭,33
옆,33
주소,32
게시,32
편,32
파출소,32
배부르다,32
모두,32
별로,32
가장,32
건,31
양파,31
비,31
라차,31
발견,31
제일,31
분위기,31
날씨,31
인도,31
가면,31
공간,31
페스,31
상자,31
빨간색,30
설명,30
적당하다,30
어,30
글리,30
모양,30
모습,30
혼자,29
넬워,29
자매,29
거리,29
식당,29
얼,29
츄리,29
담백하다,29
원래,29
이번,29
가로수길,29
가능,29
자주,29
처,29
외국,28
배,28
마감,28
숙,28
베이스,28
본점,28
대용,28
님,28
참고,27
후기,27
매일,27
시작,27
이용,27
서서,27
사서,27
팔로워,26
간판,26
소금,26
시,26
내용물,26
점심,26
수제,26
팔로잉,26
크림파이,26
정기,26
남편,26
한국,26
도전,26
기억,26
돈,26
무엇,25
호수,25
굉장하다,25
쪽,25
듬뿍,25
후,25
만,25
인기,25
입장,25
차,25
비주,25
동네,25
식,25
계란,25
겉,24
가슴,24
이름,24
저녁,24
오후,24
둘,24
감,24
돼지고기,24
인스타,24
가득하다,23
도착,23
토마토소스,23
이제,23
동반,23
간이,23
포스팅,23
새롭다,23
이쁘다,23
사,23
입구,22
동안,22
경우,22
얼마,22
핫플,22
를,22
보관,22
멀리,22
손,22
하루,22
매력,22
지점,22
타워,22
세,21
선택,21
비슷하다,21
가깝다,21
무,21
제대로,21
양,21
먹음,21
주변,21
구,21
힘들다,21
자체,21
위해,21
항상,21
수도,21
언니,20
인,20
월,20
웨이팅,20
좁다,20
/,20
오븐,20
대표,20
덥다,20
팅,20
자극,20
직원,20
스프,20
장님,20
식감,20
움,20
"웅파이,",20
깔끔하다,20
외부,20
냉동,20
패스츄리,20
선물,20
충분하다,19
꽉,19
아침,19
존맛,19
투데이,19
밥,19
아래,19
편하다,19
생방송,19
나무,19
기대,19
기본,19
하니,19
덕분,19
간,19
프라이어,19
검색,19
최고,18
나들이,18
건물,18
적,18
안녕하다,18
제로,18
파스타,18
투어,18
덕,18
다르다,18
뜨겁다,18
호불호,18
희다,18
난,18
대한,18
김,18
네이버,18
거의,18
어렵다,18
확인,18
아기자기하다,18
가기,18
마음,18
막,17
비싸다,17
무슨,17
접시,17
고양시,17
크레타,17
이기,17
평일,17
주차장,17
끈,17
뜨끈하다,17
걱정,17
조기,17
칠리,17
한정,17
보시,17
국적,17
보이,17
이상,17
소품,17
웨이,17
포크,17
안심,17
조화,17
몇,17
달달,17
로고,16
케첩,16
봄,16
"호
망원동",16
망원역,16
콜라,16
은근,16
진열,16
글,16
맵다,16
담,16
맛집],16
덜,16
그림,16
소진,16
맨,16
피크닉,16
만두,16
포은로,16
예약,16
테라,16
단면,16
마지막,16
반려동물,16
어디,16
안되다,16
쿠키,16
총,16
혹시,16
밉다,16
에일,16
바,16
추가,16
지도,16
국내,15
영상,15
포테이토,15
미리,15
일찍,15
좌석,15
안쪽,15
맘,15
왼쪽,15
데,15
주엽로,15
워낙,15
코로나,15
크게,15
땐,15
갑자기,15
묵직하다,15
망리,15
무난,15
일산서구,15
직,15
결정,15
베이컨,15
대기,15
주신,15
찾기,15
촉촉하다,15
운,15
이유,15
대부분,15
전자레인지,15
양송이버섯,14
문,14
배고프다,14
유튜브,14
너,14
야하다,14
운영,14
의,14
재,14
미국,14
종이,14
제작,14
무조건,14
쇼케이스,14
스퀘어,14
자전거,14
인스타그램,14
엄청나다,14
스티커,14
영국,14
튀김,14
확,14
모든,14
그때,14
넓다,14
솔드아웃,14
판테온,14
정보,14
마켓,14
이드,14
아마,13
비교,13
얘기,13
순간,13
가야,13
얼른,13
여름,13
오전,13
금방,13
첫,13
기준,13
낮,13
발라,13
시식,13
인상,13
전문,13
복숭아,13
얼마나,13
오른쪽,13
월드컵,13
용,13
은파,13
진시,13
센스,13
전화,13
은,13
보통,13
반갑다,13
언제,13
포점,13
갓,13
다가,12
감동,12
상태,12
머쉬룸파,12
애플파이,12
랄,12
전혀,12
주,12
테라스,12
상,12
필요하다,12
거기,12
응,12
달라,12
"맛집,",12
장소,12
기도,12
여러,12
잠시,12
편의점,12
바깥,12
인사,12
그대로,12
익숙하다,12
실내,12
경험,12
특이하다,12
화요일,12
라면,12
완료,12
안주,12
커서,11
블로그,11
인생,11
신기하다,11
추억,11
드,11
국민,11
강,11
짐,11
뿐,11
예전,11
딱이다,11
아이,11
테이크,11
미치다,11
강렬하다,11
우유,11
캐나다,11
종종,11
리지,11
기,11
기대하다,11
사워크림,11
빨강,11
우리나라,11
쉽다,11
바삭바삭하다,11
책,11
와인,11
사랑,11
그립다,11
메인,11
요기,11
코너,11
아웃,11
첨단,11
아메리카노,11
오,11
야채,11
청,11
생소하다,11
널,11
취식,11
마련,11
센터,11
생방송투데이,11
사이,11
감성,11
자세하다,11
요리,11
지인,11
마치,10
중독,10
방송,10
전체,10
생,10
현대,10
더욱,10
크리스마스,10
서도,10
엄마,10
등심,10
양송,10
넉넉하다,10
체인점,10
스럽다,10
류,10
알차다,10
접,10
모,10
쭉,10
끝,10
시선,10
단골,10
베,10
나머지,10
국경,10
채소,10
가을,10
주로,10
이야기,10
영화,10
조각,10
재생,10
출구,10
여행,10
라떼,10
랫댓,10
고,10
심,10
다만,10
가족,10
실제,10
맘모스,10
찰떡,10
군데,10
우린,10
배달,10
잔뜩,10
코스,10
케이크,10
터,10
오히려,10
일요일,10
수량,10
초월,10
제공,9
외국인,9
반죽,9
음,9
깊다,9
여러분,9
프라,9
뉴질랜드식,9
원하다,9
얘,9
맵,9
각,9
각각,9
영숙,9
연남동,9
위주,9
바람,9
잔,9
원산지,9
택배,9
아깝다,9
그레이,9
웅파이	웅,9
중간,9
상상,9
외,9
낌,9
지난번,9
길다,9
굳이,9
당,9
대신,9
바쁘다,9
따끈하다,9
의자,9
제법,9
여유,9
예정,9
평,9
런가,9
향기,9
벽면,9
카츠,9
상당하다,9
영양,9
칼,9
키파,9
두번째,9
빠르다,9
손색,9
몬,9
벌써,9
자마자,9
밀,9
영어,9
주시,9
산책,9
실하다,9
촬영,9
필링,9
맛없다,9
웅파이	망원동,9
확실하다,9
부산,9
나중,9
정로,9
즐겁다,9
만큼,9
비쥬,9
수가,9
마침,9
티스,9
안내,9
젤리,9
약하다,9
타르트,9
준,9
작,9
곳도,8
소바,8
우선,8
건가,8
재미,8
저번,8
주의,8
신나다,8
딥블루,8
에너지,8
여기저기,8
환상,8
넘치다,8
마무리,8
전화번호,8
리,8
구입,8
독특하다,8
따끈따끈하다,8
겹겹이,8
쎄다,8
음식점,8
라거,8
계산,8
레드,8
본사,8
사고,8
구성,8
더하다,8
덕후,8
닭강정,8
맞이,8
계획,8
단,8
높다,8
서비스,8
목,8
특유,8
나이프,8
이색,8
고객,8
베스트,8
자리다,8
재밌다,8
전통,8
네,8
멀다,8
레스,8
비건,8
방금,8
펜넬,8
과,8
장난,8
:,8
초록,8
특별하다,8
간도,8
어어,8
토,8
부담,8
남,8
최근,8
남양주시,8
하이,8
가볍다,8
에프,8
쯤,8
피레,8
솔직하다,8
부터,8
고프다,7
방법,7
행복하다,7
도로,7
씨드,7
맛보기,7
시드,7
잡화,7
왕,7
순,7
싫다,7
대파,7
색다르다,7
반숙,7
연수구,7
식물,7
체다,7
토요일,7
전부,7
세상,7
신선하다,7
컷,7
체리,7
투,7
카레빵,7
고추,7
그니,7
어제,7
연남,7
주관,7
퀄리티,7
심지어,7
페퍼,7
남자,7
개월,7
뽀또,7
고요,7
술,7
신랑,7
갈라,7
패키지,7
그릇,7
레몬에이드,7
완벽하다,7
안나,7
머쉬룸파이,7
창가,7
일반,7
현지,7
불가,7
완전하다,7
궁합,7
협소해,7
유학,7
주민,7
나름,7
쭈욱,7
젤,7
허겁지겁,7
아담하다,7
산호수,7
일정,7
::,7
통해,7
금,7
벽,7
사이즈,7
타고,7
해도,7
간다,7
곳곳,7
전국,7
시절,7
제외,7
조리,7
아트,7
반려견,7
큼지막하다,7
레이크,7
픽업,7
촉,7
얼굴,7
|,7
수프,7
인석,7
임,7
당일,7
고수,7
등장,7
어보,7
책방,7
인천,7
남자친구,7
아이스,7
보지,7
고기랑,7
각종,7
강아지,7
잠깐,7
평소,7
저기,7
접기,7
카운터,7
패스,7
인하다,7
다행,7
원픽,7
굳다,7
구분,7
큼직하다,7
시원하다,7
뭘,7
짭짤하다,7
니,7
솔솔,7
파슬리,7
포만,6
청포도,6
지나,6
숭인로,6
여,6
석,6
분점,6
호주식,6
답례,6
포,6
당연하다,6
원마운트,6
의사,6
맛있는,6
생기,6
표현,6
기회,6
노,6
국물,6
작년,6
다행하다,6
프라이,6
뉴,6
한지,6
퍽퍽,6
회사,6
흰자,6
유럽,6
백화점,6
아기,6
시기,6
포인트,6
타이,6
미가,6
홀린,6
케이,6
순삭,6
짝꿍,6
그게,6
얇다,6
건강하다,6
간만,6
금요일,6
찍,6
어물,6
유행,6
저렴하다,6
케챱,6
핫소스,6
러블리뷰,6
본연,6
색깔,6
간편하다,6
겉바,6
뷰,6
이후,6
다섯,6
최대한,6
자꾸,6
남아,6
신분,6
대로,6
밑,6
크리미,6
추하다,6
코,6
부드러움,6
착하다,6
연락처,6
고체,6
유쾌하다,6
만난,6
아무,6
감칠맛,6
결론,6
신세계,6
뜻,6
갈릴,6
무려,6
순하다,6
허브,6
새,6
반달,6
말씀,6
무료,6
차이,6
요것,6
순위,6
헷갈리다,6
거나,6
찬,6
맥,6
누가,6
이인,6
먹거리,6
맞은편,6
만족스럽다,6
이해,6
특징,6
달,6
군침,6
케이스,6
조용하다,6
성북구,6
이벤트,6
대박,6
돼지,6
비프파이,6
년,5
머리,5
티라미수,5
서양,5
실,5
아예,5
애견,5
포썸,5
감탄,5
브런치,5
프리미엄,5
일품,5
입안,5
오빠,5
페이,5
행복,5
거부,5
은은하다,5
이상하다,5
불고기,5
돗자리,5
성하다,5
요건,5
스페이스,5
바닐라,5
컬러,5
풍경,5
참새,5
아인,5
법,5
페스트리,5
평범하다,5
해외,5
키친,5
저장,5
나쁘다,5
주방,5
풍부하다,5
만점,5
급,5
밀로,5
전자렌지,5
절로,5
이면,5
뚝딱,5
춥다,5
건너편,5
화분,5
메뉴인,5
솔직,5
커다랗다,5
관심,5
벚꽃,5
잎,5
거울,5
장미,5
완성,5
냉장고,5
작성,5
좌,5
빨,5
표시,5
싫어하다,5
그거,5
레이스,5
반하다,5
프로,5
길이,5
오리,5
메이드,5
무드,5
세번,5
듯이,5
분명,5
눅눅하다,5
메쉬,5
북스,5
슬,5
또한,5
계,5
타이밍,5
토니,5
시간대,5
포함,5
잡고,5
한잔,5
발리,5
면,5
인정,5
급하다,5
방문자,5
모야,5
탄산음료,5
공부,5
현재,5
팔고,5
깨끗하다,5
진,5
가도,5
옹,5
서울시,5
업,5
이사,5
구황,5
일이,5
장시간,5
그다음,5
흔하다,5
줌,5
방,5
버터치킨,5
편안하다,5
살이,5
갠,5
마찬가지,5
전이,5
외식,5
치,5
모먼트,5
랍니,5
사이사이,5
어쩜,5
세트,5
창문,5
가요,5
토핑,5
여자,5
EUNPIE,5
양도,5
곰돌이,5
무시,5
부족하다,5
홀,5
합,5
어쨌든,5
최애,5
저런,5
돈까스,5
이전,5
봉투,5
작물,5
매번,5
식용,5
이동,5
제품,5
는걸,5
불구,5
당장,5
양고기,5
점점,5
여성,5
지하,5
대충,5
가끔,5
질,5
깜짝,5
욥,5
클럽,5
순서,5
불맛,5
만하,5
장안,5
포스터,5
변,5
로우,5
통,5
안전하다,5
가성,5
가세,5
정리,5
창,5
지난,5
아아,5
울,5
해당,5
지난주,4
재미있다,4
크루아상,4
끼리,4
스파이,4
한눈,4
아틀리에,4
전달,4
호기심,4
기업,4
당황,4
유독,4
스윗,4
슬슬,4
트,4
추,4
정면,4
상관없다,4
아들,4
따끈따끈,4
더더,4
홀로,4
신기,4
소울푸드,4
셰,4
여전하다,4
아파트,4
샌드위치,4
장,4
반도,4
별미,4
공짜,4
잉,4
밀가루,4
증말,4
스콘,4
샷,4
블로거,4
등등,4
게다가,4
인지,4
실패,4
도장,4
병,4
성,4
기름,4
사랑스럽다,4
동생,4
점심시간,4
결,4
노릇,4
콤,4
평가,4
부산진구,4
피칸,4
슬프다,4
할머니,4
저격,4
동화,4
리퍼블릭,4
엽서,4
붉다,4
러블,4
심심하다,4
질감,4
뻔,4
소중하다,4
치아바타,4
웬만하다,4
답,4
문제,4
광안,4
이미지,4
해외여행,4
포대,4
배려,4
라멘,4
초점,4
구나,4
영롱,4
신상,4
버스,4
헤,4
떡볶이,4
스토리,4
뿜뿜,4
발레리,4
부탁드리다,4
할인,4
벤치,4
먹는,4
레몬,4
전날,4
영,4
컵,4
남다르다,4
걸음,4
어울림,4
산이,4
식기,4
필수,4
한쪽,4
천연,4
액자,4
물리,4
가까이,4
