word,count
컵스,598
분위기,175
라떼,162
많다,132
메뉴,131
사장,130
사진,128
포은로,119
디저트,104
느낌,103
자리,102
크림,98
정말,98
사람,94
날,93
방문,88
아이스크림,85
따뜻하다,84
또,83
아메리카노,82
테이블,81
처,78
예쁘다,75
그렇다,72
휴무,72
아이스,70
인테리어,70
에스프레소,70
맛집,69
친구,65
바닐라,64
바로,63
그냥,63
위,62
공간,62
생각,59
음료,58
내부,58
하나,58
여기,57
옆,56
망리,55
럼블,55
조용하다,53
우리,52
월요일,52
친절하다,51
우드,50
감성,50
잔,49
메뉴판,49
쿠키,47
바스크,47
다음,46
오픈,45
초코,44
조금,44
위치,44
좀,43
오늘,43
정도,43
만,43
애플,42
번,42
혼자,42
작다,42
중,42
이렇다,42
듯,42
손님,42
젠,41
깔끔하다,41
다른,41
전,41
오지,40
치즈케이크,39
제,39
요즘,39
티,39
아주,39
이치,38
기분,38
물,38
달달,38
부드럽다,36
꼭,36
영업,36
치즈,35
귀엽다,35
보고,35
분,35
화,34
매장,34
일,33
아쉽다,32
주말,32
구경,32
가게,32
고소하다,32
편안하다,31
사실,31
처음,31
동반,31
마음,31
나무,30
방명록,30
책,30
임,30
말,30
케이크,30
후기,29
우유,29
때문,29
걸,28
준비,28
눈,28
역시,27
가능하다,27
유명하다,27
뭐,27
명,27
간,26
저녁,26
팅,26
요,26
밑,25
완전,25
약간,25
도,25
향,25
근처,25
알,25
게,24
발견,24
저희,24
직접,24
거리,24
두,24
소품,24
맘,24
해,24
아래,24
쪽,24
입,24
한번,24
앞,24
가기,23
포장,23
종류,23
톤,23
얼음,23
먼저,23
기억,23
적당하다,23
줄,23
별로,22
부분,22
반려동물,22
평일,22
동영상,22
후,22
모두,22
텐동,22
못,22
다시,22
원래,21
이름,21
인,21
센스,21
꽤,21
노,21
조명,20
아늑하다,20
벽,20
하겐다즈,20
고민,20
그림,20
산미,20
밥,20
피스타치오,20
포스팅,20
중간,20
함,20
레몬,20
가능,20
자주,20
아아,20
살짝,19
주소,19
취향,19
화이트,19
페인,19
류,19
가면,19
밖,19
"층
망원동",18
한강,18
성,18
등,18
디카,18
칩,18
의자,18
데이트,18
이야기,18
신기하다,18
괜찮다,18
연필,18
정기,18
운영,18
넓다,18
글,18
소개,18
덥다,18
월,17
화장실,17
메뉴인,17
도착,17
커피크림,17
보,17
매일,17
웨이,17
네이버,17
메모,17
보기,17
문,16
다양하다,16
편,16
웨이팅,16
굉장하다,16
망원역,16
가지,16
비,16
추가,16
이쁘다,16
수다,16
전체,16
편하다,16
차,16
간판,16
술,16
건,16
진하다,16
가장,15
왜,15
무,15
일단,15
무엇,15
볼,15
먹기,15
예약,15
참고,15
이번,15
어디,15
얼,15
주차,15
한잔,15
시원하다,15
모습,15
온,15
언니,14
게시,14
감,14
전화번호,14
조합,14
둘,14
를,14
설명,14
사과,14
거의,14
막걸리,14
튀김,14
너,14
리뷰,14
구,14
과,14
뒤,14
난,14
데,14
바삭,14
지도,14
음식,13
차분하다,13
계시다,13
음악,13
여름,13
잠시,13
첫,13
히비스커스,13
종이,13
컵,13
어떻다,13
거기,13
다르다,13
계속,13
재밌다,13
힘들다,13
사용,12
제일,12
은은하다,12
마지막,12
가득,12
좁다,12
빵,12
플랫,12
재,12
이제,12
시작,12
행복하다,12
여유,12
명함,12
궁금하다,12
얘기,12
두번째,12
모든,12
편이,12
은,12
밉다,12
달,12
만석,12
판매,12
돈,12
님,12
가득하다,11
이용,11
시끄럽다,11
선택,11
팔로워,11
팔로잉,11
가야,11
날씨,11
생크림,11
봄,11
춥다,11
레몬에이드,11
동안,11
출구,11
서비스,11
목,11
엄마,11
새우,11
섬세하다,11
곳곳,11
편안함,11
기본,11
포근하다,11
식당,11
안쪽,11
끝,11
주신,11
위해,11
나중,11
아기자기하다,11
항상,11
이유,11
덕,11
애견,10
오전,10
그대로,10
하니,10
좌석,10
카페인,10
미치다,10
신상,10
양,10
잔잔하다,10
코로나,10
바,10
무조건,10
인스타,10
겨울,10
지금,10
입구,10
동네,10
매우,10
연휴,10
예전,10
배,10
산책,10
/,10
희다,10
좋은,10
가구,10
하루,10
떡볶이,10
강아지,10
가격,10
빈,10
속,10
개인,9
메인,9
인스타그램,9
감자,9
논,9
거울,9
버터,9
옐로우,9
입맛,9
원목,9
외관,9
왼쪽,9
모형,9
주,9
점심,9
검색,9
주차장,9
테이크아웃,9
확인,9
보통,9
배부르다,9
이락,9
나름,9
킥,9
아담하다,9
깨,9
최고,9
느끼하다,9
수영,9
식물,9
꽃,9
올해,9
변경,9
타고,9
간단하다,9
본점,9
오,9
자체,9
한참,9
살,9
중이,9
찾기,9
조화,9
구석,9
몇,9
겸,9
초,9
언제,9
코지,9
이드,9
여행,8
직원,8
나들이,8
음,8
금,8
강하다,8
비주,8
신나다,8
스럽다,8
맛있는,8
랄,8
미리,8
덕분,8
남자,8
새롭다,8
모금,8
낮,8
인석,8
가깝다,8
공원,8
은근,8
산,8
:,8
손,8
파우더,8
잠깐,8
생일,8
"컵스커피,",8
곳도,8
싫다,8
충전,8
