word,count
크림,197
공간,142
라떼,91
사진,91
힙,84
펍,81
사장,81
디저트,77
분위기,73
메뉴,69
치즈케이크,66
아메리카노,64
존,61
간판,59
바스크,59
음료,56
느낌,55
월드컵,53
치즈,53
포토,51
예쁘다,49
하나,49
문화,49
정말,48
많다,48
방문,47
오늘,44
예약,42
망원역,41
위,40
우리,40
바로,38
선택,38
여기,38
원두,37
조명,36
맛집,36
테이블,35
인테리어,35
제,35
망리,33
위치,33
귀엽다,33
딸기,33
요,32
화장실,32
수제,32
의자,32
자리,32
직접,31
과일,31
그렇다,30
사람,30
칵테일,30
다양하다,30
이렇다,29
처,28
스티커,28
또,28
소품,28
중,27
내부,27
바나나,27
다른,27
고소하다,27
빛,27
얼음,26
음악,26
명,26
동영상,26
재생,26
정도,26
생각,26
주스,26
요즘,26
꼭,25
날,25
가지,25
해,25
분,25
전,25
공연,25
저녁,25
매장,25
케이크,25
볼,24
감성,24
쪽,24
휴무,24
골목,23
레트로,23
친구,23
완전,23
번,23
말,22
모두,22
마음,22
입구,21
신상,21
산미,21
색,21
가능하다,20
얼,20
영업,20
일,19
게,19
운영,19
캐릭터,19
설탕,19
구경,19
소개,19
노래,19
메뉴판,19
깔끔하다,18
간,18
블루,18
접기,18
건물,17
카드,17
도,17
듯,17
옆,17
눈,17
이름,16
월,16
거리,16
입,16
테이프,16
함,16
비주,16
레몬에이드,16
모습,16
향,15
정기,15
테라스,15
보고,15
달달,15
단체,15
출구,15
컬러,15
티,15
때문,15
이쁘다,15
아아,15
저희,14
당신,14
오픈,14
바,14
주말,14
반스,14
발견,14
그냥,14
왜,14
삶,14
매력,14
알,14
보기,14
좀,13
다음,13
게시,13
곳곳,13
리뷰,13
조금,13
부드럽다,13
약간,13
걸,13
아래,13
센스,13
포스팅,13
좌석,13
포인트,13
물,13
테이크아웃,13
카운터,13
제철,13
다시,13
목,12
팔로워,12
뭐,12
월요일,12
책방,12
스튜디오,12
확인,12
달,12
만,12
줄,12
다르다,12
색깔,12
전체,12
팔로잉,12
꽃,12
이웃,12
플레이,12
굉장하다,12
의,12
덥다,12
기분,12
아주,12
님,12
최고,11
생,11
바닐라,11
처음,11
자몽,11
이번,11
안쪽,11
친절하다,11
주인,11
살짝,11
계단,11
가장,11
조합,11
근처,11
판매,11
어떻다,11
온,11
가득하다,10
인생,10
신기하다,10
인,10
너,10
모든,10
자체,10
못,10
손목,10
망리단길,10
초록색,10
할인,10
진행,10
먼저,10
앞,10
사실,10
맥주,10
데이트,10
가게,10
이용,10
종류,10
용,10
취향,10
진부,10
시럽,10
추가,10
다크,10
인스타,10
힙한,10
유,10
아이스크림,10
발,9
제일,9
진심,9
궁금하다,9
돌출,9
색감,9
편,9
벌써,9
정성,9
건,9
대한,9
가면,9
나이키,9
소식,9
시원하다,9
한잔,9
덕,9
대관,9
유명하다,9
예정,9
달라,9
직진,9
요기,9
기대,9
코드,9
감,9
야하다,9
낮,9
역시,9
자신,9
맘,9
둘,9
딸,9
가격,9
네이버,9
한번,9
컵,9
야외,9
카세트,8
신발,8
편안하다,8
재미,8
장,8
추억,8
작다,8
첫,8
아이,8
매일,8
넓다,8
화공,8
아이스,8
동안,8
제작,8
홍시,8
의미,8
도보,8
복숭아,8
정보,8
후,8
적당하다,8
원래,8
계속,8
세라믹,8
방,8
주소,8
보드,8
인스타그램,8
별로,8
날씨,8
상큼,8
전시,8
새롭다,8
등,8
두,8
준비,8
가깝다,8
화,8
옛날,8
가능,8
팅,8
셀카,8
자주,8
누구,8
무엇,7
오렌지,7
석,7
문,7
체험,7
더욱,7
순간,7
파동,7
무슨,7
만족,7
보이,7
신경,7
디자인,7
고민,7
대해,7
이제,7
항상,7
무조건,7
혼자,7
진하다,7
이야기,7
책,7
큐알,7
거기,7
보,7
벽면,7
카야,7
메인,7
네온,7
신맛,7
초코,7
미리,7
잔,7
가득,7
|,7
홍차,7
시,7
이기,7
스테인리스,7
재,7
즉시,7
비,7
외부,7
통,7
네온사인,7
뉴진스,7
영상,6
스타,6
도자기,6
블로그,6
허니,6
여러분,6
홈페이지,6
참고,6
엄마,6
부분,6
성,6
접시,6
모임,6
과,6
존중,6
술,6
은,6
힙하,6
이상,6
뒤,6
초록,6
주,6
노란색,6
어렵다,6
비쥬,6
컨셉,6
중요하다,6
미용실,6
중개사,6
겸,6
주민,6
포틴,6
시작,6
시공,6
캠핑,6
보시,6
세상,6
달콤하다,6
해도,6
기도,6
여러,6
밤,6
소통,6
조화롭다,6
심지어,6
녹차,6
미치다,6
평일,6
누가,6
나중,6
주차장,6
주류,6
이드,6
높다,5
복합,5
깊다,5
크래커,5
은은하다,5
도하,5
벽,5
라디오,5
지금,5
딩크,5
눈발,5
당연하다,5
꿀,5
샷,5
등등,5
초록빛,5
잠시,5
선곡,5
수술,5
헤헤,5
어디,5
설치,5
독특하다,5
전혀,5
토마토,5
존맛,5
링크,5
모양,5
오기,5
남자친구,5
염증,5
특이하다,5
점등,5
리스트,5
레몬,5
행복하다,5
멋지다,5
데코,5
포스터,5
묵직하다,5
반갑다,5
이유,5
사랑,5
누나,5
힙합,5
가방,5
쫀쫀,5
예술,5
깨끗하다,5
니,5
속,5
겉,5
알록달록,5
편하다,5
개인,5
아웃,5
아쉽다,5
재밌다,5
네,5
핫,5
매우,5
여기저기,5
딱이다,5
구석구석,5
동시,5
카페인,5
테이크,5
마련,5
등장,5
감각,5
꽤,5
외,5
알록달록하다,5
공인,5
일반,5
위해,5
굿,5
아이스티,5
당,5
또한,5
얼마나,5
합정,5
노트북,5
유니크,5
대박,5
손님,5
마시기,5
밀크,4
선,4
제공,4
석도,4
먹기,4
상실,4
'주인공',4
통해,4
막,4
집중,4
아티스트,4
간단하다,4
의사,4
생화,4
야무지다,4
신나다,4
봄,4
퀄리티,4
아빠,4
파란색,4
기준,4
후기,4
장르,4
월간지,4
햇살,4
아이디어,4
식용,4
주시,4
움,4
얼마,4
제품,4
그때,4
오후,4
안되다,4
이자,4
좋은,4
내내,4
배치,4
손,4
특별하다,4
스타일,4
반하다,4
빈티,4
개성,4
오시,4
출시,4
색도,4
최근,4
보라색,4
기억,4
플레이어,4
필요하다,4
포장,4
심슨,4
더하다,4
바치,4
활용,4
업체,4
빈,4
심플,4
스탈,4
작업,4
효과,4
북적,4
그린,4
강하다,4
주변,4
신선하다,4
두번째,4
장소,4
부부,4
동일하다,4
소리,4
스포트라이트,4
하니,4
유리,4
모금,4
아깝다,4
여우비,4
비슷하다,4
통창,4
좁다,4
재활,4
살얼음,4
그릇,4
완벽하다,4
쭉,4
진열,4
우유,4
를,4
창가,4
점심,4
곧,4
설명,4
상처,4
반,4
인상,4
로즈마리,4
하이,4
케,4
아기자기하다,4
시위,4
가세,4
돈,4
기적,3
주황,3
여유,3
대망,3
서로,3
재미있다,3
감탄,3
지나,3
넘김,3
사용,3
단어,3
배경,3
카페],3
무선,3
건가,3
가나,3
불편하다,3
부끄럽다,3
기계,3
"예약
망원동",3
망원동카페,3
이혼,3
건강,3
장식,3
빙수,3
키친,3
죠지,3
낮다,3
금방,3
강,3
변신,3
다리,3
생기,3
바람,3
정,3
애,3
편이,3
관심,3
허브,3
라며,3
청과,3
임,3
불구,3
식당,3
스팟,3
중이,3
귀염,3
위로,3
단골,3
식,3
소재,3
사이드,3
확실하다,3
낌,3
휴양지,3
매립,3
무드,3
기,3
건강하다,3
평소,3
기대하다,3
몇,3
아메,3
리폼,3
만큼,3
남매,3
만족스럽다,3
메이,3
한쪽,3
자세하다,3
민트,3
찍,3
컨디션,3
멸치,3
오래되다,3
강추,3
"카페,",3
인터넷,3
빨강,3
인정,3
밖,3
총총,3
솔솔,3
조던,3
먹음,3
사료,3
힙해,3
세,3
