word,count
샌드위치,842
당근,540
브런치,355
페,339
메뉴,323
사진,262
포은로,187
테이블,182
맛집,180
많다,178
방문,162
예쁘다,157
귀엽다,156
정말,152
하나,150
빵,148
날,147
토마토,145
또,139
동반,139
자리,137
생각,134
느낌,130
명,129
사장,118
무화과,116
분위기,110
그렇다,108
친구,108
사람,108
오픈,106
우리,105
복숭아,105
내부,105
바질,103
음료,99
정도,98
제,96
휴무,94
여기,92
치즈,91
스크램블,90
아메리카노,89
바로,86
아주,86
꼭,85
다른,85
번,83
애견,82
라떼,81
공간,79
조금,78
물,78
강아지,77
동영상,77
크림,77
음식,76
구,76
디저트,75
따뜻하다,75
가게,75
앞,75
화요일,74
조합,72
위,71
과일,71
전,71
말,71
보기,68
인테리어,68
주스,68
가능하다,67
소스,67
게시,66
인스타,66
접시,65
보고,64
그냥,63
사실,63
오늘,62
라페,61
드라이,61
손님,61
분,61
위치,60
아쉽다,60
좀,59
반려동물,59
매장,59
다음,59
파스타,59
요즘,58
주말,58
요거트,57
재료,56
이렇다,56
얼,56
스콘,55
때문,55
옆,55
기분,55
이쁘다,55
햄,53
요,53
메뉴판,53
함,52
만,52
딸기,52
도,52
먼저,52
걸,51
스프,51
처음,51
사과,51
우드,50
인,50
아이스,50
님,50
동네,50
망원역,49
중,49
감성,49
게,48
가격,48
깔끔하다,48
팔로워,47
팔로잉,47
편,47
마음,47
먹기,47
수박,47
가능,47
입,46
공원,46
볼,46
영업,46
역시,45
비주,44
웨이팅,44
뭐,44
유명하다,44
두,43
후무스,43
듯,43
식사,42
해,42
알,42
샐러드,42
포장,42
인스타그램,41
왜,41
언니,41
포스팅,41
팅,41
상큼,40
토,40
한번,40
햇살,40
쪽,40
일,39
살짝,39
별로,39
페스,39
향,39
판매,39
눈,39
원래,38
화장실,38
다시,38
작다,38
매일,37
고민,37
혼자,36
귤,36
아기자기하다,36
달달,36
종류,36
정기,36
꽤,36
약간,36
핫,35
거리,35
준비,35
미치다,35
계란,35
다양하다,35
근처,35
자주,35
차,34
부드럽다,34
여름,34
티,34
못,34
일단,34
이용,33
신선하다,33
직접,33
완전,33
구경,33
후,33
여유,33
스티커,33
플레이,33
편이,33
행복하다,32
가장,32
놀이터,32
서비스,32
아늑하다,32
괜찮다,32
웨이,32
쿠키,32
건강하다,32
제일,31
소품,31
주차장,31
덥다,31
모두,31
보,31
잔,30
테라스,30
라스트,30
참고,30
조용하다,30
개인,29
이름,29
식감,29
루꼴,29
온,29
최고,29
골목,29
날씨,29
자체,29
친절하다,29
기억,29
지금,28
굉장하다,28
배,28
계속,28
사랑,28
저희,28
간,28
인석,28
건,28
평일,28
주차,28
가득,27
등,27
낭시,27
취향,27
휘,27
존맛,27
카운터,27
어떻다,27
고소하다,27
"층
망원동",26
망리,26
그릭,26
아침,26
의,26
가면,26
청포도,26
계시다,26
센스,26
좌석,26
난,26
가지,26
시즌,26
야외,26
블로그,25
야하다,25
이번,25
적당하다,25
줄,25
인기,25
식물,25
전체,25
아지,25
적,25
살,25
안쪽,25
추가,25
간식,25
돈,25
스피커,24
궁금하다,24
콤,24
블루베리,24
그릇,24
외관,24
주신,24
오렌지,23
주방,23
반려견,23
스크램블에그,23
둘,23
트,23
초코,23
기본,23
점심,23
출구,23
감자,22
샌디,22
노,22
가깝다,22
거의,22
무엇,22
편하다,22
한강,22
월,22
모든,22
저녁,22
뒤,22
를,22
매력,22
재,22
모습,22
용,21
식,21
컵,21
달,21
항상,21
처,21
토마토주스,21
구매,21
장님,21
리뷰,21
멀다,21
치킨,21
도착,21
넓다,21
이유,21
먹음,20
톤,20
진심,20
운영,20
끝,20
남자친구,20
소개,20
삭,20
야채,20
기대,20
식당,20
마스크,20
양,20
비쥬,20
사이,20
시작,20
강하다,19
보리,19
마지막,19
봄,19
후기,19
/,19
맘,19
네이버,19
나중,19
하이,19
무조건,19
오전,19
희다,19
할인,19
즐겁다,19
이제,19
가기,19
달콤하다,18
옹달샘,18
프로필,18
일찍,18
오후,18
입맛,18
싫어하다,18
스타일,18
끼,18
메인,18
바닐라,18
매콤,18
새롭다,18
봉투,18
산,18
하루,18
어렵다,18
확인,18
보통,18
고기,18
대부분,18
밖,18
거기,18
조명,17
발견,17
편안하다,17
얼그레이,17
하늘,17
만석,17
아아,17
노상,17
막,17
식전,17
채,17
어디,17
이상,17
운,17
살구,17
치,16
야무지다,16
동생,16
첫,16
든든하다,16
산책,16
소금,16
햇빛,16
보관,16
손,16
한적하다,16
수다,16
이드,16
밥,16
아래,16
밑,16
|,16
우주,16
임,16
실내,16
데,16
글,16
창가,16
주민,16
속,16
진,16
직원,15
선택,15
생,15
신기하다,15
튀김,15
가야,15
키친,15
간단하다,15
나무,15
색감,15
크레타,15
주시,15
움,15
중간,15
바삭,15
만족하다,15
댕댕,15
비,15
외부,15
망,15
아담하다,15
머쉬룸,15
공영,15
연휴,15
힘들다,15
듬뿍,15
버터,15
크로우,15
바,15
땐,15
가방,15
간이,14
존,14
경우,14
고추,14
오,14
스럽다,14
입가심,14
무,14
주,14
조화,14
브런치카페,14
요리,14
캐년,14
데이트,14
주소,14
비싸다,14
딱딱하다,14
홀,14
쥬스,14
레몬,14
몇,14
찍,14
일요일,14
특유,13
뷰,13
요기,13
입구,13
애견동반,13
기도,13
음악,13
메뉴인,13
얼마,13
시,13
최대,13
바쁘다,13
겸,13
흑임자,13
샤워,13
더욱,13
곳곳,13
실제,13
매우,13
바깥,13
그대로,13
전화,13
과,13
비슷하다,13
케일,13
후식,13
늘,13
남편,13
어린이,13
만족스럽다,13
갑자기,13
멋지다,12
가득하다,12
나들이,12
달라,12
얘기,12
두번째,12
"도피,",12
샷,12
짱,12
맛있는,12
짐,12
잠시,12
간판,12
저격,12
화,12
품절,12
담,12
검색,12
하몽,12
키즈,12
걱정,12
시원하다,12
범벅,12
아이스크림,12
예약,12
오빠,12
무난,12
건가,12
조화롭다,12
피클,12
감,12
애,12
류,12
동안,12
수가,12
문의,12
제철,12
쯤,12
진하다,12
조각,12
친,11
감동,11
음,11
카페],11
레인,11
인용,11
팀,11
벌써,11
아이,11
허브,11
잼,11
마련,11
포인트,11
초록,11
주인,11
특별하다,11
사이드,11
잔뜩,11
종종,11
애매하다,11
위해,11
홍시,11
식기,11
멋,11
정보,11
자극,11
의자,11
덕,11
빨대,11
담백하다,11
선,11
세,11
흔하다,11
빵집,11
세상,11
타고,11
자리다,11
후추,11
수프,11
촬영,11
쎄다,11
신경,11
총,11
버스,11
얇다,11
만큼,11
나름,11
깨끗하다,11
예정,10
사용,10
인생,10
부분,10
평범하다,10
꽉,10
랄,10
화분,10
엽서,10
일상,10
가시,10
싹싹,10
혹시,10
특이하다,10
반,10
정로,10
또한,10
필수,10
대신,10
소진,10
마감,10
저렴하다,10
단체,10
지난,10
계절,10
데리,10
지도,10
다르다,10
수영,10
그동안,10
왕,10
행진,10
입장,10
재미,10
순간,10
장소,10
의사,10
여러,10
신나다,10
점심시간,10
이서,10
대기,10
안되다,10
전혀,10
월요일,10
잠깐,10
인상,10
채소,10
기대하다,10
평소,10
요새,10
동물,10
풀,10
상,10
배부르다,10
통,10
해먹,10
마켓,10
산미,10
일이,9
바게트,9
여,9
문,9
아마,9
차분하다,9
체리,9
엄청나다,9
컷,9
주택가,9
루꼴라,9
등등,9
가든,9
인원,9
인지,9
픽,9
화이트,9
뿐,9
마무리,9
파출소,9
보이,9
카페인,9
발라,9
원목,9
답,9
마치,9
와인,9
은근,9
모양,9
확실하다,9
반하다,9
강쥐,9
굿,9
토요일,9
구석,9
출근,9
링,9
찍기,9
겨울,9
사고,9
최근,9
라면,9
가을,9
타임,9
면,9
솔직하다,9
선물,9
요건,9
엄마,9
당연하다,9
빠르다,9
세트,9
구가,9
최애,9
단맛,9
고고,9
감각,9
누가,9
부담,9
남,9
공지,9
맞은편,9
구성,9
유행,9
수도,9
약속,9
준,9
방법,8
이후,8
선호,8
여러분,8
가능한,8
현대,8
호다닥,8
주변,8
브리,8
새우,8
다만,8
셋,8
배고프다,8
간다,8
여자,8
단점,8
커트,8
직,8
뜻,8
미리,8
안녕하다,8
작고,8
은,8
시골,8
우린,8
군데,8
조만간,8
회사,8
설탕,8
음식점,8
제대로,8
dopy,8
오기,8
프로,8
김,8
설명,8
케이크,8
밉다,8
말차,8
간만,8
밀크,8
자세하다,8
막걸리,8
느끼하다,8
얌전하다,8
더하다,8
강추,8
이락,8
삼겹살,8
고,8
크리스마스,8
벽,8
장,8
런,8
컬러,8
해도,8
너,8
병,8
성,8
무섭다,8
대용,8
덕분,8
하니,8
콩,8
익숙하다,8
알차다,8
통창,8
제품,8
요것,8
안나,8
내내,8
역,8
외,8
현실,8
협소,8
합정역,8
그게,8
수제,8
아시,8
가볍다,8
언제,8
원두,7
트롤,7
모자,7
기류,7
아웃,7
포토,7
김치,7
아날로그,7
네,7
충분하다,7
사랑스럽다,7
무척,7
유지,7
자몽,7
춥다,7
마카롱,7
낮,7
관심,7
헤헤,7
포근하다,7
폭,7
구리,7
완벽하다,7
쭉,7
계정,7
세심,7
고생,7
:,7
머스타드,7
초록색,7
빈티,7
당근라페,7
퍼,7
기록,7
테이크아웃,7
슬,7
워낙,7
스푼,7
연유,7
과자,7
잡고,7
냄새,7
영상,7
대파,7
"카페,",7
맨,7
도리,7
출처,7
뭘,7
싫다,7
지인,7
라이스,7
절대,7
더위,7
사,7
포기,7
리얼,7
풍경,7
유경,7
명단,7
주심,7
무슨,7
재밌다,7
샤인,7
금방,7
어제,7
닭,7
둘이서,7
연남동,7
도우,7
쥬,7
아리랑,7
커플,7
생소하다,7
정,7
따스하다,7
반려,7
좁다,7
한참,7
신랑,7
망리단길,7
처럼,7
시선,7
란,7
쑥,7
운동,7
기,7
자,7
욥,7
불가,7
터,7
얼마나,7
예상,7
그림,7
식빵,7
오래되다,7
반갑다,7
로투스,7
철,7
머스켓,7
가성,7
다이어트,7
공용,7
이야기,7
주로,7
심플,7
눈치,7
꿀맛,7
단,6
여행,6
어거스트,6
평,6
감탄,6
석,6
절임,6
우동,6
가슴,6
아몬드,6
병아리,6
::,6
상당하다,6
아인,6
넉넉하다,6
블로거,6
확,6
푸딩,6
소연,6
바람,6
생기,6
예전,6
연필,6
크기,6
딱이다,6
러리,6
만족,6
매번,6
중인,6
골목길,6
작성,6
카페라떼,6
쇼핑,6
등장,6
가구,6
맛없다,6
거나,6
다가,6
우유,6
지역,6
하얗다,6
목,6
묵직하다,6
책,6
출입,6
멀리,6
자꾸,6
결제,6
향기,6
런가,6
러버,6
싱그럽다,6
조,6
맵다,6
신상,6
자연,6
샤베트,6
칩,6
일반,6
셀프,6
케,6
웨이즈,6
오히려,6
통밀,6
우선,6
포스터,6
크게,6
보시,6
심,6
일주일,6
필요하다,6
빨갛다,6
인터넷,6
급하다,6
인정,6
유,6
혐,6
후회,6
팔고,6
베이커리,6
땀,6
아프다,6
절,6
아파트,6
빙수,6
베이스,6
딱하다,6
어쩜,6
생크림,6
조명도,6
식탁,6
아무,6
젠,6
연어,6
소리,6
합,6
자마자,6
채광,6
전문점,6
찰떡,6
이전,6
제로,6
단호박,6
다행하다,6
이동,6
그때,6
차이,6
당장,6
치아바타,6
핫플,6
레이스,6
제주도,6
놈,6
찾기,6
가끔,6
곧,6
힙,6
마을,6
대표,6
오시,6
촉촉하다,6
