word,count
라이너스,642
베,605
마카롱,592
이크,587
빵,507
디저트,345
버터,332
바,227
소금,224
빵집,206
맛집,133
쿠키,123
휘,116
낭시,114
포장,112
시,100
하나,87
종류,86
피낭,84
재료,81
과자,70
방울,69
예쁘다,69
스콘,68
많다,67
사진,64
크림,64
다양하다,64
선물,64
얼,63
구매,62
식감,61
치즈,61
사장,59
초코,57
방문,57
정말,56
매장,54
판매,53
임,52
무화과,52
꼬끄,52
고소하다,52
등,51
가격,51
페리,49
보관,49
웨딩,49
달달,49
인기,48
요즘,48
필링,47
바삭,47
아이디,47
부드럽다,46
가능하다,46
어스,46
구,45
메뉴,45
바닐라,45
제,45
동영상,44
명,44
미아,43
정성껏,42
번,42
마카,42
덕,42
요,41
먹물,41
게,41
인절미,41
딸기,40
입,40
살짝,39
꼭,39
냉동,39
차,39
마포구청역,39
움,38
가지,38
다음,38
바로,38
우유,37
향,37
카라멜,36
해,36
귀엽다,36
베리,36
쫀득,36
겉,35
그렇다,35
중,35
오징어,35
가게,35
정도,34
여기,34
느낌,33
먹기,33
캬라멜,33
다른,32
달,32
오픈,30
말차,30
박스,30
처음,30
또,30
후,30
보기,30
냉장,29
속,29
분,29
일,28
해남,28
에그타르트,28
치아바타,27
랜덤,27
플레인,27
스마트,27
날,26
온라인,26
스토어,26
요거트,26
패키지,26
매력,26
도,25
진하다,25
아주,25
유명하다,25
휴무,25
전,24
친구,24
생각,24
가득하다,23
직접,23
매일,23
베이커리,23
물,23
클래식,23
영업,23
단,22
게시,22
크기,22
그냥,22
오늘,22
제대로,22
먼저,22
팩,22
유행,22
팔로잉,22
역시,22
토,22
위치,22
모두,22
적당하다,22
눈,22
좀,21
사이즈,21
핫,21
택배,21
칩,21
촉촉하다,21
깔끔하다,21
출구,21
피넛,21
팔로워,21
위,21
완전,21
화,21
님,21
순이,20
용,20
기본,20
가득,20
얼마,20
기분,20
발,20
통해,20
가장,20
테이크아웃,20
월넛,19
이름,19
자주,19
고급스럽다,19
월,19
과,19
준비,19
함,19
피칸,18
블루베리,18
손,18
실,18
답례,18
레시피,18
미가,18
달콤하다,17
품,17
미니,17
사실,17
느끼하다,17
오프라인,17
후기,17
로나,17
마음,17
먹음,16
세트,16
내부,16
식,16
뚱카롱,16
앞,16
보고,16
베이크샵,16
진,16
에어,16
높다,16
망리,16
전문점,16
종,16
구입,16
큼직하다,16
냄새,16
차갑다,16
처,16
걸,15
작다,15
새롭다,15
사람,15
스타일,15
듯,15
이쁘다,15
제일,15
부분,15
아쉽다,15
류,15
나볼,15
소개,15
때문,15
다시,15
방법,14
계속,14
신선하다,14
진열,14
레몬,14
담백하다,14
깊다,14
궁금하다,14
존맛,14
최근,14
사,14
경우,13
인스타그램,13
쫄깃,13
아이,13
이번,13
샵,13
안되다,13
뭐,13
고급,13
정성,13
녹차,13
카시스,13
가깝다,13
답,13
근처,13
한번,13
라임,13
아몬드,12
얘,12
한지,12
안쪽,12
친절하다,12
재,12
깜빠뉴,12
어떻다,12
쇼콜라,12
예약,12
색감,12
풍부하다,12
조금,12
도착,12
냉장고,12
겉바,11
피스타치오,11
"이크
망원동",11
촉,11
제품,11
말,11
시작,11
가루,11
볼,11
율,11
주소,11
개별,11
비주,11
노릇,11
뿐,11
굉장하다,11
입맛,11
공간,11
알,11
네이버,11
만,11
보,10
스티커,10
취향,10
순간,10
여러,10
매우,10
잼,10
보이,10
프라이어,10
못,10
운영,10
월요일,10
보통,10
사용,10
라이너스베이크샵,10
착하다,10
직,10
베이,10
조합,10
글,10
케이크,10
손님,10
상자,10
행복하다,9
회원,9
로그인,9
별로,9
확,9
멀다,9
치즈케이크,9
노하우,9
정석,9
품절,9
배달,9
특별하다,9
확실하다,9
최고,9
순삭,9
원래,9
도보,9
여러분,9
구성,9
참고,9
대박,9
일단,9
상큼,9
부,9
쇼케이스,9
마지막,9
두,9
왜,9
중간,9
이렇다,9
케익,9
밉다,9
거의,9
워낙,9
단단하다,9
가능,9
아기자기하다,9
무조건,9
줄,9
묵직하다,8
흑임자,8
토요일,8
개인,8
계시다,8
무슨,8
기대,8
킹,8
플레이,8
모든,8
간판,8
딱이다,8
망원역,8
은,8
구경,8
링크,8
충실하다,8
가면,8
신상,8
파티,8
만날,8
일요일,8
인스타,8
홈,8
짭짤하다,8
여친,8
진심,8
편,8
거리,8
저녁,8
왼쪽,8
위해,8
덥다,8
골목,7
고해,7
입안,7
편하다,7
리뷰,7
각,7
아메리카노,7
조화롭다,7
야하다,7
