word,count
메뉴,262
사진,232
라즈베리,148
많다,147
음료,140
느낌,132
정말,127
시티,126
희다,121
정로,116
원두,105
프로즌,99
동영상,95
크림,95
하나,95
명,92
예쁘다,92
디저트,91
방문,89
그렇다,88
생각,87
분위기,83
쿠키,83
딸기,82
테이블,82
아이스크림,82
또,81
위,81
스티커,80
오레,79
사람,76
좀,74
날,74
번,72
휴무,71
내부,70
제,70
메뉴판,70
친구,69
귀엽다,68
바로,67
자리,65
공간,65
우유,64
위치,64
여기,63
깔끔하다,61
라떼,61
달달,60
스트로베리,60
판매,58
랏세,58
스노우볼,58
물,58
사장,57
보고,56
드립,55
인테리어,55
조금,55
아메리카노,53
중,53
인스타,53
전,51
시즌,51
다른,51
마들렌,51
에스프레소,51
화이트,50
아주,49
우리,49
이렇다,49
오늘,48
맛집,47
분,47
케이크,46
사실,45
님,45
그냥,44
얼,44
통,44
의자,44
게시,43
M1CT,43
보기,43
의,42
한강,41
정도,41
유리,41
이쁘다,41
유명하다,41
요,41
비주,41
게,40
망리,40
아이스,40
다음,40
팔로워,39
참고,39
꼭,39
종류,39
옆,39
처음,38
파운드,38
시럽,38
가게,38
손님,38
팔로잉,37
친절하다,37
살짝,36
저희,36
직접,36
월,36
영업,36
밀크쉐이크,35
쪽,35
역시,35
아쉽다,35
매장,35
눈,35
일,34
이름,34
상큼,34
망원역,34
요즘,34
입구,33
준비,33
월요일,33
직원,33
종이,32
주말,32
마음,32
걸,32
수박,32
핫,32
주차,32
조용하다,31
샌드위치,31
초코,31
향,31
알,31
때문,31
다시,31
드립커피,30
앞,30
마지막,30
핸드,30
여름,29
공원,29
로스팅,29
감성,29
시원하다,29
가격,29
원래,28
해,28
듯,28
산미,28
뭐,28
고민,28
소개,28
블랙,28
일본,27
랏,27
포스팅,27
따뜻하다,27
바,27
밑,27
인스타그램,27
화요일,27
모습,27
작다,26
자체,26
편이,26
구경,26
만,26
씨티,26
기분,26
왜,26
를,26
아래,25
도,25
등,25
화,25
힙,25
불편하다,25
가지,25
비,25
편하다,24
궁금하다,24
소품,24
먼저,24
이드,24
골목,24
전체,24
쉐이크,24
한번,24
부드럽다,23
책,23
계속,23
거리,23
간,23
좌석,23
못,23
주스,23
덥다,23
다양하다,22
티,22
버스,22
가능하다,22
레몬,22
약간,22
볼,22
정기,22
이제,22
줄,22
선택,21
계시다,21
멀다,21
설명,21
어떻다,21
지금,20
샷,20
플랫,20
인기,20
보,20
타고,20
센스,20
건,20
넓다,20
처,20
심플,20
혼자,19
오렌지,19
달콤하다,19
괜찮다,19
입,19
보이,19
오픈,19
머신,19
투어,19
연유,19
동반,19
출구,19
취향,19
뜻,19
꽤,19
주택가,18
매우,18
예전,18
영어,18
가면,18
카운터,18
가기,18
이유,18
일요일,18
적당하다,18
에티오피아,18
여유,18
별로,18
난,18
외관,18
후,18
발견,17
자두,17
화장실,17
감,17
완전,17
말,17
합정역,17
기억,17
진하다,17
먹기,17
낮다,17
편,17
후기,17
굉장하다,17
새롭다,17
근처,17
겨울,16
개인,16
간단하다,16
두,16
조합,16
둘,16
달,16
밥,16
/,16
매력,16
함,16
셀프,16
컵,16
구조,16
문,15
소바,15
주변,15
벽,15
신기하다,15
스콘,15
힘들다,15
이번,15
확인,15
시작,15
진,15
복숭아,15
체크,15
구,15
치즈,15
이상,15
왼쪽,15
강아지,15
위해,15
모두,15
한적하다,15
고소하다,15
밖,15
무엇,14
일본어,14
사용,14
스윗,14
가깝다,14
모양,14
메인,14
차,14
날씨,14
가장,14
비터,14
아이,14
저녁,14
류,14
독특하다,14
뒤,14
망리단길,14
끝,14
배치,14
감각,14
평일,14
특이하다,14
팅,14
온,14
차분하다,13
제일,13
강하다,13
주소,13
용,13
골드,13
동생,13
쌀국수,13
도착,13
움,13
빵,13
양,13
기,13
자주,13
가운데,13
땐,13
수다,13
구매,13
생크림,13
요거트,13
콤,13
잔,13
안녕하다,13
가득,13
야하다,13
잡지,12
무슨,12
산딸기,12
듬뿍,12
비슷하다,12
형태,12
식당,12
맘,12
늘,12
디자인,12
멜트,12
사이,12
가볍다,12
"카페,",12
덕,12
단,12
다르다,12
비싸다,12
당근,12
나무,12
오,12
에이,12
파출소,12
메뉴인,12
잼,12
매일,12
안되다,12
밉다,12
찍기,12
여자친구,12
차갑다,12
속,12
최고,11
행복하다,11
상당하다,11
더욱,11
얼그레이,11
인,11
동네,11
코드,11
배,11
최애,11
아깝다,11
패키지,11
초콜릿,11
표시,11
역,11
확실하다,11
동안,11
길다,11
몇,11
비쥬,11
패스,11
M1CT	망원동,11
만석,11
로투스,11
김밥,11
추가,11
유리창,11
디,11
포썸,11
사랑,11
금,11
