word,count
디저트,265
키토,172
과자,161
스콘,70
포장,43
쿠키,40
케이크,38
치즈케이크,34
맛집,34
사장,34
뚝섬,33
그렇다,30
컵케이크,29
휘,28
고소하다,28
성동구,28
배달,28
치즈,27
건강하다,27
낭시,27
레몬,26
느낌,25
사진,24
초코,24
방문,24
견과류,23
부드럽다,22
깔끔하다,22
정말,22
케익,21
일반,21
설탕,19
무화과,19
하나,19
럼블,18
아메리카노,18
생각,18
판매,18
요즘,18
레놀라,17
건강,16
중,16
날,16
바로,15
분위기,15
위치,15
종류,15
먹기,14
여기,14
크림,14
바스크,14
다이어트,14
테이블,13
내부,13
보고,13
다양하다,13
좀,12
초코우유,12
음료,12
분,12
인테리어,12
아몬드,11
계란빵,11
이렇다,11
아늑하다,11
상큼,11
위,11
산딸기,11
괜찮다,11
조금,11
매일,11
공간,11
정도,10
배민,10
그냥,10
번,10
앱,10
달콤하다,10
밀가루,10
직접,10
자리,10
사람,10
영업,10
달달,10
걱정,10
진하다,10
걸,9
이용,9
인기,9
잔,9
빵,9
한번,9
듯,9
다르다,9
참고,9
궁금하다,9
가장,9
입,9
제품,9
테이크아웃,9
단과자,9
시트,9
조용하다,9
귀엽다,9
꼭,8
간판,8
오늘,8
류,8
완전,8
준비,8
말,8
매장,8
가격,8
건물,8
우드,8
편하다,8
해,8
근처,8
명,8
가능하다,8
동영상,8
덥다,8
가게,8
다른,8
요,7
식감,7
지방,7
황,7
폭,7
꽤,7
반,7
앞,7
촉촉하다,7
플레인,7
냉동,7
메뉴판,7
어떻다,7
인스타,7
아아,7
사용,7
톤,7
날씨,7
티,7
후기,7
전,7
쪽,7
성수역,7
조합,7
보관,7
오픈,7
바삭,7
주말,7
약간,7
유명하다,7
뚜디,6
크기,6
잼,6
전혀,6
난,6
시나몬,6
아이스,6
부담,6
확인,6
보기,6
갓,6
다음,6
문,6
민족,6
살짝,6
요거트,6
보틀,6
단맛,6
무,6
우유,6
주차,6
달,6
이쁘다,6
시원하다,6
간식,6
기분,6
라스트,6
아주,6
재생,6
서비스,5
흑임자,5
별로,5
안녕하다,5
관심,5
역시,5
녹차,5
드립커피,5
가깝다,5
고민,5
만족스럽다,5
일단,5
줄,5
발견,5
편안하다,5
딸기,5
강하다,5
계단,5
용,5
인,5
생크림,5
친구,5
재료,5
예전,5
전문점,5
과,5
건,5
임,5
식,5
스타일,5
남편,5
함,5
힙,5
대신,5
라면,5
다이어터,5
단,4
볼,4
높다,4
죄책감,4
일,4
골목,4
비교,4
보,4
차,4
입구,4
멀다,4
뜻,4
굉장하다,4
그대로,4
컵케익,4
딱이다,4
가득,4
동시,4
버터,4
홍차,4
등,4
카페인,4
데,4
얼,4
반하다,4
소개,4
알,4
굿,4
만큼,4
"로
성수동",4
감성,4
혼자,4
행복하다,4
스푼,4
담백하다,4
수제,4
페리,4
롤,4
가기,4
팔로워,4
팔로잉,4
상당하다,4
자주,4
타임,4
신기하다,4
얘기,4
지금,4
손님,4
게시,4
처,4
심플,4
눈,4
님,4
비주,4
성,4
홀,4
드립,4
봉투,4
이번,4
오후,4
안되다,4
넓다,4
맘,4
시럽,4
의,4
진열,4
특별하다,4
모양,4
물,4
글루텐,4
웨딩,4
당,4
아기자기하다,4
후,4
프리,4
적당하다,4
출구,4
거기,4
먹음,3
가루,3
원래,3
특유,3
촉촉,3
예정,3
예약,3
계속,3
닷,3
은은하다,3
막,3
집중,3
저희,3
부드러움,3
취향,3
당뇨,3
아쉽다,3
간단하다,3
어요,3
게다가,3
도,3
각,3
동네,3
핫,3
땅콩,3
기본,3
퀄리티,3
직,3
저녁,3
입맛,3
뭐,3
주신,3
존맛,3
단골,3
를,3
껏,3
식단,3
버스,3
네이버,3
무엇,3
다가,3
검색,3
사이,3
사실,3
보통,3
최근,3
원픽,3
이제,3
상호,3
가볍다,3
지퍼,3
여유,3
김밥,3
가을,3
다시,3
성지,3
준,3
아지트,3
버스정류장,3
겉바,3
선택,3
깊다,3
우선,3
아래,3
겨울,3
개인,3
메인,3
보시,3
누,3
아파트,3
더욱,3
부분,3
법,3
몸,3
꾸밈,3
기도,3
주방,3
금방,3
무스,3
단과자	과자,3
노릇,3
거리,3
바깥,3
대용,3
자마자,3
편이,3
듬뿍,3
대감,3
도착,3
주시,3
움,3
이동,3
살,3
미치다,3
이기,3
맛없다,3
위브,3
확실하다,3
오기,3
두산,3
쑥,3
얇다,3
뚜디니,3
종이,3
잠깐,3
덜,3
비,3
쾌적하다,3
워낙,3
접기,3
따뜻하다,3
때문,3
섭취,3
냄새,3
단과자	성수동,3
덕,3
만,3
쇼케이스,3
주로,3
시작,3
아담하다,3
우리,3
있는,3
라떼,2
던,2
실,2
도시락,2
도리,2
전체,2
쟁여놓,2
아들,2
무선,2
와이프,2
인스타그램,2
타고,2
비싸다,2
해동,2
착하다,2
샷,2
처음,2
너,2
키토디저트가,2
작다,2
피셜,2
얼음,2
리뷰,2
마니아,2
밤,2
확,2
토핑,2
부지런하다,2
이용도,2
정성,2
플레이,2
점심시간,2
어플,2
만해,2
마카롱,2
마무리,2
아깝다,2
표기,2
야하다,2
메뉴인,2
전화번호,2
펜,2
마르코폴로,2
구리,2
심심하다,2
두,2
말씀,2
그릇,2
자그마하다,2
햇빛,2
외관,2
난로,2
글,2
재,2
설명,2
담,2
나중,2
쟁,2
조화,2
욥,2
어렵다,2
수가,2
기절,2
마침,2
하겟습니,2
중요하다,2
잔잔하다,2
달걀,2
호선,2
아인슈페너,2
구성,2
완료,2
만날,2
오래되다,2
이유,2
약속,2
밀도,2
더하다,2
저렴하다,2
중심,2
젤,2
지향,2
ㅣ,2
한적하다,2
아기자기,2
아이디,2
이마트,2
본연,2
갑자기,2
모습,2
누구,2
마음,2
선물,2
과일,2
잽싸다,2
답답하다,2
최고,2
방법,2
디져트,2
원두,2
단까까,2
느끼하다,2
묵직하다,2
커서,2
즐,2
지나,2
소문,2
장점,2
아마,2
운치,2
