word,count
드론,95
로덴,90
빵,37
베이커리,31
테이블,25
분위기,25
주차,24
서대문구,24
느낌,23
로덴드론,21
디저트,20
넓다,20
생각,19
방문,19
공간,17
크림,16
사진,15
인테리어,15
자리,15
내부,14
종류,13
편하다,13
아메리카노,13
치즈케이크,13
아쉽다,12
개조,12
음료,12
까눌레,12
자체,12
케이크,12
날,11
주차장,11
주택,11
직원,11
원두,11
좀,11
영업,11
치즈,10
매일,10
그렇다,9
테라스,9
바질,9
위치,9
다양하다,9
류,9
가능하다,9
라떼,8
브런치,8
딸기,8
화장실,8
마들렌,8
아이스,8
근처,8
로스팅,8
단체,8
그냥,8
오늘,8
구경,8
번,8
정말,8
친구,7
좌석,7
등,7
사람,7
보고,7
하나,7
판매,7
분,7
계단,7
초코,7
비주,7
위,7
연남동,7
여기,7
매장,7
선배,7
다른,7
티,6
얼,6
의자,6
베이글,6
모두,6
귀엽다,6
혼자,6
바로,6
정도,6
애플파이,6
호식,6
전,6
토마토,6
옆,6
눈,6
고소하다,6
다만,5
아침,5
식사,5
말,5
뭐,5
진열,5
위해,5
한번,5
네이버,5
가격,5
메뉴판,5
요즘,5
이야기,5
기분,5
우리,5
아주,5
모습,5
타르트,5
전체,5
저희,5
체리,5
직접,5
곳곳,5
주주,5
모임,5
중,5
저녁,5
소품,5
간격,5
따뜻하다,5
달달,5
담요,5
만,5
손님,5
조각,5
약간,5
산미,5
마치,4
서비스,4
포장,4
예약,4
아늑하다,4
차,4
망고,4
공룡,4
굉장하다,4
간,4
소금,4
외관,4
쿠키,4
우유,4
케익,4
대신,4
어떻다,4
교,4
피치,4
마음,4
석,4
겉,4
우선,4
아래,4
카공,4
재미,4
톤,4
스콘,4
처음,4
꼭,4
여러,4
동네,4
어디,4
두,4
맘,4
이렇다,4
주스,4
앞,4
듯,4
가능,4
1호점,4
이유,4
자주,4
이쁘다,4
스무디,4
처,4
밖,4
작업,4
지도,4
다음,3
출처,3
편안하다,3
언니,3
신선하다,3
브레드,3
오전,3
연희1호점,3
스럽다,3
후기,3
거리,3
페인,3
인사,3
야하다,3
전화번호,3
가의,3
저택,3
통창,3
못,3
건,3
오후,3
카페라떼,3
난,3
손,3
모양,3
주차공간,3
오기,3
시나몬,3
창가,3
친하다,3
컵,3
야외,3
때문,3
노력,3
에스프레소,3
누구,3
제공,3
건물,3
선택,3
우드,3
오빠,3
요,3
겨울,3
개인,3
회의,3
해도,3
취향,3
당연하다,3
계시다,3
인,3
리뷰,3
토핑,3
양도,3
포스팅,3
브루잉,3
에너지,3
모든,3
작년,3
블,3
무,3
디카,3
꽤,3
스타벅스,3
빈티,3
자연,3
출근,3
감성,3
사실,3
룸,3
깔끔하다,3
확인,3
안내,3
라면,3
항상,3
정보,3
적당하다,3
가게,3
줄,3
재생,3
이드,3
높다,2
책,2
석도,2
청포도,2
보존,2
인기,2
주소,2
거셀,2
궁금하다,2
날씨,2
기도,2
가장,2
선사,2
스페셜,2
녀,2
기본,2
홀,2
위주,2
잔,2
그대로,2
전화,2
아깝다,2
회색,2
다양성,2
이번,2
보이,2
얼마,2
프라이,2
회사,2
안쪽,2
전혀,2
렌즈,2
가지,2
단가,2
글,2
외,2
대충,2
모던,2
알,2
홍대입구역,2
콜롬비아,2
먼저,2
평소,2
몇,2
남,2
[로덴드론,2
전문,2
나누기,2
덥다,2
쾌적하다,2
커피전문점,2
바쁘다,2
최상급,2
이제,2
그림,2
가기,2
성공,2
크게,2
냄새,2
일주일,2
모카,2
데이트,2
지붕,2
구조,2
차갑다,2
보기,2
답답하다,2
걸,2
나들이,2
일,2
원래,2
예정,2
촉촉,2
평,2
요약,2
장점,2
보,2
전부,2
무난,2
살짝,2
심,2
뇨,2
참고,2
용,2
전반,2
해동,2
코너,2
포토,2
입구,2
나쁘다,2
작다,2
식수,2
유지,2
꽉,2
화이트,2
심지어,2
대용,2
품질,2
배,2
넘치다,2
따스하다,2
편이,2
햇살,2
쪽,2
인석,2
숙제,2
대정,2
연령,2
역시,2
준비,2
희다,2
둘,2
이기,2
애플,2
총,2
해,2
훌륭하다,2
단골,2
혹시,2
평일,2
껏,2
고민,2
빈속,2
함,2
일반,2
조화,2
바스크,2
찍기,2
무심하다,2
수가,2
구역,2
보통,2
까눌렛,2
노트북,2
달,2
구분,2
냉동,2
시원하다,2
덕,2
인스타,2
다시,2
연구,2
속,2
진,2
있는,2
빗,2
빨대,2
문화,2
무엇,1
올리브영,1
말차,1
최고,1
푸르다,1
볼,1
가루,1
서로,1
선,1
여유,1
층집,1
다르다,1
여럿,1
순이,1
훼이크,1
#마포구카페,1
곳도,1
심정,1
티라미수,1
먹기,1
커서,1
비밀번호,1
왕,1
밀당,1
나시,1
필터,1
"금지
또",1
정원,1
사랑,1
주니,1
업체,1
차비,1
점차,1
북적,1
밥,1
어두운색,1
방,1
방송,1
이어폰,1
대가,1
캠핑,1
발견,1
벽면,1
감히,1
제일,1
차분하다,1
고객,1
닷,1
상관없다,1
생,1
미로,1
무선,1
카페],1
홀로,1
고양이,1
에그타르트,1
아련,1
크랜베리,1
불편하다,1
도심,1
세면대,1
날씬,1
용산,1
티팟,1
카페나,1
러쉬,1
카라멜,1
뚜벅,1
바닐라,1
상태,1
#연희동카페,1
사이즈,1
얘기,1
저번,1
주택가,1
차로,1
신기하다,1
나열하다,1
콘크리트,1
일지]	안녕하다,1
장식,1
물이,1
두번째,1
올드,1
신맛,1
대의,1
담소,1
어쩜,1
구매,1
빠르다,1
세트,1
센스,1
#단독주택카페,1
장소,1
와이파이,1
나무,1
취저인거,1
힐링,1
당시,1
출출하다,1
색감,1
생화,1
환영,1
카모마일,1
낮다,1
인지,1
반전,1
여름,1
라서,1
현대인,1
카페/베이커리,1
실제,1
일지,1
멀다,1
규어,1
공장,1
절로,1
커팅,1
매우,1
제각기,1
적,1
집의,1
첫,1
생기,1
쫀득,1
정겹다,1
바람,1
오레오,1
픽업,1
천장,1
미리,1
유료,1
팍,1
채광,1
쥬,1
덕분,1
하니,1
진동,1
커플,1
곳곳이,1
남자,1
부들부들하다,1
예쁜카페,1
딱이다,1
크기,1
가득,1
일찍,1
수준,1
적합하다,1
1호점	오늘,1
정돈,1
캐,1
관심,1
파출소,1
가위,1
블루베리,1
차서,1
친절,1
주택개조카페,1
구석구석,1
단맛,1
철체,1
고요,1
입,1
"러쎌
홍대/연희동",1
알콩달콩,1
냉장고,1
매듭,1
특,1
과테말라,1
쇼핑,1
당일,1
골,1
모해,1
운영,1
연희동],1
물가,1
근교,1
식당,1
휘,1
"길
로덴드론",1
조용조,1
최소,1
주전자,1
비밀,1
#신상카페,1
듭니,1
버전,1
알콜,1
"(연말,연초",1
연희1호점]	연희동,1
스벅,1
를,1
조그맣다,1
플랫,1
소재,1
가면,1
솔직후기	상세,1
(자금출처,1
:,1
확실하다,1
축의,1
오픈,1
'로덴드론,1
크로와상,1
먹음,1
구옥,1
초등학교,1
물,1
점심,1
각종,1
곧,1
재,1
코스,1
파우더,1
[나의,1
힙,1
나머지,1
소나무,1
단언,1
미러,1
기네,1
단독,1
얼핏,1
탁자,1
생일,1
자,1
행복하다,1
"전화
연희동카페",1
환하다,1
대표,1
분명,1
초코쿠키,1
#대형카페,1
요새,1
레몬,1
브루,1
아이싱,1
비,1
눅눅하다,1
당,1
생활권,1
핸드,1
적정하다,1
저건,1
워낙,1
접기,1
쓱,1
"길
카공하기",1
카운터,1
동물,1
패스,1
"포스팅
연희동카페",1
쿠폰,1
차마,1
끈,1
환경,1
조명,1
많넹,1
데코,1
중요하다,1
찍,1
가까이,1
수제,1
쓴맛,1
드네,1
플레인,1
구성,1
배부르다,1
탓,1
"메뉴,",1
바,1
널찍하다,1
한국인,1
소파,1
사장,1
후,1
시스템,1
분해,1
1호점	로덴,1
가득하다,1
주택개조,1
무조건,1
가을,1
일단,1
카메라,1
"추천
로덴드론",1
차만,1
도의,1
진하다,1
그룹,1
주말,1
쇼케이스,1
쇼콜라,1
소방,1
지난,1
한적하다,1
패스츄리,1
아아,1
맞이,1
로렌,1
커피타임,1
준,1
뷰,1
주차장이,1
어둡다,1
화사하다,1
특유,1
동상,1
1호점'에,1
내돈내산,1
득,1
1호점],1
온,1
진행중,1
이용,1
달라,1
때에느,1
캐모마일,1
스벅꺼,1
시끄럽다,1
음,1
여,1
기능,1
고려,1
특이점,1
당황,1
더움,1
불펌,1
#연희1호점,1
인근,1
비교,1
서쪽,1
피,1
촌,1
후자,1
트,1
일찍이,1
어색하다,1
통일,1
맘속,1
깃,1
강하다,1
부다,1
주변,1
베스트,1
대로,1
기린,1
타임,1
세상,1
보시,1
존,1
밍밍,1
흡입,1
경우,1
끌,1
서도,1
휴식,1
"0	1
title	[]
연희동",1
툭툭,1
탐색,1
권,1
선점,1
타고,1
프레첼,1
풍경,1
베이커리카페,1
"카페
연희동카페",1
이따,1
매혹,1
페퍼민트,1
그닥,1
밀가루,1
추억,1
꿀,1
마당,1
좋고,1
가야,1
츠,1
"디저트,",1
체인점,1
서든,1
선선,1
천국)	최근,1
너,1
외출,1
횡재,1
사모님,1
도,1
얼른,1
생김새,1
무슨,1
꼬비,1
씁쓸하다,1
어서,1
밤,1
분전,1
강점,1
쥬얼,1
외형,1
빈부격차,1
단점,1
미장이,1
쫄깃,1
여자,1
식감,1
만점,1
성,1
월,1
접시,1
번은,1
봄,1
급,1
모시,1
지갑)	로덴,1
속도,1
기대,1
허물,1
수도꼭지,1
굿굿,1
직,1
콜드,1
잠시,1
가고,1
소리,1
드립,1
바깥,1
파운드,1
#분위기좋은카페	재생,1
광,1
재료,1
이중,1
예전,1
무한,1
하,1
예뽀,1
앤,1
간판,1
멜랑슈,1
추천	연희동,1
1호점-주차장있는,1
유리,1
파이,1
용한,1
돈까스,1
커피전문점],1
점도,1
다한,1
카푸치노,1
고풍,1
이서,1
1호점	옵젵상,1
만남,1
듬뿍,1
비스듬,1
아침일찍여는,1
버터,1
#빵맛집카페,1
는걸,1
이동,1
담배,1
주차정보,1
한참,1
그때,1
쫀쫀하,1
천국,1
도용,1
리,1
카페인,1
녹차,1
꼭꼭,1
우린,1
브렌,1
자신,1
존재,1
베이커리카페	연희동,1
직졉,1
형태,1
철제,1
직전,1
불때,1
당장,1
불구,1
내면,1
고고,1
피노키오,1
몇개,1
드라이,1
왜,1
원목,1
연희동]로덴드론,1
모,1
카페모카,1
조합,1
초콜릿,1
유럽,1
스테인리스,1
문제,1
못참쥬,1
시럽,1
맛집,1
필요,1
중간,1
가구,1
울적하다,1
실내,1
월요일,1
거나,1
"것임
[연희동",1
미용,1
찬,1
수빈,1
(체챌.02)	로덴,1
전화기,1
냅킨,1
헛탕쳤던,1
낌,1
반하다,1
종종,1
"길
연희동",1
내돈내산	안녕하다,1
부드럽다,1
어른,1
누가,1
찾기,1
창밖,1
주차가능,1
프로모션,1
단독주택,1
강아지,1
김,1
여름철,1
담,1
귀,1
친환경,1
상위,1
홍순이	연희동,1
칩,1
"매우
[서울",1
소개,1
"위치,",1
로스팅	연희동,1
앙증맞다,1
뿌옇다,1
눌레,1
치즈케잌,1
구석,1
축,1
따릉,1
거의,1
한산하다,1
편의,1
셀프,1
싶은,1
클래식,1
한마디,1
"홍홍
[서울",1
츄리,1
어렵다,1
가다가,1
1호점	연희동,1
즐겁다,1
하하,1
오시,1
분위기좋은카페,1
도보,1
사양,1
컨셉,1
스터디,1
단단하다,1
합격,1
자세하다,1
안성맞춤,1
개강,1
온기,1
최근,1
소시지,1
"길
[연희동",1
커피집,1
외부,1
모카블,1
옵젵,1
다락방,1
오히려,1
여분,1
아기자기하다,1
카페추천_로덴드론,1
초,1
만석,1
페스,1
케잌,1
스테인레스,1
팔,1
낭시,1
변,1
에디오피아,1
사지,1
오래되다,1
문의,1
분리,1
수도,1
약속,1
앤티크,1
무단,1
언제,1
벨,1
일요일,1
알갱이,1
통,1
조용하다,1
브라질,1
요러함,1
추가,1
한잔,1
인터넷,1
급하다,1
대부분,1
정리,1
창,1
시작,1
공부,1
영화,1
로데,1
앨,1
지저분하다,1
납득,1
스탈,1
엘살바도르,1
깨끗하다,1
솔솔,1
"홈페이지
#로덴드론",1
뻔하다,1
"그렇다
연희동",1
유명하다,1
끊임없다,1
빈티지한,1
오신,1
알록달록,1
눈치,1
가도,1
이중주,1
부실하다,1
과일,1
엔틱,1
바디,1
