word,count
디저트,2187
고양이,1583
드댕,977
카페드댕,714
낭시,659
휘,593
분위기,553
댕,420
음료,419
블랙,381
교,378
크림,332
느낌,318
정말,313
시도,313
캣타워,309
턱,309
처,307
인테리어,302
다양하다,260
트리플,256
시크,252
방문,247
매장,235
곳곳,233
드,231
검다,226
데이트,226
티,215
체리,215
맛집,212
재미,210
귀엽다,202
밀크,194
매력,190
버터,183
비주,179
친구,179
독특하다,175
사진,171
위,170
얼,169
종류,168
치즈,166
내부,166
어디,166
하나,166
생각,162
달달,157
콕,156
컨셉,155
깔끔하다,154
바로,151
중,149
자리,148
요,147
부드럽다,146
쉐이크,144
눈,144
꼭,144
바닐라,139
위치,138
번,137
젤라또,136
공간,129
이색,126
그렇다,126
말차,125
넓다,123
사람,119
푸딩,116
캐비어,116
모던,115
분,114
흔적,113
라떼,112
패션후르츠,111
초코,110
마음,110
테이블,108
여기,106
달콤하다,106
상큼,105
에스프레소,104
해,103
처음,103
정도,103
볼,102
캣,102
등,100
잭콕슈페너,99
저희,99
브륀느,97
홍대입구역,97
입구,96
아메리카노,96
이드,96
가지,95
보고,95
무스,94
액자,94
의,93
함,91
모더니즘,89
매일,87
마차,87
아이스크림,87
코스,86
앞,84
소개,83
다른,83
이름,83
입,83
소품,83
한번,81
듯,81
영업,81
바,81
베이컨,80
고급스럽다,79
메뉴판,79
시원하다,78
기분,77
속,77
조합,77
만,76
이렇다,76
"층
연남동",75
고소하다,75
레몬,75
아주,75
오늘,74
고급,74
원두,74
다음,73
초콜릿,73
좌석,72
케이크,72
모두,72
구경,71
화장실,70
모양,70
모습,70
덥다,70
사용,69
가장,68
거리,67
특별하다,67
가득하다,66
좀,66
선택,66
준비,66
유명하다,66
날,65
감성,65
신기하다,65
궁금하다,65
까눌레,64
저녁,63
뤼팽,62
아르,62
진하다,61
겉,61
냥,60
고민,60
알,60
전체,60
움,60
때문,60
역시,59
처럼,59
파,59
단,59
식감,59
즐겁다,59
발견,58
경의선,58
과자,58
숲길,58
가득,58
브라우니,57
전,57
찾기,57
젤리,57
굉장하다,56
그림,56
출구,56
요즘,55
취향,54
우리,54
베리,53
이용,53
편하다,52
유리,52
오후,52
밤,52
후,52
조금,51
쪽,51
먼저,50
잭,50
도,49
셜록홈즈,49
사장,49
럼블,48
어떻다,47
근처,47
달,47
조용하다,47
이쁘다,47
세련되다,47
무엇,46
콤,46
완전,46
카페인,46
외관,46
보,46
답,46
마치,45
새롭다,45
다니엘,45
톤,45
논,45
꽤,45
물,45
보기,45
세트,44
장소,44
자체,44
따뜻하다,44
옆,44
먹기,43
계단,43
후기,43
그냥,43
몽블랑,43
건물,43
화이트,43
편이,42
무화과,42
장식,42
인상,42
가격,41
구성,41
일단,41
이야기,41
크렘,41
못,41
창가,41
대표,41
실제,40
아래,39
두,39
잭콕,39
가게,39
걸,39
자주,39
반,38
메뉴인,38
색다르다,37
차분하다,37
주소,37
오전,37
모티브,37
알콜,37
무조건,37
작다,37
건,37
시나몬,37
비쥬,37
진,37
핫,36
좋은,36
포인트,36
아이스,36
사거리,36
비,36
주말,36
밖,36
감각,36
제일,35
더욱,35
퀄리티,35
여기저기,35
잔,35
집사,35
트,35
다시,35
오픈,34
약간,34
재미있다,34
인,34
재밌다,34
플레이,34
애플,34
쏠쏠하다,34
벨,34
커피젤리,33
마지막,33
빵,33
운영,33
칵테일,33
조형,33
직원,33
살짝,33
리지,33
통,33
최고,32
계속,32
차,32
힐링,32
플레인,32
머랭,32
리뷰,32
트리,32
덕,32
과일,32
행복하다,31
연인,31
인기,31
물이,31
콜드,31
실내,31
바삭,31
특이하다,31
네이버,31
높다,31
은은하다,31
장식품,31
널,31
카운터,31
사랑,30
괜찮다,30
마무리,30
쿠키,30
멋지다,30
규모,30
마리,30
은,30
평일,30
만족스럽다,30
연기,29
특색,29
뚜껑,29
통창,29
경험,29
남자친구,29
명,29
주차장,29
원래,29
입안,29
피,29
별로,29
바깥,29
코코넛,29
브루,29
사실,29
의자,29
피치,29
아쉽다,28
채,28
엘리베이터,28
쫀득,28
딱이다,28
마카,28
얼그레이,28
판매,28
그린,27
연상,27
날씨,27
안녕하다,27
진동,27
햇살,27
비슷하다,27
가깝다,27
뭐,27
달고나,27
가면,27
조화,27
이유,27
개인,27
보시,27
샷,27
넘치다,27
책,26
세,26
아늑하다,26
감,26
제대로,26
브륄레,26
츄러스,26
부분,26
직접,26
확,26
이번,26
재,26
가능하다,26
도보,26
산미,26
벽,25
플라워,25
시,25
강하다,25
계시다,25
접시,25
미아,25
데,25
눈길,25
줄,25
반전,24
단맛,24
쇼케이스,24
심플,24
