0	1
title	[]
서울 그릭요거트 맛집, 망원동 요거트 요기요거	['망원동', '평소', '그릭', '요거트', '집', '요기', '거', '서울', '그릭', '요거트', '맛집', '뿌시', '요즘', '그릭', '요거트', '안', '커피', '먼저', '살', '요거트', '먼저', '살', '고민', '그릭', '요거트', '먼저', '구매', '가게', '파란색', '뭔가', '청량하다', '느낌', '요기', '거', '그릭', '요거트', '사진', '및', '동영상', '팔로워', '명', '팔로잉', '명', '게시', '물', '개', '요기', '거', '그릭', '요거트', '님', '사진', '및', '동영상', '보기', '인스타그램', '요기', '거', '달력', '예쁘다', '뭔가', '타자기', '같다', '맘', '드렁', '내부', '아기자기', '예쁘다', '안', '자리다', '없다', '캐릭터', '워', '미니', '냉장고', '안', '요거트', '밀크', '티', '드링킹', '요거트', '이렇다', '있다', '밀크', '티', '궁금하다', '살', '많다', '때문', '날', '그릭', '요거트', '플레인', '안', '없다', '줄', '바로', '요기', '거', '메뉴', '난', '플레인', '그릭', '요거트', '로', '구매', '양', '많다', '어차피', '못', '인스타그램', '이벤트', '요기', '거', '그렇다', '맛있다', '서비스', '인간', '사료', '간식', '거', '중독', '있다', '맛있다', '기분', '좋다', '요거트', '사', '여기', '사장', '친절하다', '플레인', '그릭', '요거트', '집', '먼저', '사진', '그렇다', '양', '요거트', '먹기', '좋다', '양', '진짜', '만', '해먹', '얼마', '증', '날', '요거트', '사발', '간단하다', '요거트', '볼', '해먹', '거', '더더', '더', '만인', '거', '같다', '플레인', '그릭', '요거트', '시나몬', '그렇다', '꿀', '생각', '그렇다', '달달', '맛있다', '어울림', '목', '정도', '덕', '적당하다', '맛있다', '덕', '식', '좋다', '집', '해', '좋다', '유독', '그릭', '요거트', '만들기', '싫다', '말', '모', '요기', '거', '그릭', '요거트', '맛있다', '이벤트', '시나몬', '그렇다', '꿀', '요거트', '완전', '찰떡', '그릭', '요거트', '좋아하다', '망원동', '요기', '거', '꼭', '요기', '거', '위치', '서울', '마포구', '희다', '정로', '길', '층', '전화번호', '영업', '시간', '수', '일요일', '수', '금요일', '브레이크', '타임', '월화', '요일', '휴무', '요기', '거', '서울특별시', '마포구', '희다', '정로', '길', '층']
"나만 알고 싶었지만,, 사장님 쏘 친절/맛 대만족에 남기는 망원동 그릭요거트 집 ""요기요거"""	['정말', '집', '합', '정이', '망원동', '산책', '많다', '벌써', '오픈', '지도', '요기', '거', '요기', '거', '방문', '손님', '귀요미', '댕댕', '요기', '거', '대한', '시선', '제', '지금', '한번', '보지', '요기', '거가', '눈', '아담하다', '그릭', '요거트', '손님', '로테이션', '빠르다', '포장', '손님', '많다', '때문', '공간', '자체', '충분하다', '마냥', '맑은', '날', '아니다', '오픈', '시간', '싱그럽다', '풍경', '신선하다', '그릭', '요거트', '플레인', '그릭', '요거트', '그렇다', '꿀', '조합', '주말', '점심', '해결', '지난', '다이어트', '라이프', '식단', '그릭', '요거트', '망원동', '그릭', '요거트', '맛집', '있다', '치즈', '지방', '함률', '일반', '요거트', '단백질', '많다', '자주', '손', '그릭', '요거트', '홍대', '유명', '그릭', '요거트', '집', '정기', '배송', '만큼', '그릭', '요거트', '좋아하다', '요기', '거', '처음', '어디가', '그릭', '요거트', '좋아하다', '말', '나', '그릭', '요거트', '스펙트럼', '짧다', '맛', '그릭', '요거트', '덕함', '있다', '찰나', '친절하다', '사장', '새롭다', '예정', '바나나', '그릭', '요거트', '바나나', '달달', '함', '덕분', '별도', '꿀', '그렇다', '조합', '없다', '충분하다', '단맛', '선사', '조금', '수', '있다', '플레인', '지방', '맛', '건강하다', '단맛', '가미', '아주', '맛', '도리', '바나나', '그릭', '요거트', '것', '같다', '또', '행복하다', '시식', '메뉴', '걸', '다다', '음주', '정도', '출시', '예정', '바나나', '크램블', '시식', '전', '사장', '최고', '안', '필링', '자체', '그릭', '요거트', '일반', '크램블', '더', '건강하다', '의도', '듯', '상단', '부분', '크램블', '단', '잔', '중간', '중간', '소금', '환상', '조합', '필링', '가운데', '없다', '밤', '한몫', '행복하다', '정말', '두서', '없다', '방문', '후기', '그냥', '내', '행복하다', '그릭', '요거트', '맛', '맛', '자체', '사장', '친절하다', '번', '감동', '글자', '여', '망원동', '그릭', '요거트', '맛집', '있다', '난', '가장', '먼저', '요기', '거', '추천', '요기', '거', '서울특별시', '마포구', '희다', '정로', '길', '층', '오른쪽', '가게']
[망원동 맛집 / 망원동 그릭요거트] 요기요거	['안녕하다', '푸요', '무', '이다', '오늘', '망원동', '바퀴', '포스트', '제', '자주', '망원동', '그릭', '요거트', '맛집', '소개', '망원동', '그릭', '요거트', '가게', '몇개', '있다', '중', '제', '오늘', '소개', '드릴', '곳', '요기', '거', '요기', '거가', '가게', '점', '바로', '두유', '비건', '그릭', '요거트', '판매', '위치', '지도', '참고', '부탁', '요기', '거', '서울특별시', '마포구', '희다', '정로', '길', '층', '오른쪽', '가게', '날', '네이버', '주문', '미리', '주문', '가게', '방문', '가게', '작', '블루', '화이트', '조화', '캐릭터', '귀엽다', '저', '오늘', '요거트', '볼', '비건', '두유', '그릭', '요거트', '과', '그렇다', '추가', '럼블', '판매', '좋아하다', '분', '참고', '좋다', '것', '같다', '오늘', '요거트', '볼', '제철', '과일', '코코넛', '청', '그렇다', '있다', '세트', '이다', '저', '요기', '거', '그렇다', '좋아하다', '추가', '더', '주문', '두유', '요거트', '답', '신맛', '덜하다', '구수하다', '맛', '좋다', '유당불내증', '있다', '신', '요거트', '별로', '좋아하다', '분', '두유', '그릭', '요거트', '추천', '리뷰', '이다', '그렇다', '저', '오늘', '좋다', '하루']
망원동 그릭요거트 맛집을 찾아서 '요기요거'	['안녕하다', '오늘', '구황', '작물', '이다', '오늘', '역시', '요거트', '러버', '저', '그릭', '요거트', '맛집', '오늘', '망원동', '그릭', '요거트', '집', '소개', '해', '요기', '거', '원유', '유산균', '수제', '그릭', '요거트', '동안', '요기', '거만', '발효', '시간', '숙성', '있다', '제철', '과일', '이용', '비정', '제', '당', '콩', '포트', '단맛', '부담', '수', '있다', '노력', '있다', '네이버', '소개', '글', '요기', '거', '서울특별시', '마포구', '희다', '정로', '길', '층', '포장', '무선', '인터넷', '제로', '페이', '국민', '원금', '망원동', '그릭', '요거트', '가게', '여러', '군데', '있다', '어디', '고민', '요기', '거', '곳', '여기', '선택', '이유', '중', '하나', '바로', '파인애플', '맛', '그릭', '요거트', '있다', '은', '또', '못', '요기', '거', '바로', '앞쪽', '옆', '빨래', '방과', '정말', '다른', '분위기', '외국', '분위기', '뿜뿜', '나', '카페', '락떼', '스피릿', '이', '있다', '상', '보고', '정말', '인테리어', '독특하다', '예쁘다', '한번', '곳', '아담하다', '사이즈', '카페', '역시', '인기', '좋다', '아쉽다', '이', '날', '방문', '담번', '기회', '락떼', '스피릿', '서울특별시', '마포구', '희다', '정로', '길', '월', '화', '휴무', '수', '일', '평일', '브레이크', '타임', '출처', '요기', '거', '인스타', '곧', '크리스마스', '여기', '예쁘다', '단장', '중인', '선물', '같다', '공간', '선물', '요', '귀엽다', '예쁘다', '것', '같다', '아기', '자기', '귀엽다', '공간', '간단하다', '수', '있다', '듯', '저', '포장', '가기', '기본', '플레인', '밤', '파인애플', '블루베리', '꾸준하다', '것', '같다', '투데이', '스페셜', '메뉴', '있다', '변동', '사항', '있다', '인스타', '확인', '가시', '추천', '그릭', '요거트', '외', '드링킹', '요거트', '밀크', '티', '아메리카노', '판매', '중이', '셨', '수제', '그렇다', '판매', '데', '인스타', '이벤트', '중', '것', '같다', '참여', '그렇다', '많다', '관부', '요기', '거', '와이파이', '비밀번호', '파인애플', '달달', '밤맛', '기본', '플레인', '궁금하다', '파인애플', '포기', '어렵다', '때문', '파인애플', '맛', '선택', '파인애플', '콤', '달콤하다', '요거트', '조화', '역시', '참으로', '좋다', '맛있다']
요기요거 | 망원동 그릭 요거트 맛집	['요기', '거', '서울특별시', '마포구', '희다', '정로', '길', '층', '요기', '거', '브레이크', '타임', '월요일', '휴무', '주말', '저녁', '그릭', '요거트', '고고', '요기', '거', '외관', '흰색', '파랑', '그리스', '산토리니', '연상', '색감', '오', '보기', '만해', '산뜻', '쿠랑', '한강', '산책', '바퀴', '도착', '구석구석', '아기자기하다', '욥', '접이식', '의자', '몇개', '거의', '테이크아웃', '손님', '배달', '테이블', '위', '배달', '요거트', '준비', '요기', '거', '애견', '동반', '가능', '이다', '사쿠', '실내', '길가', '다가', '자꾸', '중이', '오', '사고', '집', '가쥬', '밤', '그릭', '요거트', '설명', '간식', '나무', '스푼', '집', '그릭', '요거트', '꼬박', '요기', '거', '숙성하다', '손', '폰', '손', '힘드다', '덕함', '밤', '알갱이', '밤', '식빵', '때', '밤', '같다', '같다', '밤', '그릭', '요거트', '전체', '달달', '절반', '정도', '레놀라', '알룰', '로스', '알룰', '로스', '없다', '충분하다', '달달', '레놀라', '뿌링뿌링', '네이버', '가격', '매장', '방문', '가격', '다르다', '지난번', '체리', '체리', '요것', '반쪽', '체리', '맛', '체리', '체리', '레놀라', '그대로', '맛있다', '밤', '그릭', '레놀라', '맛나', '요것', '역시', '단독', '더', '맛', '것', '같다', '레놀라', '역쉬', '플레인', '찰떡', '궁합', '듯', '요기', '거', '그릭', '요거트', '전체', '신맛', '덜하다', '유청', '과', '덕함', '아니다', '크리', '밉다', '크리미', '읭', '덕', '덕이', '맛', '요', '다음', '허니콤']
망원동 그릭요거트 카페 | 요기요거	['망원동', '그릭', '요거트', '카페', '요기', '거', '망원동', '그릭', '요거트', '전문점', '오픈', '소리', '언제', '오픈', '하나', '오매불망', '덕', '요거트', '시기', '오픈', '소식', '샤샤', '샥', '때', '그렇다', '틈', '요거트', '개', '아이스', '아메리카노', '를', '주문', '요기', '거', '그릭', '요거트', '전문점', '화이트', '블루', '시원하다', '깔끔하다', '외관', '문', '자그마하다', '실내', '아기자기하다', '귀엽다', '느낌', '공간', '무언가', '가득하다', '망원동', '지역', '특성', '분위기', '그렇다', '있다', '자그마하다', '미니', '냉장고', '눈', '요거트', '있다', '메뉴판', '귀엽다', '요거트', '공간', '요거트', '개', '아이스', '아메리카노', '요거트', '커피', '든든하다', '요거트', '개', '아이스', '아메리카노', '요거트', '커피', '보기', '만해', '맛있다', '아이스', '아메리카노', '아메리카노', '에스프레소', '물', '얼음', '적당하다', '진해', '좋다', '요거트', '개', '요거트', '그릭', '요거트', '플레인', '요거트', '사이즈', '그람', '질', '좋다', '우유', '유산균', '덕', '덕해', '그릭', '요거트', '좋다', '떡떡', '아주', '덕', '덕', '묵직하다', '아주', '아주', '묵직하다', '덕', '데', '입', '텍스춰', '아주', '실키', '묵직하다', '보통', '부드럽다', '느낌', '정도', '실키함', '덕', '묵직', '실키', '부드럽다', '콤', '요거트', '맛', '강하다', '아주', '아주', '맛있다', '덕', '요기', '거', '서울특별시', '마포구', '희다', '정로', '길', '층']
망원동 요거트 맛집 꾸덕꾸덕한 식감의 감성 가득 요거요거	['다이어트', '게', '베이글', '그릭', '요거트', '그릭', '요거트', '다이어트', '변비', '효과', '좋다', '느낌', '느낌', '랄', '실제', '효과', '보지', '마음', '안정', '좋다', '자주', '있다', '그릭', '요거트', '사실', '꽤', '비싸다', '자주', '먹기', '부담', '망원동', '방문', '요거트', '집', '중', '요기', '거가', '가장', '가성', '비', '맛집', '유명하다', '순전하다', '네이버', '지도', '평점', '높다', '내', '돈', '산', '방문', '망원동', '요거트', '맛집', '거', '거', '이다', '종류', '많다', '마음', '용량', '팔고', '있다', '번', '보고', '맛있다', '다음', '용량', '주문', '마음', '방문', '망원동', '요거트', '맛집', '거', '거', '테이크', '아웃', '전문', '매장', '그렇다', '매장', '규모', '넓다', '다양하다', '메뉴', '팔고', '있다', '수제', '그렇다', '코코넛', '청', '로투스', '럼블', '운', '캐슈넛', '초콜릿', '칩', '통밀', '럼블', '다양하다', '판매', '있다', '카드', '결제', '현금', '결제', '서울', '페이', '가능하다', '좋다', '사이즈', '과', '있다', '정도', '종류', '플레인', '밤', '파인애플', '블루베리', '허니콤', '딸기', '베리', '등', '다양하다', '있다', '무엇', '비건', '용', '그릭', '요거트', '판매', '있다', '단골', '분', '많다', '것', '같다', '기본', '사이즈', '가격', '원대', '시작', '플레인', '은', '가성', '비', '좋다', '저', '블루베리', '맛', '허니콤', '하나', '베스트', '메뉴', '블루베리', '맛', '만큼', '후기', '가장', '많다', '메뉴', '그', '이유', '블루베리', '알맹이', '블루베리', '맛', '그냥', '그릭', '요거트', '때문', '저', '식감', '위해', '그렇다', '블루베리', '그릭', '요거트', '그렇다', '날씨', '좋다', '날', '망원동', '그릭', '요거트', '통', '사서', '한강', '행복하다', '주문', '스푼', '저', '개', '주문', '그렇다', '미니', '다른', '맛', '요거트', '맛보기', '용도', '감동', '망원동', '요거트', '맛집', '거', '거', '네이버', '포장', '주문', '가능하다', '실시간', '무슨', '메뉴', '주문', '가능하다', '확인', '수', '있다', '그', '외', '다른', '공지', '인스타그램', '통해', '공지', '있다', '해', '손님', '많다', '날', '준비', '수량', '모두', '소진', '일찍', '문', '경우', '있다', '하니', '그렇다', '때', '꼭', '방문', '전', '인스타그램', '확인', '것', '좋다', '소화도', '가성', '비도', '좋다', '망원동', '요거트', '맛집', '요기', '거', '추천', '요기', '거', '서울특별시', '마포구', '희다', '정로', '길', '층', '오른쪽', '가게']
망원동카페) 오늘, 요거 (feat. 쿠키 앤 그릭, 드링킹 요거트 / 그릭요거트맛집)	['망원동', '많다', '맛집', '카페', '있다', '생각', '가지', '못', '곳', '많다', '코로나', '꿋꿋', '자리', '있다', '그릭', '요거트', '집', '있다', '사실', '계속', '가야', '가야', '이제야', '망원동', '카페', '그릭', '요거트', '맛집', '오늘', '거', '이다', '오늘', '거', '스마트', '콜', '인', '영업', '전화', '연결', '수', '있다', '목', '금요일', '주말', '재료', '소진', '시', '조기', '마감', '인스타', '공지', '참고', '포장', '가능', '배달', '가능', '반려동물', '동반', '가능', '오늘', '거', '네이버', '방문자', '리뷰', '블로그', '리뷰', '오늘', '거', '망원역', '번', '출구', '가장', '가깝다', '돈가스', '유명하다', '헤키', '매장', '바로', '앞', '랍', '요기', '바로', '오늘', '거', '입', '판도', '귀엽다', '바로', '앞', '번', '요런', '것', '포인트', '좋다', '눈', '저', '이', '간판', '제일', '귀엽다', '일단', '얼른', '주문', '키', '오스', '저', '그릭', '요거트', '하나', '보고', '요거트', '볼', '드링킹', '요거트', '종류', '다양하다', '결정', '장애', '그릭', '요거트', '자체', '종류', '무진장', '많다', '요즘', '곳', '중', '가장', '많다', '것', '같다', '제', '제일', '좋아하다', '블루베리', '그릭', '어떻다', '황', '치즈', '말차', '중', '투썸', '아이스박스', '비슷하다', '더', '건강하다', '맛', '쿠키', '앤', '그릭', '가장', '궁금하다', '바로', '픽', '사이즈', '토핑', '또', '수', '있다', '창', '저', '사이즈', '다른', '토핑', '추가', '다른', '것', '보고', '주문', '끝', '사이즈', '바로', '가늠', '옆', '포장', '용기', '사이즈', '확인', '수', '있다', '참고', '좋다', '것', '같다', '그렇다', '빛', '이쁘다', '번', '저', '그릭', '요거트', '이번', '그렇다', '구매', '다음', '방문', '하나', '생각', '견과류', '좋다', '것', '같다', '매장', '요런', '느낌', '오늘', '거', '플레이', '버', '요거트', '주문', '동시', '그릭', '요거트', '퓨레', '때문', '시간', '좀', '그때', '저', '매장', '구경', '밖', '수', '있다', '좌석', '마주', '인석', '마련', '있다', '저', '회사', '근처', '주로', '포장', '것', '같다', '시간', '있다', '분', '좋다', '것', '같다', '매장', '식사', '시', '주의', '사항', '있다', '좀', '터', '줄', '맛', '가지', '그릭', '요거트', '조금', '것', '같다', '집', '시간', '때문', '추가', '보냉', '포장', '집', '제일', '먼저', '맛', '베리', '치즈케이크', '그릭', '베리', '치즈케이크', '그릭', '트리플', '베리', '블루베리', '블랙베리', '라즈베리', '식', '좋다', '그릭', '요거트', '거기', '치즈케이크', '조합', '진짜', '난리', '일단', '치즈케이크', '그릭', '요거트', '처음', '때문', '완전', '신세계', '좀', '더', '맛', '필요하다', '분', '여기', '그렇다', '견과류', '좋다', '것', '같다', '저', '도', '좋다', '치즈케이크', '진짜', '매력', '다음', '무화과', '그릭', '요즘', '무화과', '진짜', '유행', '가나', '무화과', '디저트', '판매', '있다', '것', '같다', '오늘', '거', '무화과', '요거트', '발견', '무화과', '그릭', '요거트', '조합', '진짜', '말모', '제', '동생', '베이글', '위', '요거트', '발라', '그냥', '때', '요거트', '더', '것', '같다', '보시', '것', '새롭다', '것', '같다', '쿠키', '앤', '그릭', '네', '것', '어디', '서도', '못', '쿠키', '앤', '그릭', '사장', '투썸', '아이스박스', '비슷하다', '진짜', '기대하다', '초코', '말차', '쿠키', '설탕', '아니다', '알룰', '로스', '해', '다이어트', '꽤', '사람', '알룰', '로스', '최고', '것', '같다', '다른', '요거트', '직접', '퓨레', '아주', '엄지', '척', '입', '것', '혁명', '진짜', '아이스박스', '느끼하다', '사랑', '아이스박스', '쿠키', '앤', '그릭', '전혀', '그렇다', '것', '없다', '진짜', '맛있다', '맛있다', '맛있다', '걸', '어찌', '설명', '꼬', '은은하다', '달달', '콤', '그릭', '요거트', '장점', '쿠키앤크림', '맛', '쿠키', '앤', '그릭', '요거트', '쿠키', '바삭', '매력', '있다', '저', '앞', '것', '것', '같다', '늑힘', '담', '주', '또', '사장', '블루베리', '그릭', '블루베리', '기본', '중', '기본', '그릭', '요거트', '집', '꼭', '맛', '요', '아침', '사과', '위트', '빅스', '나름', '요거트', '볼', '해', '역시', '블루베리', '기대', '저', '세상', '콤함', '가득', '블루베리', '위트', '빅스', '바삭', '좋다', '블루베리', '드링킹', '것', '제', '처음', '시도', '메뉴', '요', '유청', '빼기', '전이', '드링킹', '그릭', '요거트', '안', '직접', '블루베리', '퓨레', '먹기', '전', '아주', '신명', '배속', '흡사', '배속', '듯', '빠르다', '나', '더', '이쁘다', '블루베리', '드링킹', '이제', '저', '간식', '얘', '진짜', '너', '무', '맛있다', '블루베리', '매력', '있다', '거', '있다', '재료', '하나', '하나', '사장', '블루베리', '우유', '유산균', '이외', '무', '첨가', '제품', '성인', '아니다', '아이', '간식', '제격', '일단', '맛', '있다', '다른', '건', '뭐', '눈', '어느새다', '통', '것', '그냥', '몇', '개', '오늘', '거', '스마트', '스토어', '진행', '있다', '멀리', '계시다', '분', '택배', '도', '주문', '가능하다', '해', '요즘', '여기저기', '그릭', '요거트', '집', '것', '같다', '곳', '많다', '꾸준하다', '맛', '품질', '자리', '가게', '더', '눈', '저', '오늘', '거가', '그렇다', '곳', '것', '같다', '그릭', '요거트', '좋아하다', '분', '꼭', '번', '좋다', '기본', '플레인', '맛', '황', '치즈', '맛', '선택', '폭', '넓다', '요', '드링킹', '요거트', '추천', '추천', '추천', '망원동', '카페', '그릭', '요거트', '맛집', '오늘', '거', '오늘', '거', '네이버', '쇼핑', '스마트', '스토어', '국내', '등급', '우유', '유산균', '프리미엄', '그릭', '요거트', '오늘', '거', '사진', '및', '동영상', '팔로워', '명', '팔로잉', '명', '게시', '물', '개', '오늘', '거', '님', '사진', '및', '동영상', '보기', '오늘', '거', '서울특별시', '마포구', '월드컵', '로', '길', '층', '오늘', '거']
[망원/합정] 망원동 건강하게 한 끼 해결하기 좋은 그릭요거트 집, 요거멜로우!	['안녕하다', '김', '정세', '이다', '오늘', '망원동', '제', '원픽', '그릭', '요거트', '집', '소개', '며칠', '전', '상수역', '번', '출구', '근처', '더', '그릭', '소개', '글', '또', '그릭', '요거트', '망원동', '골목', '자취', '방', '평수', '작다', '가게', '그릭', '요거트', '맛', '망원동', '일가', '멋지다', '곳', '요', '거', '로', '를', '소', '개', '합', '니', '거', '로우', '서울특별시', '마포구', '월드컵', '로', '길', '층', '거', '로우', '서울특별시', '은평구', '응암', '로', '길', '층', '호', '응암동', '거', '멜로', '망원동', '있다', '응암동', '있다', '둘', '제', '자주', '동네', '응암', '못', '오늘', '망', '원점', '대해', '만', '밤', '안', '자세하다', '간판', '귀엽다', '요거트', '그림', '매번', '때', '생각', '왜', '간판', '불', '안', '요', '간판', '안', '보이', '또', '어떻다', '알', '쭉', '쭉', '내부', '이', '골목', '제일', '또', '안', '혼자', '먹기', '마음', '편하다', '자리', '다리', '붕', '아주', '편하다', '때', '좋다', '자리', '있다', '물이', '냅킨', '셀프', '수', '있다', '제', '때', '크리스마스', '얼마', '안', '때', '트리', '장식', '어제', '때', '친구', '통화', '픽업', '기억', '안', '뭐', '중요하다', '건', '아니다', '옆', '거울', '있다', '꽤', '다리', '길다', '그냥', '보고', '찍', '자취', '방', '바로', '키', '오스', '주로', '키', '오스', '주문', '현금', '주문', '것', '같다', '현금', '주문', '제', '때', '번', '안', '카드', '대부분', '키', '오스', '금방', '카카오', '페이도', '카드', '간', '날', '가격', '사이즈', '따라서', '다르다', '사이즈', '추가', '사이즈', '사이즈', '업', '수', '있다', '메뉴판', '어떻다', '토핑', '알', '수', '있다', '혹시', '궁금하다', '참고', '좋다', '것', '같다', '키', '오스', '그릭', '산도', '샌드위치', '있다', '보고', '네이버', '검색', '거나', '다른', '사진', '로우', '윈터', '로우', '후르', '츠', '윈터', '중간', '사이즈', '후르츠', '업', '저', '로우', '후르츠', '안', '물리', '맛있다', '윈터', '맛', '없다', '전혀', '아니다', '로우', '윈터', '딸기', '건', '항상', '옳다', '하나', '아쉽다', '건', '조명', '예쁘다', '사진', '그릭', '요거트', '실물', '못', '거', '불고기', '샌드위치', '그릭', '산도', '끼', '든든하다', '세', '개', '주문', '두', '명', '이서', '배', '불리', '그릭', '산도', '안', '휘핑', '아니다', '말', '그대로', '그릭', '요거트', '가득', '있다', '과일', '단맛', '더', '이상', '단맛', '안', '요거트', '때', '아주', '조금', '요거트', '본연', '새', '맛', '다음', '텐저린', '카카오', '것', '혼자', '매장', '때', '그릭', '요거트', '입', '문자', '강', '추하다', '메뉴', '이다', '오레오', '익숙하다', '달달', '구리', '옆', '넷플릭스', '계속', '마', '성의', '맛', '지금', '제', '배경화면', '해', '것', '제', '에어팟', '케이스', '그냥', '자랑', '개방', '산', '케이스', '귀엽다', '거', '질리', '있다', '거', '로우', '테이블', '포장', '집', '사진', '여러분', '여기', '진짜', '맛있다', '다른', '글', '중', '번', '곳도', '있다', '번', '이상', '일주일', '번', '적도', '있다', '저', '요거트', '저', '흑임자', '카카오', '맛있다', '이', '좀', '가볍다', '먹기', '후르츠', '좋다', '것', '같다', '든든하다', '바나나', '것', '하루', '특별하다', '방긋', '흑임자', '카카오', '추천', '요거트', '구성은', '대부분', '기본', '요거트', '시럽', '종류', '선택', '그렇다', '그', '외', '토핑', '메뉴', '다른', '것', '같다', '그렇다', '모두', '행복하다', '요거트', '생활', '맛있다', '계속', '화장실', '못', '그렇다', '안녕', '안녕하다', '가세', '다음', '글', '또', '좋다']
